Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.17
Situacao: Operante
Data Inicial: 2006-12-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-21;null;null;null;null;null;null;null;null;null;null;
2006-12-22;null;null;null;null;null;null;null;null;null;null;
2006-12-23;null;null;null;null;null;null;null;37;10,8;null;
2006-12-24;null;951,6;18,3;31,9;25,1;null;68,8;36;10,9;3,3;
2006-12-25;null;null;null;null;null;null;null;55;13,1;null;
2006-12-26;null;null;null;null;null;null;null;34;9,3;null;
2006-12-27;null;null;null;null;null;null;null;35;8,4;null;
2006-12-28;null;null;null;null;null;null;null;42;8,3;null;
2006-12-29;null;null;null;null;null;null;null;41;7,1;null;
2006-12-30;null;null;null;null;null;null;null;42;6,6;null;
2006-12-31;null;null;null;null;null;null;null;44;7,6;null;
2007-01-01;null;null;null;null;null;null;null;41;11;null;
2007-01-02;null;null;null;null;null;null;null;68;8,2;null;
2007-01-03;null;null;null;null;null;null;null;42;9,2;null;
2007-01-04;null;null;null;null;null;null;null;79;6,6;null;
2007-01-05;null;null;null;null;null;null;null;51;10,5;null;
2007-01-06;null;null;null;null;null;null;null;71;10,2;null;
2007-01-07;null;null;null;null;null;null;null;49;8,9;null;
2007-01-08;null;null;null;null;null;null;null;50;8,5;null;
2007-01-09;null;null;null;null;null;null;null;49;8,9;null;
2007-01-10;null;null;null;null;null;null;null;45;null;null;
2007-01-11;null;null;null;null;null;null;null;44;8;null;
2007-01-12;null;null;null;null;null;null;null;52;8,8;null;
2007-01-13;null;null;null;null;null;null;null;38;11,2;null;
2007-01-14;null;null;null;null;null;null;null;68;7,2;null;
2007-01-15;null;null;null;null;null;null;null;40;6,2;null;
2007-01-16;null;null;null;null;null;null;null;65;7,6;null;
2007-01-17;null;null;null;null;null;null;null;48;14,1;null;
2007-01-18;null;null;null;null;null;null;null;36;10,3;null;
2007-01-19;null;null;null;null;null;null;null;36;10,4;null;
2007-01-20;null;null;null;null;null;null;null;39;9,5;null;
2007-01-21;null;null;null;null;null;null;null;30;10,7;null;
2007-01-22;null;null;null;null;null;null;null;34;8,7;null;
2007-01-23;null;null;null;null;null;null;null;36;8,7;null;
2007-01-24;null;null;null;null;null;null;null;33;6,6;null;
2007-01-25;null;null;null;null;null;null;null;38;10,4;null;
2007-01-26;null;null;null;null;null;null;null;36;12,8;null;
2007-01-27;null;null;null;null;null;null;null;36;9,9;null;
2007-01-28;null;null;null;null;null;null;null;35;9,1;null;
2007-01-29;null;null;null;null;null;null;null;40;8,5;null;
2007-01-30;null;null;null;null;null;null;null;35;null;null;
2007-01-31;null;null;null;null;null;null;null;35;8,1;null;
2007-02-01;null;null;null;null;null;null;null;45;7,9;null;
2007-02-02;null;null;null;null;null;null;null;36;7;null;
2007-02-03;null;null;null;null;null;null;null;32;11,8;null;
2007-02-04;null;null;null;null;null;null;null;42;null;null;
2007-02-05;null;null;null;null;null;null;null;38;9,2;null;
2007-02-06;null;null;null;null;null;null;null;36;8,9;null;
2007-02-07;null;null;null;null;null;null;null;37;7,3;null;
2007-02-08;null;null;null;null;null;null;null;36;8,7;null;
