Nome: MACAU
Codigo Estacao: A317
Latitude: -5.15111111
Longitude: -36.57305554
Altitude: 17.37
Situacao: Operante
Data Inicial: 2007-01-05
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-05;null;null;null;30,4;null;null;null;57;11,1;null;
2007-01-06;null;1010;22,4;31,2;27,6;24,5;73,9;55;17;5,9;
2007-01-07;0;1010,8;22,1;33,8;28,2;24,9;70;40;15,1;5,6;
2007-01-08;0;1010,1;21,7;34,5;28,5;25,4;67,7;36;13,6;5,7;
2007-01-09;0;1009,9;22,4;31,9;28;25,7;72;54;14,3;5,6;
2007-01-10;0;1010,4;22,5;31,1;27,9;25,1;73,1;53;14,3;5,4;
2007-01-11;0;1010,1;22,6;31,6;28;25,2;73;54;12,9;5,5;
2007-01-12;0;1010,3;22,2;30,8;27,8;25,2;71,8;58;14,2;5,8;
2007-01-13;0;1009,9;21,4;31;27,5;23,9;70,2;52;11,9;4,5;
2007-01-14;0;1009,6;22,5;31,8;28,3;25,2;71,1;54;13,2;5,3;
2007-01-15;0;1009,7;22,6;33,6;28,6;25,7;70,6;45;12,8;5,9;
2007-01-16;0;1009,2;22,7;33;28,8;25,9;70;48;13,7;6,1;
2007-01-17;0;1010;22,7;30,7;27,5;26,2;75,2;58;15,2;4,4;
2007-01-18;16;1010;21,1;34,5;28,3;22,2;66,3;37;18,6;6,1;
2007-01-19;0;1010,8;21,9;32,3;28;24,4;70,3;47;15;5,6;
2007-01-20;0;1012,1;23,3;31,2;28,1;25,3;75,4;62;13,3;5,3;
2007-01-21;0;1011,8;22,2;35;28,5;25,6;69,7;36;14,9;6,2;
2007-01-22;0;1010,8;21,9;31,7;27,6;24,3;71,3;52;13,3;5,2;
2007-01-23;0;1010,5;22,3;30,7;27,4;24,3;74,3;58;12,6;4,1;
2007-01-24;0;1011,4;22,5;31,5;27,8;24,3;73,7;54;13;4,9;
2007-01-25;0;1011;22,9;31,6;28,3;25;73;55;14,3;5,5;
2007-01-26;0;1010,2;22,3;35;28,8;25,4;68,8;38;15,5;6;
2007-01-27;0;1010,7;21,8;35,3;28,2;24,8;69,2;33;14,9;5,9;
2007-01-28;0;1012,1;22,1;32;28;24,2;70,9;48;13,1;5,3;
2007-01-29;0;1012;23,1;32,2;28,1;24,9;74,6;53;12,5;4,6;
2007-01-30;0;1011,3;23,4;31,5;28,6;26,1;74;56;12,4;4,9;
2007-01-31;0;1010,3;22,9;32,8;28,6;26,2;72;54;12,4;5,1;
2007-02-01;,6;1011,3;23,1;31,7;28,1;26,5;74,3;59;12,1;4,6;
2007-02-02;,8;1011,6;23,2;31,6;28,2;25,7;74,7;58;9,7;4;
2007-02-03;,4;1011,1;23,2;31,3;28,2;25,2;74,6;53;11,1;4,4;
2007-02-04;1;1011,5;23,7;30;27,8;25,9;78,5;69;9,5;3,6;
2007-02-05;,4;1011;23,7;33;28,9;26,4;73,7;51;14,5;5,3;
2007-02-06;0;1010;22,8;33,3;28,6;25,6;71,5;46;14,1;5,4;
2007-02-07;0;1009,8;22,4;33;28,6;25,7;69,8;44;12,2;5,2;
2007-02-08;0;1010,9;22,9;31,5;28,6;26;71,7;55;13,2;5,4;
2007-02-09;0;1011,7;22,4;34,6;29,1;26,2;68,3;40;11,5;4,6;
2007-02-10;0;1012,2;22,2;34,4;28,7;25,5;68,7;40;15;5,9;
2007-02-11;0;1012,1;22,6;32,2;28,2;25,3;72;53;12,7;4,3;
2007-02-12;0;1011,2;23;31,2;28,4;25,9;73,2;57;9,9;4,3;
2007-02-13;0;1010;23,6;31,4;28,7;26,8;74,2;63;9,2;3,9;
2007-02-14;4,6;1010,2;22,9;30,2;27,3;23,3;77,1;65;14,2;2,6;
2007-02-15;,8;1010,2;23,7;29;26,4;25,1;85,5;75;19,3;2,5;
2007-02-16;26,2;1008,6;23,5;30,9;27,7;24,1;78,3;60;10,2;3,8;
2007-02-17;2;1008,4;22,9;32,2;27,9;25,7;74,8;49;11,9;4;
2007-02-18;4,8;1009,3;22,5;31;27,3;23,9;75,8;54;9,1;3,3;
2007-02-19;58,4;1009,4;22,9;28,8;26,5;22,6;80,8;65;11,2;2,8;
2007-02-20;45;1010,8;22,6;27,9;25,4;22,6;84,8;74;10,8;3,2;
2007-02-21;8;1010,9;22,7;30,5;27;23;78;59;11,5;3,5;
2007-02-22;,2;1011,6;22,7;31,5;27,9;24,2;73,7;56;11,5;5;
2007-02-23;0;1012,2;23,2;30,8;27,7;25,2;76,5;61;9,4;3,7;
2007-02-24;0;1012,4;23;31,4;28,1;24,9;74,5;55;10,1;3,8;
2007-02-25;0;1011,5;23;31,4;28,1;25,6;73,9;60;11,5;4;
2007-02-26;0;1011,2;22,8;34,7;28,6;25,4;71,8;40;13,5;5,4;
2007-02-27;0;1010,5;22,3;33,6;28,4;24,7;70,7;46;13,1;5,2;
2007-02-28;0;1009,6;22,7;33,7;28,4;25,2;71,9;44;12,9;5,4;
2007-03-01;0;1009,2;22,6;33,3;27,5;25,5;75,5;49;13,6;4,5;
2007-03-02;7;1009,1;21,9;33;28;24,6;70,6;44;10,1;4,8;
2007-03-03;1,4;1009,3;22,3;33,3;27,9;24,8;71,9;44;11,2;5;
2007-03-04;1,2;1009,5;22,6;33,2;27,8;24;74,3;46;11,4;3,2;
2007-03-05;0;1010,3;21,8;33;28,3;24,5;68,8;46;13,2;4,4;
2007-03-06;,2;1011,4;22,4;34,2;28,5;25,4;70;44;11,1;4,6;
2007-03-07;0;1012;22,3;34,2;27,6;24,5;73,8;42;10,7;4;
2007-03-08;15,4;1010,9;22,4;33,1;27,7;24,6;73,7;48;10,8;3,4;
2007-03-09;0;1009,8;22,6;33,2;28,2;25,1;72,5;46;10,1;4,2;
2007-03-10;0;1010,2;22,8;32,3;27,3;24,6;77;53;14;3,1;
2007-03-11;,4;1010,3;23,3;32,1;27,9;24,5;77,1;53;12,3;3,9;
2007-03-12;0;1010,6;23;33,2;27,3;24,7;78,5;46;11,1;3,4;
2007-03-13;3,8;1010,7;23,2;31,7;27,6;24,4;78;52;10,9;3,6;
2007-03-14;0;1010,2;22,7;29,5;27,1;25,6;77;64;13,7;4,1;
2007-03-15;8,6;1010;22,9;32,1;28;24,7;74,5;55;10,9;4,5;
2007-03-16;0;1010,2;22,4;32,8;27,7;23,7;74,1;50;15,1;2,7;
2007-03-17;18,8;1010,8;23,3;31,4;28;24,9;76,1;59;7,3;3,2;
2007-03-18;2,2;1011,5;23,9;30,7;27,9;25,7;79;66;10,2;3,3;
2007-03-19;0;1011,1;23,9;31;28,3;25,7;77,3;62;11;4,6;
2007-03-20;1,6;1010,7;23;33,6;28,5;24,8;73,3;45;12,9;4;
2007-03-21;0;1009,8;22,3;32,8;28,1;24,2;71,3;44;11,3;4,3;
2007-03-22;0;1009,9;22,4;32,1;28,4;25,5;70,8;51;11,8;5;
2007-03-23;0;1010,4;22,1;33,2;28,2;25,4;70,3;41;12;3,8;
2007-03-24;,2;1010,7;22,5;35;28,9;25,6;69;41;13,1;5,2;
2007-03-25;0;1010;22,4;32,6;28,5;25,6;70,4;46;12,1;5;
2007-03-26;0;1009;21,9;34,6;28,7;25,1;67,4;36;13,3;4,8;
2007-03-27;0;1009,7;21,4;32,4;28;25,9;67,8;46;13,2;3,8;
2007-03-28;0;1009,5;22,3;32,8;28,2;25,7;71,3;52;19,9;4,6;
2007-03-29;8,8;1008,6;20,9;35,3;28,7;24,1;63,8;33;10,1;4,8;
2007-03-30;0;1008,6;22,5;32,9;28,4;25,1;70,8;49;13,6;5;
2007-03-31;0;1008;22,4;34,2;28,8;24,8;69,1;47;13;4,6;
2007-04-01;,2;1009;21,7;35,2;29,2;25,5;65,3;41;11,4;4,6;
2007-04-02;,2;1009,3;21,9;35,6;28,9;24,4;66,8;34;12,9;4,8;
2007-04-03;0;1009,3;21,6;34,9;29;25;65,2;40;15,2;4,3;
2007-04-04;0;1009,7;22,1;33,1;28,7;25,8;68,5;45;12,1;4,5;
2007-04-05;0;1010,6;21,5;34,1;28,6;25,5;66,5;39;13,3;4,6;
2007-04-06;0;1010,9;22,4;34,9;28,9;26;68,8;32;12;4,3;
2007-04-07;0;1011;22,2;35,1;29,1;25,6;67,5;34;11,3;4,4;
2007-04-08;0;1011,2;22,4;33,2;28,9;26,1;68,2;50;11,2;4,1;
2007-04-09;0;1010,8;22,9;32,4;27,7;24,8;75,8;54;11,7;3,5;
2007-04-10;11,4;1010,3;23,7;30,8;27,8;24,5;79,2;66;12,9;4,1;
2007-04-11;3;1011,3;23,1;31,6;28,2;25,5;74,2;60;14;5;
2007-04-12;0;1012,3;21,8;31,8;27,9;24;69,8;51;11,9;3,8;
2007-04-13;0;1012,3;21,9;30,1;27,2;24,7;72,9;58;13,7;4,3;
2007-04-14;0;1011,8;22,5;32,5;27,9;24,7;72,9;49;12;4,4;
2007-04-15;1,2;1011,9;22,6;33,3;28,4;25,4;71,5;47;11,5;4,6;
2007-04-16;0;1011,4;22,5;32,3;27,9;25,1;72,9;51;13,8;3,7;
2007-04-17;,8;1009,9;22,8;32,3;28,1;25,6;73,8;54;10,5;3,6;
2007-04-18;1,6;1010,3;23,2;29,5;26,7;26,1;81,1;69;12,1;3,5;
2007-04-19;11,2;1010,1;23,4;30,7;27,3;23,5;80;64;8,5;3,4;
2007-04-20;2,8;1009,5;23,4;33,5;28;25,1;76,9;52;11,4;4,5;
2007-04-21;18;1010;23,6;29,5;26,7;24,9;83,5;70;10;4,4;
2007-04-22;6,8;1010,1;22,7;31,7;27,6;24,4;75,5;53;7,6;3,7;
2007-04-23;0;1010,7;23,3;32,5;28,2;25,5;75,2;56;9,1;3,9;
2007-04-24;0;1010,8;23,5;33,3;28,5;26,1;74,8;49;11,1;4,6;
2007-04-25;0;1011;22,9;31,8;27,5;23,9;76,6;57;10,1;3,4;
2007-04-26;,2;1009,9;23;31,9;27,4;25,2;77,7;54;10,1;4;
2007-04-27;4;1010,6;23,6;30,9;27,7;25,8;79;64;8;3,7;
2007-04-28;0;1011,6;23,6;31,5;27,8;25,7;78,2;62;11,7;4,1;
2007-04-29;,2;1011,8;22,6;33,9;28,4;24,9;72,5;41;8,6;4,2;
2007-04-30;,2;1010,9;23,1;31,8;27;25,7;79,8;60;11,5;4,2;
2007-05-01;7;1010,6;23,4;30,2;27;24,7;81,3;68;11,8;3,1;
2007-05-02;12,2;1011,2;23,2;32,2;27,3;24,2;79;53;10,8;3,3;
2007-05-03;0;1011;21,8;32,5;27,9;24,7;70,5;45;8,5;3,3;
2007-05-04;0;1010,5;22,2;32,2;26,9;24,6;76,3;52;14,2;3,9;
2007-05-05;41,8;1009,7;21,9;31,8;27,2;24,1;74;54;16,4;5,3;
2007-05-06;2,4;1009,1;22,1;32,4;27,8;24,5;72,8;49;10,7;4,6;
2007-05-07;0;1008,6;22,5;33,7;28,2;24,9;71,9;45;11,5;4,8;
2007-05-08;0;1009,3;22;33,5;28,7;25,4;68,6;46;10,5;4,9;
2007-05-09;0;1010,4;20,6;34;28,3;23,8;65,2;34;11;4,3;
2007-05-10;0;1011,7;21,1;32;27,4;23,5;69,3;48;10,5;3,3;
2007-05-11;0;1012,9;20,7;34,2;28,7;24,6;63,5;34;10,8;3,9;
2007-05-12;0;1014,1;21,1;33,2;27,8;23,9;67,5;42;9,1;3,5;
2007-05-13;0;1013,8;21,1;32,8;27,8;24,8;67,4;41;9,5;3,7;
2007-05-14;null;1012,8;21,3;32,8;27,9;24,6;68,4;43;8,2;3,8;
2007-05-15;0;1012,4;22;31,7;27,4;23,8;73;51;13;4,5;
2007-05-16;0;1011,6;21,5;33,7;27,8;24,2;69,8;46;11,8;4,5;
2007-05-17;0;1011,4;20,4;34,5;28,7;24,9;63;37;11,5;5;
2007-05-18;0;1011;19,9;34,2;28;23,3;63,4;35;11,4;5;
2007-05-19;0;1010,9;22,1;34,2;28;24,1;71;44;12,6;4,7;
2007-05-20;0;1011;20,3;34,9;29,1;25;61,1;34;11,6;5;
2007-05-21;0;1011,1;20,7;32;27,9;25,8;65,3;42;9,7;4,1;
2007-05-22;0;1010,4;22,2;30,1;27,3;25,6;73,6;59;8,1;2,8;
2007-05-23;3,4;1009,9;22,6;32,3;27,4;24,4;75,8;53;9,2;4;
2007-05-24;0;1011;22,6;32,4;27,9;25,5;73,3;49;11,4;4,7;
2007-05-25;0;1011,2;22,3;31,6;28,1;25,9;71,5;50;12,2;4,5;
2007-05-26;0;1011,3;22,1;31,6;27,6;24,8;72,5;52;10,9;4,1;
2007-05-27;0;1012;22,3;31,5;27,7;25,2;72,8;52;12,5;4,8;
2007-05-28;0;1012,2;22,2;31,6;27,6;24,1;72,9;51;11,5;4,7;
2007-05-29;0;1011,8;22,4;31,5;27,8;24,5;72,6;51;11,4;4,4;
2007-05-30;0;1012;21,8;33,5;28;24,3;69,8;44;11,5;4,9;
2007-05-31;0;1012,5;22;33,6;28;25,8;70,7;45;15,1;6;
2007-06-01;5,6;1013,6;21;32,5;26,5;22,8;72,7;46;14,1;6,4;
2007-06-02;1,6;1012,9;21,8;31,7;26,9;23,5;74,3;50;10,5;4,1;
2007-06-03;1,6;1013,1;21,6;30,5;26,6;24,1;74,9;51;11,3;4;
2007-06-04;,6;1013,7;22,4;30,7;27,2;24,2;75,7;60;8,9;3,8;
2007-06-05;0;1014,2;22,7;30,2;27,5;25,3;75,4;63;10,1;4;
2007-06-06;0;1014,1;20,3;32,5;27,8;25,2;64,8;45;12,8;4;
2007-06-07;,2;1012,7;19,3;34,1;27,8;22,9;61;39;10,9;4,2;
2007-06-08;0;1012,3;20;33,8;27,7;23,3;64,3;41;14,3;4,6;
2007-06-09;4;1013,3;21,6;30,6;25,5;22,8;79,4;60;9,4;3,1;
2007-06-10;6,2;1012,5;20,7;33,2;27,5;24,2;67,6;36;10,8;4,8;
2007-06-11;0;1012;19,4;33,8;27,5;23;62,3;35;14,9;5;
2007-06-12;0;1012,2;21,7;30,5;27,2;25;71,9;64;15,6;5,5;
2007-06-13;,2;1012,1;21;32,2;27,2;23,9;70,3;48;13,6;6,1;
2007-06-14;2,4;1011,6;19,4;33,3;27,8;23,5;61,8;39;11,5;5,7;
2007-06-15;0;1011,9;20;33,1;27,8;23,7;63,3;41;12,2;5,7;
2007-06-16;0;1012,6;21,4;33,2;27,3;23,7;70,9;41;10,9;4,1;
2007-06-17;1,6;1013,1;22,1;28,4;25,3;23,4;82,5;61;11,2;4,7;
2007-06-18;4,2;1013,9;21,5;29,7;26,1;23,8;76,6;56;11,4;4;
2007-06-19;0;1013,9;20,7;30,8;26,8;23,4;69,9;54;11,8;5,5;
2007-06-20;0;1014,1;19,3;32,2;27,6;23,8;62;39;13,1;6,6;
2007-06-21;0;1014,4;19,4;31,7;26,9;22,4;64,9;45;14,6;6,4;
2007-06-22;0;1013,2;19,9;30,2;26,5;23;67,5;54;12,5;5,6;
2007-06-23;0;1011,6;21;31,6;26,7;23,6;71,4;51;13,2;5,4;
2007-06-24;0;1012,8;20,3;33,5;27,6;23,1;66;41;13,8;6,3;
2007-06-25;0;1014,2;17,9;34,2;27,2;23;58,6;26;12,5;5,3;
2007-06-26;0;1014,6;19,7;32,1;26,6;22,7;66,5;37;10,9;4,2;
2007-06-27;0;1013,5;20,3;33,2;27;22,4;68,1;39;11,8;4,7;
2007-06-28;,4;1013,9;21,1;29,1;25,8;23,1;76,2;59;13;5,6;
2007-06-29;,2;1014,5;19,8;32,5;26,6;22;67,1;38;10,5;3,7;
2007-06-30;0;1016;21;32,6;26,9;24,2;70,8;46;11,5;5,2;
2007-07-01;,2;1016,4;19,9;33,5;27,5;23,1;65,1;36;13,1;4,3;
2007-07-02;0;1015,4;19,6;33,1;27,7;23,7;62,8;41;12,9;5,4;
2007-07-03;,2;1015,1;18,4;33,7;27,8;23,4;58,8;32;12,2;5,6;
2007-07-04;0;1015,9;18,9;32,9;27;22,5;62,9;36;13,4;6,5;
2007-07-05;0;1015,4;18,9;32,3;27,5;24,1;60,5;42;14,1;7;
2007-07-06;0;1014;18,8;33,1;27,4;23,5;60,9;36;13,7;6,7;
2007-07-07;0;1013;19,6;33,1;26,9;21,9;65;38;12,6;5,3;
2007-07-08;0;1012,8;21,2;32,1;27,1;24,1;70,9;50;14,9;6,4;
2007-07-09;,4;1012,9;20,1;32,9;27,3;23,1;65,9;44;16;6,1;
2007-07-10;,2;1012,1;20,6;32,9;27;23,4;69,4;42;14,2;6;
2007-07-11;0;1013,4;20,3;30,5;26,3;23,8;70;52;13,3;5,8;
2007-07-12;0;1013,8;19,6;31;26,7;22,4;65,9;49;9,9;4,2;
2007-07-13;2,6;1014,3;21,3;31,1;26,2;22,9;75;50;12,7;4,6;
2007-07-14;0;1013,3;21;33,1;27,1;24,6;69,9;43;11,9;4,8;
2007-07-15;0;1012,9;20,8;32,9;26,8;23,5;70,3;40;11,8;4,7;
2007-07-16;0;1012,8;20,1;33,7;27,3;23,1;66,5;38;12,2;5;
2007-07-17;0;1012,9;19,6;34,6;27,6;23,5;64,3;34;11,7;5,2;
2007-07-18;0;1012,1;20,1;34,7;27,2;23;66,3;33;12,4;4,4;
