Nome: PATOS
Codigo Estacao: A321
Latitude: -7.07972221
Longitude: -37.27277777
Altitude: 263.66
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-20;null;null;null;null;null;null;null;null;null;null;
2007-07-21;null;984,9;15,3;31,9;26,4;null;52,7;34;11,8;3;
2007-07-22;0;983,8;19,6;28,1;24,7;23,2;73,6;47;10,3;2,4;
2007-07-23;8,4;983,9;18,7;31,2;25,6;22,2;67,7;40;9,2;1,6;
2007-07-24;0;984,1;16,5;33,5;26,5;19,8;58,8;28;10;2,3;
2007-07-25;0;984,1;16,1;33,3;26,9;21,2;54,7;31;13,3;4;
2007-07-26;0;985,4;17,6;34,4;27,3;21,2;58,5;29;11,3;3,4;
2007-07-27;0;984,9;17;32,7;26,9;22,9;56,9;32;10,9;4;
2007-07-28;0;985,2;14,2;32,9;26,5;20,6;48,7;29;12;4,2;
2007-07-29;0;984,4;15,4;34,1;26,7;21,1;52,8;28;10,3;3,4;
2007-07-30;0;984,4;13,1;34,4;27,3;21,5;45,5;18;13,4;4,9;
2007-07-31;0;984,9;16,2;32,2;26,1;21,8;56,7;33;15,2;4,6;
2007-08-01;0;984,7;16,7;32;26,2;22;57,7;36;14,1;5,7;
2007-08-02;1;985,8;18,1;30,7;25,2;20,9;66,8;41;11,1;3,5;
2007-08-03;0;985,8;16,3;33,2;26,1;20,3;58,2;29;10,7;3,6;
2007-08-04;0;985,8;17,2;33,2;26,5;22;59,2;31;13,2;4,5;
2007-08-05;0;985,3;15;34,1;26,6;22;52,4;24;13,2;4,7;
2007-08-06;0;985,2;16,8;32,2;25,7;21,6;58,9;36;11,5;4,1;
2007-08-07;0;985,3;15,3;34,4;26,9;21,9;52,5;25;12,6;3,9;
2007-08-08;0;985,2;16,5;33,7;27,1;22,2;55,2;31;12,8;4,7;
2007-08-09;0;985,1;15,3;31,7;25,9;20,3;54;34;12,5;4,1;
2007-08-10;0;984,6;15,2;34;26,8;20,6;51,6;28;11,8;4,4;
2007-08-11;0;984,9;15,8;33,4;26,9;21,8;53,3;27;11,4;3,7;
2007-08-12;0;984,9;13,9;33,8;26,9;22,6;47;25;12,5;4,6;
2007-08-13;0;985,6;14,4;32,4;25,3;19,5;52,7;27;13,5;4;
2007-08-14;,2;985,3;16,1;31,1;25;21,2;59,6;32;13,9;4,7;
2007-08-15;0;985,4;14,3;31,7;25,3;20,2;51,8;35;15,1;4,9;
2007-08-16;0;985;14,7;31,3;25;19,8;53,9;36;12,7;4;
2007-08-17;0;984,1;15,2;31,3;25,4;21,8;55;32;12,3;4,2;
2007-08-18;0;984,1;12,1;33,3;25,8;19;46,3;21;11,9;4,6;
2007-08-19;0;985,3;16,2;32,9;25,6;19,5;57,5;35;10,9;3,8;
2007-08-20;0;985,3;16,6;34,8;27,4;21,5;55,1;29;11,2;3,8;
2007-08-21;0;984,9;17,2;33,8;26,9;22,2;57,4;33;11,1;3,8;
2007-08-22;0;984,5;14,3;34,5;27;19,8;49,6;24;9,8;3,7;
2007-08-23;0;983,7;13,1;34,5;26,8;19,5;46,3;21;11,4;4,2;
2007-08-24;0;983;15;33,9;27,1;21;50,8;26;13,6;4,5;
2007-08-25;0;982,8;16,8;33,6;27,8;22,5;53,4;31;12,3;4,8;
2007-08-26;0;983,7;15,4;34,5;27,5;22;51,3;24;12,2;4,6;
2007-08-27;0;984,3;14,6;34,1;27,5;22,4;48,9;24;11,1;4,6;
2007-08-28;0;983,3;12,8;35,8;27,3;20,2;47;15;13,3;4,2;
2007-08-29;0;984,9;12,5;34,2;26,7;20,2;46,4;18;12,8;3,7;
2007-08-30;0;985,6;16,9;32,8;26,9;22,7;55,2;38;15,2;5,4;
2007-08-31;0;986,1;15,1;33,9;27;21,5;52,1;24;13,7;4,4;
2007-09-01;0;986;13,4;33,8;27;20,9;46,3;23;12,2;4,7;
2007-09-02;0;986,5;14,4;33;26,7;21;50;26;12,5;4,4;
2007-09-03;0;986,7;13,2;32,9;26,4;20,1;46,5;28;11,9;3,9;
2007-09-04;0;987;15,7;32,5;25,9;21,1;54,8;33;11,9;4,5;
2007-09-05;0;987;17,6;29,7;25,5;22,9;62,2;48;15,3;4,4;
2007-09-06;1,2;986,6;15,1;33,6;26,9;21,8;51;27;14,6;5,2;
2007-09-07;0;986;15,2;31,6;26,2;21,1;52,8;31;13,2;3,4;
2007-09-08;0;985,1;13,1;34,6;26,9;19,9;44,8;25;11,2;3,9;
2007-09-09;0;985;15,1;33,1;26,6;20,8;51,5;29;12,1;5,4;
2007-09-10;0;984,8;14,6;33,7;27,1;22;49,7;25;14,9;4,6;
2007-09-11;0;985;13,2;33,7;26,6;20,6;46,3;25;12,2;4,6;
2007-09-12;,2;985,5;16,8;32,4;25,6;20,1;60,2;35;12,1;4,3;
2007-09-13;,4;984,3;14,2;34,1;26,6;20,7;49,5;26;11,3;4,2;
2007-09-14;0;983,8;16,5;32,9;26,6;22,2;55,3;35;13,1;4,6;
2007-09-15;0;983,6;14,3;34,6;27,4;21,4;47,5;26;11,4;4,2;
2007-09-16;0;983,1;15,8;35,1;28;21,6;49,9;28;12,3;3,7;
2007-09-17;0;982,7;15,3;38,1;29,4;22,5;48,1;15;12,1;3,5;
2007-09-18;0;984,5;15;35,4;28,4;23,1;47,4;22;11,4;3,9;
2007-09-19;0;984,5;13,8;36,2;28,4;22,1;45;19;11,4;3,7;
2007-09-20;0;983,4;14,5;35,5;27,8;21,9;47,4;24;12,9;4,6;
2007-09-21;0;983,6;13,7;34,8;27,6;22;46,5;20;13,2;5,9;
2007-09-22;0;984,2;13,2;35,6;28;21,8;43,9;21;13,1;5,6;
2007-09-23;0;984;14,5;34,3;27,4;21,8;47,4;27;12,6;4,8;
2007-09-24;0;984,1;14,6;34,9;27,5;21,6;48,1;25;11,7;4,3;
2007-09-25;0;983,6;13,3;36,2;28;20,7;46,6;15;12,1;3,9;
2007-09-26;0;984,9;13,2;35,8;28;20,8;43,8;19;14,3;4,9;
2007-09-27;0;985,6;13,8;35,4;28,2;22,2;44,8;21;12,2;4,7;
2007-09-28;0;985,4;13,8;35,6;27,9;21,4;45,2;21;12,4;4,3;
2007-09-29;0;985,3;14,5;35,1;28,2;23,1;46,4;22;13,2;5,1;
2007-09-30;0;985,1;13,4;35,9;28,1;21;45,6;16;12,6;4;
2007-10-01;0;985,4;14,2;35,5;27,7;20,9;46,8;22;12,6;4,6;
2007-10-02;0;984,5;13,8;36,1;28,3;21,2;44,6;21;11,5;4,2;
2007-10-03;0;983,7;14,7;35,8;28,7;22,4;45,3;24;11,3;4;
2007-10-04;0;983,3;15,5;34,5;28,4;23,6;48,4;25;13,6;4,8;
2007-10-05;0;983,6;15,1;35,6;28,4;22,9;47,8;22;14,4;4,3;
2007-10-06;0;982,6;15,3;36;28,3;23,1;48,1;23;13,7;5;
2007-10-07;0;981,9;14,6;36;28,4;23,1;46,3;22;17,9;5,1;
2007-10-08;0;982,5;15;35,3;28,1;21,5;47,9;25;12,1;4,3;
2007-10-09;0;982,9;15,3;34,4;27,9;22,5;48,7;26;13,5;4,6;
2007-10-10;0;982,5;15,4;34,8;28;23;48,6;26;12,5;4,7;
2007-10-11;0;981,2;14,6;35,7;28,4;21,9;46;24;12,1;4,8;
2007-10-12;0;981,1;15,2;36,4;28,5;22;47,7;23;13,2;5;
2007-10-13;0;981,7;15,8;35,6;28;21,4;50,3;25;12,8;4,8;
2007-10-14;0;982;14,2;35;27,5;21,7;48;22;12,9;5,2;
2007-10-15;0;982,9;13,6;34,9;27,8;21,9;45,4;22;14,9;5;
2007-10-16;0;982,9;13,3;36,7;28,6;21,7;42,7;19;11,7;4,4;
2007-10-17;0;982,7;13,9;35,9;28,6;21,6;44,7;19;11,4;2,7;
2007-10-18;0;982,3;15,1;36,8;29,2;22,2;46;21;10;3,4;
2007-10-19;0;981,9;13,6;38,7;30;23,8;43,8;9;11,8;4,8;
2007-10-20;0;982,3;15,5;37,6;29,4;23,5;46,8;17;14,2;4,9;
2007-10-21;0;982,3;14,8;37,4;29,2;22,8;45,6;18;13,9;4,6;
2007-10-22;0;982,2;15,2;37,2;29,6;23;46,4;19;13,9;5,4;
2007-10-23;0;982,5;16,3;36,3;28,9;22,7;49,5;25;12,8;4,7;
2007-10-24;0;983,2;14,9;35,2;28,5;23,3;46,3;24;13,9;6,1;
2007-10-25;0;982,8;14,6;35,5;28,4;23;46;22;14,4;5,4;
2007-10-26;0;982,5;14,1;35,4;28,3;21,8;45,1;23;13;4,2;
2007-10-27;0;981,8;15,8;36,5;28,9;22,2;48,2;24;12,4;4,6;
2007-10-28;0;980,9;15,3;37,8;29,8;23,6;45,8;15;12,4;5,2;
2007-10-29;0;980,3;14;37,4;29,5;23,4;44;13;13,7;5,2;
2007-10-30;0;979,6;14,2;36,3;29,1;22,9;44,3;18;13,4;5,5;
2007-10-31;0;979,3;15,8;36,5;29,2;22,4;47,7;19;13,5;4,5;
2007-11-01;0;979,8;15,3;37,2;29,4;22,8;46,5;20;13,5;4,6;
2007-11-02;0;981,5;13,9;37,8;29,6;22,7;43,8;16;11,8;4,8;
2007-11-03;0;981,3;14,5;37,7;29,1;21,9;45,4;20;14,8;4;
2007-11-04;0;980,3;14,2;37,2;29,2;22,3;44,6;16;14,3;3,6;
2007-11-05;0;980,2;14,1;37,6;29,4;22,7;44,3;12;15;4,7;
2007-11-06;0;981,8;14,8;36,3;28,5;22,6;46,7;21;15,3;5,9;
2007-11-07;0;982,1;15,1;37,8;29,1;21,8;45,4;23;14,4;4,9;
2007-11-08;0;980,2;15,7;36,7;29,6;24,5;47;20;12,3;4,4;
2007-11-09;0;979,5;13,9;36,4;28,8;22;43,8;20;12,5;5;
