Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Operante
Data Inicial: 2007-07-07
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-07;null;null;null;null;null;null;null;null;null;null;
2007-07-08;null;null;null;null;null;null;null;null;null;null;
2007-07-09;null;924,1;17,7;21,9;18,5;null;95;82;12,4;2,7;
2007-07-10;10,4;923,5;17,8;22,2;18,7;17,1;94,4;78;9,8;3;
2007-07-11;6,8;924,2;15;22,9;18,9;16,8;80,2;43;10,3;2,7;
2007-07-12;0;925;16,6;22,7;18,3;15,1;90,2;72;6,9;1,9;
2007-07-13;3,6;924,9;18,1;22,8;19;17,6;94,8;75;6,7;2,1;
2007-07-14;5,8;924,6;17,7;22,1;18,6;17,5;94,8;76;7,1;2;
2007-07-15;,8;924;17,1;23,8;18,9;16,4;90,1;67;6,8;1,8;
2007-07-16;0;923,7;17,1;24,9;20,1;17;84,3;57;8,8;3;
2007-07-17;0;924,2;16,6;24,7;null;16,5;85,9;53;7,9;2,8;
2007-07-18;null;923,5;16,9;24,7;null;16,7;90,9;54;7,4;2,2;
2007-07-19;null;923,2;15,5;25,2;null;15,2;83;46;8,5;3;
2007-07-20;null;924;15,5;23,3;null;14,4;85;62;9,6;2,9;
2007-07-21;null;924,7;17;21,6;18,1;16;93,2;78;7,8;1,5;
2007-07-22;4,4;923,2;17,9;20,8;18,4;17,4;97,2;88;7,8;2,3;
2007-07-23;11,2;923,2;17,3;23,1;19;16,7;90,7;67;6,4;1,8;
2007-07-24;0;923,9;17,2;24;19,2;17;88,9;62;6,3;1,8;
2007-07-25;5,6;923,9;17,7;25;19,8;17,3;88,7;60;9,1;3;
2007-07-26;null;null;null;null;null;17;95,8;86;6,7;null;
2007-07-27;null;null;null;null;null;null;91,4;74;9,4;null;
2007-07-28;null;null;null;null;null;null;null;88;6,5;null;
