Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Pane
Data Inicial: 2008-03-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;965;19,2;33,2;26,4;null;67,9;33;10,9;4,1;
2008-03-10;0;964,6;19,3;32,8;26,1;21,7;68,3;39;12,8;4,1;
2008-03-11;0;964,1;19,7;34,5;26,6;22;69,2;31;12,5;4,5;
2008-03-12;15;964,5;21,5;30,4;24,9;21,7;82,3;56;9,5;3,7;
2008-03-13;,2;964,3;19,5;34,2;26,6;22;70,3;28;11,8;2,5;
2008-03-14;0;963,3;20,4;34,1;27;22,8;70,5;33;12,6;3,1;
2008-03-15;0;964;19,7;34;26,7;22,6;69,2;32;11,9;3,4;
2008-03-16;0;965,1;19,4;31,9;25,9;21,9;69,7;38;11,2;3,2;
2008-03-17;0;964,7;20,3;32,7;25,4;21,8;76,1;39;14,7;2,8;
2008-03-18;9,8;964,7;21;31,7;24,7;22;81,5;44;10,9;2,2;
2008-03-19;2;964;21;32,1;25,4;22,2;78,7;44;12,2;2,1;
2008-03-20;2,6;964,6;21,5;28,7;23,2;21,7;90,3;61;9,8;2,5;
2008-03-21;53,2;964,5;21,2;28,4;23,9;21,1;85,5;60;10,2;2,7;
2008-03-22;19,4;964,2;21,3;29,7;24,6;21,1;82,9;57;9,5;3,1;
2008-03-23;0;963,7;21,5;29,1;24,3;22,3;85;61;9,1;2,7;
2008-03-24;,8;964,6;21,4;30,6;24,6;22,2;83,4;50;9,9;2;
2008-03-25;0;964,6;21;30,7;25,5;22,2;77,6;51;11;2,8;
2008-03-26;1,6;963,8;21,2;31,2;25,5;22,2;79,1;50;11,9;3;
2008-03-27;0;962,6;21,2;31,2;25,7;22,3;78;49;11,4;3;
2008-03-28;0;962,7;21;31,2;25,3;22,9;78,5;47;10,6;2,9;
2008-03-29;0;962,8;21,3;30,8;25;22,7;81,5;54;12,4;3;
2008-03-30;43,6;962,7;21,8;27,5;23,6;21,2;89,8;70;11,5;2,1;
2008-03-31;11,4;962,4;21,2;27;23,5;21,3;87,4;65;12,1;2,1;
2008-04-01;,2;961,9;20,6;29,7;25;21,3;78,5;49;7,8;2,2;
2008-04-02;0;962,1;21,1;31;25,2;22,3;79,6;51;10,6;2,8;
2008-04-03;12,4;962,6;19,7;29,8;25,2;21,9;74,8;40;7,6;2,3;
2008-04-04;0;962,9;19,7;31,7;25,2;21,2;74,7;37;8,5;1,6;
2008-04-05;0;963,6;20,7;30,8;24,8;21,6;79,7;45;11,4;2,7;
2008-04-06;0;963,8;21,3;31;24,7;21,7;83,1;49;11,4;1,9;
2008-04-07;12,8;964,6;21,4;25,3;null;21,7;91,9;77;9,2;2,2;
2008-04-08;null;965;21,4;29,1;24,1;21,3;85,6;58;10,5;2,4;
2008-04-09;,6;965;20,8;29,9;24,5;21,5;81;52;9,8;2,7;
2008-04-10;,2;963,1;19,8;29,8;24,2;20,2;78;48;10,1;3,3;
2008-04-11;0;961,8;20,6;27,7;23,4;20,9;84,8;62;8,7;2,6;
2008-04-12;2,6;962,4;21,1;28,8;24,7;21,3;81,5;56;7,5;1,9;
2008-04-13;,2;963,4;21,5;28,3;23,3;21,6;90,1;67;10,7;1,9;
2008-04-14;6,8;963,9;21,4;29,2;23,9;21,5;87;59;9,3;1,5;
2008-04-15;13;964,2;21,4;29,5;24,4;21;84,1;57;7,9;2,2;
2008-04-16;0;965;21,1;30,2;24,8;21,8;81,4;54;9,1;2,6;
2008-04-17;0;965,5;20,6;29,8;24,6;20,7;79,9;54;10,3;3,5;
2008-04-18;0;964,7;21;27,6;24;20,9;83,9;64;7,5;2,3;
2008-04-19;,2;964,3;20,8;30,1;24;20,9;83,5;55;10,2;2,8;
2008-04-20;0;964,7;20,7;29,6;24,5;21,4;80,7;60;10,1;2,9;
2008-04-21;0;964,9;20,9;30,3;24,6;21,6;80,9;54;11,6;3,7;
2008-04-22;5,4;964,2;21,1;30;25;22;80,8;44;11;3,4;
2008-04-23;,8;964;21;28,7;23,5;21,3;86,3;64;10,8;3,1;
2008-04-24;,6;963,5;20,9;31;24,8;20,3;80,6;51;9,9;2,9;
2008-04-25;0;963,3;20,5;30,4;25,1;21,8;77,7;49;9,6;3,2;
2008-04-26;,2;963,5;19,4;30,7;24,4;19,9;76,3;41;8,4;2,7;
2008-04-27;0;963,8;20,2;31,4;23,5;19,4;83,3;49;11,9;3,3;
2008-04-28;,6;963,5;21,1;29,1;24;21,7;84,7;60;10,4;3,5;
2008-04-29;3;963,2;20,6;31,1;24,9;21,5;79,4;43;15,7;3;
2008-04-30;0;963;20,3;28,9;24,5;20,6;78,8;59;8,6;2,7;
2008-05-01;,2;963,5;20,9;29,4;23,6;21,5;85,7;61;15,8;2,8;
2008-05-02;3,4;963,5;20,5;29,7;24,3;20,8;80,6;52;12,1;3,4;
2008-05-03;0;964,1;19,9;30,2;24,5;20,1;77,8;50;8,5;3;
2008-05-04;0;965;20,2;31,2;24,6;20;78,2;47;9,4;3;
2008-05-05;3,4;964,6;22;30,2;25,1;22,4;83,5;63;10,5;2,1;
2008-05-06;3,2;964,2;22,1;32;26;22,5;80,8;50;10,5;1,7;
2008-05-07;25,6;964,1;21,9;29,6;24,2;20,2;87,3;63;12;1,7;
2008-05-08;0;963,9;21,7;30,4;24,9;22,2;83,8;54;10,7;2,1;
2008-05-09;,4;963,8;21,5;27,2;23,2;21,1;90,8;71;9,2;2,4;
2008-05-10;15;965,1;21,5;27,8;23,6;21,6;88,3;67;10,1;2,4;
2008-05-11;2,6;966,3;21;27,1;23;21,7;88;72;10,4;3,3;
2008-05-12;3,2;966,7;20,5;26,6;22,6;20,5;87,8;70;13,6;4,3;
2008-05-13;3,6;967,2;19,7;26,3;22,5;21;84,8;66;10,8;3,5;
2008-05-14;1;966,6;19,3;25,6;22,4;20,2;83,1;68;11,5;4;
2008-05-15;0;967,5;19,9;24,2;22,4;20,7;85,7;75;7,7;2,8;
2008-05-16;,8;967,1;21;26,5;22,7;20,5;90,2;74;12,5;2,1;
2008-05-17;16;966,9;21;28;23,3;20,5;87,4;66;10,7;2;
2008-05-18;19,6;966,9;19,9;28,4;23,3;20,8;82,8;53;8,8;2,6;
2008-05-19;,2;965,8;19,9;28,1;23,5;20;81,4;53;5,7;1,6;
2008-05-20;,2;965,4;20,2;28,8;23,4;19,1;83,6;57;7,8;2,2;
2008-05-21;,2;965;20,2;27,5;22,4;18,5;88,4;62;7,3;1,7;
2008-05-22;4,2;965,6;20,8;28,2;23,4;21;86,3;61;9,1;2,3;
2008-05-23;0;965,1;20,4;27,8;23,2;19,6;84,9;65;7,9;2,6;
2008-05-24;,4;965,2;20,9;28,5;23,7;20,8;85,4;61;9,2;2,1;
2008-05-25;,6;965;19,9;28,4;23;19,1;83,5;61;8,7;2,8;
2008-05-26;,8;964,9;21,1;28,6;23,6;21,2;86,8;63;9,2;2,4;
2008-05-27;3,6;965,5;21,1;27,4;22,5;21,1;91,8;73;12,3;2,4;
2008-05-28;2,6;965,2;18,6;27,4;22,6;19,1;79,9;49;9,6;3,6;
2008-05-29;2,8;965,2;20;27,8;23;19,8;84,5;58;10,4;3,6;
2008-05-30;0;966,3;20;28,1;22,9;19,7;84,7;64;11,8;3,3;
2008-05-31;,4;967,1;19,1;27,9;22,6;19,5;81,8;52;10,6;3,6;
2008-06-01;,4;967,1;19,8;26,1;21,4;19;90,7;72;16,3;3,4;
2008-06-02;8,4;966,6;18,2;27,6;21,9;17,8;81,2;53;9,5;3,6;
2008-06-03;,2;966,8;19,8;26,2;21,7;19,9;89,2;68;13;2,9;
2008-06-04;1,6;967,1;20,4;26,1;22,3;20,8;89,5;69;9,7;2,6;
2008-06-05;6;967,6;20,4;27,6;23,2;20,6;85,3;64;8,6;2,9;
2008-06-06;7;967,7;19,8;27,3;23,1;20,5;83;56;11,8;3,8;
2008-06-07;,4;967;20,4;25,8;22,3;20,5;89,6;75;13,5;3,9;
2008-06-08;7,8;966,3;19,4;26,8;21,7;19,1;87,4;61;14,4;4;
2008-06-09;1,2;966,7;18,8;26,5;21,7;18,4;83,8;63;12,9;4,1;
2008-06-10;1,2;966,9;20,2;24,4;21,4;19,3;93;81;11,9;3,2;
2008-06-11;2,4;966,6;18,7;27,5;22;18,3;82,7;58;9;3,4;
2008-06-12;,4;966,9;18,5;27,1;22,1;19;81;58;11,3;3,5;
2008-06-13;0;966,5;17,9;27,4;21,6;17,9;80,3;56;10,7;3,5;
2008-06-14;,2;966,1;19,1;26,7;21,2;18,5;88;67;11,4;3,3;
2008-06-15;,6;966,9;20;26,9;21,7;18,2;90,7;70;9,4;2,4;
2008-06-16;5;967,8;20,2;22,5;21,2;20,1;94,2;87;6,8;2;
2008-06-17;4,4;967,4;19,9;25,7;21,5;19,9;90,7;72;11,5;3,1;
2008-06-18;2,8;966,8;18,6;27,3;22;19,1;82,3;57;9,4;2,4;
2008-06-19;1;966,6;18,7;25,6;20,9;17,2;87,7;67;8,1;1,9;
2008-06-20;3,2;966,3;18,7;26,8;21,8;19,3;83,9;58;11,9;3,8;
2008-06-21;,2;965,7;17,3;26,7;21;16,5;80,8;54;8,6;3,3;
2008-06-22;0;965,8;18,1;28,3;21,7;16,2;81,4;52;7,6;2,6;
