Nome: SAO GONCALO
Codigo Estacao: A333
Latitude: -6.835777
Longitude: -38.311583
Altitude: 237.04
Situacao: Operante
Data Inicial: 2007-11-05
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-05;null;null;null;null;null;null;null;null;null;null;
2007-11-06;null;983,8;15;35,2;null;null;47,8;26;9,6;2,4;
2007-11-07;0;984,4;14,9;36,9;29,1;18,7;45;24;11,6;2,8;
2007-11-08;0;982,6;16,1;37,1;29,3;22,6;47,7;22;10,9;2,8;
2007-11-09;0;982;14,8;36;28;20,6;48;21;11,9;2,6;
2007-11-10;0;981,1;15;36,2;27,9;21,7;49,4;15;10,8;2;
2007-11-11;0;982,4;16,5;35,4;27;21,2;56,4;26;8,5;1,9;
2007-11-12;0;983,3;16,2;35,5;27,2;19,2;56,7;22;9,1;1,9;
2007-11-13;0;983,4;15,9;35,2;27,4;18,7;52,7;26;8,6;2,2;
2007-11-14;null;null;null;null;null;23,9;41,8;28;9,3;null;
2007-11-15;null;null;null;null;null;null;39,5;25;9,2;null;
2007-11-16;null;null;null;null;null;null;34,9;23;11,8;null;
2007-11-17;null;null;null;null;null;null;36,5;25;12,6;null;
2007-11-18;null;null;null;null;null;null;40,3;28;9,2;null;
2007-11-19;null;null;null;null;null;null;41,9;23;7,3;null;
2007-11-20;null;null;null;null;null;null;37,9;23;8,7;null;
2007-11-21;null;null;null;null;null;null;43;28;7,8;null;
2007-11-22;null;null;null;null;null;null;45,4;24;8,2;null;
