Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-30;null;null;null;null;null;null;null;null;null;null;
2007-08-31;null;994,6;16,7;35,3;27,9;null;54,7;22;10,1;2,5;
2007-09-01;0;994,9;16,2;34,8;27,4;20,1;55,9;27;9,3;2,2;
2007-09-02;0;994,7;15,4;35,9;28;19;52,6;24;9,2;2,1;
2007-09-03;0;994,5;13,8;36,1;29,2;20,1;44,6;19;9;2,6;
2007-09-04;0;994,7;14,8;36,3;28,1;20,6;52,9;18;10,5;2,6;
2007-09-05;0;995,1;16,5;35,3;27,6;19,1;51,2;26;12,5;3;
2007-09-06;0;994,9;15,2;34,8;29;22,8;44,7;28;11,8;2,9;
2007-09-07;0;994,5;14,9;36,3;28,4;19,7;50,9;19;9,9;2,5;
2007-09-08;0;993,6;17,1;36,8;28,5;20,8;56,8;23;7,8;1,9;
2007-09-09;0;993;17;37,6;29,3;22,3;55,8;20;8,9;2,3;
2007-09-10;0;992,6;16;37,3;28,8;20,5;50,4;20;10,3;2,4;
2007-09-11;0;992,7;13,4;36;28,9;21,2;44;18;11,2;2,9;
2007-09-12;0;992,8;14,5;36,6;28,7;19;48;22;12,7;2,7;
2007-09-13;0;992;16,4;37,4;29,1;21,6;50,3;22;7,6;2,2;
2007-09-14;0;992;16,1;37,1;28,6;19,2;54,5;18;10,2;2,1;
2007-09-15;0;992;17,5;36,3;28,6;20,5;57,1;26;9,7;2,2;
2007-09-16;0;991,7;17,7;37,9;28,9;21,3;57,8;21;9,5;2,2;
2007-09-17;0;991,6;18,3;38,5;28,9;21,1;59,8;21;10,7;1,7;
2007-09-18;0;993,2;18,3;36,5;28;21,4;60,8;24;9,2;2;
2007-09-19;0;993,9;18;36,8;28,4;21,1;58,1;24;9,7;1,8;
2007-09-20;0;991,9;18,7;37,8;28,9;21,5;62;23;8,5;1,7;
2007-09-21;0;991,6;17,2;37,6;29,5;22;55,7;19;8,2;1,8;
2007-09-22;0;992,3;15,9;37,7;28,9;20,3;51,4;17;10,1;2,3;
2007-09-23;0;992;16,8;37,8;28,5;19,7;52,9;22;9,8;2,1;
2007-09-24;0;992,4;17,6;38,6;28,6;20,4;57,4;19;8;1,8;
2007-09-25;0;992,4;18,3;39,2;28,8;21,5;60,9;18;9,4;2,1;
2007-09-26;0;993,6;17,3;37,4;28,5;21,5;53,5;22;9,5;2,2;
2007-09-27;0;994;17,8;37,1;28,8;20,9;56,4;23;9,4;1,7;
2007-09-28;0;994;17,7;36,6;29,2;23;54,1;26;8,3;2;
2007-09-29;0;993,4;16,2;38,1;29,4;21;52,9;18;9,3;2;
2007-09-30;0;993,3;17;37,5;29,6;22,2;53,2;23;9,7;2,3;
2007-10-01;0;993,7;16,6;37,8;29,4;22,8;50,8;21;8,9;2,2;
2007-10-02;0;993,3;18,7;38,3;28,6;21,1;60,2;21;8,5;1,9;
