Nome: CARACOL
Codigo Estacao: A337
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Pane
Data Inicial: 2007-11-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-09;null;null;null;null;null;null;null;null;null;null;
2007-11-10;null;null;null;null;null;null;null;20;10,1;null;
2007-11-11;0;949,9;9,6;36,7;28,9;21,2;31;20;11,5;1,6;
2007-11-12;0;950,7;12,4;37,1;30,1;22,5;37,3;18;10,8;2,1;
2007-11-13;0;950,8;13,1;36;29,5;20,7;38,5;23;14;3,3;
2007-11-14;0;952,3;12;35,2;28,6;22;37,7;19;11,1;2,9;
2007-11-15;0;952,4;9,8;36,6;28,2;18,9;34,4;17;13,3;3,1;
2007-11-16;null;952,3;10,5;37,4;null;22,7;30,4;16;12,9;3,9;
2007-11-17;null;null;null;35,5;null;23,1;30,9;19;16;null;
2007-11-18;null;null;null;null;null;null;25,2;11;12,4;null;
2007-11-19;null;null;null;null;null;null;27,1;16;10,3;null;
2007-11-20;null;null;null;null;null;null;24,6;16;9,9;null;
2007-11-21;null;null;null;null;null;null;24,3;17;9,1;null;
2007-11-22;null;null;null;null;null;null;40,1;31;14,1;null;
2007-11-23;null;null;null;null;null;null;null;50;9,1;null;
2007-11-24;null;null;null;null;null;null;52,9;36;10,2;null;
2007-11-25;null;null;null;null;null;null;null;57;11,3;null;
2007-11-26;null;null;null;null;null;null;null;42;10,1;null;
2007-11-27;null;null;null;null;null;null;null;63;13,5;null;
2007-11-28;null;null;null;null;null;null;null;55;16,1;null;
2007-11-29;null;null;null;null;null;null;52,3;36;6,9;null;
2007-11-30;null;null;null;null;null;null;52,5;36;12,7;null;
2007-12-01;null;null;null;null;null;null;63,3;34;9,2;null;
2007-12-02;null;null;null;null;null;null;44,1;29;10,4;null;
2007-12-03;null;null;null;null;null;null;40,7;24;10;null;
2007-12-04;null;null;null;35,2;null;21,7;41,8;25;11,4;null;
2007-12-05;null;null;null;null;null;null;49,8;31;11,9;null;
2007-12-06;null;null;null;null;null;null;41,4;26;7,4;null;
