Nome: ESPERANTINA
Codigo Estacao: A338
Latitude: -3.89944444
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2007-12-02
Data Final: 2018-11-19
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-12-02;null;null;null;null;null;null;null;null;null;null;
2007-12-03;null;null;null;null;null;null;46,8;25;10,7;null;
2007-12-04;0;998,9;20,3;37,9;29,8;24,5;60,5;27;12,2;2,4;
2007-12-05;0;1000,2;19,7;35,8;29;23,8;60,8;32;9,6;2,1;
2007-12-06;,8;1001,5;21,1;34,7;27,2;22,5;72,3;36;7,2;1,8;
2007-12-07;0;1000,1;21,5;35,7;28,1;24,6;70,9;35;18,4;2,8;
2007-12-08;34,2;998,9;21,5;35,7;28,3;22,2;69,6;35;9,9;2;
2007-12-09;,2;999,2;20,3;37,4;28,5;22,7;66,4;26;11;1,8;
2007-12-10;0;999,2;20,7;36,7;27,8;22;69,2;31;10;1,7;
2007-12-11;,2;998,5;21,9;35,4;28,4;23,2;71,3;41;8,3;1,6;
2007-12-12;0;998,3;21,1;35,7;28,8;24,3;65,5;36;8,7;1,9;
2007-12-13;0;997,9;20,3;35,3;27,8;22,8;66,8;33;13,8;2,3;
2007-12-14;0;998,8;19,1;35,6;27,5;21,6;65,2;26;9,3;1,9;
2007-12-15;0;997,5;20,6;37,2;28,5;22,6;67,2;28;8,3;1,7;
2007-12-16;24,6;999;22,2;29,9;25,2;23,3;83,9;56;8,1;2;
2007-12-17;0;999,1;20,2;34,3;26,5;20,2;71,7;39;8,8;1,9;
2007-12-18;0;999,6;19,8;36;28,5;21,6;63,3;30;8,8;2,1;
