Nome: CABACEIRAS
Codigo Estacao: A348
Latitude: -7.48333333
Longitude: -36.28638888
Altitude: 391.96
Situacao: Operante
Data Inicial: 2008-02-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;null;37;12,4;null;
2008-03-01;0;965,6;18,5;33,9;27,5;22,8;62,2;30;11,2;3,5;
2008-03-02;0;965,7;17,6;34,5;27;20,7;61,2;28;11,7;3,1;
2008-03-03;0;966,2;17,7;34,7;27,1;20,4;61,5;26;10,6;2,6;
2008-03-04;0;966,2;18,7;36,3;27,7;21,6;62,4;28;12,8;2,2;
2008-03-05;0;965,5;18,2;35,6;28,4;23,4;58,9;24;11,5;3;
2008-03-06;0;964,9;17,7;35,2;27,7;22;59,5;24;12,2;2,8;
2008-03-07;0;966,1;16,9;34,8;27,8;21,9;57,1;21;11,6;3,4;
2008-03-08;0;967,4;18,4;34,7;27,3;23,9;60,7;26;12,8;3,8;
2008-03-09;1,8;967,5;19,1;33,1;27,2;22,6;64,6;36;10,5;2,9;
2008-03-10;,2;967;18,9;34,3;26,5;21,4;65,7;33;12,6;2,9;
2008-03-11;0;966,6;19,5;34,6;27,2;22,4;65,6;32;11,9;3,5;
2008-03-12;1,2;967,2;21,6;27,3;24,1;22,5;86,3;67;13;1,9;
2008-03-13;18,4;966,8;19;34,5;27,2;22;66,8;24;11,8;1,8;
2008-03-14;0;966;19,6;35,3;27,6;22,2;65,3;28;12,3;2,5;
2008-03-15;0;966,5;19,2;34,3;27,8;23,1;63,5;29;11,8;2,7;
