Nome: OEIRAS
Codigo Estacao: A354
Latitude: -6.97416666
Longitude: -42.14694444
Altitude: 154.03
Situacao: Operante
Data Inicial: 2008-07-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-21;null;null;null;null;null;null;null;null;null;null;
2008-07-22;null;null;null;null;null;null;null;39;8,7;null;
2008-07-23;null;996,3;15,1;34,2;25,5;17,4;57,3;27;12,2;2,8;
2008-07-24;0;995,8;13,4;34,5;25,5;17,8;50,9;23;10,9;2,6;
2008-07-25;0;996,1;13,9;34,7;24,5;15,1;56,8;24;10,2;2,3;
2008-07-26;0;996,1;13,4;34,4;24;14,2;57,4;26;9,4;1,8;
2008-07-27;0;996,8;14,4;34;25,4;17,9;54,9;23;14,7;3;
2008-07-28;0;997,9;14;33,2;25,5;18,7;51;28;12,4;3,3;
2008-07-29;0;996,9;13,7;32,9;24,2;14,7;56,3;28;13,3;2,4;
2008-07-30;0;995,3;13,3;34;27,6;20,3;43,9;25;10,7;3;
2008-07-31;0;994,6;12,7;35,1;27,5;21,7;42,1;22;11,1;3,2;
2008-08-01;0;995;12,1;34;25,1;17,1;48,5;21;11,1;2,7;
2008-08-02;0;994,8;13,3;35,1;24,2;14,1;55,5;25;11,6;1,8;
2008-08-03;0;994;16,5;35,4;27,1;19,4;55,2;29;8,3;1,4;
2008-08-04;0;993,5;16,9;36,4;27,3;19,5;57,2;27;6,9;1,3;
2008-08-05;0;994,1;15,8;35,7;27;18,4;55,5;24;10,9;2,2;
2008-08-06;0;994,8;12,8;33,3;25,2;16,1;51,3;21;13,7;3,1;
2008-08-07;0;994,7;15,2;33,1;24,7;15,5;58,3;35;10,1;2,1;
2008-08-08;0;994,8;17,2;32,9;26,9;20,8;57,9;34;10,5;2,1;
2008-08-09;0;995,4;14,7;35;26,8;20,4;52,2;24;10,4;2,5;
2008-08-10;0;995,1;12,6;35,5;25,1;15,6;50,8;20;10,7;2,3;
2008-08-11;0;994,9;12,5;33,9;25,6;17,1;47,3;23;11,8;2,7;
2008-08-12;0;994,8;14,1;35,2;26,7;19;48,9;26;11,3;2,8;
2008-08-13;0;995,6;14,2;34,6;26,5;18,5;50,4;25;13,7;2,9;
2008-08-14;0;996,6;12,6;34,4;25,5;16,7;48,9;22;11,8;3,1;
2008-08-15;0;996,5;13,7;34,7;26,2;17,7;49,8;25;12,6;3,1;
2008-08-16;0;994,9;13;35,9;25,7;16,1;50,5;21;11,6;2,3;
2008-08-17;0;994,3;14,4;35,4;28,9;22,9;43,6;23;12,4;4,5;
2008-08-18;0;994,6;13,2;34,7;28,1;22,9;42;22;12,5;4,3;
2008-08-19;0;994,9;11,6;34,2;27,1;21,9;40,5;20;12,9;3,9;
2008-08-20;0;993,8;12;34,6;26;17;44,6;23;13,2;2,9;
2008-08-21;0;993,7;14,2;35,4;28,3;20,7;43,9;26;11,8;3,5;
2008-08-22;0;994,1;15,8;35,6;29;23,1;46,8;28;11;3,4;
2008-08-23;0;994,5;14,7;36,9;27,9;19,7;48,1;23;10,1;2,7;
2008-08-24;0;994,6;14,8;36,1;29,3;23,5;42,8;26;13,3;4,2;
2008-08-25;0;995,7;12,4;34,4;27,5;22,4;41,4;21;11,9;4;
2008-08-26;0;994,6;11,8;36,3;25,9;16,2;46,3;18;10,7;2,3;
2008-08-27;0;993;12,8;36,7;27,1;17,3;44,6;22;9,5;1,9;
2008-08-28;0;992,3;15,6;36,7;28,2;18,6;50;25;10,9;1,9;
2008-08-29;4,4;993,1;17,2;36,7;29;22,5;53,8;24;9,6;2,4;
2008-08-30;0;991,9;15,7;37,6;28,8;19,4;49,4;22;10;1,9;
2008-08-31;0;992,2;14,6;37,3;29,2;20,5;44;21;10,3;2,2;
2008-09-01;0;993,3;12,3;35,9;28,9;21,6;37,7;21;11,8;3,5;
2008-09-02;0;993,4;15,3;35,4;27,3;19,6;50,1;28;12,8;2,7;
2008-09-03;0;993,4;14,2;35,5;28;21,7;45,1;23;10,9;2,8;
2008-09-04;0;993,5;13,2;37,2;28;18,8;43,8;20;10,4;2,5;
2008-09-05;0;993,3;12,3;37,9;28,6;21,1;40,2;14;12,9;2,4;
2008-09-06;0;994,3;11;39;27,5;17,3;40,1;14;8,7;1,6;
2008-09-07;0;995,3;13,3;36,9;28,5;19,5;41,6;22;12,8;3,1;
2008-09-08;0;995,1;13,8;36,7;29,9;23,8;40,1;21;11,9;3,6;
2008-09-09;0;996;13,1;35,4;28,8;21,4;39,9;23;12,7;3,5;
2008-09-10;0;996,4;13;36,3;28;18,5;42,3;21;13,6;3,5;
2008-09-11;0;996,1;14,4;35,7;30,2;25,7;39,7;25;13,9;4,6;
2008-09-12;0;995,3;13,9;36,1;29,2;24,9;41;23;12,1;3,6;
2008-09-13;0;994,6;12,8;37,1;27,9;18,2;42,6;18;9,5;2,2;
2008-09-14;0;994;12,4;37,9;28,7;19,1;40,3;18;11,1;2,5;
2008-09-15;0;994,5;11,6;38,5;29,7;19,9;35,8;14;13,2;2,7;
2008-09-16;0;994,8;12,9;36,6;29,9;22;37,2;21;10,9;3,2;
2008-09-17;0;993,9;12,4;38,4;28,2;18,5;42,2;17;10;2,2;
2008-09-18;0;993,1;11;38,5;28,6;18,3;38,1;14;11,9;2,3;
2008-09-19;0;994;12,2;37;29,3;21,3;36,5;20;11,9;2,6;
2008-09-20;0;994,8;11,6;37;30;23,9;33,3;19;10,8;3,2;
2008-09-21;0;994,5;11,8;37,8;29,8;23,1;34,7;19;11,9;2,8;
2008-09-22;0;993,5;13,7;39;30,6;23,1;37,6;20;9,3;2,3;
2008-09-23;0;991,6;12,1;40,2;28,9;18;41,3;14;8,6;1,3;
2008-09-24;0;991,6;14,6;39;30,4;22,1;41,5;19;8;1,8;
2008-09-25;2,4;993,8;17,6;37,3;29,4;22,9;53,8;23;11,8;2,1;
2008-09-26;0;993,8;14,3;37,1;29;20,5;43,8;21;10,9;2,4;
2008-09-27;0;992,3;13,7;38,5;29,8;20,9;40,7;18;12,1;2,7;
2008-09-28;0;992,5;13,9;38,8;31;24,9;37,5;20;8,7;2,3;
2008-09-29;0;992,9;14,4;40;30,2;19,8;40,8;18;13,1;2;
2008-09-30;4;994,7;19,4;36,4;29,4;22,9;58,7;30;9,8;2,2;
2008-10-01;0;992,1;16,1;39,1;30;21,8;50,1;15;11,6;2,4;
2008-10-02;0;991,6;12,7;39,1;29,6;21,2;40;12;9,9;2;
