Nome: VALENCA DO PIAUI
Codigo Estacao: A363
Latitude: -6.4236111
Longitude: -41.74888888
Altitude: 372
Situacao: Operante
Data Inicial: 2009-04-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-04-17;null;null;null;null;null;null;null;null;null;null;
2009-04-18;null;null;null;null;null;null;null;null;null;null;
2009-04-19;null;null;null;null;null;null;null;null;null;null;
2009-04-20;null;null;null;null;null;null;80,2;52;6,2;null;
2009-04-21;53,8;976,8;21,7;32,3;25,2;21,3;82,1;50;6,4;1,2;
2009-04-22;21,2;976,3;22,3;28,3;24;22,6;90,9;67;9;,9;
2009-04-23;102,8;975,8;21,5;25,7;22,8;20,6;92,5;76;10;1;
2009-04-24;1,8;975,7;21,4;30,7;24;20,3;86,3;58;7,6;1;
2009-04-25;15,6;976,8;22,3;29,7;24,4;22,5;89;64;6,7;1,2;
2009-04-26;,8;976,9;22;31,1;24,8;21,1;85,9;59;7;1,1;
2009-04-27;10,8;976,3;22,5;28,8;24,2;22,9;90,5;70;8,5;1;
2009-04-28;34,6;976,3;22,4;30,3;24,8;22,1;87,4;61;6,2;1,2;
2009-04-29;4,6;976,5;22,7;29,3;24,8;22,4;88,5;68;5,9;1;
2009-04-30;1;976,9;22,5;29,3;24,9;22,4;87;64;5,3;1,1;
2009-05-01;6;976,7;22,4;29,2;24,2;21,7;90;65;5,1;,8;
2009-05-02;1;976,3;21,2;29,8;25,1;22,1;79,9;57;5,8;1,4;
2009-05-03;12,8;977,1;22;27,5;24;21,9;89,3;72;4,2;1,1;
2009-05-04;2,8;976,7;21,3;30,5;25,7;21,9;78,6;52;5,4;1,1;
2009-05-05;0;977,7;21,9;29,4;24,7;22,5;84,6;64;7;1;
2009-05-06;32;977,6;21,9;30,1;24,4;21,3;86,3;59;6,9;1;
2009-05-07;6;977;22,4;29,8;24,5;22,1;88,9;61;6,4;,8;
2009-05-08;26;977,1;22,3;26,8;23,5;22,5;92,7;80;7,3;1,2;
2009-05-09;21,2;977,1;21,8;30,8;24,8;21,2;84,7;57;6;,9;
2009-05-10;2,6;976,3;22,5;30,1;24,9;22,4;86,6;60;7,9;1,2;
2009-05-11;1;976;21,8;30,2;24,5;21,4;85,6;56;8,7;1,1;
2009-05-12;17,8;976;22,6;30;24,4;22,2;90,3;62;7,2;,9;
2009-05-13;28,4;975,6;22,4;30;25,1;22,6;85,8;63;6,6;1,2;
2009-05-14;,8;975,6;21,3;31,1;25,4;20,8;79,4;52;5,4;1,2;
2009-05-15;0;975,1;22,1;31,5;25,5;22,3;82,9;51;5,9;1,1;
2009-05-16;4,2;975,2;21,7;32,2;25,7;22,1;80,7;48;5;,9;
2009-05-17;0;975,9;21,7;30,8;25,1;21,2;82,5;55;7,3;,9;
2009-05-18;0;977;22;31,7;25,3;22,5;83,1;52;8,8;1,5;
2009-05-19;3,8;977,4;20,8;30,7;25,4;21,3;77,7;52;7,5;1,9;
2009-05-20;0;977,3;20,2;30,9;25,5;20,7;74,4;49;7,7;2,1;
2009-05-21;0;977,2;19,7;28,8;24,9;22,3;73,4;60;11,7;3;
2009-05-22;0;977,4;20,8;30,4;24,9;20,8;78,7;56;8,6;1,9;
