Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2010-06-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-06-11;null;null;null;null;null;null;null;null;null;null;
2010-06-12;null;null;null;null;null;null;null;null;null;null;
2010-06-13;null;null;null;null;null;null;null;null;null;null;
2010-06-14;null;null;null;null;null;null;null;null;null;null;
2010-06-15;null;null;null;null;null;null;null;null;null;null;
2010-06-16;null;null;null;null;null;null;37,5;30;11,4;null;
2010-06-17;0;977,5;15,4;34;27,9;21,7;49;29;10,5;3,4;
2010-06-18;0;976,7;16,5;33,5;28,1;23;50;34;12;3,5;
2010-06-19;0;976,3;17,4;33;28,1;23,4;53,5;35;10,9;4,2;
2010-06-20;0;975,7;15,4;35,1;27,3;20;52,7;25;9,5;2,8;
2010-06-21;0;975,9;13,8;34,7;27,3;19,4;47,3;21;10,6;2,8;
2010-06-22;0;977;11,7;35,5;26,3;16,2;43,9;20;9,1;2,1;
2010-06-23;0;977,7;15,5;34,8;26,8;18,1;51,8;28;11,2;2,9;
2010-06-24;0;979,3;12,5;33,5;28,1;24,4;42,3;14;12,8;5,1;
2010-06-25;0;980,7;15,5;29,6;25,1;20;56;33;12,2;3,7;
2010-06-26;0;978,4;15,9;33,1;25,3;17,3;59,4;32;12,9;3,7;
2010-06-27;,2;978,7;16,8;29;25,4;21,6;60,5;44;12,5;4,5;
2010-06-28;0;978,7;14,5;32,1;27;21,3;47,9;32;11,9;3,8;
2010-06-29;0;978,2;13,7;33,9;27;18,5;47,3;21;11,9;3,9;
2010-06-30;0;978,7;14,7;33,1;26,9;21,9;50,8;23;13,3;4,4;
2010-07-01;0;979,4;16;31,2;25,9;21,2;55,8;37;11,9;3,6;
2010-07-02;0;978,7;13,3;33,1;25,8;19,3;50,9;20;11,7;3,4;
2010-07-03;0;978,3;14,9;33,8;26,6;19,9;51,1;30;11,9;4;
2010-07-04;0;978,2;14,6;33,3;26,8;21,6;50;28;11,5;4,2;
2010-07-05;0;978,1;14,2;32,9;25,9;18,6;51,8;24;11,2;3,7;
2010-07-06;0;978,6;14,6;31,6;26,4;21,3;50,8;29;14;5;
2010-07-07;0;978,1;12,4;32,5;25,3;18,1;47,4;22;11;3,2;
2010-07-08;0;978,4;13,5;33,8;26,4;19,2;47,3;27;8,8;2,3;
2010-07-09;0;977,5;14,3;35,2;27,9;20;45,8;25;11,4;3;
2010-07-10;0;976,9;15,4;34,6;28,4;23;47,4;27;10,7;4;
