Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Pane
Data Inicial: 2018-03-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-14;null;null;null;null;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;null;64;8,6;null;
2018-03-16;null;928,2;19,5;28;23,5;20;79,7;50;11,1;3,4;
2018-03-17;0;927,4;19,5;28,1;23,6;20,9;79,1;53;9,4;3,4;
2018-03-18;0;926,6;19,5;28,2;23,2;20,6;80,8;58;15,3;3,3;
2018-03-19;2,8;926,8;20;27,8;23,2;18,3;83;60;10,3;4,1;
2018-03-20;,2;927,5;19,6;27,3;22,7;19,4;83,5;61;10,5;3,7;
2018-03-21;6,8;927,8;19,3;27,5;23,2;20,1;79,4;62;12,9;4,3;
2018-03-22;0;927,7;20,3;27,1;22,7;20,8;86,5;70;11;3,8;
2018-03-23;1,4;927;19,9;26,8;22,8;21,3;84,5;62;10,9;4;
2018-03-24;4,2;927;20,1;28,3;23,2;20,3;83,7;59;9,3;3,2;
2018-03-25;2,4;927,5;19,9;25,9;22,8;20,5;84,1;65;8;2,7;
2018-03-26;0;928,3;19,7;26,3;22,3;20,6;86;64;7;2,2;
2018-03-27;3;928,3;20;27,3;22,5;19,6;86,9;65;7,9;2,4;
2018-03-28;3,2;927;20,6;25,3;22,4;20,8;89,3;77;9;3,2;
2018-03-29;25,4;926,7;19,8;26,9;22,2;19,8;87,3;64;9,8;3;
2018-03-30;20,2;927,3;20,2;26,7;21,9;19,3;90,3;67;12,1;2,4;
2018-03-31;11,6;927,1;20;27,6;22,8;19,4;85,1;63;9,2;2,9;
2018-04-01;0;926,5;20,3;26,6;22,4;20,3;88;72;9,6;3,4;
2018-04-02;1,6;926,4;20,1;24,9;21,8;20,3;90;79;11,5;3,7;
2018-04-03;3,4;925,9;19,9;27,1;22,6;20,2;85,1;66;10,1;3,1;
2018-04-04;23,6;926,1;20,3;27,1;21,9;19,6;91,4;69;12,8;2,2;
2018-04-05;14,2;926,4;19,9;25,1;21,9;18,9;88,8;70;7,4;2,1;
2018-04-06;0;926,9;19,7;27,7;22,5;19,3;85,5;59;12,6;2,5;
2018-04-07;15;927,8;19,6;25,6;22,1;19,9;86;61;8,2;2,1;
2018-04-08;,2;928,6;19,7;27,9;22,3;19,7;86,2;58;9,1;1,7;
2018-04-09;41,4;928;19,6;26,8;21,9;18,9;87,8;65;8,4;2,6;
2018-04-10;72,4;928,4;19,6;25,3;21,2;19,5;91,3;74;11,4;null;
2018-04-11;22;928,3;19,2;25,9;20,7;18,9;91,3;67;null;null;
2018-04-12;33,8;928,4;19,4;25,3;21,1;18,9;90,6;72;null;null;
2018-04-13;8,2;929,4;20;27;22,2;19,3;88;65;null;null;
2018-04-14;9,6;930,1;20,5;26,9;22,8;21;87,3;63;null;null;
2018-04-15;,2;930,2;20,1;27,6;22,9;19,5;85,4;65;null;null;
2018-04-16;30,4;929,4;20,3;26,5;21,7;19,4;92;71;null;null;
2018-04-17;16;929,8;19,7;24,8;21;19,9;92,7;75;null;null;
2018-04-18;16,8;930,6;19,4;26,2;22,1;18,9;85,2;70;null;null;
2018-04-19;,4;930,9;19,3;26,7;22,6;19,8;82,5;62;null;null;
2018-04-20;0;929,6;19,5;27,4;22,5;18,7;84,4;60;null;null;
2018-04-21;1,6;928,1;20;26,8;22,7;20,1;85,3;64;null;null;
2018-04-22;16,8;927,8;20;25,5;22,2;19,5;87,8;72;null;null;
2018-04-23;1,8;928,6;19,8;25;21,8;20,6;88,5;74;null;null;
2018-04-24;,2;929,3;19,8;26,3;22,4;19,8;85,5;68;null;null;
2018-04-25;0;929,8;18,8;26,6;22,2;18,1;82,3;55;null;null;
2018-04-26;0;929,4;19,8;25,8;22,2;19,1;86,7;65;null;null;
2018-04-27;0;928,8;19,6;27;23,2;21,1;80,6;62;null;null;
2018-04-28;0;929;20,3;27,1;23,5;20,9;82,8;64;null;null;
2018-04-29;0;929;20,1;26,4;23,1;21,4;83,2;69;null;null;
2018-04-30;0;929,2;20,1;26,6;22,6;21,1;85,8;67;null;null;
2018-05-01;3,2;929,8;20,2;26,8;22,9;20,5;85,5;66;null;null;
2018-05-02;17,2;930;20,2;26,1;22,5;20,2;87,2;71;null;null;
2018-05-03;0;929,5;19,3;26,7;22,5;18,7;83;60;null;null;
2018-05-04;0;928,6;19,6;28,1;23,1;19,6;81,3;56;null;null;
2018-05-05;7,6;929;19;25,6;22;19,5;84,1;65;null;null;
2018-05-06;0;929,4;19,4;25,6;21,7;18,1;87;70;null;null;
2018-05-07;0;929,6;19,6;26,2;22;19,8;86,8;63;null;null;
2018-05-08;4,8;929,1;18,5;26,7;22,3;18,1;80,3;60;null;null;
