Nome: QUIXADA
Codigo Estacao: A369
Latitude: -4.97888888
Longitude: -39.05722222
Altitude: 193
Situacao: Operante
Data Inicial: 2018-03-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-19;null;null;null;null;null;null;null;null;null;null;
2018-03-20;null;null;null;null;null;null;null;null;null;null;
2018-03-21;null;null;null;null;null;null;null;38;8,1;null;
2018-03-22;10,4;989,1;22,8;32,8;27,1;24;78,5;53;8,9;1,8;
2018-03-23;11,6;988,7;null;32,8;27,2;22,6;null;75;9,2;1,9;
2018-03-24;,6;988,4;22;33,8;27,3;23,2;75,3;41;8,3;1,6;
2018-03-25;0;988,9;21,3;33,3;27,6;24;71,1;43;7,2;1,5;
2018-03-26;,8;989,7;21,5;32,6;26,8;22,9;74,3;45;8;1,3;
2018-03-27;,2;989,8;22,2;32,2;26,8;23,6;77,8;49;6,9;,9;
2018-03-28;2,4;988,6;22,7;32,4;25,9;22,6;83,5;53;9,3;1,3;
2018-03-29;26,8;988,5;23,2;30,7;24,9;22;91,2;61;11,9;1,3;
2018-03-30;36,2;989;23,1;29,2;25;23,1;89,5;66;6,6;1,2;
2018-03-31;1,4;988,9;22,7;32,2;26,6;22,8;80,9;54;6,2;1,3;
2018-04-01;,2;987,9;23;32,3;26,5;23,5;87,8;64;7,3;1,6;
2018-04-02;4;988,4;23,4;28;24,9;23,7;91,3;77;10,9;1,1;
2018-04-03;5,6;987,4;23,1;32,5;26,2;23,1;84,5;55;8,4;1,1;
2018-04-04;,6;987,2;22,7;32,2;26,6;23,5;80,7;56;7,5;1,4;
2018-04-05;0;987,5;22,1;32;26,6;23,2;78,1;51;5,9;1,1;
2018-04-06;0;988,3;22,9;30,7;25,3;22,2;87;63;7,7;,9;
2018-04-07;3,6;989,1;22,7;31,5;26,1;22,8;82,6;55;6,3;1;
2018-04-08;9;990,4;22;29,7;24,7;21,4;85,4;63;7,9;1,2;
2018-04-09;2;990;22,6;31;24,8;22,5;88,5;61;9,9;1,2;
2018-04-10;5;989,9;null;29,4;24,6;22,8;null;93;7,6;1;
2018-04-11;4;989,8;22,1;30;24,3;22;87,8;63;8,9;1;
2018-04-12;10,4;989,9;22,8;30,8;24,8;22,5;89;64;6,7;,7;
2018-04-13;26,6;991,4;22,3;26,8;24;22,4;90,5;74;5,3;,8;
2018-04-14;4,4;992;21,9;31,6;25,5;21;82,3;54;4,6;,9;
2018-04-15;,8;991,8;22,1;32,1;26,1;21,5;80,4;53;15;1,1;
2018-04-16;9,2;991;22,8;31,1;25,4;22,3;86,3;58;7,6;1,1;
2018-04-17;76,6;992,1;22,1;26;23,5;22,2;92;76;7,4;1,1;
2018-04-18;,6;992,8;null;31,3;25,4;20,8;91,5;65;7,7;1,3;
2018-04-19;,2;992,8;null;31,7;26,5;23;null;null;6,9;1,4;
2018-04-20;0;991,3;22,6;31,9;26,3;22,4;80,9;55;8,1;1,1;
2018-04-21;25,8;989,8;22,5;31,3;25,8;21,8;83,5;58;7,7;1,3;
2018-04-22;,2;989,7;22,8;30,8;26,3;23,2;81,9;62;7,7;1,6;
2018-04-23;24,8;990,8;21,6;30,9;25,7;22,2;79,5;56;14,5;1,9;
2018-04-24;0;991,2;22,4;31,6;25,7;22,6;83,2;57;10,3;1,5;
2018-04-25;2;991,6;21,7;30,8;25;20,4;83,5;57;9,6;1,2;
2018-04-26;,2;991,3;22,4;31,1;26,2;22,3;81,2;58;7,6;1,5;
2018-04-27;1,8;990,7;21,7;31,3;25,7;21,1;80;56;11,2;1,2;
2018-04-28;,2;991;22,6;31,6;26,6;22,8;79,7;56;7,6;1,4;
2018-04-29;,2;991,2;null;31;26;23,4;null;85;10,1;1,4;
2018-04-30;8,4;991,2;null;30,9;25,9;23;null;null;11,2;1,5;
2018-05-01;13,8;991,8;22,5;30,9;25,9;22;80,4;62;4,8;null;
2018-05-02;11,2;992,1;21,7;30,6;25,3;20,3;81,9;57;null;null;
2018-05-03;0;991,4;22;31,2;25,7;21,6;81,4;55;null;null;
2018-05-04;0;990,5;null;31,1;25,8;21,7;null;84;null;null;
2018-05-05;0;990,9;null;30,4;25,3;21,1;null;null;null;null;
2018-05-06;0;991,3;null;30,5;25,6;22;null;null;null;null;
2018-05-07;0;991,5;null;29,3;25,3;22,1;78,5;61;null;null;
2018-05-08;0;990,9;21,2;30,7;25;21,2;80,4;55;null;null;
2018-05-09;0;990,8;null;30,9;25,6;21,9;null;91;null;null;
2018-05-10;6;991,7;null;28,1;25,1;23,3;null;null;null;null;
2018-05-11;0;991,2;22,5;31,4;25,8;21,4;80,1;59;null;null;
2018-05-12;,2;991,5;22,9;31,5;26;22,6;84,4;57;null;null;
2018-05-13;4,2;990,5;22,5;31,6;26,4;23;80,7;53;null;null;
2018-05-14;,2;990;null;31,7;26,8;23,4;null;87;null;null;
2018-05-15;0;990,5;null;30,6;25,8;21,4;null;null;null;null;
2018-05-16;18,6;990,6;null;30,9;25,6;22,3;74,4;57;null;null;
2018-05-17;0;990,7;22,2;31,7;25,4;21,8;83,9;54;null;null;
2018-05-18;39,4;990,6;22,2;30,6;25,1;21,6;85,3;61;null;null;
2018-05-19;17;991;22,4;30,6;25,5;22,1;84;59;null;null;
2018-05-20;,2;990,4;22,1;31,2;25,8;21;81,4;57;null;null;
2018-05-21;0;989,6;22,9;31,5;26,3;23,2;82,8;57;null;null;
2018-05-22;0;991;22,1;30,9;26,3;23,7;78,9;55;null;null;
2018-05-23;0;992,3;21,1;30,6;25,4;21;79,3;54;null;null;
2018-05-24;0;992,6;null;29,8;25,3;20,9;null;92;null;null;
2018-05-25;2,8;991,7;22;31,1;25,2;22;83,3;50;null;null;
2018-05-26;0;991,1;21,9;30,9;25,4;21,7;82,2;56;null;null;
2018-05-27;0;991,2;21,9;30,5;25,9;22,6;79,7;57;null;null;
2018-05-28;0;992;null;30,9;25,5;21,2;77,6;55;null;null;
2018-05-29;5,4;992;null;30,3;25,1;21,5;71,1;47;null;null;
2018-05-30;0;991,8;19,4;29,8;24,4;19,4;75,9;52;null;null;
2018-05-31;0;991;20,3;30,9;24,7;19,6;78;54;null;null;
2018-06-01;0;990,8;20,8;30,9;25,3;21,9;78,2;48;null;null;
2018-06-02;0;991,5;21,1;31,4;25,5;20,9;78,8;55;null;null;
2018-06-03;0;992,2;22,6;30,1;25,5;22,1;84,8;67;null;null;
2018-06-04;0;992,2;21,7;31,1;25,5;21,6;80,9;54;null;null;
