Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-09-14;null;null;null;null;null;null;null;null;null;null;
2017-09-15;null;null;null;null;null;null;null;41;12,3;null;
2017-09-16;null;null;null;null;null;null;null;38;13,5;null;
2017-09-17;null;null;null;null;null;null;null;29;10,4;null;
2017-09-18;null;null;null;null;null;null;null;30;12;null;
2017-09-19;null;null;null;null;null;null;null;32;11,1;null;
2017-09-20;null;null;null;null;null;null;null;32;12,8;null;
2017-09-21;null;null;null;null;null;null;null;31;10,3;null;
2017-09-22;null;null;null;null;null;null;null;34;10,8;null;
2017-09-23;null;null;null;null;null;null;null;40;9,4;null;
2017-09-24;null;null;null;null;null;null;null;24;9,4;null;
2017-09-25;null;null;null;null;null;null;null;33;10,6;null;
2017-09-26;null;null;null;null;null;null;null;34;13,6;null;
2017-09-27;null;null;null;null;null;null;null;37;10,2;null;
2017-09-28;null;null;null;null;null;null;null;34;10,3;null;
2017-09-29;null;null;null;null;null;null;null;27;11,6;null;
2017-09-30;null;null;null;null;null;null;null;29;10,1;null;
2017-10-01;null;null;null;null;null;null;null;17;9,8;null;
2017-10-02;null;null;null;null;null;null;null;21;11,1;null;
2017-10-03;null;null;null;null;null;null;null;23;11,2;null;
2017-10-04;null;null;null;null;null;null;null;25;11,8;null;
2017-10-05;null;null;null;null;null;null;null;30;12,5;null;
2017-10-06;null;null;null;null;null;null;null;24;10,3;null;
2017-10-07;null;null;null;null;null;null;null;32;10;null;
2017-10-08;null;null;null;null;null;null;null;27;11,4;null;
2017-10-09;null;null;null;null;null;null;null;28;9,8;null;
2017-10-10;null;null;null;null;null;null;null;27;8,7;null;
2017-10-11;null;null;null;null;null;null;null;32;9,3;null;
2017-10-12;null;null;null;null;null;null;null;31;8,7;null;
2017-10-13;null;null;null;null;null;null;null;30;8,9;null;
2017-10-14;null;null;null;null;null;null;39,1;27;8,3;null;
2017-10-15;0;961,9;16,3;35,5;29,1;22,6;48,5;26;9,3;2,9;
2017-10-16;0;963,8;14,2;34,8;27,9;22,1;45,9;22;10,6;3,5;
2017-10-17;0;964,9;14,3;33,5;26,9;21,5;48,6;28;11,5;3,7;
2017-10-18;0;964,5;15,4;33,8;26,8;19,9;52,3;30;9,8;3,2;
2017-10-19;0;963,8;15,3;35,2;27,9;22,6;49,8;24;12,5;3,8;
2017-10-20;0;963,7;16,1;33,5;27;21,1;52,6;35;12,8;3,9;
2017-10-21;0;963,7;15,9;34,5;28,1;21,7;50,3;29;13;4,7;
2017-10-22;0;963,2;14,5;34,7;27,7;20,3;48,6;23;14,1;4,2;
2017-10-23;0;962;13,2;34,8;27,5;20,3;43,9;24;11,9;3,1;
2017-10-24;0;962,1;16,9;34,7;27,6;23,2;54,2;31;10,7;4,3;
2017-10-25;0;962,7;15,6;32,6;26,5;21,2;53,2;33;11,3;4,1;
2017-10-26;0;962,5;16,7;33,7;27,6;21,7;53,3;34;11,4;3,7;
2017-10-27;0;961,4;15,7;35,5;28,7;22,2;48,9;27;9,8;3,4;
2017-10-28;0;960,9;13,4;37,1;29,4;21,8;41,7;14;8,9;2,7;
2017-10-29;0;959,7;14,8;37,5;30,1;23,4;42,9;22;9,2;2,7;
2017-10-30;0;958,3;14,2;37,5;null;24;40;20;8,9;2,7;
2017-10-31;null;959,1;16,2;36;29,5;24,7;46,5;26;13,9;2,7;
2017-11-01;0;960,4;17,6;36,1;28,8;24,7;52,1;27;14,7;2;
2017-11-02;3,6;961,2;16,4;36,6;30,1;24,5;47,3;22;16,9;2,7;
2017-11-03;2;961,6;16,6;35;28,1;22,1;54,6;24;16,3;2,8;
2017-11-04;0;961,3;14,6;35,6;29;22,7;45,1;20;10,6;3,1;
