Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-27;null;null;null;null;null;null;null;null;null;null;
2018-03-28;null;960;20,3;31;24,8;null;78,7;50;7,5;1,4;
2018-03-29;0;959,5;21,3;31;24,5;19,9;83,5;55;9,3;1,1;
2018-03-30;8,8;959,8;20;30,5;24,5;19,7;78,9;44;9,4;1;
2018-03-31;,2;959,6;19,6;31,5;24,1;18,2;78,4;47;6,2;1,1;
2018-04-01;0;958,6;20,4;32;25;19,2;77,9;46;6,2;1;
2018-04-02;0;958,6;20,5;31,7;25,1;19,6;78;47;5,8;1,1;
2018-04-03;0;957,7;20,6;32,7;25,6;19,9;76,7;46;5,9;1;
2018-04-04;0;957,4;20,7;33,6;25,9;20,1;75,8;43;6,2;1,1;
2018-04-05;0;957,8;21,5;29,7;24,8;20,8;82,1;62;7,7;1,3;
2018-04-06;0;958,8;21,7;29,4;23,6;21,1;89,1;63;7,1;1;
2018-04-07;2,6;959,8;21,2;31;24,4;20,8;83,6;53;7,3;1,3;
2018-04-08;0;960,7;20,8;31,1;25;20,8;79,1;50;6,9;1,3;
2018-04-09;0;960,7;null;27,9;22,9;21,2;88,5;66;8,4;1;
2018-04-10;28,8;960,5;20,9;30,9;24,4;19,8;78,7;48;6,5;1,1;
2018-04-11;7,6;961,2;20,5;27,3;23,3;19,8;85,1;63;9,8;1,3;
2018-04-12;0;961,2;20,4;29,8;23,9;20,1;82,6;55;6,5;1,1;
2018-04-13;0;962,1;20,8;29,8;23,4;20,5;86,7;56;8,5;1,1;
2018-04-14;7,6;963,3;21,2;29,5;24,1;21,6;85,3;54;6;1;
2018-04-15;0;963,1;null;30,6;24,2;19;88,7;60;7,1;,9;
2018-04-16;0;962;null;31,2;24,6;19,5;71;50;5,7;1;
2018-04-17;,2;962,5;20,5;28,6;24;21,1;82;58;7,7;1;
2018-04-18;0;964;19,7;29,9;23,5;18,6;81,2;53;8,4;1,4;
2018-04-19;0;964,1;19,7;31;24,5;18,7;76,6;50;7,2;1,4;
2018-04-20;0;962,9;null;31,1;24,2;17,9;86,2;58;7,3;1,1;
2018-04-21;0;960,8;19,7;31,7;24,7;18,8;75,5;47;7,3;1,1;
2018-04-22;0;960,5;19,9;31,7;24,6;18,4;77,1;48;9;1,3;
2018-04-23;0;961,3;19,6;31;24,3;18,4;77,2;50;8;1,2;
2018-04-24;0;962;19,7;31,9;24,8;19,7;75,6;48;7,7;1,3;
2018-04-25;0;962,6;19,8;31,1;24,7;19,4;79;51;6,7;1,2;
2018-04-26;0;962,1;19,4;31,5;24,7;18,4;74,7;47;8,7;1,2;
2018-04-27;0;961,8;19,1;31,5;24,3;18,3;75,4;42;6,9;1,3;
2018-04-28;0;962;19;32,1;24,3;18,4;74,8;45;6,4;1,1;
2018-04-29;0;962,1;18,8;31,8;24,9;19,9;71,5;44;9,7;1,4;
2018-04-30;0;962,2;18,2;31,8;24,1;17,6;72,8;43;8;1;
2018-05-01;0;962,7;18,6;32,5;24,5;18,6;72,5;44;6,9;1,2;
2018-05-02;0;962,3;19,2;32,8;25,2;19,3;71,7;43;8,4;1,3;
2018-05-03;0;962,4;18,7;31,8;25,2;19,9;70;39;8,1;1,1;
