Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-22;null;null;null;null;null;null;null;null;null;null;
2018-03-23;null;null;null;null;null;null;null;78;5;null;
2018-03-24;null;952,5;21,2;27,6;23;21,3;90,1;70;10,2;1,8;
2018-03-25;5,8;952,5;21,4;30,8;24,1;21,2;86,2;51;8,9;1,2;
2018-03-26;47,2;954,1;20,4;25,6;22,3;19,7;89,1;72;8,9;1,3;
2018-03-27;,2;953,4;null;30,6;24,2;20,2;88,2;65;9,8;1,7;
2018-03-28;,6;952,1;null;31,2;25,6;22,1;null;null;10,7;2,4;
2018-03-29;0;951,6;null;31,3;25,2;20,5;null;null;9,4;1,6;
2018-03-30;1,4;952;null;30,1;24,9;20,9;null;null;10,4;1,8;
2018-03-31;0;951,9;null;31,8;25,8;21,4;null;67;7,8;1,5;
2018-04-01;0;951;null;32,2;26,3;21;null;null;9,7;1,6;
2018-04-02;0;951;null;32,4;26,3;21;null;68;7,3;1,4;
2018-04-03;0;950,4;null;33;26,3;20,7;null;null;7;,9;
2018-04-04;0;950,6;null;30,1;24,5;21,8;null;null;7,9;1,6;
2018-04-05;,6;950,8;null;30;24,6;21,7;null;null;7,7;2;
2018-04-06;2,6;951,7;null;28,5;23,6;21,6;null;null;9;1,5;
2018-04-07;,8;952,7;null;27,9;23,2;20,4;null;null;9,9;1,2;
2018-04-08;,2;953,6;null;29,9;23,9;21,6;null;null;8;,9;
2018-04-09;9,2;953;null;30,9;24,4;21,1;null;null;9,1;1,4;
2018-04-10;2,6;953,4;null;28,1;22,6;21,8;null;null;11,9;1;
2018-04-11;30,6;953,4;null;29,9;23,8;19,3;null;null;6,5;1;
2018-04-12;,2;953,4;null;29;24,5;21,3;null;null;7,7;,9;
2018-04-13;0;954,4;null;28;23,9;21,4;null;null;7,3;,7;
2018-04-14;0;955,3;null;30,1;24,5;21,2;null;null;9,7;1,8;
2018-04-15;0;955,2;null;31,5;25,2;19,6;null;null;9,6;1,9;
2018-04-16;0;954,3;null;31,3;25,4;20,1;null;null;8,7;1,5;
2018-04-17;0;954,7;null;31,4;25,3;20,2;null;null;10;1,7;
2018-04-18;0;955,7;null;31,6;25,2;20,1;null;null;10;2,6;
2018-04-19;0;955,9;null;32;25,7;20,2;null;null;10,9;3,1;
2018-04-20;0;954,8;null;32,9;26,1;20,5;null;null;8,9;2,7;
2018-04-21;0;953,1;null;32,3;25,7;20,8;null;null;9,1;2,9;
2018-04-22;0;952,8;null;32;25,7;21,1;null;null;10,5;2,4;
2018-04-23;0;953,5;null;32,3;25,6;20,4;null;null;11,3;2;
2018-04-24;0;954,3;null;31,6;25,5;20,8;null;null;9,9;1,9;
2018-04-25;0;954,7;null;32;25,6;20,2;null;null;9,5;2,4;
2018-04-26;0;954,5;null;31,2;24,6;20,1;null;null;9,5;2,5;
2018-04-27;0;953,8;null;32,7;25,4;19,4;null;null;10,1;2,3;
2018-04-28;0;954,2;null;33,1;25,6;19;null;null;10,1;2,4;
2018-04-29;0;954,2;null;32,5;25,5;19,5;null;null;11,8;2,3;
2018-04-30;0;954,3;null;32,3;25,6;19,4;null;null;9,6;2;
2018-05-01;0;954,9;null;33,4;26;20,5;null;null;8,6;2;
2018-05-02;0;954,7;null;32,9;26,2;20,7;null;null;10,8;2,1;
2018-05-03;0;954,6;null;32,7;25,6;20,2;null;null;10,9;2,3;
2018-05-04;0;953,7;null;33;25,6;20,2;null;null;9,2;2,5;
2018-05-05;0;954,5;null;30,2;24,6;19,8;null;null;9,4;2,1;
2018-05-06;0;954,8;null;33;24,9;18,2;null;null;10,9;2,7;
2018-05-07;0;954,7;null;33,2;25,4;19,6;null;null;9,6;2,7;
2018-05-08;0;954,5;null;32,2;25,3;19,6;null;null;10,7;2,3;
2018-05-09;0;954,1;null;33,7;25,3;19,1;null;null;9,3;2;
2018-05-10;0;954,2;null;32,7;25,6;19,6;null;null;11,3;1,8;
2018-05-11;0;954,3;null;33,8;26,1;20,2;null;null;8,1;1,8;
2018-05-12;0;954;null;33,7;26,6;20,4;null;null;8,5;1,5;
2018-05-13;0;953,3;null;33,3;26,1;20,3;null;null;7,3;1,2;
2018-05-14;0;952,9;null;33,6;26,5;21,1;null;null;10,8;2,2;
2018-05-15;0;953,3;null;33;26,2;20,8;null;null;12,6;2,7;
2018-05-16;0;953,5;null;33,2;25,5;18,6;null;null;9,4;1,7;
2018-05-17;0;953,4;null;34,4;26,7;21,3;null;null;8,6;1,3;
2018-05-18;0;952,9;null;33,6;26,5;19,9;null;null;10,6;1,8;
2018-05-19;0;953,3;null;33,1;26;19,9;null;null;11,1;1,6;
2018-05-20;0;953,1;null;32,9;26,5;20,3;null;null;6,6;,9;
2018-05-21;0;952,4;null;33,6;26,4;20,1;null;null;8,4;1,2;
2018-05-22;13,8;953,6;null;33;26,2;20,5;null;null;9,7;1,6;
2018-05-23;0;954,9;null;33,2;25,6;20,3;null;null;11,3;1,8;
2018-05-24;0;955,8;null;33,3;26,1;20,2;null;null;11,6;2,2;
2018-05-25;0;954,8;null;32,5;25,5;19,5;null;null;11,2;3,5;
2018-05-26;0;954,3;null;31,5;25;20,2;null;null;11,5;3,5;
2018-05-27;0;954,7;null;32,9;25;19,6;null;null;10,8;3,1;
2018-05-28;0;955,4;null;32,4;25,3;20,4;null;null;10,3;3,5;
2018-05-29;0;955,6;null;32,1;24,6;19,8;null;null;10,5;3,7;
2018-05-30;0;955,6;null;31,8;24,1;18,8;null;43;10,2;2,9;
2018-05-31;0;954,4;null;32,2;24,2;18,9;null;null;10,6;2,5;
2018-06-01;0;953,8;null;33;24,6;19;null;45;10,4;2,3;
2018-06-02;0;954,3;null;33,2;25,5;18,8;null;null;9,2;2;
2018-06-03;0;954,7;null;34,4;26,2;19,2;null;null;9,6;1,2;
2018-06-04;0;954,9;null;33,7;26,7;20,4;null;null;10;2,2;
2018-06-05;0;954;null;33,3;26,3;20,5;null;null;13,5;3,1;
2018-06-06;0;953,3;null;33;25,7;18,1;null;46;11,3;1,4;
2018-06-07;0;955;null;34,3;26,7;20,3;null;null;9,3;1,4;
2018-06-08;0;955,5;null;34,6;27,2;20,9;null;null;10,1;1,5;
2018-06-09;0;955,8;null;33,1;25,9;20,7;null;null;10,7;1,7;
2018-06-10;0;955;null;33,9;26;20,1;null;null;13,3;2,7;
2018-06-11;0;955;null;32,7;25,1;19,9;null;null;11,1;2,7;
2018-06-12;0;955,2;null;33;25,1;19,5;null;null;9,6;2,9;
2018-06-13;0;955,4;null;32,6;25,4;19,4;null;null;11,4;2,5;
2018-06-14;0;956;null;33,4;25,8;19,1;null;null;11,3;2,9;
2018-06-15;0;956,5;null;33,3;25,4;18,9;null;39;11,1;3;
2018-06-16;0;957,1;null;33,6;25,5;19,4;null;null;11,5;3,3;
2018-06-17;0;957,8;null;32,7;25,7;20,1;null;41;11,4;3,4;
2018-06-18;0;958;null;33,2;25,7;19,2;null;null;10,6;3,1;
2018-06-19;0;957,1;null;32,9;25,6;19,7;null;40;11,8;3,8;
2018-06-20;0;957,4;null;31,9;24,6;20;null;null;13,3;4,8;
2018-06-21;0;null;null;29,6;null;17,2;58,6;37;10,7;null;
2018-06-22;null;956,4;null;32;24,6;19,1;null;null;11,8;3,3;
2018-06-23;0;954,9;null;32,5;25,1;19,1;null;45;12,2;3,1;
2018-06-24;0;955,1;null;31,8;24,5;18,3;null;null;11,8;3,1;
2018-06-25;0;954,9;null;31;23,7;18,3;null;null;9,4;2,3;
2018-06-26;0;954,6;null;31;23,3;15,7;null;32;9,9;2,2;
2018-06-27;0;954,9;null;32,9;25;18,3;null;null;10,5;2,7;
2018-06-28;0;954,5;null;32,5;25,1;19;null;38;12,2;3,4;
2018-06-29;0;954,5;null;31,7;24,8;19,9;null;null;10,8;3,4;
2018-06-30;0;953,5;null;32,6;24,7;18;null;37;10,8;3;
2018-07-01;0;953,2;null;32,3;25,1;18,4;null;34;9,8;2,8;
2018-07-02;0;953,3;null;33,1;25,6;17,7;null;35;11,3;2,8;
2018-07-03;0;953,7;null;33,7;26,3;20,7;null;null;10,2;2,3;
2018-07-04;0;953,8;null;33,8;25,4;15,5;null;37;10,9;2,3;
2018-07-05;0;954,6;null;32,2;24,8;19;null;null;12,3;3,6;
2018-07-06;0;955,1;null;33;24,7;18;null;40;11;2,8;
2018-07-07;0;954,9;null;33,4;25,9;19,2;null;null;12,8;3,2;
2018-07-08;0;955,2;null;32,3;25,2;18,4;null;null;10,3;2,2;
2018-07-09;0;955,2;null;33,3;25,3;16,5;null;40;10,2;2,6;
2018-07-10;0;955,6;null;33,6;25,9;19,3;null;null;10,1;2,7;
2018-07-11;0;955,9;null;32,5;25,4;18,1;null;37;8,3;1,3;
2018-07-12;0;956,1;null;34;26,9;20,4;null;null;9,1;1,5;
2018-07-13;0;955,9;null;33,3;27,4;21,6;null;null;10,2;3,2;
2018-07-14;0;955,8;null;32,7;25,7;20;null;null;12,8;3,5;
2018-07-15;0;955,9;null;33,1;25,1;17,8;null;39;10,7;2,6;
2018-07-16;0;956,6;null;32,9;25,6;18,9;null;null;11,7;3,3;
2018-07-17;0;956,7;null;32,3;24,4;17,2;null;33;11,6;3,1;
2018-07-18;0;955,8;null;33,3;25,6;19;null;35;11,1;3,2;
2018-07-19;0;954,7;null;33,5;26,2;20,2;null;null;11,9;3,4;
2018-07-20;0;954,8;null;32,5;25,3;18,7;null;35;11,3;3,4;
2018-07-21;0;954,8;null;32,6;25,7;19,9;null;null;11,5;3,8;
2018-07-22;0;954,5;null;33,4;25,5;17,9;null;34;12,3;2,9;
2018-07-23;0;955,4;null;33;26,4;20,7;null;null;12,7;4,5;
2018-07-24;0;956,1;null;33,6;26,1;19,2;null;37;11,5;3,3;
2018-07-25;0;956,8;null;33;25,6;19,5;null;null;13,2;3,3;
2018-07-26;0;956,9;null;33,2;26;20,2;null;null;12,4;3,5;
2018-07-27;0;956,1;null;33,8;26,4;20;null;null;13,3;3,4;
2018-07-28;0;955,2;null;34,6;27;19,4;null;null;10,6;3,1;
2018-07-29;0;954,8;null;33,7;26,2;18,8;null;null;10,7;3,1;
2018-07-30;0;954,1;null;34,5;26,3;17,9;null;null;11,5;2,1;
2018-07-31;0;954,4;null;34,5;26,8;20,6;null;34;9,6;1,9;
2018-08-01;0;953,6;null;34,9;26,6;20,1;null;null;8,7;1,8;
2018-08-02;0;953,9;null;34,6;27,2;21,6;null;null;10,1;1,7;
2018-08-03;0;953,7;null;34,9;26,5;19,4;null;null;9,9;1,9;
2018-08-04;0;954;null;34,6;26,2;16,8;null;34;11,3;1,8;
2018-08-05;0;953,3;null;36,3;26,8;17,7;null;33;10,5;1,5;
2018-08-06;0;954,7;null;36,2;27,9;19,3;null;null;9,2;1,1;
2018-08-07;0;954,9;null;36;28,3;20,4;null;null;10,4;2,1;
2018-08-08;0;955,9;null;34,8;27,2;19,4;null;39;12,5;3,2;
2018-08-09;0;955,7;null;36;27,2;20;null;null;11,3;3,2;
2018-08-10;0;955;null;36,6;27,2;18,7;null;34;8,3;1,7;
