Nome: ANGICAL DO PIAUI
Codigo Estacao: A377
Latitude: -6.08944444
Longitude: -42.72749999
Altitude: 183
Situacao: Pane
Data Inicial: 2019-11-13
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-11-13;null;null;null;null;null;null;null;null;null;null;
2019-11-14;null;null;null;null;null;null;null;null;null;null;
2019-11-15;null;null;null;null;null;null;null;null;null;null;
2019-11-16;null;null;null;null;null;null;null;null;null;null;
2019-11-17;null;null;null;null;null;null;null;null;null;null;
2019-11-18;null;null;null;null;null;null;null;31;11,4;null;
2019-11-19;14,8;988,6;20,3;36,4;28,8;23,4;63,7;32;6,2;1;
2019-11-20;20;987,8;20,1;36,2;27,9;22,1;67,3;29;10,7;1,2;
2019-11-21;0;987,5;20;35;28,5;23,5;62,7;33;5;1;
2019-11-22;0;988,1;19,9;33,9;28,1;24,3;63,2;37;8;1,6;
2019-11-23;0;988,5;18,9;36,3;28,6;21,8;59,3;26;6,1;1;
2019-11-24;0;987,5;19,1;37,3;29,7;22,6;56,2;30;6,8;1;
2019-11-25;0;987,9;21,8;32,7;27,1;25,3;73,8;51;11,2;1,3;
2019-11-26;26;988,3;21,5;34,8;27,4;23;72,6;39;9;1,1;
2019-11-27;0;988;20,5;35,2;28,4;22,8;65,2;37;7,4;1,2;
2019-11-28;0;987,3;19;36,6;28,7;23;59,7;26;6,4;,9;
2019-11-29;0;987,1;18,9;37,2;29,7;23,3;55,6;24;7,2;1;
2019-11-30;0;987,4;17,8;38;30,2;22,5;51,1;21;5,6;1,1;
2019-12-01;0;988,8;16,6;37,8;30,2;21,8;48,3;19;8,5;1,2;
2019-12-02;0;988;17,2;38,2;30,4;22,2;48,8;21;7,3;1,2;
2019-12-03;0;987,4;18,9;36;29,9;25,3;53,2;33;7,9;1,4;
2019-12-04;13,4;988,6;20,5;32,5;27,5;21,9;67,8;46;11,4;1,5;
2019-12-05;5,2;989,8;20,9;34;26,9;22,4;72,7;38;8,4;1;
2019-12-06;0;989;19,6;35,5;28,4;23;62,4;31;5,5;1,1;
2019-12-07;0;987,9;19;36,5;28,3;21,3;61,6;28;4,7;,7;
2019-12-08;0;988;19;35,5;29,2;23,6;56,7;31;11,3;1,5;
2019-12-09;16,8;989,5;21;31,9;26;21,8;75,2;49;9,8;1,2;
2019-12-10;,4;989;20,1;34,1;27,4;21,8;67,3;35;6,6;1,1;
2019-12-11;8,4;988;21,5;32,8;26,7;22,4;74,3;46;7,8;1;
2019-12-12;5;986,9;21,5;33,9;27,8;22,6;70;43;8,6;1,2;
2019-12-13;0;987,5;22,4;30,7;26,4;23,5;79,1;60;6,8;,8;
2019-12-14;4,6;988;21,5;35,1;28,2;22,6;70,1;36;37,3;,9;
2019-12-15;0;988;19,5;35,5;27,9;21,3;64,1;31;5,8;,8;
2019-12-16;0;988,2;20,8;33,8;27,6;22,9;67,9;40;5,7;,8;
2019-12-17;0;987,6;19,6;35,3;28,8;22,4;61,3;31;6,9;1,4;
2019-12-18;1,8;988;20,1;36;29;22,6;61,5;31;6,4;1;
2019-12-19;0;988,2;19,5;36,3;29;22,3;60,3;30;12,4;1,2;
2019-12-20;,6;987,6;18,6;37,7;29,5;22;57,3;21;9;1,4;
2019-12-21;0;987,2;16,9;38;29,7;21;49,7;23;8,6;1,3;
2019-12-22;0;987,4;18,3;38,5;30,6;22,9;52,1;24;12,2;1,2;
2019-12-23;0;987,5;17,5;38,4;30,2;21,8;50;23;7,1;1;
2019-12-24;,4;987,1;18,5;38,2;30,8;22,9;51,1;27;8;1,3;
2019-12-25;0;986,7;19,7;38,5;30,3;23,8;56;28;8,6;1,4;
2019-12-26;,6;987,6;21,4;34,7;29,2;25;64,2;40;5;1;
2019-12-27;0;987,9;19,5;37,6;29,4;23,8;58,8;27;5,9;,9;
2019-12-28;0;987,5;18,4;37;29,9;23;53,5;27;6,8;1,1;
2019-12-29;,2;986,8;20,3;33,5;29,2;24,5;59,6;42;5,8;1,1;
2019-12-30;15,8;987,5;21;30;24,2;22,3;83,2;56;6,4;1,1;
2019-12-31;28,6;988,7;21,2;30,8;25,5;21,6;78,8;55;4,1;,8;
