Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2001-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-12-19;null;null;null;null;null;null;null;null;null;null;
2001-12-20;null;null;null;null;null;null;null;56;8,7;null;
2001-12-21;2;961,2;null;null;null;null;75,2;65;8,7;,9;
2001-12-22;2;961,6;20,4;30,7;25;21,8;77;48;11,7;1,3;
2001-12-23;19,2;961,7;19,6;31,9;25,8;20,7;71,6;43;7,3;1,8;
2001-12-24;null;null;null;null;null;null;null;null;null;null;
2001-12-25;null;null;null;null;null;null;null;null;null;null;
2001-12-26;null;null;null;null;null;null;null;null;null;null;
2001-12-27;null;null;null;null;null;null;null;null;null;null;
2001-12-28;null;null;null;null;null;null;null;52;7,6;null;
2001-12-29;null;962,4;20,5;27,5;23,5;21,2;83,9;67;10,7;1,6;
2001-12-30;0;961,3;20,3;23,5;22,2;21,6;89,1;82;7,1;1,2;
2001-12-31;0;960;20,6;28,1;23,5;21,2;83,7;66;7,8;1,7;
2002-01-01;0;959,8;20,7;26,7;22,7;21,6;88,2;70;8,6;2,2;
2002-01-02;0;958,8;21,6;28,3;24,4;21,7;85;69;6,2;1,7;
2002-01-03;0;958,9;21,1;28,2;24,2;22,7;82,9;63;12,3;2;
2002-01-04;0;960;21,2;27;23,4;22,4;87,3;70;10;2,1;
2002-01-05;0;961,4;20,9;27,4;22,9;21,4;88,7;71;7,1;1,7;
2002-01-06;0;959,4;20,9;31,4;24,8;21,8;80,7;47;10,3;1,3;
2002-01-07;0;958,9;21,3;27,4;23,6;21,3;87,1;70;13,8;2,3;
2002-01-08;0;959,8;20,5;28;23,9;21,6;81,8;62;10,1;3,1;
2002-01-09;0;961,3;20,3;29,6;24,1;21,5;80,5;52;12;2,3;
2002-01-10;0;962,6;19,2;29,7;24,7;21;73,7;47;10;2,4;
2002-01-11;0;963,5;19,8;30,1;25,2;21,1;73,5;50;9,9;1,9;
2002-01-12;0;963,4;19,9;30,9;25,3;20,5;73,7;47;8,8;1,9;
2002-01-13;0;962;20,3;30,8;25,6;21,2;74,2;49;8,1;2;
2002-01-14;0;961,1;20,8;30,5;23,9;21,8;82,9;55;6,8;,9;
2002-01-15;0;958,3;20,7;29,5;23,3;21;85,9;57;11,2;1,8;
2002-01-16;0;957,7;20,9;27,1;23,1;20,9;87,8;72;5,6;1,5;
2002-01-17;0;959,3;20,5;24,5;22,7;21,4;87,7;77;9,1;2,8;
2002-01-18;0;960,6;20,3;28,3;23,3;21,2;83,9;59;11,4;2,5;
2002-01-19;0;960,7;20,2;29,3;24,3;20,1;79,4;54;6,6;1,6;
2002-01-20;0;961,6;19,7;30,4;24,7;19,7;76;41;8,4;1,9;
2002-01-21;0;962,8;20,1;32,2;25,6;20,3;74,1;45;7,8;1,8;
2002-01-22;0;963,4;19,6;33,2;26,1;20,4;69,7;36;7,5;1,5;
2002-01-23;0;963,2;18,6;32,2;25,3;18,9;69,3;39;5,6;1,6;
2002-01-24;0;961,8;18,8;32,2;25,2;18,5;70,6;37;7,2;1,6;
2002-01-25;0;961,6;19,5;33,1;25,8;19,3;70,8;42;7,1;1,8;
2002-01-26;0;961,9;20,5;32,4;26,2;20,8;73;44;7,4;1,8;
2002-01-27;0;961,2;19,7;32,6;26,1;20,7;70,7;39;7,9;1,8;
2002-01-28;0;960,2;19,3;34,2;26,1;19,9;69,8;32;6;1,4;
2002-01-29;0;959,7;19,6;33,3;26,5;19,9;69,2;41;7,4;1,8;
2002-01-30;0;960,4;20;34,1;27,1;21,6;68,1;37;6,9;1,8;
2002-01-31;0;960,2;19,1;32,7;27;21,6;64,7;38;8,5;2,2;
2002-02-01;0;961;18;33,3;25,7;18,3;66,2;35;7,6;1,9;
2002-02-02;0;960,4;19,5;34,4;26,9;21,4;66,9;35;5,3;1,3;
2002-02-03;0;960,4;20,7;28,6;23;21,3;87,2;64;12,4;2,1;
2002-02-04;0;961,3;20,2;29,5;23,5;20,8;82,9;51;11,4;1,4;
