Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2002-03-22
Data Final: 2013-10-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-03-22;null;null;null;null;null;null;null;null;null;null;
2002-03-23;null;null;null;null;null;null;null;null;null;null;
2002-03-24;null;null;null;null;null;null;null;null;null;null;
2002-03-25;null;null;null;null;null;null;null;null;null;null;
2002-03-26;null;null;null;null;null;null;null;68;14,8;null;
2002-03-27;5,6;1013,1;23;29,1;27,5;24,3;76,5;68;15,9;6,4;
2002-03-28;1,4;1013,9;22,9;29,2;27,7;24,4;75,6;68;14,5;6,6;
2002-03-29;7,8;1012,7;23,2;28,7;27,5;23,3;77,5;69;19,2;9,1;
2002-03-30;2;1012,7;23,5;28,4;27,3;23,9;79,8;73;19,7;9;
2002-03-31;1,8;1013,2;23,3;29,1;27,6;25,5;78;71;16,2;7,1;
2002-04-01;null;1012,9;23;28,7;null;24,4;77;73;13,4;5,1;
2002-04-02;0;1013,1;22,8;28,7;null;25,6;75,1;65;11,5;6,6;
2002-04-03;null;1014,1;22,3;29,4;null;26,5;72,1;65;10,2;6,1;
2002-04-04;null;1013,5;22,1;29,8;null;26,9;71,7;62;9,2;5,7;
2002-04-05;null;1011,6;22,5;30,2;null;26,9;73,5;66;12,5;5,6;
2002-04-06;0;1010,4;23,3;30,3;27,8;24,8;76,9;69;11,3;5;
2002-04-07;,4;1011,3;23;29,7;26,7;24;80,3;66;13,9;5,1;
2002-04-08;,4;1010,7;23,6;29;27,8;25,2;78,1;71;9,3;5,4;
2002-04-09;,4;1010,4;23,3;28,6;26,7;23,7;82,3;73;10,8;4,1;
2002-04-10;4,8;1010,4;22,9;29;27,5;24,4;76,1;70;9,5;5;
2002-04-11;0;1011,1;22,8;28,7;27,6;27;75;69;7,6;4,4;
2002-04-12;null;1011,4;23,2;29,4;null;24,2;77,4;70;8,3;4;
2002-04-13;null;1012,1;23,4;29,6;null;22,9;80,8;70;8,4;4,6;
2002-04-14;0;1012,9;23;29,3;27,8;27,4;74,9;65;9,5;5,9;
2002-04-15;,2;1012,7;23,3;27,7;26,4;24,5;83,2;74;13,4;5,8;
2002-04-16;7,4;1012,7;23,1;27,9;26,5;24,1;81,9;73;12,8;4,9;
2002-04-17;2,6;1013,5;22,7;29,6;26,8;23,5;78,4;61;7,1;3,7;
2002-04-18;0;1013,4;22,7;28,9;27,7;26,8;74,6;66;8,6;4,9;
2002-04-19;,8;1012,8;22,7;28,9;27,8;26,3;74;65;11,4;7,6;
2002-04-20;0;1012,5;22,2;29,9;27,8;27,1;72;65;11,3;6;
2002-04-21;3,4;1012,7;22;28,6;26,4;23,3;77,5;61;12,7;5,2;
2002-04-22;3,8;1012,5;22,4;28,2;27,3;23,5;74,5;60;15,3;7,6;
2002-04-23;4,2;1011,6;22,4;28,8;27,4;22,9;74,4;65;17,5;8,3;
2002-04-24;1;1011,1;22,4;28,3;27,2;25;75,2;61;17,8;6,9;
2002-04-25;2;1012;22,3;29,7;27;23;76;66;11,3;4,6;
2002-04-26;0;1012,8;22,2;29,4;27,5;25,9;72,9;61;10,3;5,5;
2002-04-27;0;1012,3;21,4;28,8;27,3;25,8;70,4;58;11,4;5,6;
2002-04-28;0;1012,6;20,7;29,6;26;20,8;73,3;61;9,1;3,4;
2002-04-29;0;1013,9;21,2;28,6;27,3;23,1;69,6;62;8,8;5,1;
2002-04-30;0;1014,4;21,1;29,2;27,5;26,4;68;60;10,2;6,3;
2002-05-01;0;1013,7;21;29,1;27,4;26,4;68,2;61;8,9;5;
2002-05-02;0;1012,8;22,4;28,5;null;25,3;76,2;66;11,1;6;
2002-05-03;null;null;null;null;null;null;null;null;null;null;
2002-05-04;null;null;null;null;null;null;null;null;null;null;
2002-05-05;null;1014,6;21,1;29,1;27,5;null;68,5;60;9,5;6,4;
2002-05-06;null;1015,1;23,1;28;24,7;23,3;91;67;18;8,6;
2002-05-07;50;1014,2;22,1;27,9;25,4;22,5;83;69;10,1;5,2;
2002-05-08;null;1014,1;21,7;28,1;26,5;22,4;75,4;66;15,3;4,5;
2002-05-09;null;1015,1;21,5;28,2;26,1;21,8;76,8;66;9,3;4,2;
2002-05-10;null;1015,9;22,5;28,8;27,3;26,5;74,9;69;10,4;5,7;
2002-05-11;null;1016,3;22,9;27,8;25,9;23,1;84;68;16,3;5,7;
2002-05-12;null;1015,8;22,3;27,7;26,6;23,7;77,4;68;15,9;6,5;
2002-05-13;null;1015,5;21,6;27,9;26,9;23,9;73,2;67;14,4;7,3;
2002-05-14;null;1015,6;21,8;27,4;26;23,8;77,8;62;18,5;8,9;
2002-05-15;null;1015,5;21,7;27,8;26,8;22,8;73,6;66;15,5;6,5;
2002-05-16;null;1013,6;21,5;28,1;26,9;24,2;72,2;66;7,9;5,6;
2002-05-17;null;1012,1;21,9;28,3;26,3;21,9;76,9;67;7,5;4;
2002-05-18;null;1012;22,1;27,9;26,2;22,4;78,7;67;8,9;4,8;
2002-05-19;null;1013,7;21,8;27,7;26,9;26,3;73,6;67;8,2;5,4;
2002-05-20;null;1013,7;22,8;27,7;26,8;24,6;78,7;72;8,9;5,7;
2002-05-21;null;1012,8;23,2;28,4;26,9;24;80,2;72;9,2;5,9;
2002-05-22;null;1012;22,8;28,7;26,8;23,6;78,8;69;10,1;5,8;
2002-05-23;null;1012,6;21,8;27,4;25,5;23;79,9;70;14,6;5,2;
2002-05-24;null;1013,5;20,4;26,5;24,8;22,7;76,6;68;17,5;9;
2002-05-25;null;1014,4;19,6;25,2;23,9;22,3;76,8;64;15,9;8,5;
2002-05-26;13;1015,8;18,3;26,2;24,2;20,9;69,8;58;16,3;7,2;
2002-05-27;null;1015,1;18;26,8;25,2;22;64,4;54;14,4;8,1;
2002-05-28;null;1014,1;17;26,9;25,7;23;58,8;54;12,6;6,9;
2002-05-29;null;1014,1;16,9;27,9;25,1;19,9;61;50;7,1;3,2;
2002-05-30;null;1015;17;27,3;26,3;22,7;57;50;9,5;4,8;
2002-05-31;null;1016;17,7;27,6;26,4;23,4;58,8;49;14,2;6,3;
2002-06-01;null;1016,4;16;28;26,5;23,1;52,4;43;14,9;6;
2002-06-02;null;1016,4;15,4;28,1;26,7;24,8;50,2;42;11,9;7,6;
2002-06-03;null;1015,3;16,8;26,8;25,7;24,1;58,1;50;16,9;5,9;
2002-06-04;null;1014,9;16,4;27,2;25,3;22,7;58,4;45;11,1;3,9;
2002-06-05;null;1014,9;13,8;27,2;26,6;23,9;45,5;40;9,3;5,7;
2002-06-06;null;1015,1;14,5;27,4;26,2;24,7;48,7;38;14,2;6,3;
2002-06-07;null;1015,5;13;27,1;26,3;23,2;43,8;36;9,8;5,9;
2002-06-08;null;1016,7;14;27;25,9;23,2;48,3;38;12,9;5,3;
2002-06-09;null;1016,1;13;27;25,7;22,8;45,6;38;15,4;6,3;
2002-06-10;null;1015,7;14;26,3;24;23,2;54,3;37;16,1;5,5;
2002-06-11;69,2;1015,4;15,4;27,5;25,1;21,5;55,5;45;13,8;5,7;
2002-06-12;null;1015,6;14,8;26,9;25,8;23,5;50,7;42;14,2;6,5;
2002-06-13;null;1016,3;14,4;27,2;26,2;23,6;48,5;42;10,4;6,6;
2002-06-14;null;1017,1;15,3;27,2;26;23,5;52,2;45;15;9;
2002-06-15;null;1018,2;13,9;27,1;26,2;24,2;46,8;39;13,4;7,7;
2002-06-16;null;1017,5;15,8;26,6;25,4;24,6;55,6;45;15,6;7,7;
2002-06-17;null;1017,3;13,9;26,8;26,1;22,7;47;41;12,3;8,2;
