Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2002-04-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-04-17;null;null;null;null;null;null;null;null;null;null;
2002-04-18;null;null;null;null;null;null;null;null;null;null;
2002-04-19;null;null;null;null;null;null;null;null;null;null;
2002-04-20;null;null;null;null;null;null;null;null;null;null;
2002-04-21;null;null;null;null;null;null;null;null;null;null;
2002-04-22;null;927,4;15,1;29,7;24,3;null;59,5;33;12,7;4,5;
2002-04-23;0;926,9;15,1;31;23,5;16,8;61,2;36;11,5;3,9;
2002-04-24;0;926,7;15;30,6;24,1;17,9;58,5;29;9,7;4,2;
2002-04-25;3,6;927,3;14,9;32;24,2;17,5;58,8;30;8,3;2,1;
2002-04-26;0;927,6;15,7;31,3;24,5;17,7;60,9;36;8,8;3,3;
2002-04-27;0;927,4;15,5;31,7;23,7;16,8;62,9;35;9,6;2,7;
2002-04-28;0;926,9;14,9;32,2;24,4;17,5;58,1;30;10,1;2,3;
2002-04-29;0;928;14,3;31,3;24,7;17,5;56,9;28;10,3;2,6;
2002-04-30;0;928,9;14,4;32;24,2;15,7;58;30;6,8;2;
2002-05-01;null;null;null;null;null;null;null;51;4,1;null;
2002-05-02;null;927,1;12,6;32,5;24,8;null;49,2;27;7,4;2,6;
2002-05-03;null;926,5;13,8;32,2;null;16,6;51,5;29;7,6;2,1;
2002-05-04;0;927,3;14,8;32,8;24,9;17;57;29;9,6;1,7;
2002-05-05;0;928,6;14,9;33,1;24,9;16,4;57,5;29;9,3;2,5;
2002-05-06;0;929,5;13,6;31,8;24,4;17,8;54,6;27;9,7;3,4;
2002-05-07;0;928,5;12,4;31,5;23,6;14,6;51,5;26;9,1;3,4;
2002-05-08;0;928,6;16,4;30,1;24,1;18,7;63,2;40;7,3;2,6;
2002-05-09;,2;929,4;16,6;29,6;23,7;18,2;66,5;41;8,2;1,9;
2002-05-10;0;929,7;15,8;31,5;24,1;17,4;63,5;32;8,3;2,3;
2002-05-11;0;930,4;13,2;31,4;23,8;15,3;55,7;26;10,7;3,5;
2002-05-12;0;930,2;15,5;28,5;23,1;17,9;62,6;45;9,8;3,8;
2002-05-13;0;929,9;17,2;30,9;24,2;18,9;66,5;42;10,9;4,2;
2002-05-14;null;null;null;null;null;null;45,8;35;12,5;null;
2002-05-15;2;929,7;14,3;30,4;23,4;15,5;59,3;33;8,8;3,2;
2002-05-16;0;928,3;14,2;31,7;23,6;15,7;59,1;29;9,1;1,6;
2002-05-17;3,2;927;14,1;32,5;24,6;16,3;56,3;29;8,6;2;
2002-05-18;0;926;13,8;32,5;24,3;16,2;55;28;7,3;2,1;
2002-05-19;0;927,5;15;31,7;24,9;18,8;56,7;32;9,3;2,1;
2002-05-20;0;927,8;15,4;32,7;24,9;17,9;59,1;31;7,2;1,8;
2002-05-21;0;927,6;17;29,8;24,1;19,4;65,5;43;6,7;1,9;
2002-05-22;,2;927,8;18,2;30,4;23,5;19,1;74,5;41;10;2,9;
2002-05-23;0;928,2;19,3;25;21,6;19,7;86,6;67;9,7;2,7;
2002-05-24;3;929;17,4;27,2;21,5;18;79,1;52;8,7;3,4;
2002-05-25;4;929,4;16,4;27,9;22,3;18,2;71,9;42;9,7;3;
2002-05-26;0;930,1;11,7;28,2;21;13,9;58,5;31;10,4;4,1;
2002-05-27;0;929,6;8,7;27,8;19,9;10,6;51,7;27;9,2;3,4;
2002-05-28;0;928,6;8,1;28,4;20,2;11,3;48,5;24;9,3;4;
2002-05-29;0;928,5;9,8;29,4;20,8;11,7;52,3;28;7,3;2,6;
2002-05-30;0;928,8;9,7;30,1;21,3;10,7;52,6;24;11,5;2,1;
2002-05-31;0;930,2;10,5;30,6;21,8;12,7;52,5;26;10,5;2,4;
