Nome: CARAVELAS
Codigo Estacao: A405
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 2002-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-19;null;null;null;null;null;null;null;null;null;null;
2002-12-20;null;null;null;null;null;null;null;null;null;null;
2002-12-21;null;null;null;null;null;null;null;null;null;null;
2002-12-22;null;1012,7;21,8;30,6;25,6;null;81,5;54;7,6;2,2;
2002-12-23;0;1012,2;21,8;30;25,6;21,9;81;59;6,9;2,1;
2002-12-24;0;1010,5;22,5;31,4;26;22,1;82;56;10,7;3,1;
2002-12-25;0;1009;23,7;31,7;26,9;23,3;83,3;64;12,4;4,5;
2002-12-26;0;1010,5;23,6;27,9;25,6;23,5;89,1;79;11,4;3,6;
2002-12-27;55;1010,3;22,9;26,1;23,7;21,5;95,3;81;12,1;5,1;
2002-12-28;43,8;1010,8;21,8;23,3;22;20,9;98,3;92;11,2;3,6;
2002-12-29;23,2;1013,4;21,6;27,9;23,1;19,8;92;77;14,7;3,4;
2002-12-30;,8;1014,7;22,7;29;24,9;22,2;88,7;67;9,9;2,9;
2002-12-31;0;1013,7;22,1;29,6;25,1;21,1;84,7;59;12,2;3,1;
2003-01-01;0;1011,8;21,9;30,3;25,6;21,8;81,5;57;12,6;4,2;
2003-01-02;0;1011;22,7;29,6;25,6;22,5;84,4;68;12,5;5;
2003-01-03;7,4;1011,3;23,2;30;24,4;21,8;93,4;73;11,8;3;
2003-01-04;53,6;1011,7;22,5;28,8;24,9;21,3;87,5;68;14,5;4,5;
2003-01-05;0;1009,9;22,8;30,5;25,7;24;84,5;65;12,2;4,8;
2003-01-06;1,4;1009;23,4;30,5;26,3;23,3;84;73;14,7;5,4;
2003-01-07;3,8;1009,7;23,4;29,5;26,1;23,7;85,7;74;11,6;3,5;
2003-01-08;,2;1013,7;23,6;25,6;24,2;23,6;96,7;89;7,2;2;
2003-01-09;7,2;1015,4;23,9;29,6;25,8;23;89,8;70;6,6;1,9;
2003-01-10;0;1013;23,4;30,9;26,6;23,4;83,8;58;12,5;3,8;
2003-01-11;0;1011,4;22,6;30,7;25,8;22,2;83;63;13;4,3;
2003-01-12;0;1009,6;23,4;32,3;null;23,8;82,8;59;10,8;4,3;
2003-01-13;null;null;null;null;null;null;85,2;71;8,2;null;
2003-01-14;0;1010,6;23,7;29,3;25,7;24,2;89;70;11,4;4;
2003-01-15;1,6;1012,3;23,5;26,7;24,8;23,4;92,3;83;10,2;3,3;
2003-01-16;9,2;1013,8;23,4;28,3;25,4;23,3;88,8;73;11,9;3,8;
2003-01-17;0;1012,9;22,7;29,8;25,2;22,4;86,7;64;9,8;2,9;
2003-01-18;0;1013;22,4;30;25,5;22;84,6;56;10,3;2,9;
2003-01-19;0;1012,3;23;30,1;25,7;22,5;86,1;64;10,2;3,5;
2003-01-20;0;1012,5;23,3;29,5;25,8;23,1;87;66;12;3,5;
2003-01-21;0;1011,7;23,2;30;26;22,4;85,5;63;12,1;3,5;
2003-01-22;0;1013,2;23,4;30,7;26,2;22,9;85,8;58;9,7;3,3;
2003-01-23;0;1015,8;22,6;30,8;26;21,5;83,1;57;8,9;2,6;
2003-01-24;0;1015,4;23,1;31,1;25,7;22,2;86,4;59;8,2;2,1;
2003-01-25;0;1013,8;22,9;29,9;25,4;21,6;86,6;66;7,5;2,1;
2003-01-26;4,8;1012,4;22,6;30,2;25,4;21,8;85,4;62;8,9;2,4;
2003-01-27;0;1011,6;22,4;29,9;25,2;21,5;85,4;63;10,1;2,7;
2003-01-28;0;1012,3;23,3;29,9;26,4;23,6;84;66;12,8;3,9;
2003-01-29;0;1013,3;23,6;31,3;26,8;23,4;83,7;58;10,6;3,8;
2003-01-30;0;1013,9;23,2;31,6;26,7;23,6;82,5;52;8,7;3;
2003-01-31;0;1014,8;23,1;29,9;26,6;23,9;81,9;67;8,1;2,9;
2003-02-01;4,4;1015,9;23,2;29,5;25,7;22,2;86,6;70;7,6;2,4;
2003-02-02;,6;1017,1;22,9;29,1;26,3;23,4;81,6;67;10,3;3,1;
2003-02-03;1,2;1017,1;23,6;28,9;25,9;23,7;87,1;74;8,2;2,4;
2003-02-04;1,6;1015,3;23;29,9;26,1;22,6;83,4;65;8,1;2,4;
2003-02-05;16,6;1015;22;28,6;24,6;21,9;86,6;60;8,4;1,8;
2003-02-06;8,8;1015,1;21,9;30,1;25,2;21,2;83,3;61;8,7;2,1;
2003-02-07;2,4;1015,6;22,6;29,1;25,1;22,6;86,9;68;8,4;2,1;
2003-02-08;7,6;1015,9;22,9;29,6;25,6;22,3;85,5;69;9,1;2,2;
2003-02-09;0;1014,3;21,4;29,8;25,8;21,4;78;55;8,9;2,7;
2003-02-10;4,8;1012,3;21,8;31;25,7;20,8;81;47;9;2,5;
2003-02-11;0;1012,5;22;30,3;25,5;20,9;82,5;62;8,9;2,5;
2003-02-12;0;1013,7;22,2;29,5;25,4;21,8;83;63;8,3;2,4;
2003-02-13;0;1014,3;22,4;30,1;25,3;22,1;84,7;61;12,5;2,4;
2003-02-14;0;1013,3;22,4;29,9;25,6;22,1;84;60;10,8;2,5;
2003-02-15;0;1012,7;22,3;30,6;25,4;20,9;84,4;60;8,8;2,4;
2003-02-16;0;1012,1;23,4;31,6;26,4;22,8;84,9;55;9,3;2,3;
2003-02-17;0;1011,5;22,8;31,1;26,7;23,2;80,5;58;11,3;3,5;
2003-02-18;0;1012,2;23,2;31,2;26,6;23,4;82,9;60;11;3,3;
2003-02-19;0;1013,8;23,3;30,9;27;24,7;81,3;59;9,7;3,5;
