Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2003-01-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-18;null;null;null;null;null;null;null;null;null;null;
2003-01-19;null;null;null;null;null;null;null;null;null;null;
2003-01-20;null;null;null;null;null;null;null;34;10,6;null;
2003-01-21;null;null;null;null;null;null;62,8;45;11,4;null;
2003-01-22;null;null;null;null;null;null;null;75;10,3;null;
2003-01-23;null;null;null;null;null;null;null;null;null;null;
2003-01-24;null;null;null;null;null;null;null;null;null;null;
2003-01-25;null;null;null;null;null;null;null;43;9,8;null;
2003-01-26;null;986,4;21;31,6;25,9;22,4;76,2;47;11,8;3,4;
2003-01-27;1,6;985,9;20,9;33,5;26,8;22,2;72,9;41;12,1;3,1;
2003-01-28;0;987,8;20,9;35,4;26,4;23,8;75,1;34;13,1;3,1;
2003-01-29;29,6;988;22,3;32,8;26,9;21,4;77,5;49;10,8;3,6;
2003-01-30;0;987,7;21,2;32,3;27,1;23,7;72,6;40;10,4;3,8;
2003-01-31;9,4;988;21;30,3;25,4;22,3;78,8;41;12,5;3,5;
2003-02-01;4,2;989,1;22;28,7;25;22,6;83,7;65;9,2;2,9;
2003-02-02;,8;989,9;21,8;28,7;25;22,8;83,2;62;9,7;3,3;
2003-02-03;2,8;990;22;30,8;26;22,9;80;57;10,8;3,2;
2003-02-04;4,4;988,7;21,7;31;26,2;22,9;78;54;11,5;3,7;
2003-02-05;,2;988,7;20,3;32;26,1;22,2;73;41;10,2;3,2;
2003-02-06;0;989;19,9;32;25,8;21,6;72,2;40;9,9;3,1;
2003-02-07;0;989,2;20,6;32;26;22;74,3;41;11,1;3,3;
2003-02-08;0;989,1;20,2;31,8;26,2;22,1;71,5;41;11,6;3,7;
2003-02-09;0;988,2;19,9;31,6;25,4;20,7;73,2;44;10,7;3,3;
2003-02-10;0;987;20;32,2;26;21,5;71,8;44;10,2;2,9;
2003-02-11;0;987,1;19;31,2;25,9;21,7;68,9;33;10,1;2,9;
2003-02-12;0;988,1;20;30,1;25,2;21,3;74,3;48;9,6;2,7;
2003-02-13;,2;988,4;21,2;29,8;25,3;22,8;78,7;59;8,8;2,7;
2003-02-14;0;987,6;20,6;32,4;26,6;22,8;72,4;42;10,2;3,6;
2003-02-15;0;986,9;20,6;33,3;26,4;21,4;72,8;41;10,5;3,3;
2003-02-16;0;986,7;20,6;34,2;27;22,7;71;36;9,9;3,1;
2003-02-17;0;986,6;19,9;34,4;27,3;22,2;68;30;9,9;2,8;
2003-02-18;0;987,3;20,5;34;27,2;23;69,7;35;9,6;3;
2003-02-19;0;988,5;20,9;34,7;27;21,9;72;35;11,6;3,3;
2003-02-20;0;988,3;21,4;32;27;24,1;72,9;44;10,9;3,8;
2003-02-21;0;987,5;20,1;32,4;26,3;21,7;71,6;36;11,1;3,5;
2003-02-22;0;988,5;20,9;31,7;25,7;22,8;76,1;44;10,1;3,2;
2003-02-23;3,4;989,9;20,9;31,2;25,6;22,3;77,1;49;10,6;3,2;
2003-02-24;1;990,1;21,1;31,1;25,5;22;77,8;45;12,2;3,1;
2003-02-25;0;988,4;19,9;32,2;25,9;22,2;72;36;10,2;3,5;
2003-02-26;0;987,6;18,9;33,2;26,4;21,2;66,9;34;10,1;2,8;
2003-02-27;0;988;19;33,1;26,3;21;66,6;37;10,2;3;
2003-02-28;0;988,7;20,4;32,7;26,5;21,9;71,3;44;10,9;3;
2003-03-01;0;987,9;20,2;33,8;27;22,8;69,6;31;10,3;3,3;
2003-03-02;0;987,1;21,9;30,9;25,9;23,5;79,3;57;11,3;3,2;
2003-03-03;2;987,2;21,4;32,3;26,3;22,7;76,5;45;11,3;3,1;
2003-03-04;,2;988,5;20,6;33,4;26,6;22,3;72,3;41;12,1;3,4;
2003-03-05;0;987,6;20,9;32,9;26,8;23,1;73,1;37;11,9;3,4;
2003-03-06;0;986,7;20,9;33;26,5;22,5;73,3;42;11,5;3;
2003-03-07;0;987,3;20,9;33,3;27,2;23,6;70,8;41;11,5;3,4;
2003-03-08;0;988;19,8;33,9;26,7;22;70;32;11;3,2;
2003-03-09;0;987,8;20,9;33,2;26,6;22,3;72,9;43;10,2;3,1;
2003-03-10;0;987,6;21,9;31,4;26,7;23,3;76,2;53;10,3;3,5;
2003-03-11;3;988;22,5;26,6;24,3;23,4;89,7;76;7;1,8;
2003-03-12;9,6;986,9;21,5;32,4;25,9;22,4;79,1;45;9,2;2,6;
2003-03-13;0;986,6;21,8;32,4;26,8;22,8;76,4;44;8,5;2,7;
