Nome: ITIRUCU
Codigo Estacao: A407
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.42
Situacao: Operante
Data Inicial: 2003-02-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-08;null;null;null;null;null;null;null;null;null;null;
2003-02-09;null;930,1;17,2;30;22,4;null;75,2;35;9,8;2,7;
2003-02-10;0;928,8;17;30,5;23,3;18,7;71;38;9,3;2,8;
2003-02-11;0;928,7;17,1;30,4;22,9;18,4;72,8;38;9,6;2,8;
2003-02-12;0;929,7;15,8;29,2;22,4;16,4;70,5;29;9,6;2,8;
2003-02-13;0;930,1;17,7;28;22,6;18,9;75,4;46;8,6;3,1;
2003-02-14;1;929,3;18,2;30;22,8;19,6;77,3;37;9,8;2,8;
2003-02-15;0;928,7;17,4;30,4;23,1;18;73,5;37;9,1;3;
2003-02-16;0;928,5;17,9;31,5;23,8;19;72,8;37;9,6;3;
2003-02-17;0;928,3;17,3;32,3;24,3;19,1;69,3;34;9;2,8;
2003-02-18;0;929;17,9;32,3;24,4;19,1;70,9;32;9;2,9;
2003-02-19;0;930,1;17,3;31,7;24,4;18,8;68,7;34;10,2;3,4;
2003-02-20;0;930,2;18,4;30,2;23,6;20;74,6;43;10,6;3,3;
2003-02-21;0;929,3;17,3;28,7;22,9;18;73,3;42;8,4;3;
2003-02-22;0;930,3;17,9;28,5;22,7;19,5;76;47;10,6;3,2;
2003-02-23;0;931,8;18,4;26,9;22;18,9;80,8;54;11,2;3,5;
2003-02-24;1,6;931,7;18,5;30,8;22,4;18,8;81,3;36;10,9;3,2;
2003-02-25;,2;929,9;16,6;30,5;23,3;18;69,6;33;8,5;3;
2003-02-26;0;929,2;17;30,9;23,3;17,6;71,8;37;8,8;2,7;
2003-02-27;0;929,5;17,4;31,5;23,4;18,3;72,2;37;9,8;3,3;
2003-02-28;0;930,4;17,3;30,8;23,1;18,1;72,1;39;8,9;2,9;
2003-03-01;1,6;929,8;18,7;29;22,3;18,3;81,3;50;9,5;2,5;
2003-03-02;0;928,8;18,3;31,3;23,2;18,4;76,6;39;9,7;3;
2003-03-03;0;928,9;18,9;31,5;23,8;20,5;76,1;42;11,7;3,4;
2003-03-04;,4;930,3;17,7;31;23,4;19;73,3;37;10;3;
2003-03-05;0;929,5;18;30,6;23,4;19,6;74,1;40;11,1;3,4;
2003-03-06;0;928,4;17,7;31,2;23,6;19,1;72,7;36;10,2;3,1;
2003-03-07;0;929,1;18;30,4;23,2;19,2;75,2;40;11,3;2,6;
2003-03-08;0;929,7;17;30,9;22,9;18,1;73;32;10,4;2,8;
2003-03-09;,2;929,6;17,9;30,8;23,3;18,5;74,2;42;11,5;3;
2003-03-10;0;929,6;18,9;31,2;23,4;19,1;77,7;45;10,4;3,3;
2003-03-11;0;929,6;19,1;30,7;22,9;20,2;80,7;43;9,8;3,1;
2003-03-12;0;928,6;17,6;31,4;23,7;18,1;72,4;39;8,3;2,6;
2003-03-13;0;928,4;18,5;29,6;23,7;19,2;75,1;47;7,2;2,5;
2003-03-14;0;928,7;18,7;32,1;24,1;19,8;75,2;38;10,1;2,9;
2003-03-15;0;930,1;18,3;31,3;24,4;19,8;71,8;40;14;3,4;
2003-03-16;0;930,1;18;30,8;23;19,1;75,3;43;11,1;3,1;
2003-03-17;0;928,5;18,7;30,5;22,9;19,6;79;44;9,8;2,5;
2003-03-18;,6;928,8;18,7;31,1;22,2;19,3;82,3;40;10,8;2,9;
2003-03-19;8,4;930,6;17,9;29,4;22,8;18,7;77;38;10,7;3;
2003-03-20;0;930,8;18,8;27,4;21,9;19,4;83,5;57;10,9;2,9;
2003-03-21;,2;929,5;18,7;28,4;22;18,4;83,1;51;8,4;2,4;
2003-03-22;2,8;928,5;19,4;30,8;23,3;20;80,1;45;8,6;3;
2003-03-23;1,2;929,3;19,5;28,4;22,5;20,7;84,1;52;9,4;3;
2003-03-24;13,4;930,6;19;30,2;23,2;20;79,2;45;8,8;2,8;
2003-03-25;,2;930,3;18,4;30,5;23,5;19,3;75,5;41;8,7;3;
2003-03-26;,2;929,2;18,2;29,8;23;18,5;76,7;45;12,3;2,8;
2003-03-27;0;929,9;18,8;29,1;22,8;19,5;79,3;52;10,4;3,9;
2003-03-28;0;930,5;17,9;29,5;23;18,4;74,6;47;9,5;3,5;
2003-03-29;,2;929,7;18,7;28,3;22,7;19,6;79,3;52;8,4;3,4;
2003-03-30;0;928,8;18,2;29,4;23,4;20,2;74,3;49;9,7;3;
2003-03-31;0;928,6;18,3;30,6;23,4;19,8;74,9;38;12,5;3,3;
2003-04-01;0;929,7;18,7;30,6;23,8;20,3;75,6;45;9,8;2,7;
