Nome: ILHEUS
Codigo Estacao: A410
Latitude: -14.65888888
Longitude: -39.18138888
Altitude: 80.21
Situacao: Operante
Data Inicial: 2003-01-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-24;null;null;null;30,4;null;null;null;3;9,6;null;
2003-01-25;0;1004,3;21,6;31,3;25,5;20,7;80,6;51;9,9;2,9;
2003-01-26;,4;1002,9;21,8;30,3;25,7;22;80,3;53;9,9;3,1;
2003-01-27;0;1002,5;22,1;29,2;24,7;21,3;86,2;66;10,5;2,5;
2003-01-28;21,8;1003,7;22,7;31,5;26,3;22,1;82,1;58;9,7;3,2;
2003-01-29;1,6;1004,4;23,5;30,9;26,6;23,2;83,8;62;8,6;2,7;
2003-01-30;20;1004,3;23;30,3;26,4;22,6;82,5;61;8,9;2,8;
2003-01-31;,2;1004,7;22;29,8;26;22,6;79,6;60;9,8;3,4;
2003-02-01;3;1005,6;22,5;29,5;25,5;22,4;83,9;60;9,4;2,9;
2003-02-02;1,6;1006,9;22,3;28,6;24,6;22;87,1;68;8,9;2,8;
2003-02-03;7;1006,9;22,7;29,8;25,2;22;86,8;62;12,6;2,9;
2003-02-04;10,6;1005,5;22,4;29,4;25,5;22,5;83,8;61;10,5;2,9;
2003-02-05;18,6;1005,5;21,9;29,1;24,3;22,1;87,1;61;11,4;2,3;
2003-02-06;1;1005,4;21,3;30,1;25,3;21,4;80,1;55;8,5;3;
2003-02-07;1,2;1005,9;21,8;29,7;25,1;22,2;82,7;59;9,4;2,4;
2003-02-08;7;1005,9;22;29,3;24,5;21,4;86,8;63;8,6;2,6;
