Nome: VITORIA DA CONQUISTA
Codigo Estacao: A414
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.38
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;null;null;null;null;
2007-06-01;null;921,6;14,6;21,3;null;null;88,6;65;7,9;1,9;
2007-06-02;null;null;null;null;null;null;null;41;5;null;
2007-06-03;null;917,8;11;28,6;null;12,1;61,9;22;6,9;1,9;
2007-06-04;0;918,1;13,1;28,5;21,5;14,1;61,4;34;10,1;2,9;
2007-06-05;0;920,7;15,6;21,6;17,4;15,5;90;70;9,7;2,7;
2007-06-06;0;920,4;15,5;24,2;18,2;14,3;85,3;59;6,8;1,8;
2007-06-07;0;919,6;14,8;24,4;18,2;14,2;82,5;53;7,9;2;
2007-06-08;0;919,5;13,1;23;17,5;13,6;78,3;46;8,9;2,1;
2007-06-09;0;919,8;11;23,9;16,3;9,3;74,1;38;8,1;2,1;
2007-06-10;0;920,1;12,7;25,2;17,9;12,3;73,9;42;8,6;2,3;
2007-06-11;0;920,2;15,3;24,1;18,4;13,9;83,5;58;7,9;1,9;
2007-06-12;0;920,2;16,4;21,6;18;15,5;90,5;75;7,3;2,4;
2007-06-13;0;919,6;16,2;23,6;18,2;16,9;88,8;58;8;2,5;
2007-06-14;0;919,2;14;25;17,6;12,3;82,1;49;8,4;2,2;
2007-06-15;0;919,4;15,3;22,7;17,5;13,4;87,9;60;9,5;2,2;
2007-06-16;0;920,4;15;24,5;18,8;12,2;80,8;47;11,7;1,9;
2007-06-17;0;920,7;14;23,7;17,8;12,6;80,7;47;11;2,6;
2007-06-18;0;921,5;14,1;23,6;16,7;10,4;86,2;56;8,4;2,5;
2007-06-19;0;921,8;14,1;22,9;17,4;15,3;82,5;48;11,9;3,2;
2007-06-20;0;922,8;14,8;23,9;17,8;11,3;83,8;59;11,9;3,4;
2007-06-21;0;923,1;15,2;21,3;17,6;15,2;86,5;67;12;3,8;
2007-06-22;0;921,3;15,7;20;17;14;92;80;11,2;3,2;
2007-06-23;0;919,2;16,3;22,3;17,7;15,8;91,8;72;8,4;2,7;
2007-06-24;0;920,5;13,8;23,4;17,2;12,4;82,6;45;9,6;2,1;
2007-06-25;0;922,1;15;21,9;16,2;10,5;93,3;73;10,8;2,9;
2007-06-26;0;922,6;14,8;21,6;17,3;14,7;86,1;61;10,8;3,9;
2007-06-27;0;921,6;14,6;22,9;17,2;14,7;86,4;55;9,1;2,8;
2007-06-28;0;921,1;12,2;23,1;15,6;9,5;82,5;47;8,9;2,1;
2007-06-29;0;921,7;12,2;23,6;15,5;8;82,9;51;8,5;1,9;
2007-06-30;0;922,5;12,1;23,6;16,5;11,3;77,5;45;8,3;1,8;
2007-07-01;0;923,2;12,1;22,3;15,6;9,1;81,3;53;7,2;2;
2007-07-02;0;923,1;14,4;22,5;16,2;13,1;89,3;62;10,3;2,8;
2007-07-03;0;922,9;14,7;21,8;17,1;13,6;86,5;63;9,9;2,7;
2007-07-04;0;923,1;15,8;21,3;17,3;15,2;91,1;71;7,9;2,4;
2007-07-05;0;923,5;15,8;20,8;17;15,8;93,3;75;9,3;2,8;
2007-07-06;0;922,3;13,4;22;16,2;11,3;84,9;58;9,9;2,5;
2007-07-07;0;920,9;13,7;22,8;17,1;12,4;81,8;53;13,6;2,5;
2007-07-08;0;920,2;16,5;20,9;17,5;15,3;94,4;83;7,6;2,6;
2007-07-09;0;921;15,1;22,1;17,5;14;86,7;64;9,5;2,9;
2007-07-10;0;920,3;13,2;22,9;16,7;11,1;81,9;52;8,2;2,1;
2007-07-11;0;919,7;13,2;24,7;17;10,9;80,7;48;8,6;2,3;
2007-07-12;0;921,1;13,8;21,5;15,6;10,6;90,1;60;8,8;1,9;
2007-07-13;0;921,2;14,4;21,9;16,5;14,4;88,3;61;9,3;2,5;
2007-07-14;0;920;13,7;23,8;17,6;13,3;80,3;46;9;2,1;
2007-07-15;0;918,7;14,8;24,1;18,6;14,4;79,8;52;7,8;2,1;
2007-07-16;0;918,2;14,1;26,3;18,8;14;76,8;39;13,3;2,1;
2007-07-17;0;918,8;14,8;25,8;18,5;14,2;81,5;47;7,3;2,4;
2007-07-18;0;917,8;15,2;27,7;19,8;15;78;36;8,4;1,8;
2007-07-19;0;916,3;16;29,5;20,6;16,1;78,1;34;11,4;3,2;
2007-07-20;0;919,4;16,1;24,1;19,6;16,8;81,3;56;7,5;2,3;
2007-07-21;0;920,2;15,2;25,5;19,1;15,7;80,3;45;8,2;2,5;
2007-07-22;0;919;14,3;25,3;18,2;13,7;80;44;8,5;1,9;
2007-07-23;0;917,9;13,4;26,1;17,8;12,2;78,5;42;8;2,1;
2007-07-24;0;918,2;11;27,6;18,8;13,2;65;26;7,8;2,9;
2007-07-25;0;918,7;15,9;26;18,5;13,5;86,1;51;6,9;1,9;
2007-07-26;0;919,9;13,6;28,4;20,1;15;73,9;25;8,9;2,8;
2007-07-27;0;920,8;15,4;25,1;19,2;15,3;80,5;42;9,6;3,3;
