Nome: BOM JESUS DA LAPA
Codigo Estacao: A418
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Pane
Data Inicial: 2007-05-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-17;null;null;null;null;null;null;null;null;null;null;
2007-05-18;null;null;null;null;null;null;null;null;null;null;
2007-05-19;null;null;null;null;null;null;null;null;null;null;
2007-05-20;null;null;null;null;null;null;null;null;null;null;
2007-05-21;null;null;null;null;null;null;35,9;27;10,3;null;
2007-05-22;null;961,6;12,9;33,6;25,8;18,6;47,4;24;6,5;1,8;
2007-05-23;0;960,4;11,8;34,9;26;18,5;44,4;18;4,9;1,1;
2007-05-24;0;960,9;13,3;35,5;26,6;18,9;46,5;23;7,3;1,4;
2007-05-25;0;961,8;17,6;34,1;27,4;22,5;57,5;30;6,7;2,5;
2007-05-26;0;962,3;16,7;33,1;27;22,1;55,2;33;9,1;2,2;
2007-05-27;0;963,2;16;32,9;25,8;19,4;56,9;33;5,8;1,6;
2007-05-28;0;962,3;15,4;34,7;27,1;20,1;51,5;23;6,1;1,3;
2007-05-29;0;962,2;15,6;34,7;27,8;21,6;49,6;27;6;1,3;
2007-05-30;0;962,8;16,5;33,6;28;22,9;51,3;32;5,5;1,5;
2007-05-31;0;964,2;16,2;33,4;27,2;22,6;52,6;32;7,9;2;
2007-06-01;0;965,9;13,4;32,6;24,6;18;53,8;25;7,9;2;
2007-06-02;0;965,1;13;31,1;23,6;17,1;55,7;23;6,5;1,7;
2007-06-03;0;963,8;8,6;33,7;24,9;17,2;39,9;11;5,8;1,4;
2007-06-04;0;963,7;10,9;34,1;24,9;15,2;43,3;16;6,9;1,5;
2007-06-05;0;964,4;14,1;34,3;26,6;19,4;49,2;25;6,1;1,8;
2007-06-06;0;964,7;14,5;32,7;25,8;18,5;52,3;29;5,4;1,4;
2007-06-07;0;964;14;33,5;25,7;19,7;51,3;27;8;1,7;
2007-06-08;0;964,2;11,8;32;24,8;18,9;48,1;19;8,3;2,1;
2007-06-09;0;964,6;9,6;31,6;23,7;15,8;43,9;21;7,9;1,7;
2007-06-10;0;964,7;12;31,8;24;16,5;49,9;27;6,5;1,9;
2007-06-11;null;964,5;12,2;31,4;null;17;47,4;25;5,9;1,7;
2007-06-12;0;964,6;14,3;33,2;25,2;18,9;53,3;27;8,4;1,7;
2007-06-13;0;963,9;16,1;32,1;25,3;19;59,3;35;7,4;1,9;
2007-06-14;0;963,4;13,6;32,7;25;17,5;53,4;23;6,8;1,4;
2007-06-15;0;964,4;12,4;31,9;23,9;16,6;52,1;25;7;1,4;
2007-06-16;0;965,4;13,4;32;24,6;17,9;52,2;27;7,3;1,4;
2007-06-17;0;965;13,1;34,7;26,1;19,7;48,3;15;8,1;1,5;
2007-06-18;0;966,2;10,7;32,2;24,5;17,4;45,3;23;9,4;2,5;
2007-06-19;0;966,3;12,9;32,1;24,7;19;50,6;25;8,2;2,2;
2007-06-20;0;967,1;10,8;33,4;24,6;17;44,9;22;7,3;1,9;
2007-06-21;0;967,4;13;31,8;25,2;18,8;49,5;28;9,7;2,7;
2007-06-22;0;966,4;12,2;30,9;25,2;21,5;47,3;23;9,1;2,6;
2007-06-23;0;964,2;14;31,5;24,5;18;54,6;32;7,5;1,4;
2007-06-24;0;965,4;13,1;31;24,1;18,1;53,1;28;6,4;1,5;
2007-06-25;0;966,7;11,7;31,2;23,6;16;49,5;28;9,2;2;
2007-06-26;0;967,5;13,3;30,4;24,9;19,8;51,3;30;13,2;3;
2007-06-27;0;966,7;12,1;31,4;24,2;17,9;49,6;26;13,7;1,9;
2007-06-28;0;966;9,9;31,2;23,7;17,3;45,3;20;7,4;1,5;
2007-06-29;0;967;9,6;30,8;22,9;16,4;46,1;24;7,9;1,8;
2007-06-30;0;967,6;10,2;31;22,9;15,8;47,2;24;5,3;1,5;
2007-07-01;0;968,2;10,4;31,6;23,7;16,5;47,5;20;8,4;2,1;
2007-07-02;0;968;9,9;31,4;23,4;16;44,4;21;8,5;2,1;
2007-07-03;0;967,9;14,4;30;24;19;57,3;35;7,6;2;
2007-07-04;0;967,8;12,6;31;23,6;18,1;54,4;24;6;1,2;
2007-07-05;0;968,1;13,9;30,6;23,5;17,7;57,2;33;8,4;1,6;
2007-07-06;0;967,2;12;31,3;23,5;16,9;53,3;24;8,1;1,5;
2007-07-07;0;965,5;12,4;31,8;24,2;17,2;51,2;26;7,7;1,6;
2007-07-08;0;964,6;12,6;33,2;25,2;18,3;49,1;23;8,2;1,7;
2007-07-09;0;965,1;11,2;33,9;25,5;18;49;12;8,3;1,6;
2007-07-10;0;964,7;12,3;32,1;25,1;18,9;49,4;22;7;1,4;
2007-07-11;0;964,4;9,4;33,2;24;14,9;43,3;17;7,2;1,3;
2007-07-12;0;965,4;9,2;32,6;25,4;17,7;40,8;13;8,3;1,8;
2007-07-13;0;966;12,7;31,5;23,6;16,5;53,6;28;6,6;1,7;
2007-07-14;0;965,1;12,1;31,9;24,6;18,1;49,9;23;7,6;1,6;
2007-07-15;0;963,7;9,7;32,1;24,1;16,7;43,3;20;7,3;1,5;
2007-07-16;0;962,8;9,3;32,6;24,6;17,2;41;19;6,4;1,5;
2007-07-17;0;963;11,5;33,9;25,7;17,9;44,5;21;5,8;1,5;
2007-07-18;0;962,6;12,6;34,3;26,2;19,3;45,4;22;5,2;1,3;
2007-07-19;0;961,2;11,9;35,7;27;19,5;42,9;18;7,3;1,2;
2007-07-20;0;962,8;12,3;34,2;27;20,3;41,6;25;8,5;2,1;
2007-07-21;0;964,4;12,8;33,4;26;19;47;23;7,4;1,5;
2007-07-22;0;963,5;9,9;32,9;25,6;18,4;41,9;16;7,7;1,1;
2007-07-23;0;962,7;9,4;33,3;25;16,9;41;18;6,6;1,4;
2007-07-24;0;962,3;7,1;35,2;25,7;17,2;34,3;14;6,9;1,5;
2007-07-25;0;963,5;8,5;33,8;25,2;16;37,8;15;5,8;1,1;
2007-07-26;0;964,4;9,6;33,7;25,3;18,3;38,7;23;6,6;1,6;
2007-07-27;0;964,5;8,9;34,5;26,4;18,6;36,6;15;8,2;1,7;
2007-07-28;0;965,4;11;33;25,7;17,8;43,5;20;10;2,4;
2007-07-29;0;965,9;11,7;31,7;24,8;17,9;46,5;26;8,5;2,5;
2007-07-30;0;966,9;11;30,1;23,4;16,8;49,2;25;10;2,5;
2007-07-31;0;966,8;7,6;28,7;21,7;14,7;43,2;24;19,5;2,4;
2007-08-01;0;966,2;8,1;30,2;22,1;14,6;44,2;21;7,4;1,8;
2007-08-02;0;966,7;10;30;22,1;14,9;49,6;25;6,4;1,7;
