Nome: POCO VERDE
Codigo Estacao: A419
Latitude: -10.73805555
Longitude: -38.10833333
Altitude: 367.01
Situacao: Pane
Data Inicial: 2008-04-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-02;null;null;null;null;null;null;null;null;null;null;
2008-04-03;null;null;null;null;null;null;null;73;8,8;null;
2008-04-04;null;968,5;21,1;30,8;25,8;23;77,5;47;8,9;2,6;
2008-04-05;0;968,8;21,3;31;25,7;21,5;78,3;52;9,2;3,9;
2008-04-06;0;969,4;21,4;30,7;25,5;22,6;79,4;52;10,8;3,5;
2008-04-07;0;970,1;21,3;30;25,5;22,3;79,5;49;11,4;3,6;
2008-04-08;0;971;21,1;30,2;24,6;20,9;82,3;55;9,6;3,3;
2008-04-09;0;971,2;21,5;30;24,7;20,6;83,4;54;10,3;2,3;
2008-04-10;0;969,3;20,8;30,6;25;20,9;79;54;9,9;2,9;
2008-04-11;,2;967,7;20,5;30,6;24,9;20,8;78,4;46;8,9;2,5;
2008-04-12;0;967,8;21,3;31,7;25,1;21,4;81,1;47;9,5;2,2;
2008-04-13;5;968,6;21,2;30,9;25,4;21;79,8;48;9,7;2,9;
2008-04-14;0;969,1;21,1;32,9;26,1;21,6;76,2;43;11;3;
2008-04-15;0;969,6;20,8;32,8;26;21,9;75,8;40;9,9;3,3;
2008-04-16;0;971,2;21;30,4;25,3;22,4;78,3;50;17,8;3,1;
2008-04-17;6,2;972;21,1;28,5;23,8;20,6;85,5;62;11,4;2,7;
2008-04-18;3,8;971,2;21,3;28,1;23,9;21,3;86;65;10,4;2,9;
2008-04-19;3,2;970,8;20,7;28,7;23,5;20,5;85,3;56;10;3;
2008-04-20;2,2;971,1;20,5;29,6;24,1;21,6;81,2;53;12,7;3,3;
2008-04-21;0;971,7;19,2;30,2;24,5;20,4;75,1;45;8,6;3;
2008-04-22;0;971,1;20,3;28,7;23,5;20;82,8;64;9,2;3,3;
2008-04-23;4,2;970,1;20,2;30,6;25,1;20,8;77,3;40;8,4;2,7;
2008-04-24;0;969,3;21,2;31,8;25,7;22,4;78,8;49;10,9;2,8;
2008-04-25;21;968,9;21;32,1;25,9;21,9;77;41;11,5;3,6;
