Nome: ABROLHOS
Codigo Estacao: A422
Latitude: -17.96305555
Longitude: -38.70333333
Altitude: 20.93
Situacao: Pane
Data Inicial: 2008-07-20
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-20;null;null;null;null;null;null;null;null;null;null;
2008-07-21;null;null;null;null;null;null;null;60;7,5;null;
2008-07-22;null;1018,3;17,6;25,5;23,9;23;68,2;59;9,5;6,2;
2008-07-23;0;1016,3;18;25;24;23,6;69,3;64;10,6;7,5;
2008-07-24;0;1015,4;18,7;25;23,8;23,2;73,3;65;9,6;5,8;
2008-07-25;0;1015,8;17;25,1;23,8;23,1;65,7;58;9;5,1;
2008-07-26;0;1017,5;17,6;27,4;23,7;22,6;69,5;56;18,3;4,2;
2008-07-27;3,8;1020;16,6;25,1;23,3;20,7;66,4;54;17;4,9;
2008-07-28;0;1020,4;15;25,6;23,4;22;59,3;44;9,5;4;
2008-07-29;0;1018,6;17;25,9;23,4;21,7;67,6;56;11,4;3,5;
2008-07-30;0;1016,5;18,7;25,1;23,4;22,1;75;64;9,8;4,8;
2008-07-31;0;1016,3;19,1;25,4;23,5;22,3;76,4;65;13,3;5,9;
2008-08-01;0;1016,1;18,4;25,9;24,1;21,1;70,6;59;10,9;6;
2008-08-02;0;1014,2;18,9;25,3;24;23,3;73,2;63;11,2;7,8;
2008-08-03;0;1011,1;20,5;24,9;24,2;23,7;79,4;73;15,5;11,3;
2008-08-04;0;1011,8;21,5;26;24,6;24;82,8;76;15,6;7,7;
2008-08-05;0;1015,9;21,3;25,9;24,5;23,8;82,3;74;8,5;5,9;
2008-08-06;0;1016,3;19,4;26,2;24,3;23,4;73,9;65;8,4;5,5;
2008-08-07;0;1016,1;18,4;26,3;24,3;23;69,8;58;8,6;5,4;
2008-08-08;0;1015,1;19,1;25,7;24,2;23,2;73,1;65;9,6;6,5;
2008-08-09;0;1016,5;19;26,1;24,2;23,2;72,8;67;9,3;5,3;
2008-08-10;0;1016,2;18,5;25,6;24,1;23,2;71,3;59;10;5,6;
2008-08-11;0;1016,8;18,4;26,8;24,3;22,9;70,2;56;7,7;3,9;
2008-08-12;0;1017,1;18,6;26,9;24,3;22,6;70,9;61;8,9;4,4;
2008-08-13;,4;1017,9;18,7;26,5;24,2;22,7;71,5;62;8,9;5,1;
2008-08-14;,4;1018,9;19,1;27;24,4;21,8;72,2;62;13,8;5,7;
2008-08-15;5;1019;19;26,5;23,6;20,7;75,9;64;13,4;6,2;
2008-08-16;,8;1018;18,4;26,4;24,1;21,2;70,5;63;11,9;7,1;
2008-08-17;0;1017,6;17,6;26,7;23,7;20,1;69,1;53;14,9;5,6;
2008-08-18;,8;1017,9;18;26,9;24;20,9;69,1;57;12,3;4,9;
2008-08-19;0;1017,7;16,9;26,6;23,9;21,9;65,3;47;12,2;6,1;
2008-08-20;0;1017;17,4;26;23,4;21,4;69,7;53;12,8;5,4;
2008-08-21;2,4;1016,6;18,4;25,8;23,2;20,3;74,4;64;9,2;3;
2008-08-22;0;1015,7;18,7;26,1;23,7;22,6;73,7;67;8,7;4,4;
2008-08-23;0;1017,3;18,1;27,6;24,5;22,8;67,8;56;8,5;3,5;
2008-08-24;7,2;1018;18,4;24;22,8;20,2;76,3;65;16,5;4,8;
2008-08-25;4;1017,3;17,6;26;23,4;20,5;69,8;61;12,9;4,2;
2008-08-26;0;1015,1;18,8;25,8;23,6;22,2;74,7;65;8,9;3,8;
2008-08-27;0;1013,4;19,2;27,1;23,8;22,8;75,3;66;8,4;3,8;
2008-08-28;0;1013,6;18,8;26,7;24;22,7;73;60;7,8;2,9;
2008-08-29;0;1013,3;19,3;24,6;23,4;23;77,7;69;8;4;
2008-08-30;2,8;1013;18,6;25,9;23,9;21,8;72,1;58;9,5;4,8;
2008-08-31;0;1014,9;17;26,9;24,1;22,9;64,8;50;12;4;
2008-09-01;0;1016,2;17,3;25,5;23,6;22,8;67,8;57;18,2;7,3;
2008-09-02;0;1016,1;16,6;27,3;23,9;22,2;63,9;49;9,2;3,3;
2008-09-03;0;1015,1;18,4;26,2;24;22,8;71;63;10,5;7,2;
2008-09-04;0;1014,1;18,3;25,6;24,1;23,3;69,8;62;10,9;7,8;
2008-09-05;0;1013,7;18,9;25,5;24,2;23,6;72,3;66;12,9;9;
2008-09-06;0;1015,2;17,3;25,8;24,5;23,5;64,6;53;13,5;8,3;
2008-09-07;0;1015,9;20,7;25,9;24,6;23,9;78,8;73;16,4;10,1;
2008-09-08;0;1017,4;19,9;26,8;24,6;23,7;75;63;14,2;7,4;
2008-09-09;0;1018,6;17,4;26,9;24,6;23,2;64,7;50;10;4,8;
2008-09-10;0;1019,2;18,1;27,4;24,8;23,3;66,6;57;8,1;4;
2008-09-11;0;1018,4;17,9;27,5;24,5;23,1;66,8;54;8,4;4,9;
2008-09-12;0;1016,3;19,4;26,4;24,4;23,3;74;66;9,2;5,7;
2008-09-13;0;1014,2;20,7;25,7;24,4;23,6;79,9;74;12,6;8,3;
2008-09-14;0;1013,6;21,2;25,7;24,6;23,7;81,8;76;15;10,6;
2008-09-15;0;1015,7;20,6;26;24,6;24;78,6;70;14,9;8,4;
2008-09-16;0;1015,9;20,4;26,2;24,6;23,8;77,3;70;13;6,7;
2008-09-17;0;1015,3;19,8;26;24,3;23,3;76,3;66;10;3,9;
2008-09-18;0;1014,7;19,8;25,5;22,9;21,8;82,6;67;18,8;5,3;
2008-09-19;1,4;1017,8;16,6;25,3;22,9;20,8;68;53;19;5,6;
2008-09-20;0;1018,2;15,1;25,3;23,2;22;60,5;49;12,6;5,3;
2008-09-21;0;1016,1;15,1;26;23,7;21,8;58,8;50;11,6;6,6;
2008-09-22;0;1012;18,8;25,1;24;23,2;73;62;15,4;10,7;
2008-09-23;0;1010;21,7;25,5;24,7;24,1;83,6;79;16,7;9,6;
2008-09-24;14,8;1013,8;19,3;24,5;23,1;20,5;79,5;70;18,7;5,9;
2008-09-25;0;1017;17,9;26,8;24,1;22,8;68,6;58;13;4,1;
2008-09-26;0;1016,6;15,7;25,8;23,4;22,3;62,3;49;11;5,1;
