Nome: REMANSO
Codigo Estacao: A423
Latitude: -9.62555554
Longitude: -42.07722221
Altitude: 397.4
Situacao: Operante
Data Inicial: 2008-03-25
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-25;null;null;null;null;null;null;null;null;null;null;
2008-03-26;null;null;null;null;null;null;null;null;null;null;
2008-03-27;null;null;null;null;null;null;79,9;61;8,9;null;
2008-03-28;1,4;964,1;21,3;29,6;25,2;22,5;80,2;55;5,9;1,3;
2008-03-29;0;964,3;21,5;29,5;25,2;22,6;80,3;59;4,8;1,2;
2008-03-30;21,8;964,4;21,7;26,5;23,8;21,9;88,3;70;6,7;1,4;
2008-03-31;2,2;963,7;21,8;27,8;24,2;22,4;86,8;65;7,4;1,2;
2008-04-01;66;964,5;21,3;26,4;23,1;21,5;89,8;74;6,8;1,3;
2008-04-02;60,8;964,7;21,3;27,3;23,5;21,2;87,8;70;5,9;1,4;
2008-04-03;7;964,5;21,6;27,2;23,7;22,1;88,7;68;7,5;1,2;
2008-04-04;,4;964,4;21,3;27,9;23,7;20,9;87,3;67;5,2;1,3;
2008-04-05;3;964,1;22,2;28,9;24,7;21,4;86,7;65;9,1;1;
2008-04-06;45,8;965,2;21,7;27,8;24,4;20;85,5;66;11,1;1;
2008-04-07;9,4;964,8;22,1;30,5;25,9;22,2;80,8;58;9,6;2;
2008-04-08;0;965,8;20,3;31,1;26,7;23,9;69,2;44;8,3;2,8;
2008-04-09;0;966,1;20,2;30,5;26,6;22,7;69;48;9,2;2,3;
2008-04-10;0;964,2;20,5;31,3;26,3;21,5;71,8;47;7,6;1,7;
2008-04-11;0;963;20,6;30,4;26,4;23,1;71,6;50;7,3;1,9;
2008-04-12;0;963,3;20,8;30,8;25,8;21,2;75,3;50;6;1,3;
2008-04-13;0;964,1;20,8;31,1;26;21,7;74,5;45;4,5;1,3;
2008-04-14;5;965,3;21,3;29,6;24,9;21,9;81,6;53;9,3;1,3;
2008-04-15;16,4;965,2;21,7;30,5;25,3;21,1;81,4;57;6,7;1,3;
2008-04-16;4;966,3;21,5;30,4;25,8;21,8;78,9;52;8,5;1,7;
2008-04-17;0;966,8;20,4;30,6;26,5;22,6;70,9;47;8,8;1,8;
2008-04-18;0;966,1;19,5;31,3;27,1;23,9;64;41;8,7;2,8;
2008-04-19;0;965,9;19,4;29,6;26;24,1;67,3;47;7,2;2,1;
2008-04-20;0;965,8;19,2;30,5;25,9;21;68;43;6,8;1,8;
2008-04-21;0;966,2;19,9;30,7;27,3;24,8;64,6;49;8,9;3;
2008-04-22;0;965,8;19;30,6;26,2;22,3;65,8;45;7;1,4;
2008-04-23;0;965,2;20,4;30,1;26,1;22;71,1;55;7,9;2,2;
2008-04-24;0;964,8;20,6;30,4;25,8;21,1;73,6;55;7,7;1,4;
