Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-04-04
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-04;null;null;null;null;null;null;null;null;null;null;
2008-04-05;null;null;null;null;null;null;null;null;null;null;
2008-04-06;null;null;null;null;null;null;null;89;2,1;null;
2008-04-07;null;null;null;null;null;null;70,6;58;7,2;null;
2008-04-08;0;963,4;21,2;30,1;25,8;23,4;76,6;56;5,9;1,2;
2008-04-09;2,2;963,6;20,5;32;26,5;23,3;71,9;42;5,4;1,1;
2008-04-10;0;961,7;19,5;32,3;26,9;23,4;65,9;40;6,4;1,2;
2008-04-11;,2;959,9;20,5;32,4;26,8;23,4;70,7;41;5;,7;
2008-04-12;0;959,8;20,6;33,8;27;22,3;70,5;38;4,3;,8;
2008-04-13;0;960,6;20,7;33,9;27,3;22,6;69,3;40;4,2;,7;
2008-04-14;0;961,2;20,1;34;27,4;23,2;67,3;35;4,3;,7;
2008-04-15;0;961,4;20,1;33,6;27,5;22,5;66,1;39;4,6;,7;
2008-04-16;0;963,5;20,1;32,4;27;23,6;67,6;38;9,1;1;
2008-04-17;1,4;964,6;21,4;31,7;25,5;22,7;79,3;48;9,5;1,2;
2008-04-18;6,4;963,8;20,4;30,7;24,5;21;79,6;43;7,3;1;
2008-04-19;0;963;18,3;31,1;25,4;20,5;68,7;33;7,3;1,2;
2008-04-20;0;963,7;19,6;30,2;25,1;21,4;72,8;50;7,8;1;
2008-04-21;3;964;20,4;30,1;24,9;22;78,1;44;6,2;,7;
2008-04-22;0;963,4;17,9;31,5;24,9;18,8;68;37;6,2;,8;
2008-04-23;0;962,3;19,8;31;25,6;21,7;71;49;4,4;,7;
2008-04-24;0;960,8;19,8;34,8;26,5;21;70,1;28;4,3;,7;
2008-04-25;0;960,7;20,4;32,8;27,1;23,1;68,2;39;5,8;,7;
2008-04-26;11,8;960,9;21,5;31,8;26,3;22,7;76,1;49;5,1;,6;
2008-04-27;,2;961,6;21;31,4;26,1;23,1;74,9;45;3,4;,4;
2008-04-28;0;961,6;20,1;30,8;25,8;22,2;71,8;51;4,2;,6;
2008-04-29;0;961,9;19,9;32;26,5;22,7;68,8;41;5,2;,6;
2008-04-30;0;961,5;17,6;31,7;26,1;22,6;62,3;31;6,6;1;
2008-05-01;0;962,2;17,5;31,4;25,5;21,5;63,2;36;8,3;1,3;
2008-05-02;0;963,1;19,4;26,5;23,9;22;75,9;54;6,1;1,3;
2008-05-03;14,2;963,3;20,8;29;23,3;21;87;57;4,7;1;
2008-05-04;7,4;963,6;19,9;29,5;23,9;19,6;80,2;51;4,6;,5;
2008-05-05;0;963,6;18,5;32,6;24,7;18,8;71,2;34;3,3;,7;
2008-05-06;0;961,9;19,1;33,8;25,3;18,1;70,9;37;3,8;,8;
2008-05-07;0;961,4;19,4;33,6;26;19,6;69,3;38;9,8;,7;
2008-05-08;2,8;963,1;21,2;28,4;24,1;20,7;83,8;63;7,5;,8;
2008-05-09;4;963,3;20,8;27,1;23,6;21,1;84,8;63;4,7;,4;
2008-05-10;,6;964,8;20,5;25,7;22,8;21,5;87,1;71;7,6;1;
2008-05-11;,6;966,1;18,6;28,9;23,7;20,2;75,3;48;6,9;1,1;
2008-05-12;2,8;967;18,3;27,7;23,4;20,2;74,7;50;7,1;1,4;
2008-05-13;,4;967,3;18,2;25,2;22,4;19;77,6;60;6,2;1,1;
2008-05-14;0;966,5;18;29,4;23,1;18,1;74,5;47;4,8;,6;
2008-05-15;0;966,7;18,7;29,1;23,3;17,9;76,4;50;4,2;,4;
2008-05-16;0;966;19,6;29,8;24,7;21,4;74,6;49;4,2;,6;
2008-05-17;,2;966,6;18,9;29,6;24,8;21;71,5;47;8,1;1,4;
2008-05-18;0;966,9;18,3;26,6;23,9;21,5;71,3;56;8,7;2,2;
2008-05-19;0;965,5;17,3;30,3;25,2;21,8;63,9;38;7,1;1,1;
2008-05-20;0;965;17,7;28,8;24,3;21,7;68,6;43;7,3;1,3;
2008-05-21;0;964,4;15,7;29,2;22,9;17,7;66,9;34;6,4;,9;
2008-05-22;0;965,1;16,2;29,4;23,3;17,6;66,3;37;5,8;,7;
2008-05-23;0;964,2;18,1;31,1;24,4;20,4;69,7;41;5,3;,5;
2008-05-24;0;964,1;17,6;31;23,9;17,5;69,9;31;3,8;,7;
2008-05-25;0;963,5;18,7;30,3;24;18,8;73,9;47;3,8;,5;
2008-05-26;0;963,8;18,9;31;25,6;22,2;68,2;43;5,4;,7;
2008-05-27;0;964,4;17,4;30;24,6;19,9;66,3;40;7,3;1;
2008-05-28;0;964,8;16,9;30,7;24,7;20,3;63,8;38;8,9;1,4;
2008-05-29;0;964,8;16,3;31,4;23,5;16,3;66,1;38;8,9;,9;
2008-05-30;1;966,2;19,9;27,9;23,6;20,8;80,5;60;7,7;1,1;
2008-05-31;,6;967;18,2;30,4;24,3;20;72;39;7,5;1,1;
2008-06-01;0;967,3;17,8;28,6;24,1;21;69;45;8,4;1,4;
2008-06-02;0;967;16,2;30,1;23,4;15,9;66,7;37;8,7;1,1;
2008-06-03;0;966,3;16;30,6;23,5;16,3;66,5;34;7;,9;
2008-06-04;0;966,6;17,6;29,7;24,2;19,3;68,3;43;5,4;,8;
2008-06-05;0;967,1;17,6;29,9;24,6;20,9;67;41;7,9;1;
2008-06-06;1;967,8;18,6;27,2;23,6;19,6;74;57;6,8;1,3;
2008-06-07;0;967,1;18,7;28,8;23,8;19,7;74,7;49;7,5;1,4;
2008-06-08;,4;966,8;20,1;28,3;23;20,8;84,5;58;9,8;1,6;
2008-06-09;23,6;967;19,7;27,6;22,7;20,4;84,4;56;11,4;1,9;
2008-06-10;,2;966,7;17,9;28,8;22,1;17,2;79,1;50;5,7;,8;
2008-06-11;0;966;16;29,7;23,9;19;66,3;27;8,6;1;
2008-06-12;2,4;967;18,9;23,7;20,4;18,1;91,2;69;7,3;1,1;
2008-06-13;18,6;966,6;17,9;28,8;22,5;17,8;77,9;47;5,7;,7;
2008-06-14;7,8;965,4;19,8;27,4;22,2;19,5;86,5;61;7,1;,9;
2008-06-15;2,6;966,3;17,4;29,2;23;18,4;73,3;41;5,2;,5;
2008-06-16;0;966,2;16,9;30;22,1;14,7;74,5;44;4,7;,9;
2008-06-17;0;966,8;17,2;29,4;23;17,6;72,4;42;7,9;1,2;
2008-06-18;0;966,2;19,2;27,8;22,5;20;82,7;60;7,8;1,9;
2008-06-19;9,2;966,3;17,7;28;21,9;18,4;79,1;48;7,9;1;
2008-06-20;0;966;16,8;28,4;22;17,6;74,9;46;5,7;,9;
2008-06-21;0;965,2;17,3;27,3;21,7;16,8;77,2;54;5,7;,6;
2008-06-22;0;965,1;16,6;29,5;22,3;17,1;73,3;39;3,6;,5;
2008-06-23;0;966,5;18;27,9;21,9;16,9;79,4;56;5,4;,8;
2008-06-24;3;967,9;19;28,1;23;20;80,3;49;8,3;1;
2008-06-25;0;967,2;17,4;27,7;21,9;16,1;77,1;54;7,7;1;
2008-06-26;0;967,1;18,6;26,5;22,2;19,6;80,2;59;11,3;1,2;
2008-06-27;2,2;968,9;18,4;26,2;21,4;18,2;83,8;64;8,5;2,1;
2008-06-28;,4;970,2;17,1;27,1;21,9;18,2;75,3;54;9,2;1,8;
2008-06-29;6,4;969,8;17,7;27,1;21,2;18,2;82;51;9;1,3;
2008-06-30;2,8;968,7;18,5;24,3;20,5;18,3;88,6;72;5,4;1,1;
2008-07-01;8,2;968,8;18,9;28,3;21,6;18;85,8;57;7,8;,9;
2008-07-02;2,4;969,4;18,5;26,8;21,8;18,9;82,9;57;7,9;1,1;
2008-07-03;0;968,2;17,9;26,5;21,2;17,4;82,3;62;6,5;1;
