Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Pane
Data Inicial: 2008-03-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-26;null;null;null;null;null;null;null;null;null;null;
2008-03-27;null;null;null;null;null;null;null;null;null;null;
2008-03-28;null;null;null;null;null;null;null;52;8,9;null;
2008-03-29;null;950;20,2;30,3;24,5;20,8;78,8;43;6,9;2,1;
2008-03-30;32,4;949,8;20,5;27,8;23,7;20,8;83,5;59;6,9;1,3;
2008-03-31;3,6;949,6;21,3;27,5;22,7;21,8;92,2;65;10,9;1,8;
2008-04-01;55,8;949,9;20,7;25,3;22;20,4;92,7;75;8,9;2,4;
2008-04-02;30,8;950;20,7;24,7;21,8;20,4;93,8;80;6,4;1,8;
2008-04-03;4;949,9;20,6;27,9;23,7;21;83,6;60;6,9;1,9;
2008-04-04;1,8;949,9;21,3;28,3;23,5;21,9;88,1;65;10,5;1,3;
2008-04-05;6,6;949,8;21,2;29,3;24,8;21,5;81,3;61;5,1;1,4;
2008-04-06;,2;950,5;20,8;30,6;25,7;22;75,8;48;5,6;1,3;
2008-04-07;0;951,1;20,7;28,7;24,6;22,1;80;60;8,8;2,7;
2008-04-08;1,4;952,2;19,8;28,9;24,2;20,4;77,7;48;8;2,3;
2008-04-09;0;952,5;19,6;29,2;24,6;20,9;75,2;47;7,2;2,3;
2008-04-10;,2;950,5;20,2;29,2;24,5;21,3;78,4;52;7,9;2,8;
2008-04-11;0;949,1;19,4;29,4;24,2;21,2;76,3;47;7,4;2,1;
2008-04-12;0;949,2;19,7;29,5;24,3;20,3;77,2;51;5,6;1,6;
2008-04-13;0;949,9;19,9;29,1;24,8;21,3;75,6;53;6,8;1,9;
2008-04-14;0;950,5;19,7;30,7;25,1;21,2;73,2;48;5,3;1,6;
2008-04-15;8,4;950,8;20,2;29,5;24,8;20,9;76,9;50;5,7;1,3;
2008-04-16;0;952,3;20,3;29,7;25;21,8;76,1;51;10,3;2,5;
2008-04-17;0;953,2;19,9;28,8;24,1;20,5;78,6;53;8,7;3,2;
2008-04-18;,2;952,5;20,2;28,1;23,2;20,7;84,3;57;9,8;2,8;
2008-04-19;,6;952,1;18,3;28,2;23,7;20,1;74,2;45;10,5;2,5;
2008-04-20;0;952,4;19,8;27,4;22,9;20,4;82,9;60;9,9;2,7;
2008-04-21;,2;952,8;19,4;27,8;23,8;20,8;78;54;7,8;2,3;
2008-04-22;0;952,4;18,5;28,4;23,7;19,4;74;51;9;2,9;
2008-04-23;0;951,3;20,3;28,7;24,2;21,3;79,8;56;6,8;2,1;
2008-04-24;0;950,5;19,4;29,5;24,5;20;74,2;53;4,8;1,2;
2008-04-25;0;950;19,4;30,6;25;20,5;72,6;49;5,2;1,4;
2008-04-26;0;950,2;18,1;30,3;24,8;20,4;68,4;40;5,8;1,5;
2008-04-27;0;950,9;16,2;29;23,7;18,7;65,3;40;7,4;2,4;
2008-04-28;0;950,4;18,5;30,1;25;20,5;68,5;39;7,2;2;
2008-04-29;10,8;950,9;20,6;28,1;23,9;21,3;82,3;60;9,3;2,7;
2008-04-30;0;950,6;19,9;29,1;24,4;21,5;78;49;7,4;2,6;
2008-05-01;,2;950,9;18,8;29,7;24,8;21,4;72;41;9,1;3,1;
2008-05-02;,2;951,3;20;27;23,3;20,7;82,4;66;12,7;3,5;
2008-05-03;12,6;951,9;19,4;28;23,4;20,3;80;51;7,3;2,1;
2008-05-04;0;952,6;18,9;28,4;23,7;20,4;76,3;50;7,5;2,2;
2008-05-05;0;952,8;16,9;28,5;23,1;18,2;70,3;42;8,1;2;
2008-05-06;0;951,5;17,5;30,4;24,4;20;66,8;42;4,8;1,2;
2008-05-07;0;950,6;17,8;32,4;25,5;19;64,6;36;6,4;1,8;
2008-05-08;,4;951,8;20,7;27,3;23,3;20,6;85,6;65;8,3;2,7;
2008-05-09;,2;952,2;19,6;24,8;22;20,5;86,5;71;6,6;2,5;
2008-05-10;,2;953,7;19,2;24,5;21;19,6;90,1;71;11;2,7;
2008-05-11;1,4;955;18,9;23,6;20,7;18,9;89,8;77;10,4;3,1;
2008-05-12;3,6;955,7;18,7;24,7;20,8;19,1;88,6;66;12,2;4,1;
2008-05-13;1,4;955,8;17,7;25,6;21,1;18,6;82,6;57;9,4;3,9;
2008-05-14;0;955,1;17;27,3;22,4;18,6;73,6;45;9,4;3,4;
2008-05-15;0;955,4;18,6;26,2;22,1;19,4;81,6;60;8,8;2,7;
2008-05-16;0;955;17,9;27,7;22,9;19,8;75;47;9;2,7;
