Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2008-05-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-02;null;null;null;null;null;null;null;null;null;null;
2008-05-03;null;null;null;null;null;null;null;null;null;null;
2008-05-04;null;null;null;null;null;null;null;null;null;null;
2008-05-05;null;null;null;null;null;null;51,4;36;6,9;null;
2008-05-06;0;873,5;13,2;28,1;21,4;15,3;62;35;8;2,3;
2008-05-07;0;873,5;15,1;26,2;21,7;17,6;67,1;50;7,1;2,2;
2008-05-08;13;873,5;16,7;23,3;19,7;17,6;83,8;63;7,6;1,8;
2008-05-09;0;873,5;16;21,9;18,8;16,6;84,3;68;6;1,6;
2008-05-10;2,2;875;15,3;18,6;17,1;16,1;89,5;75;6,4;1,9;
2008-05-11;,2;876,1;13,5;22,9;18;14,6;76,2;54;10,5;3,3;
2008-05-12;0;876,7;13,2;22,4;17,6;14,3;76,5;55;11,5;3,9;
2008-05-13;,2;876,8;13,4;18,8;16,2;14,4;83,5;68;11,2;3,1;
2008-05-14;0;876,3;13,2;23,2;17,9;13,9;75,2;52;9,5;2,2;
2008-05-15;0;876,6;13,9;23,2;18,3;14,8;76,1;51;6,6;1,7;
2008-05-16;0;876,3;14,4;25,1;19,7;15,1;73,5;45;10,4;1,4;
2008-05-17;0;876,8;14,7;23,6;19,5;16,8;74,7;53;10,5;2,8;
2008-05-18;0;877;13,5;20,5;17,4;14,7;78,4;66;12,8;3,4;
2008-05-19;0;876;13;24,5;19,1;15,7;69;47;7,9;2,4;
2008-05-20;0;875,3;12,3;23,3;18,5;15,4;69,4;38;9,9;2,4;
2008-05-21;0;874,5;11,2;23,5;18,2;13,5;65,6;40;8,3;2,6;
2008-05-22;0;875,3;10,9;24;18,4;12,5;62,9;43;8,2;1,7;
2008-05-23;0;874,8;11,9;24,9;19,3;14,1;64,3;35;8,5;2;
2008-05-24;0;874,7;11,6;24,8;19,6;14,2;62;41;6;1,5;
2008-05-25;0;873,7;13,4;24,7;19,4;14,4;70,5;49;6,8;2,3;
2008-05-26;0;874,5;14,4;24,3;19,9;15,7;71,7;50;6,2;1,7;
2008-05-27;0;874,9;13,4;24,6;19,8;15,3;67,8;45;10,9;2,3;
2008-05-28;0;875,3;13;22,9;18,5;15,3;71,5;53;13,2;3,5;
2008-05-29;0;875;12;23,5;18,6;15;66,4;45;14,5;3,6;
2008-05-30;0;876,3;14,3;23,5;18,9;15,8;75,5;52;9,6;2,3;
2008-05-31;0;877,1;11,8;22,7;18,8;15,3;65,7;39;12,6;3,1;
2008-06-01;1;877,2;12,8;20,3;16,9;14,5;77,6;58;13,2;3,7;
2008-06-02;0;876,7;10,3;22,3;17,4;13,3;65;35;14,6;3,7;
2008-06-03;0;876,4;13;22,8;18,1;14,5;73;49;11,8;3,8;
2008-06-04;0;876,6;13,5;23,4;17,9;14,6;77;49;9,2;2,6;
2008-06-05;0;877,3;13,3;23,4;18,6;15,5;72,5;49;8,7;2,5;
2008-06-06;0;877,6;13,7;21,1;17,6;15,1;78,6;61;11,8;3,3;
2008-06-07;2;877;13,8;21,9;17,5;14,7;79,8;59;13,6;3,7;
2008-06-08;0;876,7;14,6;20,8;17;15,2;86,2;66;16,3;4,1;
2008-06-09;11,8;876,5;13,6;21,3;17,4;15,2;79,8;53;17,7;3,7;
2008-06-10;0;876,5;11,9;21,9;16,8;13,2;73,6;50;12,7;2,2;
2008-06-11;0;875,9;9;23,4;18,1;14,5;60,4;23;9,8;2,4;
2008-06-12;1,8;876,5;14,8;19,3;16,5;14,8;89,8;46;11,1;3,5;
2008-06-13;14,8;876,4;11,7;22,4;17,3;13,9;72,2;36;13,7;3,2;
2008-06-14;3,6;875;14,3;20,4;16,7;15;86,7;63;9,7;2,2;
2008-06-15;7,8;876;10,4;22,8;17,3;13,2;65,9;35;9,2;1,7;
2008-06-16;0;876,4;9;23,3;17,1;10,5;63;31;6,9;2,4;
2008-06-17;0;876,6;11,4;22,1;17,4;14,3;68,6;52;12,2;3,1;
2008-06-18;3,8;876;14,7;18,5;15,8;14,5;93,2;81;12,7;4;
2008-06-19;10;875,9;12,4;19,8;16,1;13,8;80;56;10,1;2,3;
2008-06-20;0;875,6;11,7;21,8;16,6;11,5;74,4;48;6,8;1,3;
2008-06-21;0;874,8;11,8;22,8;16,7;11,4;74,6;48;7,6;1,9;
2008-06-22;0;874,9;10,5;23,3;17,1;12;67,5;37;7,8;1,4;
2008-06-23;0;876,4;12,8;20,2;16,8;12,4;77,8;65;5,6;1,4;
2008-06-24;,6;877,7;13,1;21,6;17,8;15,3;75,4;49;10,7;3,1;
2008-06-25;0;876,9;12,3;18,4;16;12,9;79;65;10,8;2,8;
2008-06-26;,2;876,7;13,4;19;15,9;14,1;85,6;69;11,8;3,7;
2008-06-27;5,2;878;13,6;18,3;15;13,6;91,9;78;14,9;5,3;
2008-06-28;5,8;879,3;12,5;18,3;15,3;13;83,8;64;14,9;4,1;
2008-06-29;5,4;878,7;12,2;19,9;15,6;12,3;81,7;55;12,1;3,4;
2008-06-30;2;877,8;13,2;19,5;15,7;13,2;85,7;65;11,3;2,7;
2008-07-01;,8;878,1;14;20,5;16,8;14;84,3;65;10,7;3,1;
2008-07-02;4,6;878,6;12,7;19,6;15,9;13,5;82,5;59;14,3;3,4;
2008-07-03;1,4;877,5;13,3;19,4;15,3;13,3;87,8;70;10,1;3;
2008-07-04;3,6;876,5;13,4;21,6;16,5;13,8;82,6;58;9,1;2,1;
2008-07-05;0;877;13,1;20,8;16,4;12,6;81,1;60;12,1;2,1;
2008-07-06;0;878,4;13,1;20,1;16,1;13,8;83;64;12,1;3,3;
2008-07-07;0;878,5;12;16,4;14,3;12,1;86,2;73;13,2;3,1;
2008-07-08;0;877,5;10;20;14,7;11,2;74,8;50;9,6;2,9;
2008-07-09;0;877;8,9;21,1;15,4;10,7;66,5;44;10,6;3,5;
2008-07-10;0;878,2;12,2;18,6;15;10,7;83,8;71;11,5;3,5;
2008-07-11;26,6;879,3;13,4;17,5;15,2;13,7;89,4;69;14;4,1;
2008-07-12;5,8;878,6;11;19;15,3;12,6;76,7;58;18;5,7;
2008-07-13;0;877,1;8,5;19,8;14,8;10,2;67,4;38;17,2;4,4;
2008-07-14;,6;877;11,8;18,1;14,2;11,8;86,1;68;16,4;4,6;
2008-07-15;5,4;878,4;10,7;18,5;14,7;11,9;77,9;59;15,4;4,9;
2008-07-16;0;878,8;10,6;18;14,5;11,5;78,2;53;17,4;4,6;
2008-07-17;2,2;877,3;10,7;21,5;15,4;11,6;75,6;44;10,6;2,6;
2008-07-18;0;877;11,7;24,9;17,9;12,3;69,9;38;8,2;1,1;
2008-07-19;0;877,3;11,5;23,9;18;13,1;68,9;35;8,1;2,4;
2008-07-20;0;877,4;9,9;21,2;16,7;12,5;66,6;41;11,4;2,2;
2008-07-21;0;877,8;9,7;20,8;15;9,8;71,7;52;10,7;2,2;
