Nome: BRUMADO
Codigo Estacao: A433
Latitude: -14.18194443
Longitude: -41.67222221
Altitude: 473.37
Situacao: Operante
Data Inicial: 2008-04-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;null;35;8,3;null;
2008-04-29;null;958,7;19,6;31,3;24,7;20,7;75,2;44;5,8;1,1;
2008-04-30;0;958,3;17,8;32;24;18,6;71,7;36;6,7;1,1;
2008-05-01;0;959;17,4;31,8;24,5;18,7;67,3;33;8,2;1,2;
2008-05-02;,6;960;17,9;28,8;23,6;17,5;71,8;49;7,3;1,5;
2008-05-03;0;959,9;19,5;29,6;23,4;20,7;79,8;52;5,7;1;
2008-05-04;0;959,8;18,7;31,1;23,6;17,8;77;45;5,8;1,2;
2008-05-05;0;960;17,6;32,7;23,6;17,9;72,4;35;7,2;1;
2008-05-06;0;958,2;16,9;34;24,4;17,5;66,8;31;7,2;1;
2008-05-07;0;958,3;18,4;33,7;25,3;18,9;68,7;35;5,6;1;
2008-05-08;,2;959,1;18,6;32,3;25;21,6;70,4;33;5,3;1;
2008-05-09;0;959,5;17,7;30,4;23,9;21,1;69,5;40;7,6;1,2;
2008-05-10;0;961,3;16,5;29,6;23,4;17,9;67,9;36;6,2;1;
2008-05-11;0;963;14,4;30;24,2;20,1;56;32;7,9;1,4;
2008-05-12;0;964;14;30,1;23,2;16,1;58,8;33;7,4;1,6;
2008-05-13;0;964;14,2;28;22,8;16,5;59,3;41;6,6;1,3;
2008-05-14;0;962,9;15;30,3;22,6;17,8;64,3;33;6,8;1,1;
2008-05-15;0;963,2;16,4;30;23,3;18,5;67,1;41;6,8;1,3;
2008-05-16;0;962,7;17,4;30,4;23,2;17,5;72,5;40;6,3;1;
2008-05-17;0;963,3;16,7;30,9;24;18,2;66,3;36;6,6;1,2;
2008-05-18;0;964;16,1;28,6;23,2;19,8;65,7;42;6,7;1,3;
2008-05-19;0;962,5;14,4;31;22,2;16,5;65;32;10,5;,9;
2008-05-20;0;961,7;13,9;31,2;22,2;15,7;64,2;28;7,5;1,4;
2008-05-21;0;961,1;14,1;29,1;20,6;14,8;68,8;34;5,4;,9;
2008-05-22;0;961,7;13,1;30,2;21,1;13,8;64,4;31;10,4;,9;
2008-05-23;0;960,7;14,1;32;23,3;16,5;60;28;7,6;1,3;
2008-05-24;0;960,4;14,8;31;23,1;17,2;62,4;30;6,3;1,1;
2008-05-25;0;959,3;15,1;31,4;23,8;16,6;61,7;33;7,9;1,3;
2008-05-26;0;960;16,7;31,7;24,1;19;65,4;38;7,9;1;
2008-05-27;0;960,8;16,2;32,9;25;18,7;61,8;32;7,1;1,6;
2008-05-28;0;961,7;15,4;30;22,8;16;65,4;38;7,5;1,5;
2008-05-29;0;961,6;15,1;29,5;22,4;15;65,5;40;9,4;1,6;
2008-05-30;0;962,5;16,4;31,1;24,2;17,6;64,3;33;10,3;1,5;
2008-05-31;0;963,6;14,6;32,2;23,7;17,3;61,7;26;8,9;1,6;
2008-06-01;0;964,4;15;29,3;22,9;16,9;63;35;7;1,5;
2008-06-02;0;963,9;15,1;30,8;23,3;16,8;62,9;31;9,9;2,1;
2008-06-03;2;963,6;17,9;27,2;21,9;18,9;79,1;52;7,1;1,6;
2008-06-04;0;963,9;16,5;27,4;22,1;18,6;72,1;47;6,5;1,4;
2008-06-05;0;964;15,4;31,1;21,7;14,8;70,6;35;7,1;,9;
2008-06-06;0;964,6;15,8;29;22,4;16,6;68,5;42;9,4;1,7;
2008-06-07;0;963,9;15,6;30,9;23,7;17,3;63,9;35;9,6;1,6;
2008-06-08;0;963,8;16,6;29,5;23,1;18,2;68,8;41;8,9;1,7;
2008-06-09;0;963,6;14,7;30,8;23,6;18,4;62,3;26;10,5;1,8;
2008-06-10;,2;963,4;13,1;29,1;21,1;13,6;64,7;30;8,3;1,4;
2008-06-11;0;962,7;11,6;30,8;21,8;14,6;59,2;21;7,2;1,6;
2008-06-12;0;963,7;16,2;28,4;21,9;16,6;71,3;42;8,6;1,5;
2008-06-13;0;963,2;13,3;30,3;23;16,5;60,4;23;7,8;1,1;
2008-06-14;,8;961,9;15,9;29,7;22,5;18,6;68,7;37;10,2;1,3;
2008-06-15;0;962,8;12,8;29,4;21,5;15,2;62,5;29;7,7;1,3;
2008-06-16;0;962,6;10,7;31,9;20,6;10,7;59,2;25;6,8;,8;
2008-06-17;0;963,8;14,5;28,6;21,5;15,6;65,3;43;8,8;1,8;
2008-06-18;0;963,6;16,3;24,6;21,5;18,9;73;56;6,9;1,7;
2008-06-19;,2;963,1;15;28,4;21,1;16,5;70,1;41;8,7;1,1;
2008-06-20;0;962,5;14;28,9;20,9;14,4;68,8;33;8,2;1,3;
2008-06-21;0;961,5;14,8;29,6;21,3;14,2;70,2;38;7,9;1,3;
2008-06-22;0;961,2;12,5;30,5;21,6;14,9;63,4;21;8,1;1,4;
2008-06-23;0;962,9;14,2;30,2;23,1;15,2;60,8;34;7,1;1,4;
2008-06-24;0;964,6;14,9;29,8;23,6;18;60,2;36;8,1;1,4;
2008-06-25;,2;964,1;15,8;27,7;22,2;17,9;68,1;46;6,6;1,1;
2008-06-26;0;964,3;14,6;26,6;22,4;17,3;63,4;42;9,5;1,9;
2008-06-27;0;966,2;14,5;25,5;21,9;19,7;63,3;48;8,9;2,7;
2008-06-28;0;967,2;14,5;28,2;22;17,5;64;41;7,6;1,6;
2008-06-29;,4;966,4;14,2;28,7;21,9;17,4;66,3;32;8,2;1,2;
2008-06-30;0;965,4;14,8;28,9;22,5;16;63,8;38;9;1,6;
2008-07-01;4,8;965,5;17;28,1;21,9;17,9;75,9;47;7;1,5;
2008-07-02;,2;966,1;14,8;28,9;21,8;15,7;67,8;37;9,8;1,6;
2008-07-03;0;965;14,8;28,3;21,1;15,2;69,2;37;9,9;1,4;
2008-07-04;0;963,5;14,7;29,2;22;15,4;66,4;35;7,1;1,4;
2008-07-05;0;964;15,1;28,6;22,2;15,8;67,3;39;9,1;1,6;
2008-07-06;0;965,8;13,6;29,6;23,4;19,4;56,5;33;8,8;1,9;
2008-07-07;0;966,5;13,2;26;20,1;16;65,5;39;5,7;1,1;
2008-07-08;0;965,6;10,4;27;18;11,8;64,9;31;8,8;1,1;
2008-07-09;0;964,9;10,2;28;19,3;10,2;59,1;31;8,8;1,6;
2008-07-10;0;966,3;14,7;26;19,9;12,9;74,3;47;7,6;1,5;
2008-07-11;3,4;967,4;14,9;27,4;20,9;16,6;71,8;37;9;1,5;
2008-07-12;0;966,9;12,3;27,6;20;12,8;65,5;32;11,2;1,6;
2008-07-13;0;965,2;9,7;29,3;18,8;9,1;61;27;10,4;1,5;
2008-07-14;0;965,2;13,5;26,9;20,1;15,5;66,9;44;14,1;1,7;
2008-07-15;0;966,9;12,4;27,1;20;12,1;65,2;35;12,7;1,7;
2008-07-16;0;967,2;13;26,7;20,5;13,7;64,2;41;10,1;2,1;
2008-07-17;0;965,3;11,7;27,8;19,8;10,7;64,6;31;8,8;1,7;
2008-07-18;0;964;11,6;30,7;20,7;12;60,6;22;6,9;1,2;
2008-07-19;0;964;13;30,7;22,6;15,5;59;28;7,3;1,4;
2008-07-20;0;964,9;12,1;28,7;22,1;16,4;57,2;26;9,6;1,9;
2008-07-21;0;965,6;10,5;28,3;19,5;9,9;59,2;33;9,2;2;
2008-07-22;0;965,5;12,4;28,6;20,9;12,2;60,9;34;10,1;1,9;
2008-07-23;0;964,3;13;28,7;21,8;15,2;61,1;30;9,8;1,8;
2008-07-24;0;963,1;12;29,5;21,5;14,8;59,8;26;8,9;1,5;
2008-07-25;0;963,4;10,6;29,9;21;13,4;55,8;22;8,3;1,4;
2008-07-26;0;964;10,4;31;22,4;13,8;51,8;21;8,7;1,8;
2008-07-27;0;966,7;13,6;28,1;21,8;15,5;60,8;39;10,5;2;
2008-07-28;0;966,7;13,2;28,2;22,3;18,6;59,3;31;9;1,9;
2008-07-29;0;965,3;11,4;28,5;21,3;14,7;56,2;30;9,1;1,7;
2008-07-30;0;963,8;12,6;29,1;21,6;13,5;59,7;30;9,2;1,8;
2008-07-31;0;963,1;11,8;30,3;22,2;13,7;56,9;23;8,9;1,9;
2008-08-01;0;963,2;13,1;28,3;21,9;17,2;59,2;36;8,4;1,8;
2008-08-02;0;961,9;11,8;30,1;21,4;13,4;57,3;32;9;1,3;
2008-08-03;0;960,2;12,6;33,9;23,9;15,1;56,4;19;7,3;1,2;
2008-08-04;0;959,6;12,8;35,3;25,5;16;52;18;9,1;1,4;
2008-08-05;0;962,7;15,2;31,5;25,9;20,9;54,9;28;9,4;2,3;
2008-08-06;0;963,1;13,2;30,1;23,3;16,5;56,5;29;11,4;2,3;
2008-08-07;0;963,3;14,3;27,8;20,9;14,4;67,5;43;7,8;1,6;
2008-08-08;0;962,6;14,1;30,2;23,2;18,6;60,5;30;8,4;1,6;
2008-08-09;0;963,6;12,9;30,4;23,1;15,5;57,5;26;8,2;1,8;
2008-08-10;0;963,4;11,9;30,1;22,7;14,4;54,5;26;9;1,8;
2008-08-11;0;963,7;11,1;30,3;22,6;15,1;52,1;26;11,7;1,9;
2008-08-12;0;963,8;12,6;29,5;22,9;16,4;54,7;32;10,5;2,1;
2008-08-13;0;964,7;12,9;29,4;22,2;14,9;58,3;33;9,1;2,1;
2008-08-14;0;965,4;13,2;29,7;21,8;13,6;61,6;29;9,8;1,7;
2008-08-15;0;965,4;12,8;30,2;22,5;14,4;57,8;31;11,7;2,3;
2008-08-16;0;964,3;14,7;30,1;23;18,1;61,3;34;11,5;2,3;
2008-08-17;0;963,9;11,2;30;22,5;16,4;52,8;24;8,8;1,7;
2008-08-18;0;964,3;11,6;29,4;22,8;18,8;52,9;23;11,6;2,6;
2008-08-19;0;964,1;14,7;27;20,5;15,9;70,6;45;10,5;1,8;
2008-08-20;,6;963,2;12,8;29,7;21,6;14,3;63;29;11,8;2;
2008-08-21;0;963,4;13,8;28,3;22,6;19,1;59,4;36;9,2;1,9;
2008-08-22;0;962,7;12,8;30,4;22,6;14,7;57,9;29;8,6;1,5;
2008-08-23;0;963,6;13,6;30,3;23,5;17;56,3;32;10,2;2,2;
2008-08-24;0;964,6;12,2;29,5;23;15,8;53,5;28;10,5;2,1;
2008-08-25;0;964,4;12,8;28,9;22,6;18,9;55,3;35;10,4;2,4;
2008-08-26;0;963;13,1;29,4;22,7;16,6;57,7;32;8,7;1,5;
2008-08-27;0;961,1;11,4;31,3;23,4;15,1;53;19;8,8;2;
2008-08-28;0;960,6;9,8;31,9;23,5;15,9;46,4;19;8,6;1,4;
2008-08-29;0;960,8;11,3;33,1;24,8;16,1;48,8;19;7,7;1,6;
2008-08-30;0;959,7;10,4;32,8;25,2;15,5;43,9;20;9,7;2;
2008-08-31;0;961,6;10,8;31,8;23,7;15,2;46,7;25;11,5;2,2;
2008-09-01;0;963;12,5;30,1;24;20,4;50;31;10;2,5;
2008-09-02;0;963;13,4;29,5;22,6;17,2;57,8;35;9;1,8;
2008-09-03;0;962,5;15;30;23,7;18,6;60,9;33;9,4;2,2;
2008-09-04;0;961,7;12,2;32,3;24,4;16,9;50,8;24;8,3;1,9;
2008-09-05;0;961,2;13;32;24,9;18,3;52,3;24;11,5;2,4;
2008-09-06;0;962,3;10,5;34,2;24,8;15,2;46,5;18;7,5;1,6;
2008-09-07;0;963,3;13,1;35,4;26,2;17,6;50,3;17;9,1;1,9;
2008-09-08;0;963,9;13,5;32,3;25,7;19,4;50,3;26;10,9;2,7;
2008-09-09;0;964,8;13,5;31,6;24,2;18;54,6;28;9,2;2,2;
2008-09-10;0;965,8;11,6;31,3;23,8;16,9;48,9;26;10,2;2,7;
2008-09-11;0;964,9;12,7;30,7;23,4;15,7;53,8;30;10,8;2,3;
2008-09-12;0;963,4;13,2;31,6;23,8;16;55,3;29;8,7;1,9;
2008-09-13;0;962;12,5;32,7;24,4;16,3;52,7;21;8,9;1,6;
2008-09-14;0;961,6;12,9;33,9;25,7;18,7;49,8;21;10,2;2;
2008-09-15;0;962,4;14,9;32,6;25,3;16,7;56,5;28;11,7;2,2;
2008-09-16;0;962,6;13,6;33,4;25,5;17,7;52,2;24;12,1;2,2;
2008-09-17;0;961,8;14,1;32,3;25,2;18,7;53,6;27;10,4;2,3;
2008-09-18;0;961,5;14,4;31;24,7;19,7;55,1;31;10,4;2,3;
2008-09-19;0;963,4;15,3;30,8;25;21,8;56,2;34;9,9;2,8;
2008-09-20;0;964,5;14,9;27,1;23,3;19,3;60,1;46;9,6;2,9;
2008-09-21;0;962,8;14,5;32,3;24,6;18,4;56,4;29;10;1,9;
2008-09-22;0;960,1;15,1;34,7;26,4;18,6;54,1;29;9,6;1,7;
2008-09-23;0;957,7;15,6;35,3;27;20,5;53;29;11,6;1,9;
2008-09-24;8,8;960,4;19,6;26,5;23,4;20;80;60;7,2;1,3;
2008-09-25;,2;963,4;17,5;27,1;23,5;20,8;70;52;7,7;2,2;
2008-09-26;0;963,1;15,7;29,7;23,7;20,4;62;41;12,3;2,9;
2008-09-27;1,4;961,9;18;23,9;20,5;19,2;86;61;8,7;,9;
2008-09-28;8,6;960;17,4;32,5;24,5;18,9;68,5;32;6,6;1,3;
2008-09-29;0;960,4;16,7;35,6;26,8;19,7;58,4;26;11,6;1,8;
2008-09-30;0;962,7;16,8;32,1;26,4;22,5;57;36;12,6;2,5;
2008-10-01;0;960,3;14,9;34,7;26,5;19,5;55;22;10,3;2,1;
2008-10-02;0;958,8;14,4;36,1;27,6;19,9;49,6;21;10;2,5;
2008-10-03;0;959,5;14,9;35,1;27,1;19,4;51;22;10,8;2,4;
2008-10-04;0;960,8;15;33,7;26,6;20,1;52,6;26;12,3;2,4;
2008-10-05;0;960,2;14,3;34;26,4;19;51,5;25;10,1;2,5;
2008-10-06;0;960,9;13,6;35,9;27,2;18,8;49,5;12;10,3;2;
2008-10-07;0;963,9;14,2;33,3;26,1;20,3;51,1;25;12,3;3,1;
2008-10-08;0;963,6;14,5;30,4;24,5;16,7;56,4;33;9,2;2,4;
2008-10-09;0;963,7;13,3;32,3;24,6;16,9;52,6;26;9,9;2,5;
2008-10-10;1,8;963,6;16,2;27,5;22,7;17,9;68,2;45;9,6;2,7;
2008-10-11;10;963,3;18,1;27,3;21,2;18,2;83,3;52;11,6;1,8;
2008-10-12;3,2;963,2;15,2;31,6;23,9;18;62,7;27;9,5;1,9;
2008-10-13;0;963,2;13,4;33;24,9;15,8;53,5;23;11,7;2;
2008-10-14;0;961,8;13,7;33,6;26;18,6;50,8;24;11,4;2,6;
2008-10-15;0;962,1;13,6;33,7;25,5;16,8;52,2;23;9,4;2,2;
2008-10-16;0;961,2;12;36,8;27,5;18,7;46,4;12;8,3;1,9;
2008-10-17;0;959,6;12,2;36,9;27,7;19,3;44,4;14;9,6;1,6;
2008-10-18;0;959,6;12,7;36;27,6;20,1;45;17;10,8;2,7;
2008-10-19;0;959,9;14;36,2;28,3;19,8;46,7;19;10;2,1;
2008-10-20;0;962,7;13,4;33,9;27,3;20,6;46,3;21;12,1;2,6;
2008-10-21;0;963,2;14;32,7;26,2;20,2;49,9;25;11,9;3;
2008-10-22;0;962,7;14,4;33,5;26,2;20,1;51,3;26;11,4;2,6;
2008-10-23;0;962,4;13;33,2;26,2;20,1;48,3;20;13;3;
2008-10-24;0;962,7;13;33,5;26,3;19,1;48,8;19;12,2;2,9;
2008-10-25;0;962,1;12,2;33,8;26,3;18;46;20;10,2;2,6;
2008-10-26;0;960,6;12,9;35,7;27,4;20,6;44,5;20;9,2;2,1;
2008-10-27;0;959,4;13;36,8;28,1;19,9;44,3;19;9,1;2,2;
2008-10-28;0;957,6;13,6;38,1;29,4;20,5;43,6;17;9,8;2,2;
2008-10-29;0;959,1;13,6;34,2;27,1;21,1;46,7;23;11,6;2,7;
2008-10-30;0;959,4;12,6;37;27,9;20;44,3;17;14,7;2;
2008-10-31;0;958,6;15,1;36,2;28,8;20,6;47;25;10,2;2,6;
2008-11-01;0;959,9;13,4;34,7;27,9;21,4;44,7;22;11,6;3,2;
2008-11-02;0;961,9;11,8;34,5;26,7;18,8;43,6;21;12,8;2,7;
