Nome: UAUA
Codigo Estacao: A435
Latitude: -9.8336111
Longitude: -39.49555555
Altitude: 450.6
Situacao: Fechada
Data Inicial: 2008-05-19
Data Final: 2022-09-08
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-19;null;null;null;null;null;null;null;null;null;null;
2008-05-20;null;962,7;18;27,9;23,8;null;71,1;51;10,4;2,9;
2008-05-21;0;962,2;18,5;26,7;23,2;21,1;75,6;59;9,2;3,5;
2008-05-22;,4;962,9;19;29,5;23,3;20,7;78,2;52;13,1;3,5;
2008-05-23;5,2;962,1;20,3;28,2;22,8;20,8;86,7;60;13,9;2,8;
2008-05-24;16;962,2;19,5;29,6;23,3;20,5;81,1;47;11,9;2,8;
2008-05-25;4,2;961,7;18,8;28,8;22,9;18,9;78,8;50;8,8;2,8;
2008-05-26;0;962,1;18,9;28;22,4;17,6;81,4;57;9,4;2,8;
2008-05-27;1,6;962,4;18,1;29,2;23,6;19,1;74,6;40;10,7;3,7;
2008-05-28;0;962,5;16,9;28,8;23,2;18,4;70,7;32;11,2;3,8;
2008-05-29;0;962,5;19,2;25,9;21,6;18,7;86,6;68;9,7;3,2;
2008-05-30;10,4;963,6;17,8;28,8;23,1;18,6;74,9;42;11,3;3,6;
2008-05-31;1;964,4;19,1;28,2;22,6;20,1;82;55;15,1;4;
2008-06-01;22,2;964,6;17,8;26,6;21,6;18,3;80,5;53;12,7;3,8;
2008-06-02;0;964,4;16,2;27,6;21,7;16,1;73,4;43;10,7;3,4;
2008-06-03;0;964,4;18,2;25,3;21,3;18,4;82,8;64;9,7;2,9;
2008-06-04;,8;964,6;17,1;26,4;21,3;17,2;79;52;8,8;2,6;
2008-06-05;0;965;17,1;27,9;21,8;16;76,4;50;10,3;2,6;
2008-06-06;,2;964,7;18,7;29,6;23,2;19,7;77,6;42;13,6;3,9;
2008-06-07;1,4;964,3;16,7;29,3;23,3;18,4;69,8;40;12,3;4;
2008-06-08;0;963,8;18,1;27,6;22,1;18,2;79,4;49;14,7;3,9;
2008-06-09;1,8;964;16,5;28,9;22,8;18,8;70,9;37;15,3;4;
2008-06-10;,2;964;17,9;27,4;21,8;17,4;79,3;59;11,6;3,3;
2008-06-11;0;963,7;15,8;29,5;22,4;17,1;70,1;37;9;2,7;
2008-06-12;0;964;17,9;29,3;23,2;19,9;73,5;47;10,3;3,8;
2008-06-13;0;963,9;16,5;27,6;21,9;17,5;72,9;50;11,2;3,7;
2008-06-14;0;963;15,9;28;22,3;16,9;70,4;42;10,5;2,9;
2008-06-15;0;963,8;16,1;27,5;22,5;17,7;68,3;49;8;2,9;
2008-06-16;0;964,1;17,4;29,4;24,5;20,7;66;44;9,2;3,3;
2008-06-17;0;964,1;16,6;28,7;23,6;20,3;66,5;42;10,4;4,1;
2008-06-18;0;963,8;14,9;26,6;21,8;17,7;66;42;9,3;3,1;
