Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Pane
Data Inicial: 2008-06-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-21;null;null;null;null;null;null;null;null;null;null;
2008-06-22;null;null;null;null;null;null;null;null;null;null;
2008-06-23;null;null;null;null;null;null;84,2;67;11;null;
2008-06-24;18;1018,1;20,5;27,5;24;21,5;81,4;62;8,1;2,4;
2008-06-25;0;1017,1;19,8;27,4;23,3;20,6;81,3;60;8,2;2,5;
2008-06-26;6,2;1017,4;20;23,6;21,7;20,7;90,1;82;11,6;3,1;
2008-06-27;41,8;1018,8;20,3;25;22,3;20,8;88,6;66;11,8;2,9;
2008-06-28;24;1020,5;19,6;24,2;21,6;20,4;88,5;67;12;2,9;
2008-06-29;16,6;1020,2;19,4;24,1;21,1;19,5;89,7;74;9,2;2,4;
2008-06-30;21,6;1018,8;20,1;23,5;21,5;19,8;92,3;85;6,6;2;
2008-07-01;13,6;1019;20;27,9;24,2;20,8;77,6;60;11,5;2,5;
2008-07-02;5,8;1019,7;19,5;27,3;23,4;20,2;79,3;57;9,2;2,1;
2008-07-03;4,4;1018,2;20,3;27,4;22,7;20,7;86,9;64;9,3;2,1;
2008-07-04;7;1017,1;19,8;25,9;22,1;20,1;86,8;66;7,5;1,9;
2008-07-05;0;1017,8;19,9;26,5;22,9;20,1;83,6;68;9,6;2,6;
2008-07-06;10;1019,5;19,3;24,9;22,6;20,5;82,1;66;10,8;3,1;
2008-07-07;11,4;1019,9;16,7;26,2;22,6;19,6;70,3;52;12,2;3,4;
2008-07-08;0;1019,1;15,5;26,7;22,2;19,6;66,6;48;10,3;3,1;
2008-07-09;,4;1018,6;18;26,5;21,8;18,9;79,3;57;7,5;2,5;
2008-07-10;8,4;1019,3;20,2;23,7;21,6;20,1;91,8;84;7,8;2,1;
2008-07-11;46,8;1020,4;19,9;26,4;22,9;20,2;83,5;64;11,3;3;
2008-07-12;6,6;1019,8;18,7;26,2;22,4;20,2;80,5;58;12,5;3,3;
2008-07-13;0;1018,1;17;26,3;21,6;18;76,4;57;14,3;3,6;
2008-07-14;3,8;1017,9;18,9;26,5;22,3;19,7;81,5;63;10,6;3,2;
2008-07-15;17;1020,1;18,5;25,8;22,2;19,7;80,4;64;11,5;3,2;
2008-07-16;,4;1020,7;18,1;26;21,7;18,9;80,6;60;10,8;2,8;
2008-07-17;4,4;1018,9;17,9;26,3;22;18,5;78;60;8,4;2,5;
2008-07-18;,8;1018,1;19,1;27;22,8;20;80,9;59;7,7;2;
2008-07-19;,8;1018,3;19,8;26,8;23;20,6;82,8;65;8,3;1,9;
2008-07-20;1,2;1019,1;15,9;27,2;23;18,6;66,6;39;8,3;1,8;
2008-07-21;,4;1019,4;17,2;27,5;22,5;18,8;73,5;52;9,2;2,5;
2008-07-22;2;1019,3;18,7;26,8;23,3;21,3;75,7;54;10,7;2,9;
2008-07-23;4,2;1018,2;19,3;26,2;22,3;20,6;83,9;64;9,2;1,6;
2008-07-24;5,6;1017,2;18,1;26,9;21,8;18,1;81,3;54;6,4;1,3;
2008-07-25;0;1017,5;16,7;26,5;21,1;17,5;77,9;48;5;1,3;
2008-07-26;0;1018,4;17,5;26,9;21,6;16,8;79,2;55;9,4;1,9;
2008-07-27;0;1020,3;19,2;27,1;22,7;19,9;81,1;59;9,2;2,8;
2008-07-28;15,8;1020,5;18,6;25,5;22,2;20,5;80,8;59;11,6;3;
2008-07-29;,6;1019,2;18,5;25,3;21,4;19,5;83,8;66;7,9;2,5;
2008-07-30;5,6;1017,6;18,8;27,2;22,8;19,8;79,3;54;7,9;2,1;
2008-07-31;1,6;1017,3;19,4;26,7;22,4;20;83,6;66;7,4;2;
2008-08-01;5,2;1017;18,1;27,4;22,9;20,3;75,2;48;8,4;2,2;
2008-08-02;1,6;1016;19,5;26,7;22,3;19,3;84,5;67;6,8;2,1;
2008-08-03;6,8;1014,6;21,4;26,1;23,7;20,9;87,1;72;6,3;1,4;
2008-08-04;1,8;1013,9;21,4;28,2;24,5;21,3;83,7;67;7,4;2,1;
2008-08-05;0;1017,1;21;27,9;24,6;22,7;81;63;8,9;2,2;
2008-08-06;1;1016,9;19,3;27,5;23,8;21,1;76,3;55;7,5;2,3;
2008-08-07;3,2;1016,9;19,9;27,3;23,3;20,2;81,7;66;8,9;2;
2008-08-08;1,2;1016,6;20,1;26,8;22,7;20,8;86,1;67;6,1;1,5;
2008-08-09;,4;1017,8;19,4;27,9;22,7;18,5;82,4;56;7,1;1,6;
2008-08-10;0;1017,4;18,2;28,1;23,5;20,1;74,5;41;6,9;1,4;
2008-08-11;0;1017,4;19;27,8;23,3;20,4;77,1;48;9,8;2,6;
2008-08-12;2,2;1017,5;19,2;26,8;23,5;21,6;77,2;52;10,4;2,4;
2008-08-13;8,6;1018,4;19,3;27,1;23,4;20,4;78,4;59;9;2,4;
2008-08-14;1,6;1019,2;19,6;27,3;23,4;20,8;79,7;64;9,8;2,2;
2008-08-15;,8;1019,3;20;27;22,8;19,6;84,4;65;9,3;2;
2008-08-16;9,4;1018,2;18,9;27,6;24,3;21,5;72,4;56;10,3;3;
2008-08-17;,2;1017,8;18,2;27,3;23,8;21,2;71,5;53;9;2,4;
2008-08-18;,2;1018,1;18,2;26,6;22,5;18,9;77,5;55;10,4;2,2;
2008-08-19;6,8;1017,5;19,1;27,3;23,3;20,3;77,7;62;11,8;3,4;
2008-08-20;0;1017;18,7;27,1;23,7;21,9;74;59;10;3;
2008-08-21;9,4;1017,2;19;26,5;22,3;20;82;59;10,2;2,1;
2008-08-22;7,4;1016,9;18,8;27,4;22,6;18,9;80,3;57;7;1,7;
2008-08-23;0;1017,7;19,6;27,4;23,8;20,8;78,4;60;9,5;2,5;
2008-08-24;,2;1018,6;17,5;27,3;23,8;20,5;68,5;51;9,4;2,9;
2008-08-25;0;1018,1;18,7;27,1;22,6;19,6;79,3;58;8,6;2,5;
2008-08-26;,4;1016,6;19;26,5;22,1;19,8;83,2;60;5,4;1,8;
2008-08-27;,2;1015;19,2;27,5;22,5;18,9;82,6;55;6,3;1,6;
2008-08-28;0;1015;18,8;27,4;22,8;18,8;79,7;56;8,7;1,7;
2008-08-29;0;1015,4;18,3;27,4;22,4;18,6;79;53;8,7;1,5;
2008-08-30;0;1014,4;18,4;27,9;22,5;18,5;78,9;47;6,8;1,5;
2008-08-31;,2;1015,5;18,4;27,5;23,1;19;75,6;54;9,3;2,6;
2008-09-01;0;1016,7;18,8;27,8;23,7;20,4;74,4;56;12,2;3,8;
2008-09-02;6;1016,6;19,8;26,4;22,5;19,8;85;66;9,9;3;
2008-09-03;7;1016,6;19,8;27,6;23,3;20,8;81,5;61;7,2;1,8;
2008-09-04;,2;1016,3;19;27,8;22,9;18,8;79,8;53;7,8;1,9;
2008-09-05;0;1016,2;17,3;27,8;23,8;20,6;67,7;53;7,9;2,1;
2008-09-06;0;1017,3;18,7;28;22,8;17,6;79,1;53;7,6;1,9;
2008-09-07;,2;1018,4;20,3;28;23,7;20,3;82,1;59;7,5;1,6;
2008-09-08;0;1018,5;20;28,5;24,6;20,5;76,4;55;9,1;2,5;
2008-09-09;0;1019,1;18;28,6;24,6;21,7;68;43;9,6;2,5;
2008-09-10;0;1019,8;18,3;28,6;24,8;22,1;67,8;41;8,3;2,6;
2008-09-11;0;1019,2;19;27,8;24,8;22,9;70,9;50;9,3;2,7;
2008-09-12;0;1017,8;19,7;28;23,2;20,3;81,5;56;6,6;1,8;
2008-09-13;,4;1016,4;20;28,2;22,8;19;85;57;5,7;1,1;
2008-09-14;0;1016,5;21;28,3;24,2;20,6;83;64;8,7;1,7;
2008-09-15;0;1017,5;20,5;27,9;24,9;23,2;77,4;56;7,7;1,9;
2008-09-16;0;1017,3;20,3;28,8;24,7;21,2;77;59;7,9;1,8;
2008-09-17;0;1016,5;19,7;28,6;24,2;20,4;76,7;53;7,8;1,9;
2008-09-18;0;1015,8;19,6;27,9;23,3;19,6;80,9;57;7;1,5;
2008-09-19;2,6;1017,8;20,5;24,8;22,4;21,1;89,2;76;12,1;2,6;
2008-09-20;22,4;1018,3;19,8;26,6;23,3;21,2;81,4;61;11,5;3;
2008-09-21;11,2;1017,6;19,5;25,9;22,6;20,5;83,1;64;8,8;1,9;
2008-09-22;0;1015,1;20,2;27,3;24,1;20,1;79;66;8,6;2,2;
2008-09-23;,2;1012,7;21,6;28,2;25,6;23,5;78,5;65;9;3,5;
2008-09-24;0;1014,3;21,4;28,9;25,7;22,7;78;63;7,4;2;
2008-09-25;88,8;1017,4;21;24,7;22,2;21,3;92,9;83;9,2;2,2;
2008-09-26;19,6;1017,2;19,8;26,6;23,5;21,1;80,6;65;8,8;2,8;
2008-09-27;7;1015,6;20,3;26,7;23,1;21,2;85,1;61;8,1;1,6;
2008-09-28;0;1014,4;21;27,3;23,9;20,7;84,5;69;5,1;1,4;
2008-09-29;0;1015,2;21,3;29,4;25,6;22,9;78,2;53;6,4;2;
2008-09-30;0;1017,1;21,8;27,6;25,1;24,3;82,2;69;9,3;2,5;
2008-10-01;0;1014,9;22;28,9;25,4;22,4;82;62;7,8;1,8;
2008-10-02;0;1013,8;21,1;29,5;25,6;22,6;76,8;55;7,6;2,1;
2008-10-03;1,4;1014,4;21,8;28,9;25,8;23,3;78,7;65;9;2,1;
2008-10-04;0;1015,3;21,3;28,9;25,9;24;76,2;56;9,1;2,4;
2008-10-05;0;1014,7;21;28,7;25,2;21,8;78,1;61;8,2;2,1;
2008-10-06;0;1015,8;20,9;29;25,6;23,4;75,5;63;8,7;2,6;
2008-10-07;0;1018,1;20,4;27,9;25,4;23,8;74,5;57;10,7;2,9;
2008-10-08;4,4;1017,3;19,9;28;24,2;21,3;77,3;60;10,4;2,6;
2008-10-09;3,2;1017,4;20,3;27,5;23,7;21,7;81,7;62;11,1;2,8;
2008-10-10;0;1016,7;19,7;27,8;24,4;21;75,9;61;9,1;2,9;
2008-10-11;7,4;1016,4;20,3;28,5;24,6;21,2;77,5;60;12,5;3,2;
2008-10-12;0;1017;20;27,9;25,3;23,7;72,5;60;9,3;3;
2008-10-13;,4;1017,1;20,5;28,7;25;22,9;76,5;60;9,5;2,9;
2008-10-14;2;1015,9;20,3;28,6;25;22,8;75,3;58;11,2;2,7;
2008-10-15;0;1016,1;20,5;28,7;25,5;23,5;74,2;56;8,5;2,5;
2008-10-16;,2;1015,9;21;29,2;24,8;20,8;79,9;58;7,6;1,8;
2008-10-17;0;1014,7;20,7;28,9;25,3;21,5;76,3;57;7,6;2,3;
2008-10-18;0;1014,6;20,2;29,6;25;20,5;75,9;52;8,4;2;
2008-10-19;0;1015,1;21,4;30,6;26,4;23,4;74,3;55;9,2;2,6;
