Nome: IBOTIRAMA
Codigo Estacao: A439
Latitude: -12.19305555
Longitude: -43.21333333
Altitude: 425.12
Situacao: Operante
Data Inicial: 2008-04-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;58,9;40;5,5;null;
2008-04-29;0;962;20,4;33,1;26;20,8;73,7;40;7,5;,9;
2008-04-30;0;961,7;20,2;33,9;26,4;21,5;72,1;35;5,2;1;
2008-05-01;0;null;null;33,4;null;19,2;78,6;31;7,7;null;
2008-05-02;null;962,6;17,6;31,1;25,5;19,5;64,2;39;8,3;2,1;
2008-05-03;0;963,3;18,9;32,7;24,4;18,7;73,8;40;4,9;1,4;
2008-05-04;0;963,5;18,7;34,8;26,3;19,4;67,1;32;5;1,1;
2008-05-05;0;963,9;19;34,2;26,6;20,3;65,8;32;5,7;1,3;
2008-05-06;0;963;19,6;34,4;26,7;21,1;68,8;33;5,9;1;
2008-05-07;0;963,2;20,9;30,3;25,5;22;76,8;55;4,7;1,2;
2008-05-08;0;962,7;19,3;34,1;25,9;19,6;71;30;7,2;1,2;
2008-05-09;0;962,8;18,9;32,8;26,2;20,5;66,7;34;5,5;1,4;
2008-05-10;0;964,2;19,3;30,6;26,1;22,7;67,7;45;10,4;1,8;
2008-05-11;0;965,5;17,1;32,5;26,5;21,9;58,9;33;9,4;1,7;
2008-05-12;0;966,2;15,4;32,6;27,1;20,6;50,1;32;7,8;2,1;
2008-05-13;0;966,3;15,2;31,4;26,5;22,2;50,7;36;8,8;2,3;
2008-05-14;0;966,1;14,9;33,1;25,9;18,8;52,7;30;8,1;1,6;
2008-05-15;0;966;15,9;33,8;26,3;18,7;56,4;27;7,4;1,3;
2008-05-16;0;965,7;16,6;34,1;26;18,6;59,2;31;8,1;1,2;
2008-05-17;0;965,8;16,6;33,9;26,7;19,7;57;30;9;1,5;
2008-05-18;0;966,2;15;33,2;27,2;20,8;49,5;29;9,3;3,1;
2008-05-19;0;965,8;15,8;33;25,1;17,7;59,8;31;8,4;1,6;
2008-05-20;0;964,7;15,3;33,3;24,5;17,2;60,2;27;6,6;1,4;
2008-05-21;0;964;13,4;33,5;24,6;16,3;53,2;24;6,7;1,5;
2008-05-22;0;965;14,3;32,7;23,4;15,2;59,3;31;5,5;1,4;
2008-05-23;0;964,3;15,5;33,6;24,5;15,5;61,9;29;6;1,3;
2008-05-24;0;964;16,7;32,7;25,1;18;62,5;33;5,1;1;
2008-05-25;0;963,1;16,9;33,5;26,1;19,3;59,9;30;5,1;1,4;
2008-05-26;0;963,8;17,1;31,7;25,6;18,9;61,2;38;6,5;1,3;
2008-05-27;0;963,7;15,4;34,7;26,7;17,7;55;26;6,7;1,7;
2008-05-28;0;963,8;12,8;34,6;28,7;23,5;38,7;25;11,6;3,6;
2008-05-29;0;964,6;12,4;33,1;26,3;16,7;43,7;28;11,6;2,6;
2008-05-30;0;965,7;14,6;33,6;25,8;17,8;54,4;29;8;1,9;
2008-05-31;0;966,3;13,1;33,8;26,9;18,5;47,6;18;11,3;3;
2008-06-01;0;966,8;13,4;32,8;26,2;18,7;47,4;27;12,9;3;
2008-06-02;0;966,8;10,1;32,9;25,7;17,9;41,9;15;12,1;3,1;
2008-06-03;0;966,6;12,9;32,1;25,2;16,2;49;27;9,7;2,2;
2008-06-04;0;966,2;13,7;33,5;25,1;17,6;53,7;23;9;1,6;
2008-06-05;0;966,7;13,4;33,8;26;18,6;49,1;22;7;1,4;
2008-06-06;0;966,8;13,7;33,4;25,7;18,5;50,4;27;11,6;2,9;
2008-06-07;0;966,5;13,7;33,5;26,5;18,5;48,2;23;12,1;3,6;
2008-06-08;0;966,2;14;33,7;27,1;20,6;46,6;24;11,9;3,8;
2008-06-09;0;966,5;14,9;32,3;26,1;21,2;53,2;27;12;3,6;
2008-06-10;0;966,2;11,3;32,2;26;17,3;42,5;23;12,9;2,8;
2008-06-11;0;965,6;11;32,7;24,4;15,8;48,3;19;7,9;1,9;
2008-06-12;0;966,6;13,2;30,7;23,4;14,7;54,2;20;10,8;2,2;
2008-06-13;0;966,2;13,4;32,3;26;19,9;48,6;26;10;2,8;
2008-06-14;0;964,7;13,4;32,1;24,4;16,5;53,6;28;12;2,7;
2008-06-15;0;966;12;31,8;24,8;17,9;47,9;24;12;1,8;
2008-06-16;0;966,3;10,2;33,1;22,3;11,3;51,1;23;8,8;1,5;
2008-06-17;0;965,6;10,4;33;24,3;14,1;46,5;19;12,6;2,6;
2008-06-18;0;965,5;13,4;33;25,6;16,7;50,3;26;11,2;3;
2008-06-19;0;965,6;12,7;31,6;25,5;17,3;48,8;24;10,8;3,1;
2008-06-20;0;965,4;11,4;32,3;23,9;15,3;49,1;25;10,1;1,4;
2008-06-21;0;964,6;11,9;32,2;23,5;14,9;51,7;26;7,8;1,5;
2008-06-22;0;964,4;12;33,1;24,2;15,4;50,3;22;11,6;1,4;
2008-06-23;0;965,5;11,3;33,6;24,9;14,6;47;20;10,5;1,7;
2008-06-24;0;966,9;14,7;32,9;26,4;18,5;51,5;28;8,9;2,2;
2008-06-25;0;966,4;12,1;32,8;25,9;17,1;45,2;22;8,7;2;
2008-06-26;0;966,4;12,9;32,2;25;16;51,2;24;12,4;3;
2008-06-27;0;968,1;13,9;31,9;25,4;19,2;50,8;28;14,5;3,9;
2008-06-28;0;969,5;13,3;31,7;24,9;17,1;51,2;29;10,6;3,4;
2008-06-29;0;968,8;12,7;31,1;26;21,4;45,1;28;9;2,9;
2008-06-30;0;968,3;12,3;31;25,1;20,3;46,5;28;10,2;3,5;
2008-07-01;0;968;13,6;32,9;24,5;14,7;54,2;27;10,7;2,5;
2008-07-02;0;968,1;12,9;32,2;26,1;19;46,8;24;10,4;3,6;
2008-07-03;0;967,6;12;31,6;24,8;15,6;48;25;12,7;2,8;
2008-07-04;0;966,4;12,6;32,9;25,2;16,6;49,2;23;7,5;1,6;
2008-07-05;0;966,5;12,1;33,3;24,7;14,7;50;21;10,6;1,9;
2008-07-06;0;967,6;13;33;26,3;19,6;46,3;23;13,1;3,1;
2008-07-07;0;968,3;12,8;32,6;25;16,6;49,8;25;11,3;2,5;
2008-07-08;0;968;10,7;30,8;23,1;14,6;49,2;22;10,9;1,9;
2008-07-09;0;967,3;9,9;30,8;23,1;14,4;46,2;26;6,9;1,9;
2008-07-10;0;968;10,2;32,5;25,4;16,9;41,1;20;10;3,3;
2008-07-11;0;969,6;14,2;30,1;24,9;18,9;53,3;33;12,8;4,1;
2008-07-12;0;969,1;10,9;31,5;23,9;16,1;47,8;23;10;2,7;
2008-07-13;0;967,5;7,4;30,7;23;14;42,1;14;11,2;2,6;
2008-07-14;0;967,9;9,8;30,2;24,2;16,9;42;24;11,8;3,9;
2008-07-15;0;969,6;11;29,9;24,4;18,2;44,3;28;12,5;4,7;
2008-07-16;0;969,8;8,4;31,8;25;18,8;37,6;13;14,9;4,3;
2008-07-17;0;967,8;10,9;31,4;24,6;16,6;44,5;26;8,9;2,5;
2008-07-18;0;967;12,3;33,3;24,6;15,5;49,7;25;6;1,5;
2008-07-19;0;967,1;12,7;33,7;25,5;15,4;48,6;22;8,2;1,8;
2008-07-20;0;966,9;9,8;32,8;25,2;15,7;42,8;16;9,6;2,1;
2008-07-21;0;967,8;9,5;32,3;25,1;16,9;39;23;11,6;3,5;
2008-07-22;0;967,6;11,2;32,9;26,1;18,5;41,9;22;10,8;2,2;
2008-07-23;0;966,8;12;33,3;25,2;15,7;46,9;23;9,3;1,6;
2008-07-24;0;966,2;10,7;32,7;24,1;14,9;47,1;20;7,9;1,6;
2008-07-25;0;966,2;9,3;33,3;23,8;14,4;43,6;18;6,5;1,4;
2008-07-26;0;966,4;5,9;34,7;25;13,1;37,2;9;9,7;2;
2008-07-27;0;968,4;8,1;32,2;26,1;20,3;33,5;17;14,4;4,5;
