Nome: SERRINHA
Codigo Estacao: A441
Latitude: -11.66472222
Longitude: -39.02305554
Altitude: 337.79
Situacao: Pane
Data Inicial: 2008-05-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-08;null;null;null;null;null;null;null;null;null;null;
2008-05-09;null;null;null;null;null;null;null;null;null;null;
2008-05-10;null;null;null;null;null;null;null;null;null;null;
2008-05-11;null;null;null;null;null;null;null;null;null;null;
2008-05-12;null;null;null;null;null;null;90,5;79;11,4;null;
2008-05-13;4,6;978,4;18,8;26,6;22,1;19,3;82,7;56;12,9;3,8;
2008-05-14;0;977,7;18,5;28,9;22,6;18,8;80,3;44;10,8;2,9;
2008-05-15;0;977,8;20,6;27,3;22,5;20,3;89,5;67;6,4;2;
2008-05-16;3;977,5;19,5;28,3;22,8;18;83,5;56;8,5;2,3;
2008-05-17;0;977,9;18,9;29,3;22,9;16,3;80;49;10,9;2,6;
2008-05-18;8,4;977,9;20,6;22,7;21,4;20,4;95,3;84;9,4;3,6;
2008-05-19;22,2;976,9;20;25,9;22,3;19,9;87,3;68;11,3;3,1;
2008-05-20;0;976,2;19,6;26,6;22,1;19,1;86,5;63;10,6;3;
2008-05-21;0;975,5;19,4;26,5;22,6;20,4;82,4;66;8,2;2,8;
2008-05-22;0;976,3;20,6;27,2;22,8;20,2;87,9;67;8,2;2,7;
2008-05-23;1,4;975,5;20,2;28,3;23,6;21,2;82,5;58;10,1;3,2;
