Nome: BELMONTE
Codigo Estacao: A447
Latitude: -16.08805555
Longitude: -39.21527777
Altitude: 89.67
Situacao: Operante
Data Inicial: 2009-07-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-07-01;null;null;null;null;null;null;null;null;null;null;
2009-07-02;null;null;null;null;null;null;null;null;null;null;
2009-07-03;null;null;null;null;null;null;null;null;null;null;
2009-07-04;null;null;null;null;null;null;null;null;null;null;
2009-07-05;null;null;null;null;null;null;null;null;null;null;
2009-07-06;null;null;null;null;null;null;null;null;null;null;
2009-07-07;null;null;null;null;null;null;null;null;null;null;
2009-07-08;null;null;null;null;null;null;null;null;null;null;
2009-07-09;null;null;null;null;null;null;null;null;null;null;
2009-07-10;null;null;null;null;null;null;null;null;null;null;
2009-07-11;null;null;null;null;null;null;null;null;null;null;
2009-07-12;null;null;null;null;null;null;null;null;null;null;
2009-07-13;null;null;null;null;null;null;81,8;63;6;null;
2009-07-14;,4;1009,8;20,6;26,3;22,1;20,4;91,3;70;5,6;1,1;
2009-07-15;9,2;1009,5;19,5;27,2;22,2;18,3;86;58;8,3;1,9;
2009-07-16;5,6;1010,7;20;25,9;21,4;19,5;91,8;71;8,1;2;
2009-07-17;2,8;1010,9;19,2;24,8;20,3;17,1;94;80;7,8;1,4;
2009-07-18;3,2;1009,1;18,2;27,6;20,8;16,1;86,9;54;4,8;1,1;
2009-07-19;0;1005,7;18,1;27,8;20,7;15,3;86,5;50;4,9;,9;
2009-07-20;0;1005,8;19,1;28,4;21,5;16,3;87,3;55;6,8;1,2;
2009-07-21;0;1007,4;19,6;26,8;21,9;17,7;87,7;66;6,3;1,3;
2009-07-22;6;1007,4;20,5;26;22,1;20,4;90,9;67;4,1;1;
2009-07-23;,6;1005,9;19,9;26,1;21,4;17,4;91,8;72;5,6;,8;
2009-07-24;,8;1006;19,9;28;21,8;17,3;89,4;66;7,3;1,4;
2009-07-25;,4;1008,4;18,9;28,6;21,5;17,6;86,8;53;7,4;1,2;
2009-07-26;0;1009,2;17,3;28,9;21,2;16,3;81,7;43;4,6;1;
2009-07-27;0;1008,3;19,3;27,7;22,1;16,8;85,3;61;4,8;1,2;
2009-07-28;0;1007,8;19,3;28;22,4;20,1;84,1;56;5,8;1,4;
2009-07-29;0;1007,7;16,3;28,3;20,5;14,6;80,5;39;5;1;
2009-07-30;0;1008,5;17;28,6;20,3;14,7;83,7;48;7,1;1,1;
2009-07-31;0;1010,3;18,1;25,7;19,8;15;90,5;67;6,5;1,1;
2009-08-01;1,6;1009,9;19,8;26,9;21,5;17,9;90,5;68;8,1;1,5;
2009-08-02;4,4;1010;19,7;27,3;21,6;17,8;89,6;56;7,7;1,1;
2009-08-03;,6;1010,1;18,9;26,8;21,4;16,6;86,9;64;6;1;
2009-08-04;0;1009;17,3;27,8;20,6;14,9;83,9;50;7,7;1,1;
2009-08-05;0;1008,7;17,5;27,4;21;15,8;82,1;51;7,7;1,5;
2009-08-06;1,4;1008,5;18,8;28,9;22,2;18,4;83,2;47;6,5;1;
2009-08-07;0;1009,1;18,2;28,5;21,3;15,6;84,6;49;6,3;1,2;
2009-08-08;0;1010,6;18,3;25,6;20,7;16,1;87,2;59;9,3;1,4;
2009-08-09;2;1009,3;18,7;26,8;21;18,1;87,7;52;6,2;1,1;
2009-08-10;,2;1008,2;17,4;28,6;20,5;14,6;84,6;52;6,6;1,1;
2009-08-11;0;1008,3;17,9;28,4;21;14,9;84;53;6,5;1,4;
2009-08-12;0;1010,9;18,2;26,7;20,8;16,2;86,1;54;7,5;1,6;
2009-08-13;2,8;1010,9;19,2;25;21;18,8;89,5;71;6,5;1,7;
2009-08-14;3,2;1008,9;18,7;24,8;20,5;18,4;89,6;69;6,7;1,7;
2009-08-15;1,8;1008,2;18,7;26,4;20,9;17,9;87,9;59;8,8;1,6;
2009-08-16;3;1009,2;18,8;26,3;21,3;17,4;86,9;60;10;1,7;
2009-08-17;7;1008;17,9;27,3;21;15,9;84,2;54;7,2;1,5;
