Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Pane
Data Inicial: 2015-08-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-19;null;null;null;null;null;null;null;null;null;null;
2015-08-20;null;null;null;null;null;null;null;22;8,6;null;
2015-08-21;null;973,3;13,8;34,8;27,5;20;48,8;16;12,5;3;
2015-08-22;0;972,6;14,2;34,2;27;21;49;23;10,5;3,9;
2015-08-23;0;972,6;13,8;32,3;26,3;20,8;48,8;27;11,7;3,8;
2015-08-24;0;972,4;11,7;34;26,5;19,7;44,5;18;9,5;3;
2015-08-25;0;972,9;13,3;33,4;27;20,3;45,8;25;11,7;2,7;
2015-08-26;0;973,1;15,2;34,5;28,2;23,1;48,2;26;10,2;3;
2015-08-27;0;972,6;15,5;34;28;22,2;49,5;27;9,1;3,4;
2015-08-28;0;973,5;13,3;33,8;27,4;20,8;44,5;23;12,4;4;
2015-08-29;0;975,1;12,2;33,9;27;19,8;44,5;18;12,1;3,4;
2015-08-30;0;975,7;13,7;33,1;26,6;21,3;48,5;24;13,5;4;
2015-08-31;0;975,3;12,6;32,6;25,8;20,1;47,2;20;12,3;4;
2015-09-01;0;974,4;13,8;33,5;26,2;19,4;50,4;24;16,1;3;
2015-09-02;0;973,5;11,2;34,4;27;19,9;42,6;15;8,3;2,9;
2015-09-03;0;974;13,4;33,4;26,9;21,1;46,8;24;11,4;3,3;
2015-09-04;0;973,7;13,6;34,9;27,6;21,4;46,7;19;10,4;3;
2015-09-05;0;972,8;11,4;36,7;28,7;21,1;39,7;12;9,3;2,5;
2015-09-06;0;972,6;10,3;36,7;29,2;21,6;35,3;13;11,4;3,5;
2015-09-07;0;972,8;11,4;34,3;27,5;19,9;41,5;16;10,8;3,6;
2015-09-08;0;972;11;34,8;27,6;21;39,6;17;10;3,3;
2015-09-09;0;971,9;13,6;35,1;28,4;21,9;44;20;10;3,9;
2015-09-10;0;972,4;13,9;33,6;27,7;21,7;45,9;24;11;4,1;
2015-09-11;0;972,2;12,3;34,4;27,4;20,4;42,3;19;12;2,8;
2015-09-12;0;972,5;12,5;36;28,5;21,7;42,2;15;9,3;2,8;
2015-09-13;0;972,8;13,5;35,2;28,6;22,3;43,5;20;12,4;3,4;
2015-09-14;0;974,3;13,1;33,7;27,3;21,7;45,5;20;10,5;3,3;
2015-09-15;0;974,8;15,8;32,8;27,4;22,5;51,5;24;13,4;4,5;
2015-09-16;0;974,6;14,9;32,4;25,8;19,7;53,5;28;12,2;4,3;
2015-09-17;0;973,7;15,4;33,1;26,4;21,4;54,1;25;12,5;4,2;
2015-09-18;0;973,8;16,2;33,1;25,9;21,1;56,8;30;12,4;3,6;
2015-09-19;0;973,9;14;34,5;27,7;21,7;48;20;9,1;3,2;
2015-09-20;0;973,4;14,2;34,4;28,3;22,4;45,4;22;11,2;3,7;
2015-09-21;0;973,4;13,5;34;27,4;21,1;45,6;26;11,6;4;
2015-09-22;0;972,8;13,1;34,7;27,6;21;44,5;21;10,6;3,8;
