Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Fechada
Data Inicial: 2016-05-27
Data Final: 2022-09-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-27;null;null;null;null;null;null;null;null;6,5;null;
2016-05-28;null;970,1;null;33,4;25,7;18,1;null;null;9,4;2,6;
2016-05-29;0;969,2;null;33,5;27,2;20,7;null;null;8;2,8;
2016-05-30;0;967,6;null;33,7;27;21,7;null;41;8,2;3;
2016-05-31;0;966,7;null;34,9;27,5;21,2;null;43;7,7;2,3;
2016-06-01;null;966,6;null;35,3;null;21,2;null;38;9,8;2,8;
2016-06-02;0;966,9;null;35,1;25,9;17,3;59,3;24;6,7;1,6;
2016-06-03;0;966,9;null;34,3;null;19,2;51,5;33;6,6;1,9;
2016-06-04;null;966,7;null;36,5;27,5;19,3;null;38;7,2;1,8;
2016-06-05;0;966,7;null;35,6;28,2;20,4;54,1;39;7,4;2,2;
2016-06-06;0;967,3;null;34,9;28,8;24,2;null;48;8,6;2;
2016-06-07;null;967,5;null;34,9;null;20,5;null;39;10,4;2,2;
2016-06-08;0;967,5;null;36,4;28,7;20,3;null;35;8,2;1,6;
2016-06-09;7,6;968,8;null;34,6;28,8;22,3;null;36;11,1;2,5;
2016-06-10;0;969,8;16,7;33,1;26,7;20;56,4;33;7,1;1,7;
2016-06-11;0;970,2;null;34,5;26,3;17,9;62,1;29;7,8;1,7;
