Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-12;null;null;null;null;null;null;null;null;null;null;
2015-08-13;null;null;null;null;null;null;null;null;null;null;
2015-08-14;null;null;null;null;null;null;null;null;null;null;
2015-08-15;null;null;null;null;null;null;null;null;null;null;
2015-08-16;null;null;null;null;null;null;null;null;null;null;
2015-08-17;null;null;null;null;null;null;null;null;null;null;
2015-08-18;null;null;null;null;null;null;null;41;10,7;null;
2015-08-19;2;986,2;18,9;28,4;22,6;20,1;80,4;55;11,5;2,9;
2015-08-20;,6;985,4;18,4;30;23,6;19,1;75,2;43;9,1;2;
2015-08-21;0;985,9;17,9;30,6;23,5;18,6;74;38;8,1;1,9;
2015-08-22;0;985,2;17,7;30,9;24,2;20,4;70;39;10,4;2,8;
2015-08-23;0;984,9;16,9;30,2;23,5;19,1;69,2;37;9,6;2,6;
2015-08-24;0;984,8;15,4;30,3;23,4;18;64,6;32;9;1,8;
2015-08-25;0;985,4;17,3;32,1;24,5;18,1;67,8;33;8,7;2,3;
2015-08-26;0;985,6;18,4;32,6;26;21;67,2;32;8,7;3,3;
2015-08-27;0;985,3;17,5;31,5;25,1;21;66,1;34;9,7;2,7;
2015-08-28;0;986,4;16,2;31,5;24;17,6;66;32;10,2;2,6;
2015-08-29;0;987,8;17;31,8;24,6;19,6;66,5;30;16,2;2,9;
2015-08-30;0;988,4;17;31,2;24,8;21;65,6;31;12,9;3,3;
2015-08-31;0;987,7;15,9;30;23,5;18,1;65,8;35;13,8;3,1;
2015-09-01;,2;986,9;16,9;30;23,9;19,6;67,6;38;9;2,6;
2015-09-02;,2;985,9;16,2;31,8;24,4;18,5;64,7;30;10,8;2,2;
