Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Pane
Data Inicial: 2016-06-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-01;null;null;null;null;null;null;null;null;null;null;
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;null;22;2,6;null;
2016-06-04;null;957,6;14,3;35,6;23,4;14,9;65,6;21;6,4;1;
2016-06-05;0;957,6;14,8;34,7;23,7;15;63,1;29;7,1;1,1;
2016-06-06;0;958,1;17,3;35,3;24,6;16,6;69,4;31;8,3;1,1;
2016-06-07;0;958,3;18,2;35,4;25,6;18,5;68,3;33;4,8;1;
2016-06-08;0;958,4;18,3;35,7;26,2;19,2;66,8;30;6,3;,8;
2016-06-09;0;959,4;17,4;34,8;25,5;17,9;66,5;33;7,2;1,2;
2016-06-10;0;960,3;18,7;34,4;25,8;19,1;70,1;33;6;1,1;
2016-06-11;0;961,1;null;35,1;26,1;19,3;null;53;5,3;1,1;
2016-06-12;0;961,9;null;34,3;25,2;19,5;null;null;6,7;1,1;
2016-06-13;0;962,6;null;32,6;24,9;19,2;null;null;7,5;1,2;
2016-06-14;0;963,5;null;31,4;24,6;17,8;null;null;9,1;1,9;
2016-06-15;0;964,4;null;31,2;24;16;null;null;9,3;2;
2016-06-16;0;962,9;null;32,1;22,5;14,7;null;null;7,5;1,2;
2016-06-17;0;961,3;null;31,7;22,6;15,9;null;null;8;1,3;
2016-06-18;0;961,1;null;32,3;23;15,9;null;null;6,8;1,2;
2016-06-19;0;961,1;null;32,6;23,5;16,8;null;null;7,8;1,3;
2016-06-20;0;960,5;null;32,4;22,6;15,4;null;null;8;1,4;
2016-06-21;0;961,4;null;31,5;22;14,7;null;64;8,5;1,5;
2016-06-22;0;961,9;13,2;31,2;21,1;11,9;65,3;33;9,9;1,4;
2016-06-23;0;961,4;14,6;32,5;22,4;14,4;65,3;31;6,9;1,2;
2016-06-24;0;960,8;14,1;32,4;22,4;14,1;65,3;28;8,4;1,2;
2016-06-25;0;961,4;13,5;30,4;22,3;14,4;61,2;34;10,2;2,1;
2016-06-26;0;962,4;14,6;30,3;22,3;15,1;65;37;11,3;1,9;
2016-06-27;0;963,5;13,9;29,7;22,2;15;62,6;35;10,1;1,8;
2016-06-28;0;963,2;12,7;30,1;20,3;12,6;66,3;28;10,8;1,6;
2016-06-29;0;962,9;12,4;29,5;20;11,8;65,5;34;10,7;1,9;
2016-06-30;0;962,1;12,9;30,8;21;12;64,6;29;10;1,8;
2016-07-01;0;962,2;13,9;30,5;21,9;13,4;64,2;34;9,4;1,6;
2016-07-02;0;962,5;13,6;30,5;21,6;12,5;64,8;35;11;1,8;
2016-07-03;0;962,7;13,8;30,8;21,6;13,2;65,8;33;9,8;1,5;
2016-07-04;0;962,7;14,7;30,6;21,7;14;67,7;37;10;1,7;
2016-07-05;0;962,3;14;30,7;21,8;13,7;65,9;32;11,7;1,7;
2016-07-06;0;961,9;14,6;31,3;22,1;14,7;66,4;31;7,2;1,3;
2016-07-07;0;961,4;12,9;33,3;21,7;12,4;63,9;25;7,8;1;
2016-07-08;0;961,7;11,9;34,5;22,3;12,6;59;20;11,7;,8;
2016-07-09;0;961,3;12;34,4;22,1;12,3;59,4;22;6,7;1,1;
2016-07-10;0;961,1;13,1;33;22,2;13,5;60,7;27;7,8;1,2;
2016-07-11;0;960,1;13,8;32,7;22,7;14,6;61,8;26;7,3;1,3;
2016-07-12;0;959,6;12,5;32,7;21,6;12,5;61,9;25;6,3;1;
2016-07-13;0;959,6;12,4;33,4;22;12,4;60,5;25;7,5;1,1;
2016-07-14;0;959;12,5;33,7;22,1;12,7;60,8;23;7,3;1,1;
2016-07-15;0;958,6;12;33;21,7;12,4;59,9;23;8;1,2;
2016-07-16;0;958,7;10,9;33,4;21,2;11,6;59,2;22;7,9;,9;
2016-07-17;0;958,6;10;35,7;21,8;11;55,2;16;5,8;,8;
2016-07-18;0;958,7;10;36,3;22,3;11,6;53,8;15;5,2;,7;
2016-07-19;0;959,9;11;35,1;22,9;14;52,5;19;9,6;1,1;
2016-07-20;0;960,1;12,8;33,3;22,7;13,9;57,9;25;7,5;1,5;
2016-07-21;0;960;13,1;34;23;14,1;59,1;26;6,5;1,1;
2016-07-22;0;959,5;13,6;34;23,6;14,7;58,2;26;7,7;1,3;
2016-07-23;0;960,4;12,9;32;23;15,1;57,8;27;9,3;1,5;
2016-07-24;0;961,7;12,6;30,8;22,1;14,2;58,9;29;9,8;1,8;
2016-07-25;0;960,4;12,2;31,6;21,4;12,1;61;26;10;1,7;
2016-07-26;0;960,9;13,2;30,3;21;12,9;64,5;34;8,9;1,6;
2016-07-27;0;961,1;12,2;30,6;22,4;16,2;56,5;26;8,4;1,7;
2016-07-28;0;960,2;10,8;31,8;20,7;11,5;58,9;26;9;1,5;
2016-07-29;0;960,5;11,1;31,6;21,3;11,9;57,6;25;12,1;1,6;
2016-07-30;0;961,3;11,2;30,2;21,5;13,2;56,3;27;11,3;1,9;
2016-07-31;0;961,2;11,4;29,9;21,1;12,1;58,8;31;12,1;2,2;
2016-08-01;0;961,2;12,5;30,6;22;13,2;59;28;9,6;1,6;
2016-08-02;0;961,4;12,6;32;22,1;13,3;59,3;29;8,8;1,5;
2016-08-03;0;961,1;13,1;32,1;22;13,5;61,2;30;9,4;1,5;
2016-08-04;0;961,3;12,6;32,1;22,1;13,5;59,6;28;8,9;1,5;
2016-08-05;0;961,7;11,4;31,1;21,9;12,4;56,6;25;11;1,7;
2016-08-06;0;961,7;12,2;31,5;21,6;13,1;60,3;27;9,5;1,3;
2016-08-07;0;961,4;11,3;33,3;21,8;11,4;57;23;6,1;1,1;
2016-08-08;0;960,1;11,4;34,1;22,4;12,2;56,7;22;7,4;1,2;
2016-08-09;0;960,4;10,9;34,7;22,9;12,1;53;21;7,6;1,2;
2016-08-10;0;959,6;10,7;36,1;23,2;13;52;17;7;1,1;
2016-08-11;0;958,1;10;37,3;23,7;13,5;49,3;15;6,9;1;
2016-08-12;0;957,7;11,8;36,9;26;16,6;44,4;19;7,7;1,3;
2016-08-13;0;958,4;13,6;34,1;24,8;17,1;53,3;27;8,4;1,4;
2016-08-14;0;958,6;13,7;35,1;24,4;15,7;56,2;24;10,5;1,3;
2016-08-15;0;957,9;13,5;35;24,4;15,6;56;23;7;1;
2016-08-16;0;957,5;13,1;37,2;25,4;15,7;54,4;19;7,1;,9;
2016-08-17;0;958,2;13,7;38;25,8;16,6;53,5;19;8,8;1,1;
2016-08-18;0;958;14,2;37;26,3;17,4;51,8;20;7,4;1,3;
2016-08-19;0;957,9;13,6;34,9;25,8;16,8;51,9;23;9,8;1,7;
2016-08-20;0;958,9;13,2;35,5;26;16,3;50,2;19;8,2;1,6;
2016-08-21;0;958,7;11;37,2;24,5;13,6;49;17;8,9;1;
2016-08-22;0;958,5;11,6;37,5;26;16,4;46,7;17;6,3;1,1;
2016-08-23;0;958,8;11,7;35,4;24,7;15,7;49,2;21;10,1;1,6;
2016-08-24;0;960,2;14,8;33,8;26,1;19,3;52;31;9,6;2,2;
2016-08-25;0;960,8;16,6;32,3;25,4;18,5;60,8;36;10,6;2,4;
2016-08-26;0;959,5;14,8;33,1;25,6;19,2;53,7;31;9,5;2;
2016-08-27;0;958,9;14,6;33,7;24,9;16,1;56,9;27;9,9;1,7;
2016-08-28;0;959,7;16;31,5;26,1;22,5;55,3;37;9,2;2,3;
2016-08-29;0;959,8;11,9;33,5;24,7;15,1;48,3;21;9,5;1,9;
2016-08-30;0;959,1;12,7;35,2;24,3;15,2;52,5;23;8,6;1,4;
2016-08-31;0;959;14;34,8;25,1;17,4;53,2;26;10,4;1,8;
2016-09-01;0;959,1;13,6;35,8;26,8;17,6;48,5;21;10,8;2;
2016-09-02;0;959,9;12,7;33,3;25,9;17,8;47,3;23;9,4;2,1;
2016-09-03;0;960;11,9;32,7;25,9;19,6;45,6;16;11,3;2,2;
2016-09-04;0;960,3;13,3;32,9;25,9;19;47,8;26;9,1;2,1;
2016-09-05;0;960,2;13;33,6;25;16,6;51,5;23;9,3;1,7;
2016-09-06;0;960,2;13,3;35,7;26;18,8;49;21;8,7;1,4;
2016-09-07;0;959,3;13,1;35,9;26;18,1;49;21;8,9;1,4;
2016-09-08;0;958,2;12,4;36,6;25,7;16;49,4;19;9,8;1,2;
2016-09-09;0;958,9;10,8;35,9;24,9;15,6;48;13;8;1,5;
2016-09-10;0;961,3;10,5;33,8;23,5;14,3;47,9;19;9,9;1,9;
2016-09-11;0;960,4;9,9;33,7;25,3;16,8;40,8;18;9,2;2,1;
2016-09-12;0;958,1;11,7;35,9;25;15,5;47;23;8,5;1,5;
2016-09-13;0;957,9;14;35,6;25,9;18;51;26;9,3;1,5;
2016-09-14;0;958,3;12,1;37,1;25,8;16,8;48,3;17;9,1;1,5;
2016-09-15;0;957,5;11,8;37,2;25,7;15,7;46,5;19;8,1;1,4;
2016-09-16;0;957,4;11,7;38,4;26,3;15,7;47,7;15;6,8;1,3;
2016-09-17;0;957,7;12,6;37,2;26,4;17,9;46,2;20;8,3;1,2;
2016-09-18;0;958,2;13,1;36,3;25,8;16,3;49,6;22;9,1;1,5;
2016-09-19;0;957,7;11,8;37,1;26,4;16,7;45,7;17;9,1;1,3;
2016-09-20;0;956,7;9,8;38,1;25,5;14,7;44,7;13;6,8;,9;
2016-09-21;0;955,9;11,5;39,2;26,9;16,7;42,6;17;8,9;1,2;
2016-09-22;0;956,6;15,2;36,9;28,2;19,9;48,9;23;9,4;1,8;
2016-09-23;0;959,8;16,5;33,9;27,5;20,5;53,5;31;8,2;1,3;
2016-09-24;0;959,1;17,2;36,3;27,8;21,5;57,5;26;6,9;1,4;
2016-09-25;1;957,3;19,3;35,5;26,8;22,4;68,3;31;7,2;1,4;
2016-09-26;7,4;958,1;21,1;28,7;23,7;22,1;86,4;55;5,8;1;
2016-09-27;4,8;958,6;20,9;29,1;23,8;21,6;84,9;56;6,2;1,1;
2016-09-28;2;959;21;32,5;24,7;22;81,8;43;10,1;1,5;
2016-09-29;9,6;957,2;19,8;34;25,7;20,3;73,1;36;5,7;1,1;
2016-09-30;,2;955,9;17,9;34,2;27;20,4;63,4;24;7,4;1,6;
2016-10-01;0;957,1;18,5;35,2;27,2;20,8;66,5;29;8,2;1,2;
2016-10-02;0;956,5;17,2;36,5;29,1;23,9;52;25;10,7;1,9;
2016-10-03;0;956,3;16;35,6;27,6;19,6;54,3;24;9,5;1,9;
2016-10-04;0;955,1;15,4;37,1;27,9;19;50,2;23;8;1,6;
2016-10-05;0;956;18,6;33,4;27,2;24;61,3;33;8,3;1,6;
2016-10-06;,4;954;19,8;33,3;25,6;21,8;73;41;12,7;1,5;
2016-10-07;0;954,6;20,4;32,5;24,8;21,9;78,3;42;7,3;1;
2016-10-08;21,4;955,8;21,1;30,5;24,6;21,8;81,5;53;9,4;1,3;
2016-10-09;0;957,8;19,9;33,3;25,8;21,7;72,4;39;10,1;1,7;
2016-10-10;,2;957,3;17,7;35,9;28;20,5;60,2;24;8,8;1,7;
2016-10-11;0;957,6;14,9;34,2;27,1;18,2;50,1;24;10,7;2,2;
2016-10-12;0;958,1;14,4;33,7;27,5;21,6;47;25;13;2,7;
2016-10-13;0;958,5;13,6;34,4;27,4;19,8;47,2;21;12,6;2,8;
2016-10-14;0;959,4;15,6;35;27,2;20,3;52,3;28;8,4;1,7;
2016-10-15;0;958,3;14,6;36;27,2;18,4;54,1;17;9,9;1,7;
2016-10-16;0;956,8;12,7;36,4;25,7;16,6;50,3;16;9,2;1,6;
2016-10-17;0;956,3;13,2;37,1;26,3;16,3;49,9;19;8,4;1,6;
2016-10-18;0;956,5;14,4;37,8;26,1;17,2;55,6;21;7,6;1;
2016-10-19;0;955;15,4;38,9;28,8;19,8;49,9;21;6;,9;
2016-10-20;,2;954,2;19,5;36,5;27,6;24,1;64,5;31;10,3;1,5;
2016-10-21;6;955,7;20,1;33,7;25,6;20,8;73,9;42;7,4;1,1;
2016-10-22;4,4;956,3;19,7;35,1;26,5;21,1;68,7;30;10,6;1,4;
2016-10-23;0;956,8;18;35,4;27,4;20,4;61,5;26;8,9;1,5;
2016-10-24;0;956,3;16,7;35,9;27,7;20,3;56,5;23;8,8;1,6;
2016-10-25;0;955,4;16,1;36,1;27,9;21,8;52,3;22;7,3;1,1;
2016-10-26;0;954,2;16;37,3;27,4;18,7;57,5;20;8,1;1,3;
2016-10-27;0;953,3;14,5;37,7;28;18,3;53,1;20;8;1,3;
2016-10-28;0;954,6;17,6;38,6;28,6;20,8;55,8;24;7,5;1,2;
2016-10-29;0;956,4;18,5;38,7;27,9;21,6;59,5;23;12,3;1,6;
2016-10-30;0;957,3;17,4;34,8;27,7;22,5;57,7;30;11,1;1,8;
