Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-04-06;null;null;null;null;null;null;null;null;null;null;
2016-04-07;null;null;null;null;null;null;null;null;null;null;
2016-04-08;null;null;null;null;null;null;null;null;null;null;
2016-04-09;null;null;null;null;null;null;null;null;null;null;
2016-04-10;null;null;null;null;null;null;null;null;null;null;
2016-04-11;null;null;null;null;null;null;null;null;null;null;
2016-04-12;null;null;null;null;null;null;null;null;null;null;
2016-04-13;null;null;null;null;null;null;null;null;null;null;
2016-04-14;null;null;null;null;null;null;null;null;null;null;
2016-04-15;null;null;null;null;null;null;null;null;null;null;
2016-04-16;null;null;null;null;null;null;null;null;null;null;
2016-04-17;null;null;null;null;null;null;null;null;null;null;
2016-04-18;null;null;null;null;null;null;null;null;null;null;
2016-04-19;null;null;null;null;null;null;null;null;null;null;
2016-04-20;null;null;null;null;null;null;null;null;null;null;
2016-04-21;null;null;null;null;null;null;null;null;null;null;
2016-04-22;null;null;null;null;null;null;null;null;null;null;
2016-04-23;null;null;null;null;null;null;null;null;null;null;
2016-04-24;null;null;null;null;null;null;null;null;null;null;
2016-04-25;null;null;null;null;null;null;null;null;null;null;
2016-04-26;null;null;null;null;null;null;null;null;null;null;
2016-04-27;null;null;null;null;null;null;null;null;null;null;
2016-04-28;null;null;null;null;null;null;null;null;null;null;
2016-04-29;null;null;null;null;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;null;null;null;null;
2016-05-01;null;null;null;null;null;null;null;null;null;null;
2016-05-02;null;null;null;null;null;null;null;null;null;null;
2016-05-03;null;null;null;null;null;null;null;null;null;null;
2016-05-04;null;null;null;null;null;null;null;null;null;null;
2016-05-05;null;null;null;null;null;null;null;null;null;null;
2016-05-06;null;null;null;null;null;null;null;null;null;null;
2016-05-07;null;null;null;null;null;null;null;null;null;null;
2016-05-08;null;null;null;null;null;null;null;null;null;null;
2016-05-09;null;null;null;null;null;null;null;null;null;null;
2016-05-10;null;null;null;null;null;null;null;null;null;null;
2016-05-11;null;null;null;null;null;null;null;null;null;null;
2016-05-12;null;null;null;null;null;null;null;null;null;null;
2016-05-13;null;null;null;null;null;null;null;null;null;null;
2016-05-14;null;null;null;null;null;null;null;null;null;null;
2016-05-15;null;null;null;null;null;null;null;null;null;null;
2016-05-16;null;null;null;null;null;null;null;null;null;null;
2016-05-17;null;null;null;null;null;null;null;null;null;null;
2016-05-18;null;null;null;null;null;null;null;null;null;null;
2016-05-19;null;null;null;null;null;null;null;null;null;null;
2016-05-20;null;null;null;null;null;null;null;null;null;null;
2016-05-21;null;null;null;null;null;null;null;null;null;null;
2016-05-22;null;null;null;null;null;null;null;null;null;null;
2016-05-23;null;null;null;null;null;null;null;null;null;null;
2016-05-24;null;null;null;null;null;null;null;null;null;null;
2016-05-25;null;null;null;null;null;null;null;null;null;null;
2016-05-26;null;null;null;null;null;null;null;null;null;null;
2016-05-27;null;null;null;null;null;null;null;null;null;null;
2016-05-28;null;null;null;null;null;null;null;null;null;null;
2016-05-29;null;null;null;null;null;null;null;null;null;null;
2016-05-30;null;null;null;null;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;null;null;null;null;
2016-06-01;null;null;null;null;null;null;null;null;null;null;
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;27,1;20;5,7;null;
2016-06-04;0;948,1;9;36,3;25,8;16,3;38,6;14;5,7;1,5;
2016-06-05;0;948,1;10,5;36,1;26,6;17,2;39,3;20;8,6;2;
2016-06-06;0;948,3;13;36,6;27,1;17,6;45,8;21;6,1;1,7;
2016-06-07;0;948,3;13,2;36,5;27,3;18;44,3;25;6,3;2;
2016-06-08;0;948,6;12,7;36,9;28,3;20,8;40,2;23;7,8;2;
2016-06-09;0;949,7;13,1;35,6;27,6;19,4;42,9;25;7,5;1,7;
2016-06-10;0;950,7;15,7;33,9;27,6;21,6;49,4;33;8;1,4;
2016-06-11;0;951,4;15,8;34,5;26,7;19,6;53,2;32;9,4;2,1;
2016-06-12;0;952,9;16,9;32,9;26,3;22;57,5;37;8,5;1,9;
2016-06-13;0;954,1;17,3;32,3;24,6;19,5;66;35;12,6;1,8;
2016-06-14;13;956,2;15,1;27;22,3;19,9;64;46;11,4;4,6;
2016-06-15;0;955,8;13,2;29,5;22,8;17,9;56,5;37;9,8;3,4;
2016-06-16;0;954,1;11,8;31,3;23,7;15,6;50,1;27;10,1;2,4;
2016-06-17;0;952,3;10,9;32,2;24,1;16,5;45,3;26;8,4;2,4;
2016-06-18;0;952,3;12,8;31,1;23,5;15,6;53,2;33;8,4;1,8;
2016-06-19;0;952,5;14,9;31,8;24,2;15,8;58,8;35;8,7;2,1;
2016-06-20;0;952,1;13,6;31,6;23,4;15,7;58,3;29;9,5;2,1;
2016-06-21;0;953;11,3;30,7;23,5;16,6;51,8;21;8,4;2;
2016-06-22;0;953,3;10,9;31;23;15,4;48,4;28;10,8;2,7;
2016-06-23;0;952,8;13;30,7;23;14,9;56,3;32;6,5;1,9;
2016-06-24;0;952,2;10,9;31;23;15,1;49,5;27;10,9;2,5;
2016-06-25;0;953,4;12,7;28;21,8;14,8;57,2;38;10,6;3;
2016-06-26;0;954,4;14;28,9;22,5;18,4;60,3;39;13,1;5,1;
2016-06-27;0;954,9;12,1;30,1;22,7;18,3;53;31;11,7;3,9;
2016-06-28;0;954,7;14,4;29,9;22,9;17,7;61,6;33;9,4;3,5;
2016-06-29;,2;954,3;14,3;28,2;22,3;17,7;63,7;38;9,9;2,8;
2016-06-30;0;953,5;13,7;30,9;23,5;17,2;56,8;34;12,2;2,7;
2016-07-01;0;953,8;12,6;30;24,1;18,6;50,7;28;12,6;3,2;
2016-07-02;0;954,2;12,9;29,8;21,9;14,4;58,2;37;10,5;2,6;
2016-07-03;0;954,2;13,2;30;22,7;16,6;56,2;38;10,4;3,2;
2016-07-04;0;954,1;14;30,6;23,9;17,5;56,9;25;9,1;2,9;
2016-07-05;0;953,9;14,8;29,6;24;19,2;58,5;34;10,2;3,4;
2016-07-06;0;953,2;13,5;30,9;23,4;16,2;57,2;28;9,6;1,8;
2016-07-07;0;952,3;10,4;31,8;23,2;14,4;47,8;24;8,6;2,1;
2016-07-08;0;952,6;8,9;33,1;23,7;14,8;42,5;22;9,4;2;
2016-07-09;0;953,2;11,5;31,9;23,2;14,7;50,1;25;8,5;2,6;
2016-07-10;0;952,7;13,5;32;24,2;17,5;55,5;23;7,6;1,9;
2016-07-11;0;951,2;12;31,1;23,1;14,3;54,3;26;7;1,5;
2016-07-12;0;950,5;11,1;31,6;23,1;14,2;50;24;7;1,6;
2016-07-13;0;950,7;10,7;32,5;23,6;14;47,3;25;6,9;1,8;
2016-07-14;0;950,4;10,8;32,4;23,5;13,7;49,6;21;7,9;1,8;
2016-07-15;0;949,9;9,6;32;22,5;13;48,3;20;8,3;1,6;
2016-07-16;0;949,4;8,1;32,1;22,3;12,4;45,5;16;5,9;1,7;
2016-07-17;0;948,9;6,6;34,1;23,5;13,9;36,5;19;6,5;2,2;
2016-07-18;0;949,3;6,7;35,1;25;14,5;33,9;16;7,5;2,1;
2016-07-19;0;951,5;11,7;33,6;24,9;15,6;46,4;23;8,7;2,6;
2016-07-20;0;951,3;12,9;33;24,6;15,6;52,2;24;7,4;2;
2016-07-21;0;950,9;12,4;33,3;24,8;14,7;50,4;24;8,9;1,7;
2016-07-22;0;950,8;12;33,1;24,4;15,5;49,5;23;8,6;2;
2016-07-23;0;952,5;12,1;31,6;23,5;15,4;52,1;24;11,7;2,5;
2016-07-24;0;953,2;13,9;29,5;23,5;17,9;56,6;33;9,8;2,8;
2016-07-25;0;952;13,9;31,7;23,3;15,8;58,4;30;9,9;2,4;
2016-07-26;0;952,5;14,2;29,1;22,5;15,8;61,3;34;11,5;2,8;
2016-07-27;0;952,4;11;30,1;21,4;12,8;55,7;27;7,2;1,9;
2016-07-28;0;951,4;10,3;31,6;22,8;13,8;50,1;21;12,6;1,8;
2016-07-29;0;952,4;10,7;31;23,3;16,5;48,8;22;10,2;2,7;
2016-07-30;0;952,9;9,7;30,3;22,3;13,4;47,1;28;9,9;2,9;
2016-07-31;0;952,7;11,6;30,2;22,2;13,6;52,8;34;10,4;2,5;
2016-08-01;0;952,7;11,5;31,7;22,8;16,4;51,2;30;9,2;2,8;
2016-08-02;0;952,8;13,1;31,7;23,4;14,5;56,3;29;8,8;2,3;
2016-08-03;0;952,2;13,4;33,3;24,3;14,7;53,8;26;11,5;2,6;
2016-08-04;0;953,1;12,2;30,7;23,7;17,4;51,8;27;10,6;3,1;
2016-08-05;0;953,6;12,2;31,1;23,4;14,3;51,3;33;10,5;3;
2016-08-06;0;953,2;13,9;31,2;24,2;18,6;57,1;28;8,5;2,3;
2016-08-07;0;952,5;12;31,9;23,9;15,2;51,5;27;7,6;2;
2016-08-08;0;951,3;10;31,9;23,6;13,8;45,4;24;9,6;2,1;
2016-08-09;0;951,6;9,7;33,2;24,6;16;42;22;6,9;1,9;
2016-08-10;0;950,6;8,6;34,9;24,8;15,2;38,5;19;7,5;1,9;
2016-08-11;0;948,9;8,7;35,8;26;15,6;37;17;11,5;2,1;
2016-08-12;0;949,4;12,4;34,5;25,5;16,1;46,6;24;9,3;2,2;
2016-08-13;0;950,1;11,3;33,4;25;15,1;45,9;22;7,3;1,9;
2016-08-14;0;950;12,5;33,8;25,3;15,7;48,8;24;7,5;1,9;
2016-08-15;0;948,6;11,9;35,1;26,2;17,1;44;21;7,5;1,7;
2016-08-16;0;948,3;11,4;36,9;27,3;17,3;40,4;20;6,5;1,6;
2016-08-17;0;948,8;10;37,6;28,6;18,8;33,1;18;6,5;1,6;
2016-08-18;0;949,2;13,3;36,8;28,1;19,2;42,8;22;9,5;2,2;
2016-08-19;0;949,6;14,2;34,6;27,2;19,7;47;26;9,6;2,9;
2016-08-20;0;950,5;12,3;34,1;25,5;15,6;48,9;22;8,3;1,7;
2016-08-21;0;949,7;10,5;35,9;26,3;15,5;42,3;17;7,5;1,6;
2016-08-22;0;948,9;8,5;37,3;27,9;17,7;31,8;16;8;1,7;
2016-08-23;0;951;14,6;34,2;27,4;21,2;47,3;30;11;3,4;
2016-08-24;0;952,5;15,8;32,1;25;20,2;58,1;37;11,7;3,9;
2016-08-25;0;952,3;14,3;31,3;24,3;19,9;55,8;33;11,2;3;
2016-08-26;0;951,1;12,1;32,5;24,3;17,2;49,2;27;9,4;2,5;
2016-08-27;0;951;15,5;31,1;24,6;17,7;58,3;36;10,2;3,1;
2016-08-28;0;951,8;12,7;30;24,1;20,2;52,3;24;9,5;3;
2016-08-29;0;951,3;12,5;34,2;24,2;14,6;52;20;10,2;2,5;
2016-08-30;0;951;14;34,2;25,7;16,4;52,9;23;11,6;2,5;
2016-08-31;0;951;13,4;34;26,4;19;47,5;26;8,7;2,6;
2016-09-01;0;951,2;11,2;35,1;25,3;15,5;45,4;19;10,6;2,2;
2016-09-02;0;951,7;13,1;33,4;24,9;15,5;50;27;12,5;2,5;
2016-09-03;0;952,2;13;30,7;23,7;17,1;53;34;12,1;2,7;
2016-09-04;0;952,3;11,2;32,7;25,2;16,5;43,7;25;9,5;2,9;
2016-09-05;0;952,5;13,8;32,4;24,8;18,9;52,2;31;10,4;2,8;
2016-09-06;0;952,1;12,2;33,4;25,1;17,1;49;22;7,4;2,2;
2016-09-07;0;951,1;12,4;34,7;26,1;17,8;45,2;24;7,8;1,8;
2016-09-08;0;949,9;11,2;35,8;25,9;16,6;44,2;14;10,6;2,4;
2016-09-09;0;950,8;9,8;34,9;25,2;13,8;43;14;9,9;2,6;
2016-09-10;0;953,1;11,3;33,3;25,1;16,1;45,8;20;18,3;2,6;
2016-09-11;0;952,3;9,3;32,8;24,6;14,2;40,1;22;11,4;2,5;
2016-09-12;0;950;8,2;34,3;25,3;15,3;38,9;13;8,8;2,2;
2016-09-13;0;950;11,2;34,9;26,7;18,5;41,3;20;8,8;2,9;
2016-09-14;0;949,8;9,5;36,4;26,9;16,4;38,4;15;10,9;2,7;
2016-09-15;0;948,7;10,4;36,8;26,7;16,1;40,9;14;10,5;2;
2016-09-16;0;948,9;10,3;37,8;27,2;16;39,9;13;11,7;2,5;
2016-09-17;0;949,7;11,7;35,6;27;16,7;41,5;21;11,1;2,4;
2016-09-18;0;949,9;14,7;35;27,2;19,7;48,9;27;10,9;2,5;
2016-09-19;0;948,6;11,2;36,5;26,9;16,1;42,6;17;10,5;2;
2016-09-20;0;947,6;7,9;36,5;26,8;16,1;35,6;13;9,5;1,8;
2016-09-21;0;946,6;8,3;38,4;28,2;16,9;32;15;7,7;1,7;
2016-09-22;0;948,8;16,3;35;26,6;22,5;55,1;22;13,6;2,3;
2016-09-23;0;951,4;15,8;33,6;26,3;20,3;54,8;32;9,3;2,8;
2016-09-24;0;950,5;15,1;33,6;26,4;19,2;53,3;28;7,3;1,8;
2016-09-25;0;948;15,1;34;26,7;22,7;50,2;30;13,1;2,3;
2016-09-26;0;948,2;18,4;28;24,1;23,5;71,5;51;6,4;1,9;
2016-09-27;4,6;949,4;19,6;27,8;22,4;19,6;85,3;55;7,7;1,9;
2016-09-28;1,4;950,1;18,2;32;24,7;19,8;70;40;9,5;2,3;
2016-09-29;0;948,2;14,8;35,1;26,9;20,4;52,5;22;9,5;2;
2016-09-30;0;946,9;14,9;35,7;27,1;17;51,4;25;10,3;2,4;
2016-10-01;0;948,7;15,7;34,8;27,3;20,4;50,8;29;9,6;2,2;
2016-10-02;0;948,9;15,7;35;28;21,7;49,6;28;10,9;2,7;
2016-10-03;0;948,4;16,7;34,6;27;22;55,1;31;9,6;2,9;
2016-10-04;1;946,7;16;35,8;26,9;18,2;56,2;27;13,5;1,7;
2016-10-05;5;946,6;19;32;25,5;21,3;69,3;43;13;2,1;
2016-10-06;,4;944;20,3;29,1;24,7;22;77;56;7,9;1,8;
2016-10-07;4,6;944,3;19,3;34,9;26,7;20,9;68;34;11,1;2,1;
2016-10-08;0;946,6;19,4;33;25,6;23;71;38;16,5;2,3;
2016-10-09;27,6;949,2;19,5;30,4;24,6;19,9;75,3;49;9,7;2;
2016-10-10;0;949,5;17,7;34,3;27,2;22,6;59,7;31;10,4;2,4;
2016-10-11;0;949,7;16,6;31,2;25,7;21,7;58,7;39;11,5;2,6;
2016-10-12;0;950,1;16,5;31,5;24,7;18,8;62,3;38;11,5;2,7;
2016-10-13;0;951,1;16,5;32,1;25,5;18,7;59,5;38;9,9;2,8;
2016-10-14;0;951,7;14,8;34,1;25,9;17,7;55,4;28;8;2,3;
2016-10-15;0;950,2;12,1;35,6;27;18,6;43,2;20;9,3;2,4;
2016-10-16;0;949;11,5;35;26,5;17,6;43,2;19;9,4;2,3;
2016-10-17;0;948,3;13,6;34,8;27;18,7;46,8;22;7,5;2,1;
2016-10-18;0;947,9;13,6;36,7;27,5;18,4;45,4;23;7,2;1,6;
2016-10-19;0;946,2;15,6;37,8;28,9;21,1;47;24;8,4;2;
2016-10-20;1,4;945,4;17,3;34,2;26,7;21,6;57,9;33;8,6;1,4;
2016-10-21;,4;945,4;15,9;36,3;28;19,9;51,4;24;8,6;1,8;
2016-10-22;0;947;15,1;36,8;29,3;21,7;44,9;19;10,5;2,6;
2016-10-23;0;948,5;13,9;35,4;28,5;21,7;43,4;24;9,5;3,1;
2016-10-24;0;948,1;11,6;35,9;28,2;20,3;38,3;18;8,5;2,8;
2016-10-25;0;946,6;12,4;37;28;20;40,6;17;9,2;2,2;
2016-10-26;0;945,5;12,9;37;29,3;22,7;39,3;18;9,1;2,6;
2016-10-27;0;944,5;13,4;37,4;28,9;20,2;41;23;8,3;1,7;
2016-10-28;0;944,9;13,4;38,3;29,8;20,5;39,3;20;10,5;1,9;
2016-10-29;0;947,4;15,5;37;30;23,5;42,5;27;10,3;2,5;
2016-10-30;0;949,4;12,8;35;28,8;22,2;39,4;22;10,6;3;
2016-10-31;0;948;13,4;35,6;28,7;22,1;41,1;23;11,7;3,1;
2016-11-01;0;948;13,3;36;28,4;20,6;43,2;22;13,6;2,8;
2016-11-02;0;948,5;12;36,1;29;22,5;37,8;17;10,9;3,5;
2016-11-03;0;949,8;11,4;35,9;28,5;22;37;18;10,7;3,8;
2016-11-04;0;951,2;11,7;35,6;28,2;20,9;37,9;19;11,1;3,5;
2016-11-05;0;950,8;15,3;34,7;26,9;20,5;50,7;30;12,2;3,4;
2016-11-06;0;949,9;13,4;35,5;27,4;21,5;46,9;19;14;3,6;
2016-11-07;0;948,2;14,5;35;27,4;19,8;47,5;25;10,4;2,8;
2016-11-08;0;947,7;14,6;31,6;27,2;23,2;46,5;34;9,7;3;
2016-11-09;0;948;16,7;34,1;27,1;23,6;54,8;32;9,8;2,5;
2016-11-10;,2;948,4;17,8;32,5;27;23,1;58,5;40;8;1,9;
2016-11-11;0;946,3;18,7;33,5;26,8;23,8;62,5;39;8,8;1,7;
2016-11-12;,6;944,9;19,6;32,6;26,6;23,6;67,8;38;10,6;1,6;
2016-11-13;,2;945,8;20,6;26,9;23,8;22,5;82,7;65;7,1;2,2;
2016-11-14;24;944,7;20,9;29,2;24,2;20,9;83,3;55;13,1;1,5;
2016-11-15;7,2;943,6;21,2;29,9;24,2;21,3;84,1;58;10,9;1,6;
2016-11-16;13;945,3;21,2;28,6;23,6;21,5;86,9;60;8,9;1,8;
2016-11-17;1;945,8;21,2;29,9;25,4;22,7;79,4;53;8,3;1,3;
2016-11-18;9;944,2;21,3;32,7;25,3;21,7;79,4;46;9,3;1,8;
2016-11-19;22,2;944,6;20,6;31,3;24,8;20,3;79,3;51;7,4;1,9;
2016-11-20;49,2;947,1;20;26,2;21,3;18,9;92,3;74;10,2;2;
2016-11-21;10,6;948;19,4;31;24,2;18,9;75,8;49;11,2;2,4;
2016-11-22;,4;946,5;18,5;33,7;26,5;20,4;64,4;33;6,9;1,8;
2016-11-23;0;945,8;16,5;35,2;26,9;19,2;57,5;27;6,4;1,8;
2016-11-24;0;946,2;16,7;36,9;28,4;21,2;54,2;19;6;1,7;
2016-11-25;0;947,2;17,5;36,3;28,4;20,5;54,7;28;8,9;2,1;
2016-11-26;0;947,9;14,2;34,5;27,7;20;46,5;24;10,6;2,4;
