Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2018-03-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-09;null;null;null;null;null;null;null;null;null;null;
2018-03-10;null;null;null;null;null;null;null;null;null;null;
2018-03-11;null;null;null;null;null;null;null;null;null;null;
2018-03-12;null;null;null;null;null;null;null;52;9,6;null;
2018-03-13;75;1006,4;23;31,1;26,7;23,1;81,2;59;11,5;2,1;
2018-03-14;,2;1007,7;23,6;35,9;28,6;25,3;75,8;44;9,7;2,6;
2018-03-15;0;1008,5;23,1;34,9;28;24,6;76,4;45;9,3;2;
2018-03-16;0;1008;22,2;33,8;27,5;24;74,5;47;7,4;1,7;
2018-03-17;0;1006,9;22,7;30,8;26,8;24,2;79;58;8,5;1,8;
2018-03-18;8;1006,3;22,2;33,7;27,3;24;74,9;47;7,2;1,7;
2018-03-19;0;1006,5;22,4;32,2;26,9;24,4;77,3;53;8,1;1,4;
2018-03-20;2,8;1007,2;22,7;33,8;27,6;24,1;75,8;49;8,3;1,6;
2018-03-21;0;1007,9;23;32,6;27,1;24,4;79,2;53;8,1;1,6;
2018-03-22;1;1007,4;22,4;34,6;27,7;23,9;75;44;9;1,7;
2018-03-23;0;1007,6;null;33,2;26,3;24,1;null;54;8,1;1,7;
2018-03-24;15,6;1008,4;23,3;25,6;24,1;23;95;86;8,2;1,2;
2018-03-25;95;1008,7;22,4;31,9;26,4;22,3;80,3;45;9,4;1,5;
2018-03-26;2,2;1009;22,3;31;25,7;22,6;82,2;58;8;1,1;
2018-03-27;,2;1009,8;22,9;29,7;25,5;23,6;85,8;65;8,1;1;
2018-03-28;7,2;1008,6;null;29,1;null;22,3;null;86;5,9;1,1;
2018-03-29;1,4;1008;null;32,6;26,2;22,5;null;75;7,1;1,5;
2018-03-30;,6;1007,9;null;32,4;26,4;22,5;null;null;6,4;1,2;
2018-03-31;0;1008,2;null;32,8;26,6;23,3;null;null;7;1,1;
2018-04-01;0;1007,4;null;32,6;26,7;23,6;null;null;8,3;1,3;
2018-04-02;0;1006,8;null;32,6;26,7;22,9;null;null;6,1;1,1;
2018-04-03;0;1005,4;null;32,4;26,7;23,5;null;null;6,2;1,3;
2018-04-04;0;1005;null;33,2;27,1;23,8;null;null;6,4;1,4;
2018-04-05;null;1005,2;null;29,6;25,8;23,7;null;null;7,3;1,4;
2018-04-06;,8;1006,2;null;33,6;27,3;23,9;null;null;6,7;1,3;
2018-04-07;0;1007,7;null;32,8;26,5;23,1;null;null;6;1,2;
2018-04-08;0;1008,6;null;32,9;26,6;23;null;null;6,9;1;
2018-04-09;0;1008,8;null;33,2;26,6;23,6;null;null;8,9;1,2;
2018-04-10;2;1009,1;null;31;25,3;22,5;null;null;10,4;1,1;
2018-04-11;4;1009;null;27,9;24,5;22,7;null;null;7,5;1;
2018-04-12;8,6;1009,2;null;28,7;24,7;22,7;null;null;8;1;
2018-04-13;19,4;1010,2;null;31,2;25,9;22,9;null;null;6,2;1,2;
2018-04-14;2,4;1011;null;31,8;25,6;23,1;null;null;6,4;,9;
2018-04-15;0;1011,4;null;31,8;26,5;22,8;null;null;6,7;1,1;
2018-04-16;0;1010,3;null;29,9;25,6;23,4;null;null;8,2;1,2;
2018-04-17;null;1011,2;null;27,1;25,1;23,2;null;null;7,7;1,2;
2018-04-18;8,8;1013;null;27,4;24,5;22,6;null;null;9,3;1,6;
2018-04-19;8,2;1012,5;null;27,2;24,1;22,8;null;null;8;1,3;
2018-04-20;59,4;1011;null;24,5;null;23;null;null;8;1,3;
2018-04-21;null;1009,8;null;27,3;24,1;22,4;null;null;10,3;1,4;
2018-04-22;1;1009,9;null;29,8;24,7;21,8;null;null;9;1;
2018-04-23;3,4;1010,7;null;29,4;24,8;22;null;null;9;1,1;
2018-04-24;22,4;1011;null;27,3;24,2;22,8;null;null;7,6;1;
2018-04-25;32,8;1011,6;null;29,2;24,7;22,3;null;null;6,2;1,1;
2018-04-26;0;1010,8;null;30,2;25,4;23,2;null;null;7,8;1;
2018-04-27;10,8;1010,6;null;28,2;25,2;23,3;null;null;6,4;,9;
2018-04-28;11,4;1011,3;null;30,1;25,6;22,7;null;null;7;1,2;
2018-04-29;4,2;1011,2;null;29,2;24,8;22,1;null;null;6,8;1;
2018-04-30;,2;1011,3;null;27,4;24,6;22,5;null;77;7;1;
2018-05-01;7,6;1011,4;23,4;27,8;25;23,1;90,9;81;8,3;1,2;
2018-05-02;3,2;1011,5;23;30,7;25,8;23,1;85,5;61;6,1;1;
2018-05-03;,4;1011,4;22,7;30,8;25,4;23;86,1;62;7,5;,8;
2018-05-04;4,2;1010,9;23,2;28,5;24,8;23,1;90,8;72;8,1;,9;
2018-05-05;10,6;1011;23;28,5;24,1;22,5;93,8;71;8,1;1,1;
2018-05-06;10;1011,5;23,2;28,2;24,4;22,4;93,3;78;8,3;1,2;
2018-05-07;18,4;1011,4;22,8;26,3;24;22,7;93,1;83;8,1;1,1;
2018-05-08;21,2;1011,1;22,3;28,2;null;21,8;92,6;71;8,5;,8;
2018-05-09;5,8;1011,1;21,5;27,1;24,1;21,3;85,8;68;8,7;1,3;
2018-05-10;1,4;1011,1;null;27,2;24,5;21,7;null;63;9,4;1,6;
2018-05-11;null;1011,7;null;25,4;null;22,7;null;null;10;1,5;
2018-05-12;8;1010,5;null;28,3;25;22,4;null;null;4,7;1,2;
2018-05-13;,2;1009,9;null;28,7;25,1;22,8;null;null;5,8;1,1;
2018-05-14;3,2;1010,3;null;29,5;25,4;23;null;null;7,9;1,2;
2018-05-15;5,4;1010,6;null;29,3;24,7;21,8;null;null;7;1,2;
2018-05-16;,2;1010,5;null;26,6;23,6;22,6;null;null;6;,9;
2018-05-17;22,6;1010,1;null;29,8;25;22,8;null;null;5;1;
2018-05-18;2,2;1010,2;null;28,9;25,1;22,6;null;null;6,3;1;
2018-05-19;,2;1009,6;null;29,9;25,1;21,9;null;null;5,1;1,1;
2018-05-20;0;1007,9;null;29,4;25,1;22,3;null;null;5,3;1,3;
2018-05-21;0;1008,5;null;30,1;25,7;23,1;null;null;8;1,2;
2018-05-22;0;1010,9;null;30,3;25,7;23,4;null;null;6,6;1;
2018-05-23;8,4;1012;null;28,4;24,8;23;null;null;7,4;1,1;
2018-05-24;8,8;1013,4;null;29,2;24,8;22,3;null;null;8;1;
2018-05-25;2,6;1012,2;null;27,4;23,8;21,1;null;null;8,7;1,2;
2018-05-26;9,8;1011,8;null;26,4;22,7;21,1;null;null;8,5;1,1;
2018-05-27;4,4;1012,5;null;26,7;23,4;20,6;null;null;8,9;1,6;
2018-05-28;17;1013,1;null;27,8;23,6;21,7;null;null;7,7;1,2;
2018-05-29;3,6;1013,2;null;27;23,7;21,2;null;null;10,7;1,2;
2018-05-30;2,2;1012,6;null;28,2;23,4;22,1;null;null;9,6;1,4;
2018-05-31;9,8;1011,5;null;26,4;23,3;20,5;null;null;7,5;1,2;
2018-06-01;5,2;1010,7;null;26,5;23,4;21;null;null;5,9;,9;
2018-06-02;16,2;1011,5;null;27,2;23,5;22,3;null;null;10;1,1;
2018-06-03;19,2;1012,6;null;27,2;24,1;22,6;null;null;5;1;
2018-06-04;11,6;1012,8;null;28,6;24,5;22,8;null;null;6,4;1;
2018-06-05;20,6;1011,2;null;25,4;22,7;21,6;null;null;7,9;1,1;
2018-06-06;14,6;1010,8;null;27,8;23,8;21,6;null;null;5,4;,7;
2018-06-07;,4;1012,3;null;27,6;23,9;21,7;null;null;4,9;,9;
2018-06-08;1,6;1012,9;null;27,5;24,2;22,7;null;null;5,1;1;
2018-06-09;5,4;1013,3;null;29,5;24,5;22,9;null;null;6,2;1,1;
2018-06-10;2;1013,2;null;29,1;23,9;21,5;null;null;9,1;1,1;
2018-06-11;6,8;1012,5;null;28,2;23,3;21,7;null;null;8,2;1;
2018-06-12;10,2;1012,9;null;27,9;23,7;21,8;null;null;6,5;,8;
2018-06-13;2,6;1013,1;null;28,5;24,1;21,8;null;null;7,4;1;
2018-06-14;2;1013,8;null;26,2;23,3;21,5;null;82;6,6;1;
2018-06-15;null;1014,8;20,6;28,7;23,9;20,8;82,7;55;5,8;,8;
2018-06-16;0;1015,2;21,4;28,1;23,8;21,4;86,8;67;9;1;
2018-06-17;,6;1015,8;20,6;28,2;24,4;20,9;80;64;7,7;1,2;
2018-06-18;,2;1016;20,6;28,3;25;22,7;77,1;63;9,3;1,2;
2018-06-19;5,2;1015,6;21,1;27,1;23,7;21,3;86,3;66;8,6;1,3;
2018-06-20;1;1015,5;20,6;28,7;23,5;20,5;84;62;7,2;,9;
2018-06-21;14;1014,9;21,5;28,4;23,4;20,9;89,8;68;6,4;,9;
2018-06-22;,8;1014,4;21,3;27,6;23,6;21,3;87,6;69;7,1;,9;
2018-06-23;0;1013,7;21,2;29,2;null;21,6;82,9;57;6,7;,9;
2018-06-24;null;1013,1;20,5;28,3;null;21,5;79,2;57;7,7;1,2;
2018-06-25;2,2;1012,7;20,5;28,4;23,2;20,7;85,9;60;9,6;1;
2018-06-26;2,4;1012,1;20,8;26,8;22,6;20,7;90;73;7,8;1,1;
2018-06-27;,6;1013,1;21,1;27;23,2;20,7;88,3;73;8;1,1;
2018-06-28;4;1013;20,7;27,6;23;20,6;87;65;7,9;1,1;
2018-06-29;,8;1012,1;21,2;26;22,9;21,1;90,4;72;9,8;,9;
2018-06-30;null;1010,7;21,2;26,6;null;21;88,6;74;6,5;1;
2018-07-01;,8;1010,6;21,3;25,4;null;21,2;91,6;80;5,9;1;
2018-07-02;11,6;1011;21,6;26,5;23;20,4;92,1;77;6,7;,9;
2018-07-03;5,2;1011,4;21,3;27,7;22,9;20,8;91,2;71;5,1;,7;
2018-07-04;null;1012;20,7;28;null;20,5;90,2;64;6,5;,9;
2018-07-05;5,4;1012,9;21,1;26,8;22,5;20,1;92;72;10,1;1;
2018-07-06;2,6;1013,3;20,9;26,2;22,9;20,7;88,9;71;6,2;,9;
2018-07-07;1,2;1013,3;20,7;26,7;23,1;20,9;86,3;65;7,4;1;
2018-07-08;,6;1013;21,1;26,1;23;21;89,3;79;5,4;,9;
2018-07-09;4,6;1013;20,1;28,1;23,9;21,8;79,6;59;6,1;,8;
2018-07-10;0;1013,7;20,3;26,8;22,6;20;86,7;73;5,1;1;
2018-07-11;0;1013,5;21;26,8;23,4;20,5;87,1;69;4,4;,9;
2018-07-12;0;1014,7;21,3;27,2;23,2;21,5;89,2;72;6,3;,7;
2018-07-13;3,6;1014,7;20,9;26,3;22,5;20,9;90,8;72;5,7;,9;
2018-07-14;2,6;1013,9;20,2;28,4;22,9;20,1;85,1;62;5,4;1;
2018-07-15;,2;1014,3;19,7;28,1;23,3;20,4;82,1;58;6,5;1;
2018-07-16;,2;1015,1;20,4;27,8;23,6;20,8;82,9;61;6,1;1;
2018-07-17;,8;1015,1;20,5;28,7;23,7;20,2;82,8;61;7,6;1,1;
2018-07-18;,6;1014,8;20,5;28;22,9;20,4;86,8;63;8,4;1;
2018-07-19;1,2;1013,4;19,9;28,1;23,6;20,4;81;61;6,5;1,1;
2018-07-20;,2;1012,9;20;28,6;null;20,5;82,9;59;7,1;1;
2018-07-21;,2;1013,5;19;28,7;23,2;20;77,7;55;6,4;,9;
2018-07-22;0;1013,8;18,4;27,4;null;20,2;78;49;7,2;,9;
2018-07-23;null;1014,6;20,2;28,5;23,6;20,5;82,4;64;7,3;1;
2018-07-24;0;1015,1;19,5;28,8;23,6;21,1;79,2;52;7,3;1,1;
2018-07-25;2;1016,1;19,4;28;23,1;20,6;81;54;7,1;1,3;
2018-07-26;,2;1016,2;18,7;28,1;22,8;19,9;78,7;57;8,8;1;
2018-07-27;,6;1015,3;19,4;27,7;22,8;19,6;82;59;7,5;1;
2018-07-28;,8;1014,6;19,3;28,6;null;19,8;81;61;6,8;,8;
2018-07-29;null;1013,8;18,9;28,4;22,9;19,6;79,1;56;7;1;
2018-07-30;,2;1012,7;20;27,5;23;20,2;83,8;64;6,9;1,2;
2018-07-31;,2;1012,6;20,4;29,8;null;21,2;82,5;57;6,9;1,2;
2018-08-01;null;1011,9;19,8;29,3;23,6;20,3;80,3;54;5,3;1;
