Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-19;null;null;null;null;null;null;null;null;null;null;
2018-09-20;null;null;null;null;null;null;null;null;null;null;
2018-09-21;null;null;null;null;null;null;null;null;null;null;
2018-09-22;null;null;null;null;null;null;null;null;null;null;
2018-09-23;null;null;null;null;null;null;null;null;null;null;
2018-09-24;null;null;null;null;null;null;null;null;null;null;
2018-09-25;null;null;null;null;null;null;null;null;null;null;
2018-09-26;null;null;null;null;null;null;null;35;11,5;null;
2018-09-27;null;993,7;18;33;25,6;19,4;66,1;34;11,4;3,2;
2018-09-28;0;993,1;18,1;35,3;26;19,4;66,2;29;10,6;2,4;
2018-09-29;0;992,3;18,2;35,5;26,6;19,9;64,9;27;11,4;2,7;
2018-09-30;0;992,8;18,9;34,6;26,7;21,4;65,3;34;12,9;3,8;
2018-10-01;0;993,5;17,4;34;25,8;20,1;63,7;30;11,8;3,6;
2018-10-02;0;993,8;17,4;33,3;24,5;17,3;67,8;36;10,9;2,9;
2018-10-03;5;993,1;18,2;34,5;26,3;21;65,3;32;11,5;2,7;
2018-10-04;0;992,5;18,7;35,4;26,8;21;64,6;31;11,8;3,2;
2018-10-05;,4;992,4;18;33,5;26,4;20,6;63,7;33;12,3;3,6;
2018-10-06;1,8;993;17,7;34,4;25,3;18,8;67,1;29;17,1;2,9;
2018-10-07;,4;994,6;19,2;32,1;25;19,3;72,8;44;11,8;2,9;
2018-10-08;,2;994,5;18;34,9;26;20,4;65,8;30;12;3,3;
2018-10-09;16,8;994,1;16,9;35;25,3;17,4;65,2;28;11,2;3,5;
2018-10-10;2,2;993;17,5;33,8;25,5;18,3;66,2;32;12,1;3,7;
2018-10-11;11,6;993,3;17,9;34;26;19,8;64,6;33;12,2;3,2;
2018-10-12;,2;994,1;17,8;34;25,7;19,5;65,7;34;11,6;3,1;
2018-10-13;,2;993,9;18,7;33,6;26;19,9;68;34;11,3;3;
2018-10-14;7,6;991,1;18,2;36,2;27,1;20,7;63;27;10,8;2,2;
2018-10-15;1;989,9;18,2;36,2;27,6;20,4;61,6;29;12;2,8;
2018-10-16;1,2;990,1;19,7;34,9;27,3;21,7;65,6;37;11;2,8;
2018-10-17;0;991,7;20,6;34,7;27;23,4;69,4;37;12,2;3,6;
2018-10-18;2,8;991,3;19,5;35,3;27,6;22,6;65;31;10,4;2,9;
2018-10-19;,2;989;18,9;35,8;27,4;20,8;63,5;31;11,6;2,4;
2018-10-20;0;987,4;18,9;38,5;27,9;20,7;62,7;28;12,1;2,7;
2018-10-21;0;990,7;20,4;31,6;25,7;22,4;73,9;52;12,8;3,8;
2018-10-22;0;993,6;20,1;30,2;24,5;21,1;77,3;56;12,2;4,1;
2018-10-23;1,8;993;22,1;31,1;25,1;22,8;84,4;55;12;3,5;
2018-10-24;,2;993,3;19,9;35;27;22,3;69,1;34;13,5;2,9;
2018-10-25;,4;992,6;19;34,2;26,2;19,9;69,1;35;17,5;3,6;
2018-10-26;,2;990,7;19,5;37,2;27,5;20,6;66,7;29;12,5;2,4;
2018-10-27;0;989,3;18,9;38;28,8;23,3;58,6;27;11,5;3,8;
2018-10-28;null;null;null;38,7;null;23,9;51,1;27;14,4;null;
2018-10-29;0;990,7;20,1;36,9;29,1;23,1;62;33;12,6;3,3;
2018-10-30;2,6;992,9;19,8;33,6;27,9;23,1;63,9;39;11,9;3,9;
2018-10-31;0;992,9;18,8;35,2;27,2;21,6;64,2;29;11,5;3,5;
2018-11-01;1,4;992,2;17,8;35,5;26,7;20;63,2;28;10;2,9;
2018-11-02;,2;990,4;18;36,6;26,9;19,8;62,8;28;12,9;2,8;
2018-11-03;0;990,5;18,8;35,6;27,8;22,5;62;30;11,7;3,4;
2018-11-04;0;990,1;18,5;35,9;27,8;21,6;60,3;30;12,2;3,5;
2018-11-05;1,6;990,2;18,6;35,5;27,1;20,2;63,2;34;12,1;3,1;
2018-11-06;0;991,1;18,3;34,3;27;21;63,3;33;10,9;3,6;
2018-11-07;,8;991,7;18,4;35,4;26,7;19,8;64,5;32;14,9;3,2;
2018-11-08;,4;991,5;20,4;34,9;27,1;23,1;69;36;13,5;4,1;
2018-11-09;2;992,1;19,7;34,4;27;21,3;66,5;41;11,7;3,7;
2018-11-10;0;990,6;19,5;35,5;27,6;22,4;64,6;35;12,7;3,8;
