Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2002-12-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-18;null;null;null;null;null;null;null;null;null;null;
2002-12-19;null;940,9;19,1;30,6;24,6;null;74,1;48;7,3;2,3;
2002-12-20;0;942,1;19,3;32;25,3;20,1;71,2;43;6,3;1,7;
2002-12-21;0;941,2;18,5;33,9;26,4;19,1;65,7;32;5,1;1,6;
2002-12-22;0;939,3;18,7;33,8;26,5;22,5;63,8;34;11,6;2,7;
2002-12-23;0;939,4;19,7;32,4;25,2;20;73,4;41;14,4;2;
2002-12-24;4;938,7;20;33,8;27,2;22;67,3;40;9,3;2,3;
2002-12-25;0;937,9;21;32,4;24,9;21,8;80,8;46;20,4;1,9;
2002-12-26;131,8;939,3;20,4;28,2;23,4;19,6;84,3;57;9,2;2,2;
2002-12-27;23,8;939;20,2;23,8;21,3;19,6;93,1;83;6,4;1,7;
2002-12-28;10,6;938;20;28;22,3;20,3;87;60;9;2,3;
2002-12-29;18,2;938,6;20,5;24,8;21,6;20,4;93,8;79;11,4;3,2;
2002-12-30;18,2;941,3;20,2;25,8;21,8;20,3;90,7;72;6,8;2,4;
2002-12-31;13,2;941,3;20,6;26,1;22,3;19,9;90,4;72;9,4;1,3;
2003-01-01;7;939,8;20,8;29,4;22,8;20;89,3;59;11,2;1,6;
2003-01-02;11,2;939,4;21,2;28,4;23;20,8;89,8;62;8,6;1;
2003-01-03;7,8;939,5;21,2;26,2;22,4;21,8;93,1;77;12,8;1,4;
2003-01-04;52,2;939,4;20,4;31,6;24,1;20,6;81,8;46;11,4;2,2;
2003-01-05;20,8;939,5;20,7;26,8;23;21,3;87,1;63;7,1;2,1;
2003-01-06;3,2;938,9;20,5;30,7;24,7;21,3;79,4;52;9,1;2,5;
2003-01-07;1,2;938,6;21,2;30;23,9;21;85,5;55;7,5;1,7;
2003-01-08;,4;940;21,7;32,3;25,4;21,8;81,5;51;7,6;1,5;
2003-01-09;0;942,1;21,6;32,1;26,3;21,6;77,3;52;5,5;1,6;
2003-01-10;0;941;21,8;33,1;26,5;21,4;76,8;47;6;1,7;
2003-01-11;null;null;null;null;null;null;null;null;null;null;
2003-01-12;null;null;null;null;null;null;null;null;null;null;
2003-01-13;null;null;null;null;null;null;null;null;null;null;
2003-01-14;null;null;null;null;null;null;null;null;null;null;
2003-01-15;null;null;null;null;null;null;null;null;null;null;
2003-01-16;null;null;null;null;null;null;null;null;null;null;
2003-01-17;null;null;null;null;null;null;null;null;null;null;
2003-01-18;null;null;null;null;null;null;null;null;null;null;
2003-01-19;null;null;null;null;null;null;null;null;null;null;
2003-01-20;null;null;null;null;null;null;null;null;null;null;
2003-01-21;null;939,3;20;26,4;22,2;null;87,5;68;12,8;2,2;
2003-01-22;21,8;940,5;20;28,2;22,8;19,9;85,4;63;10,4;2,1;
2003-01-23;0;942,3;18,6;30,9;24,7;19,3;72,2;37;7,1;2;
2003-01-24;0;942,3;18,7;31,3;24,5;18,6;72,1;44;6,9;1,8;
2003-01-25;0;940,8;17,9;32,9;25,2;18,1;67,7;32;6,8;1,7;
2003-01-26;0;939,3;17,7;31,4;24,6;17,9;68,3;39;7,6;1,9;
2003-01-27;0;938,2;18,1;31,3;24,2;17,8;71;38;6,6;2,3;
2003-01-28;0;939,6;19,2;29,3;23,6;19,3;77,7;56;9,8;2,3;
2003-01-29;0;941;20,2;29,9;23,6;19,9;81,8;55;9,3;1,8;
2003-01-30;26,4;941,1;19,5;28,7;22,7;18,6;83,6;54;17,7;2,7;
2003-01-31;6,4;941,2;17,9;30,6;23,7;17,7;73;41;9,3;2,5;
2003-02-01;0;942,4;18,3;30,4;24,7;18,3;69,4;44;10,8;2,5;
2003-02-02;21,6;943,4;19,1;30,7;24,5;19,5;73,6;43;10,2;2,9;
2003-02-03;0;944;18,6;28,6;23,8;20,4;73,2;54;9,1;3;
2003-02-04;0;942,4;18,5;29,7;23,9;19;73,7;45;8,5;2;
2003-02-05;0;941,4;18;31;24,3;18,7;70,5;40;8,4;1,5;
2003-02-06;0;941,2;17,8;30,9;24,1;18,3;70,2;44;8,5;2,1;
2003-02-07;0;941,6;18;31,2;25;18,9;67,6;39;7,1;1,7;
2003-02-08;0;942;17,2;31,6;24,8;19;65,3;38;7,7;2,2;
2003-02-09;0;941,4;17,2;31,7;25,1;19;64,4;33;9,8;2,1;
2003-02-10;0;939,8;15,7;31,3;24,2;16,4;62,6;32;7;1,8;
2003-02-11;0;939,3;17,4;32;23,7;18;69,7;39;8,6;1,9;
2003-02-12;0;940,2;17;31,3;24,3;18,1;66,3;36;8,8;2,5;
2003-02-13;0;940,6;14,2;31,8;24,5;17,5;56,8;27;8,2;2,2;
2003-02-14;0;939,7;16,1;31,5;23,9;16;63,5;40;7,8;1,9;
2003-02-15;0;939,5;18,3;28,5;24,2;19,4;71,3;48;8;2;
2003-02-16;0;939,7;18,5;30,7;23,4;18,7;75,5;45;6;1,6;
2003-02-17;1,4;938,7;20,1;31,3;25,3;20,5;75,1;48;9,2;2,5;
2003-02-18;0;940,1;19,5;27,5;23,7;21,1;77,5;59;7;2,6;
2003-02-19;,2;940,9;19,7;30,9;24,3;20,1;77,1;52;6,8;2;
2003-02-20;,2;941,5;19;29,9;24,6;20,5;71,9;48;6,9;2,2;
2003-02-21;0;940,5;19,2;30,7;24,8;19,8;72,5;46;7,4;1,8;
2003-02-22;0;941,2;17,3;32,2;24,9;17,7;65,8;35;8,8;2,3;
2003-02-23;0;943,4;17,3;30,7;25,8;19,3;61,2;40;12,1;2,9;
2003-02-24;0;943,5;16,9;31,8;25,1;18,1;63;37;8,5;2,3;
2003-02-25;0;941,3;15,8;33,5;25;17,3;60,7;26;6,1;1,9;
2003-02-26;0;939,9;16,8;33,8;25,2;17,1;62,8;32;6,2;1,7;
2003-02-27;0;940,2;17,6;33,7;26,2;19;62,1;33;7,1;2;
2003-02-28;0;940,9;18;33,5;26,3;18,8;62,9;35;7,7;1,9;
2003-03-01;0;940,1;18,2;33,8;26,1;18,6;64,7;33;7,7;1,9;
2003-03-02;0;939,5;18,3;33,1;25,8;18,9;65,9;34;6,9;1,9;
2003-03-03;0;939,9;18,5;33,7;24,6;20,1;71,2;35;19,6;2,2;
2003-03-04;12,2;941,4;18,4;32,2;24,4;18,5;71,9;40;10,9;2,3;
2003-03-05;0;940,6;18,5;32;24,6;18,6;71,4;36;11,9;1,8;
2003-03-06;,4;939,6;16,7;32,2;25,1;19;62,8;32;8,8;2,4;
2003-03-07;0;939,5;16,8;32,8;24,7;17,5;64,6;32;7,5;1,8;
