Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2004-12-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-12-18;null;null;null;null;null;null;null;null;null;null;
2004-12-19;null;null;null;null;null;null;null;66;5,5;null;
2004-12-20;,6;845,5;15,5;24,2;18,6;15,6;82,9;59;8;1,3;
2004-12-21;11,4;846,3;13,7;18,5;15,5;15,3;89,7;61;11,2;2,3;
2004-12-22;17,8;845,9;11;14,5;12,7;11,3;89,5;81;11;3,2;
2004-12-23;1,4;843,4;12,5;21,5;15,2;11,2;84,2;61;9,2;2;
2004-12-24;6;843,2;13,9;22,6;17,5;14;80,7;54;9,9;1,7;
2004-12-25;0;845,4;13;24,8;18,2;12,3;74,3;44;10,7;1,8;
2004-12-26;9;847,1;15,1;21,8;16,9;15,6;89,5;63;8,1;1,3;
2004-12-27;17,4;846,1;13,3;20,3;16;13,1;84,8;60;6;1,2;
2004-12-28;0;846,3;12,1;25;17,3;11,4;74,6;40;7,3;1,4;
2004-12-29;,2;848,7;12;26,1;17,4;9,2;73,7;36;8;1,7;
2004-12-30;0;849,1;14,5;26,1;18,4;12,2;79,3;47;7,1;1,4;
2004-12-31;2;848,5;11,6;26,7;18,5;10,3;68,2;31;8,3;1,6;
2005-01-01;9,6;848,4;13,6;24,6;18,2;11,9;76,3;48;10,1;2,2;
2005-01-02;,2;848,9;13,2;24,5;18,1;14;74,7;43;9,8;1,5;
2005-01-03;25,4;848,6;13,4;23,3;18;13,5;75,6;52;7,9;1,6;
2005-01-04;19,6;846,3;14,5;17,2;16;15,1;90,6;82;8,3;1,7;
2005-01-05;44;844,8;15,4;19,5;16,9;15,8;91,4;79;11,8;2,3;
2005-01-06;13,6;846,5;16,1;22,8;17,9;16,4;89,5;68;8,3;1,4;
2005-01-07;9,4;848;16,5;24,3;19,2;17,1;84,8;63;6,9;1,4;
2005-01-08;28,6;847,3;16,6;22,3;18,5;16,6;88,8;67;6,1;,9;
