Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-09-14;null;null;null;null;null;null;null;null;null;null;
2005-09-15;null;null;null;null;null;null;null;50;4,8;null;
2005-09-16;null;939,5;14,7;29,4;21,4;null;68,3;40;7,1;1,4;
2005-09-17;null;938,2;16,3;27,5;null;16,8;72,7;49;5,3;1;
2005-09-18;2;939,5;16;21;18,3;17;86,8;79;3,8;,6;
2005-09-19;,4;938,4;15,4;21,2;18,3;16,3;83,3;72;10,2;1,7;
2005-09-20;,2;934,7;16;28,3;21;16,6;74,3;50;7,3;2;
2005-09-21;null;934,9;11,6;26,1;null;15,1;61,3;36;7,1;1,5;
2005-09-22;0;935,8;12,5;26,8;18,9;13,8;68,9;38;5,4;,8;
2005-09-23;0;935,8;14,2;24,2;19,1;15,8;74,4;51;9,3;1,5;
2005-09-24;,8;935,1;15;26,3;19,8;15,5;75,7;50;7,3;1,2;
2005-09-25;0;934,5;16,1;27,5;21,4;17,1;73,6;50;10,8;2,2;
2005-09-26;48,2;936,8;15,8;21;17,9;17;88;71;16,9;1,4;
2005-09-27;8,2;940,9;12,4;15,5;14,3;13,7;88,1;83;3,9;,8;
2005-09-28;3,4;942,3;10,7;15,1;13,5;12,3;83,6;71;5,5;,7;
2005-09-29;0;940,9;10,4;19,6;15;12,1;75,1;53;5,4;,7;
2005-09-30;0;939,3;9,9;23,4;15,9;10,9;70;35;5,4;,9;
2005-10-01;0;938,2;11,1;24,7;16;11,1;75;38;8;,9;
2005-10-02;0;937,5;12,5;23,1;17,4;12,8;74,4;49;5,2;,7;
2005-10-03;0;937,7;12,3;23,5;17,4;14,9;73,4;44;4,5;,7;
2005-10-04;0;936;13,2;23,6;18;13,9;75;49;9,4;1,7;
2005-10-05;null;null;null;23,9;null;15,7;72,1;56;10,1;null;
2005-10-06;null;938,1;15,7;27,4;20,6;15,9;75,8;48;8,7;1,3;
2005-10-07;null;940,2;14,9;24,8;null;17,3;71,9;42;5,8;1;
2005-10-08;0;940,4;11,3;25,5;18,6;13,1;67,3;32;7,9;1,2;
2005-10-09;0;938,3;11,1;25,7;17,6;11,4;69,6;33;8,2;1,3;
2005-10-10;0;937;11,8;25,3;null;11,5;70,5;42;6,5;1,1;
2005-10-11;null;936,3;12,3;26,3;18,6;13;70,3;39;8,5;1,2;
2005-10-12;0;936,1;11,5;26,8;18,2;11,8;69,1;30;8,6;1,2;
2005-10-13;0;935,8;11,7;27;18,7;11,7;67,5;33;8,7;1,4;
2005-10-14;0;934,7;13;28,6;19,9;12,9;66,9;34;10,5;2;
2005-10-15;0;935,1;13,7;31,3;22,4;15,7;62;27;9,2;,8;
2005-10-16;null;936,2;15,1;28,8;null;17,8;65,2;39;8,6;1,7;
2005-10-17;0;934,5;12,8;29,8;22,2;16;58,4;29;9,8;1,8;
2005-10-18;0;933;11,9;32,3;null;15,5;52,5;26;8,3;1,3;
2005-10-19;0;939;15,5;21,8;18,2;17,5;84,5;73;6,9;,8;
2005-10-20;,4;938,7;14,3;26,4;20;15,5;72,3;42;8,8;1,2;
2005-10-21;0;936,8;12,3;26,9;20,5;15;64,2;30;10,7;2;
2005-10-22;0;935,2;12,8;25,8;20,2;14,6;63,7;44;11,3;2,1;
2005-10-23;0;934,8;15,4;28,1;21,2;17;71;43;7,2;1,2;
2005-10-24;1,2;936,3;17;28,3;21,2;17,4;78,6;47;6,7;,7;
