Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Pane
Data Inicial: 2006-02-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-02-21;null;null;null;null;null;null;null;null;null;null;
2006-02-22;null;null;null;null;null;null;null;null;null;null;
2006-02-23;null;null;null;null;null;null;null;null;null;null;
2006-02-24;null;null;null;null;null;null;null;55;3,1;null;
2006-02-25;null;953;19,6;34,8;27,8;23,1;62,3;39;8,2;,7;
2006-02-26;,8;953,6;20,5;32,3;25,8;24;73,4;47;7,2;,6;
2006-02-27;3,2;955,6;21;30,9;25,1;21,4;78,5;60;5,7;,7;
2006-02-28;,2;957,6;20,2;29,2;25,1;22;74,5;57;4,6;,5;
2006-03-01;,2;957,7;20,4;31,2;25,3;22,6;75,4;53;8,2;1,4;
2006-03-02;null;null;null;null;null;null;null;88;5,2;null;
2006-03-03;null;null;null;null;null;null;68,6;57;4,9;null;
2006-03-04;0;957,5;20,2;32,6;27,4;23,7;65,9;45;6,4;1,3;
2006-03-05;0;957,1;20,3;32,7;25,5;23,7;74;51;8,3;1,2;
2006-03-06;31,2;955,8;20,7;29,6;23,5;20,5;85;66;18,4;,7;
2006-03-07;26,4;955,2;20,3;27,7;23,2;20,6;84,1;69;5,3;,8;
