Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2006-05-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-05-11;null;null;null;null;null;null;null;null;null;null;
2006-05-12;null;null;null;null;null;null;null;95;1,9;null;
2006-05-13;null;null;null;null;null;null;null;null;null;null;
2006-05-14;null;null;null;null;null;null;null;67;1,6;null;
2006-05-15;null;null;null;null;null;null;null;34;4,7;null;
2006-05-16;null;null;null;null;null;null;null;23;6,9;null;
2006-05-17;null;956,6;9,3;29,7;19,3;8,5;60,3;16;5,1;1,1;
2006-05-18;0;956,4;11,4;28;17,9;9,5;70,1;32;9,7;1,4;
2006-05-19;null;955;11,2;27,4;18,8;11,6;65,8;30;2,5;null;
2006-05-20;null;952,8;12,7;25,6;18,5;13,1;69,9;48;8,8;1,6;
2006-05-21;null;null;null;null;null;null;null;94;null;null;
2006-05-22;null;null;null;null;null;null;null;62;null;null;
2006-05-23;null;null;null;null;null;null;null;62;null;null;
2006-05-24;null;957,1;17,6;27,4;21;16,6;82,2;55;5,4;1,5;
2006-05-25;0;956,1;17,5;29,5;22;15,6;78,3;45;7,6;1,3;
2006-05-26;0;955,5;16,7;29,9;22,1;15,9;75,4;37;6,4;1,1;
2006-05-27;0;955,6;16;30;21,7;15;74,1;37;7,1;1;
2006-05-28;0;955,8;15,5;30,2;21,1;14,4;75,2;34;5;1;
2006-05-29;0;955,3;13,4;30,3;20,8;13,5;68,9;23;6,9;1;
2006-05-30;0;954,5;13,4;31,2;21,1;13,3;66,5;32;9,1;1,1;
2006-05-31;0;955,4;14,8;31,3;22,5;15,3;66,7;29;7,3;1,1;
2006-06-01;0;955,8;14,5;30,8;21,4;14,8;69,9;29;7,3;1,3;
2006-06-02;0;956;13;30;20,8;14,3;65,9;27;6,7;1,5;
2006-06-03;0;955,7;13,6;28,4;20,6;14,7;66,6;38;10,9;2,1;
2006-06-04;0;955,4;14;27,9;20,7;14,8;68,2;38;9,4;1,9;
2006-06-05;0;954,5;13,8;28,3;20,2;13,9;70,2;37;7,4;1,1;
2006-06-06;0;955,3;13,3;28,2;20,1;13,4;69,4;33;9,3;1,1;
2006-06-07;0;956;11,6;28,8;19,7;12,8;66;28;7,8;1,5;
2006-06-08;0;955,5;11,1;28;19;12;65;28;12,1;1,6;
2006-06-09;0;954,7;11,3;28,1;19,4;12,8;63,1;27;13,5;2,6;
2006-06-10;0;954;11,7;28,6;19,7;13,7;63,8;28;10,5;1,5;
2006-06-11;0;954,4;11,3;29,2;19,4;10,5;65,5;29;6,7;,8;
2006-06-12;0;956;12,7;29,9;20,9;13,3;64,3;29;6,5;1,3;
2006-06-13;0;957,2;13,3;29,4;20,9;13,9;65;33;8;2;
2006-06-14;0;957,8;12,9;28,5;20,3;15,1;66,5;29;7,5;2,4;
2006-06-15;0;956,8;12,5;28,7;19,4;12;68;32;6,7;1,2;
2006-06-16;0;956,8;11,4;29,4;19,6;12,2;65,5;27;7,3;1,5;
2006-06-17;0;956,9;10,3;30,1;20,3;12,3;58,1;22;7,2;1,2;
2006-06-18;0;957,2;12;29,5;20,1;13,3;62,2;32;9;1,7;
2006-06-19;0;956,5;12,7;27,7;21,2;16,9;61,2;34;11,4;2,8;
2006-06-20;0;956,9;11,4;27,6;19,6;12,9;61,6;31;11,2;2,4;
2006-06-21;0;957,9;11,7;27,1;18,7;11,8;67,8;32;9,8;1,4;
2006-06-22;0;958;11,5;28,3;18,9;10,3;66,9;31;9,4;1,3;
2006-06-23;null;null;null;26,8;null;15,2;71,4;49;4,3;null;
2006-06-24;0;956;11,5;27,7;19,9;14,2;64,1;26;8,7;2;
2006-06-25;0;955,6;14,8;28,4;21,1;14,8;68,7;47;13,1;3;
2006-06-26;0;954,6;16,6;29,9;21,8;17,8;73,5;36;13,6;2,1;
2006-06-27;21,8;957,4;12;25,4;19;15,9;68,5;28;7,5;2,1;
2006-06-28;0;958,8;7,5;26,9;15,4;6,5;66,6;24;5,5;1,3;
2006-06-29;0;958,2;10,2;28,2;17,5;9,2;65,7;33;8,4;1,7;
2006-06-30;0;958,1;13;29,9;19,9;12,9;67,7;32;7,8;1,7;
2006-07-01;0;958,5;13,7;28,3;20,5;12,9;68,6;35;9,9;1,9;
2006-07-02;0;958,3;12,1;28,5;19,7;11,7;65,5;28;7,4;1,5;
2006-07-03;0;958,8;12,8;27,8;20,6;14,3;63,5;36;6,7;1,7;
2006-07-04;0;959,2;11,2;28,4;19,5;11,5;64,4;24;7,9;1,4;
2006-07-05;0;958,8;11;27,8;18,8;10,7;65,5;28;6,8;1,2;
2006-07-06;0;958,5;11,5;28,7;18,9;10,2;66,7;33;7,4;1,3;
2006-07-07;0;957,2;11,6;29,4;20;11,1;63,4;28;7,9;1,5;
2006-07-08;0;954,9;12,5;31,2;21,3;12;61,8;28;8,7;1,2;
2006-07-09;0;954,1;14,2;31,9;22,9;15,8;61,6;31;8;1,5;
2006-07-10;0;954,2;14,6;31,8;22,2;13,8;67,1;31;5,1;,7;
2006-07-11;0;955,5;12,7;31,8;22,6;15,8;59,8;24;9;1,8;
2006-07-12;0;956,9;10,2;29,1;21,7;16;51,2;24;13,3;3,8;
2006-07-13;0;958,2;12,1;28;20,3;13,4;61,8;36;10,4;2,8;
2006-07-14;0;958,3;11,5;28,5;20,4;13,6;61,2;27;9,6;2,3;
2006-07-15;0;959,3;8,6;27,7;19,3;11,5;54,5;22;8,1;1,9;
2006-07-16;0;958,6;9,4;28,2;19,2;12,4;57,7;25;10,5;2,5;
2006-07-17;0;958,7;11,4;28;17,5;10,8;68,9;37;9,9;1,2;
2006-07-18;,2;956,9;12,1;28,3;19,6;13,2;66,3;32;7,5;1,1;
2006-07-19;0;956,2;10,8;29;19,4;11,6;64,5;25;5,6;1;
2006-07-20;0;956,1;8,6;29,9;19,1;9;58,8;22;5,8;,6;
2006-07-21;0;956;9,4;30,9;20;10,4;57,3;23;11,7;1,5;
2006-07-22;0;954,8;8;31;21,4;11,9;47;20;9,8;1,7;
2006-07-23;0;954,4;7,2;31,6;21,7;12,2;44,5;18;8,7;1,3;
2006-07-24;0;954,4;6,6;32,1;21,5;12,1;44,5;15;10;1,9;
2006-07-25;0;953,3;6,1;32,2;21,2;9,8;43,1;14;11,2;1,8;
2006-07-26;0;952,4;9;32,4;21,3;10,8;50,9;19;10,5;1,6;
2006-07-27;0;952,6;10,5;33,4;23,4;14,9;49,3;19;14,9;2;
