Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.10638888
Longitude: -44.25083333
Altitude: 929.88
Situacao: Operante
Data Inicial: 2006-06-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-06-08;null;null;null;null;null;null;null;null;null;null;
2006-06-09;null;null;null;null;null;null;null;null;6,1;null;
2006-06-10;null;911,7;null;24,3;15,6;9,1;null;41;6,9;1,8;
2006-06-11;,4;911,4;11,2;25;16,1;9,5;77,2;33;6,8;1,9;
2006-06-12;0;913,8;13,1;23,5;17,1;12;79,1;48;8,3;2,9;
2006-06-13;0;916,3;12,9;22,3;null;14,1;78,8;53;9,5;3,2;
2006-06-14;null;null;null;null;null;null;null;null;null;null;
2006-06-15;null;null;null;null;null;null;null;null;null;null;
2006-06-16;null;null;null;null;null;null;null;26;7,6;null;
2006-06-17;null;914,8;10,2;24,4;16,1;9,6;71,9;34;8,1;2,6;
2006-06-18;0;916,1;11,5;21,4;15,7;12;78,2;41;6,6;2,5;
2006-06-19;0;915,6;11,2;21,6;15,2;11;78,5;46;7,3;2,7;
2006-06-20;0;915,6;11,6;22,6;null;11,2;79,7;45;9,2;2,6;
2006-06-21;null;null;null;null;null;null;null;null;null;null;
2006-06-22;null;null;null;null;null;null;null;null;null;null;
2006-06-23;null;null;null;null;null;null;null;null;null;null;
2006-06-24;null;null;null;null;null;null;null;50;8,1;null;
2006-06-25;null;914;11,7;24,3;15,5;8;81;47;9,1;2,1;
2006-06-26;0;911,1;12,5;23,6;16,1;12,3;81;49;16,8;3,4;
2006-06-27;7;911,2;10,6;23,1;16,6;11,7;72,5;26;16,1;4,1;
2006-06-28;,2;916;8,6;18,7;13,5;10,3;73,5;47;10,5;5,1;
2006-06-29;0;916,6;10,6;17,3;13,4;10,5;83,4;70;9;3,4;
2006-06-30;4,4;916,1;12,6;21,7;15,3;11,6;84,6;57;5,8;1,8;
2006-07-01;0;916,7;11,2;22,2;14,8;10,2;81,3;42;6,9;2,3;
2006-07-02;0;916;10,3;22,6;15,6;10,3;74,5;34;6,7;2,1;
2006-07-03;0;915,5;11;23,7;15,7;10,5;76,2;43;7,3;1,3;
2006-07-04;,2;915,7;10,3;22,9;14,5;9,4;79,9;36;6,4;1,7;
2006-07-05;,2;915;9,9;23,9;14,2;7,9;80,2;30;5,6;1;
2006-07-06;0;915,6;8,6;24,4;14,9;7,2;71,7;27;6;1,7;
2006-07-07;,2;915,1;9,5;24,6;14,2;7;78,6;36;6,4;1,5;
2006-07-08;,2;912,9;9,6;27;15,3;6,8;75;30;6,9;1,1;
2006-07-09;0;911,6;10;27,5;16,6;6,3;71,3;31;8,1;1,8;
