Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2006-08-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-29;null;null;null;19,7;null;null;null;null;null;null;
2006-08-30;null;null;null;null;null;null;56,7;46;10;null;
2006-08-31;1;987,7;9,6;25,1;18;10,8;61,5;35;10,5;2,8;
2006-09-01;0;982,5;11,4;27,9;19,3;11,6;63,2;37;10;1,2;
2006-09-02;0;977,7;14,7;23,7;19,6;16,2;73,8;55;11,7;1,6;
2006-09-03;0;976,5;14,6;32,2;22,8;16,2;63,7;31;12,8;2,2;
2006-09-04;1,8;981,1;15,6;26,5;20,3;16,8;75,8;49;13,8;3;
2006-09-05;20,2;987,3;14;19,4;15,4;14;91,7;77;8,2;2,4;
2006-09-06;,8;991,2;11,6;18,7;15,4;13,1;79,7;54;6,6;1,3;
2006-09-07;0;990,9;12,8;20,5;16,9;14,7;77,3;62;9,9;2,5;
2006-09-08;0;989,5;12,8;25,6;19;15,3;69,7;41;14,5;3,2;
2006-09-09;0;987;12,1;27,5;19,1;12,1;67,7;33;8,2;1,5;
2006-09-10;0;986,2;13,1;30,3;21,5;14;61,7;31;7,1;1,1;
2006-09-11;0;986;14,6;32,6;24;15,9;60;25;7,1;1,4;
2006-09-12;0;984,7;14,7;31,8;23,8;16,4;61,5;30;6,5;1;
2006-09-13;0;982,7;12,1;33;25,1;16;47,3;22;7,9;1,7;
2006-09-14;0;982,2;11,4;33,4;25,9;19,5;42,4;19;8,4;2,3;
2006-09-15;0;981,3;12,3;34,8;26;16,2;46,5;19;7;1,7;
2006-09-16;0;980,7;13,5;34,7;26;18,8;48,8;25;15,2;3,3;
2006-09-17;0;982,5;17,1;29,8;23,8;18,4;68,4;44;13,8;2,2;
2006-09-18;0;982,5;18;24,1;19,9;17,7;89,3;68;8,1;1;
