Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-25;null;null;null;null;null;null;null;null;null;null;
2007-05-26;null;null;null;null;null;null;null;49;8,4;null;
2007-05-27;,8;911;11,6;19,4;14,5;11,1;83;68;7,2;2,6;
2007-05-28;6,6;910,5;12,9;20,3;15,7;12,7;83,9;59;6,4;2,6;
2007-05-29;0;909,9;14;21,1;16,5;14,3;86,2;61;11,5;2,8;
2007-05-30;0;914;9,2;14,6;11,1;9,6;88,6;75;12,3;4,4;
2007-05-31;0;916,4;8,8;14;11,1;8,3;86;72;7,5;3,1;
2007-06-01;0;914,1;11,8;19,3;14,1;11,2;86,9;69;10,8;3,5;
2007-06-02;0;910,3;13,8;24;16,9;12,7;83,8;56;11,3;3,7;
2007-06-03;3,2;909,5;16,2;23;17,9;15,7;90,5;61;13,8;3,3;
2007-06-04;2,8;912,9;9,6;17,2;13,4;10,4;80,1;48;10,2;3,3;
2007-06-05;0;913,8;9,7;18,5;13,3;9,2;79,5;61;10;2,2;
2007-06-06;0;913,3;12;21,6;15,2;12,3;82,8;50;5,8;1,7;
2007-06-07;0;912,8;12,6;23,1;16,7;12,1;78,5;46;5,2;2,2;
2007-06-08;0;913,1;14,1;24,7;18,9;14,7;75,1;47;6,9;2,4;
2007-06-09;0;913,9;14,5;23,9;19,3;15,7;74,5;54;5,9;1,7;
2007-06-10;0;913,9;14,1;24,5;19;14,8;75,3;44;5,9;2,3;
2007-06-11;null;913,6;12,7;23,1;null;15,4;67,9;47;6,6;3;
2007-06-12;0;913,5;12,9;24,8;18,7;14,5;69,5;49;8,3;3,2;
2007-06-13;0;912,4;12,7;23,8;18,4;13,4;70,6;51;6,3;2,5;
2007-06-14;0;911,8;13,8;26,2;19,1;14,5;74;37;6,3;3;
2007-06-15;0;911,6;14,9;24,5;18,4;13,6;81,4;58;7,8;3,4;
2007-06-16;0;913,2;13,7;26,3;19,1;14,8;73,8;30;8;3,6;
2007-06-17;0;915,6;14,5;19,2;16,3;15,1;89,5;73;7;2,4;
2007-06-18;,4;915,9;13,2;23,8;17,6;12,8;78,1;43;5,6;2,1;
2007-06-19;0;916,6;11,8;22,7;17,8;13;71,3;37;13,6;3;
2007-06-20;0;917,6;11,5;20,6;16,3;13,1;75;42;9,4;2,8;
2007-06-21;0;917,7;12,3;21,4;16,6;12,6;77,3;55;9,4;2,9;
2007-06-22;0;915,4;11,7;22,2;17,6;13;69,1;49;10,5;3,3;
2007-06-23;0;912,4;11,7;25,3;18,4;13,3;67,2;40;9,6;2,8;
2007-06-24;0;913,9;11,6;23,8;18,2;13;67;42;7,9;3,3;
2007-06-25;0;917,7;13,1;21,9;16,8;13,9;80,8;48;9,2;2,8;
2007-06-26;0;918;13,3;19,7;16;13,4;84,9;66;7,8;2,9;
2007-06-27;0;916;13,9;20,3;16,2;14;86,8;64;7,7;2,4;
2007-06-28;0;913,9;12,5;24;18,1;13,8;71,6;45;7,3;3,4;
2007-06-29;0;915,3;13,5;21,5;17,5;13,7;78,2;60;6,7;2,5;
2007-06-30;0;915,9;14,7;21,8;16,9;14,3;87,7;62;8,1;2;
2007-07-01;0;917,3;13,7;20,8;16,8;14,3;83,3;59;6,2;1,8;
2007-07-02;0;917,7;12,6;21,7;15,6;11,9;84,1;52;5,6;1,7;
2007-07-03;,2;916,5;13,1;19,9;15,6;13,2;86,1;66;7;2;
2007-07-04;,4;916,3;12,5;22,1;16,1;10,9;80,8;54;7,3;2,7;
2007-07-05;0;916,9;12,5;22,6;17,3;12,9;73,9;52;10,1;3,5;
2007-07-06;0;915,8;12,5;22,2;17,8;14,5;72,2;53;8;3,2;
2007-07-07;0;914;10,5;22,6;17,6;13,6;64,2;43;8,1;3,4;
2007-07-08;0;913,2;11,6;24,3;18,5;14,6;65,4;43;8,9;3,4;
2007-07-09;0;914,3;12,6;24,3;18,9;14,4;68,8;38;8,8;3,3;
2007-07-10;0;912,6;12,2;23,9;18,7;15;66,7;48;7,9;3,4;
2007-07-11;0;912,7;12,7;24,9;18;14;73,2;38;12;4;
2007-07-12;0;915,8;13,5;20,3;16;13,5;85,8;60;11,1;2,9;
2007-07-13;0;915,4;12,8;21,7;17;14,1;78,3;48;9,2;2,7;
2007-07-14;0;912,8;10,4;23,6;18;13,6;62,3;45;7,1;3,1;
2007-07-15;0;911,2;10,6;26,2;19,1;14,7;60;32;8,1;3,6;
2007-07-16;0;911,8;13,5;23,3;17,4;13,7;79,3;51;9,7;2,7;
2007-07-17;0;912;14,6;22;17,5;14,7;84,3;60;8,1;2,3;
2007-07-18;0;908,7;12,5;22,1;18,5;15,7;68,9;49;11,7;4,5;
2007-07-19;0;910,2;10,1;19,8;15,3;11,5;72;50;9,4;3,6;
2007-07-20;0;913,1;11,3;20,7;14,1;9,2;84,1;61;9,5;2,8;
2007-07-21;0;912,8;13,4;23,8;17,5;12,7;79;46;8,5;3,2;
2007-07-22;0;910,1;12,8;25,6;19,7;14,5;66;40;10,8;4;
2007-07-23;0;908,3;12,9;28,3;21;16,1;62,2;33;10,6;3,8;
2007-07-24;1;910,6;16,3;22,6;18,8;16,3;85,9;59;9,7;2,6;
2007-07-25;0;909,3;14,8;24,7;19,4;17;75,7;52;13,6;4,5;
2007-07-26;0;914,2;11,3;18,9;14,4;11,5;82,1;63;9,1;3,8;
2007-07-27;1,4;915,8;11,9;13,3;12,1;10,8;98,7;83;6,8;2,4;
2007-07-28;1,6;916,9;11,9;13,3;12,2;11,3;98,4;95;10,2;3,7;
2007-07-29;0;918,7;7,7;13;10,2;8,8;85,2;65;19,7;7,2;
2007-07-30;,2;918,8;5,1;15,2;9,8;6;75;46;9,8;3,5;
2007-07-31;0;915,8;6,1;18,3;12,4;7,4;68;41;11,4;3,4;
2007-08-01;0;915,2;8;21,2;15,2;9,9;63,4;41;9,1;3,1;
2007-08-02;0;915,8;9;22,6;16,9;12,3;61,2;39;6,2;2,3;
2007-08-03;0;916,1;9,4;22,4;17,2;13,4;61,1;42;7,3;2,8;
2007-08-04;0;915,7;11;22,3;16,7;11,7;70,9;48;12,2;3,2;
2007-08-05;0;915,1;11;24,7;17,6;14,2;66,9;41;10,2;3,6;
2007-08-06;0;916;12;21,4;15,8;12,8;79,8;50;9,3;3,3;
2007-08-07;0;914,3;12,5;25,2;18,1;12,4;72,8;44;11,5;3,4;
2007-08-08;0;915,1;10,9;25,5;19,9;15,8;57,5;33;9,4;4,2;
2007-08-09;0;917,2;12,5;22,7;17,7;13,9;73,8;46;9;3,4;
2007-08-10;0;916,8;11,6;22,4;17,4;13,1;71,8;39;10,6;3;
2007-08-11;0;916,9;11,5;23,7;18,8;13,9;63,8;48;7,3;2,5;
2007-08-12;0;918,5;12,6;20,7;15,8;13;82,9;56;8,6;3,3;
2007-08-13;0;918,1;12,1;23,2;17,1;13,5;75,2;41;9,6;2,8;
2007-08-14;0;917,8;12,1;22,8;17,1;13,8;74,3;45;8,8;3,6;
2007-08-15;0;917,8;12;22,4;17,1;13,7;73,8;48;10,3;3,1;
2007-08-16;0;917,2;10,6;22,3;16,4;12,1;71;43;7,8;2,3;
2007-08-17;0;916,1;11,2;22;16,2;11,6;74,5;46;8,2;2,1;
2007-08-18;0;914,9;12,1;21,9;16,4;12,6;77,2;50;7,9;2,7;
2007-08-19;0;915,2;11,6;21,5;16,5;13,3;75;47;8,1;3;
2007-08-20;0;913,6;9,7;25;17,9;12,2;63,1;30;9,6;2,8;
2007-08-21;0;914,7;11,7;22,7;16,4;12,6;75,9;45;9,2;3,6;
2007-08-22;0;915,9;12,1;22;15,5;12;82,5;53;8,2;2,1;
2007-08-23;0;914,3;11,4;21,4;15,3;11,9;79,7;47;6,4;2,4;
2007-08-24;0;911,7;9,5;26,6;18,4;12;60,3;28;8,4;3,1;
2007-08-25;0;909,9;7,8;29,1;21,2;15;45,5;18;8,8;3,2;
2007-08-26;0;909,4;6,5;30,2;23,2;17,1;36,5;14;9,9;3,6;
2007-08-27;0;909,4;8,6;31,2;24,1;17,9;38,8;22;8,2;3,5;
2007-08-28;0;913,5;14,3;25,7;17,1;14,5;84,5;32;8,3;3,5;
2007-08-29;0;916,3;14,5;22;16,4;13,9;89,8;65;8,3;2,6;
2007-08-30;,6;918,3;15;20,1;16,4;14,5;92,2;71;11,4;3,3;
2007-08-31;,4;917,9;14,6;20,5;16,7;14,8;88,2;70;9,5;3,4;
2007-09-01;0;916,3;14,1;25,6;19,2;15,2;75,1;44;8,8;3,1;
2007-09-02;0;915,7;12,8;27,4;21,5;16,9;58,9;38;7,3;3,4;
2007-09-03;0;917,7;15,2;23;18,7;15,3;81,6;52;9,4;3,2;
2007-09-04;0;919,3;14,3;22,3;18,2;15,8;79,1;56;13,3;5,5;
2007-09-05;0;919,7;14,1;23,2;17,6;14,7;81;54;11,3;3,7;
2007-09-06;,8;918,7;14;24,6;18,4;15,2;78;43;9,8;2,9;
2007-09-07;0;916,8;13,4;21,6;17;14;80,8;59;7;2,4;
2007-09-08;0;915,6;11,7;23,1;17,2;12,2;73,4;44;7,1;2,5;
2007-09-09;0;915,2;11,4;23;17;12,3;72,1;44;8,3;2,8;
2007-09-10;0;915,5;11,8;24,1;17,7;14;71,1;40;11,2;3,9;
2007-09-11;0;915,8;11,5;23,6;17,1;13,5;72,4;38;10,8;4,1;
2007-09-12;0;915,8;9,4;24,7;17,8;12,9;63,3;26;11,4;4,1;
2007-09-13;,4;915,2;12,2;25;18,4;14,7;71,5;33;9,8;3,7;
2007-09-14;0;913,8;11,3;24,6;18,5;13,8;67,2;34;8,4;3,3;
2007-09-15;0;911,6;8,2;28,1;21,2;15,6;46,3;20;8,1;3,2;
2007-09-16;0;910,3;9,3;28,9;22;17,5;46,5;25;10,9;2,8;
2007-09-17;0;913,2;12,9;24;17;13,5;78,6;46;14,6;5;
2007-09-18;0;914,7;11,8;22,7;16,7;13,9;75,1;44;9,6;3,5;
2007-09-19;0;913,4;12,1;25,6;17,5;11,5;72,6;46;9,1;3,1;
2007-09-20;0;911,8;11,7;30,5;22,3;15,7;54,3;28;8,7;3,8;
2007-09-21;0;912;10,2;29,6;23;17,6;47,5;20;8,8;3,3;
2007-09-22;0;912,5;10,1;29,1;21,6;15,7;53,3;15;8,4;2,4;
2007-09-23;0;909,7;9,9;30,3;23;16,8;46,4;25;9,1;3,7;
2007-09-24;0;909,2;10,7;33,6;22,9;19,3;51,1;20;15,7;5,4;
2007-09-25;0;915,9;10,4;16,2;13,1;11,7;84,2;65;15,2;6;
2007-09-26;0;918,1;9,6;17,8;13,7;11;77;61;8,8;3,2;
2007-09-27;0;917,2;12;22;16,4;13,2;76,5;54;11;3,7;
2007-09-28;0;914,8;13,8;28,4;19,8;13,5;71,3;40;17;3,2;
2007-09-29;5;915,9;15,5;20,1;16,9;15,1;91,8;79;16,5;3,5;
2007-09-30;0;917,1;13,5;17,5;15,2;13,4;89,5;77;9,7;3,2;
2007-10-01;,2;917,7;10,4;19,5;14,9;12,3;75,6;53;9,3;4,1;
2007-10-02;0;916,6;10,6;21,2;15,8;12,2;73,4;47;10,2;3,2;
2007-10-03;0;914,5;11,3;23,7;17,2;12,5;71,2;38;9,6;3,6;
2007-10-04;0;913,2;11,7;23,7;16,7;11,7;74,3;47;10,7;3,3;
2007-10-05;0;912,4;11,9;25;17,4;11,8;72,4;45;9,5;3,4;
2007-10-06;0;911,5;11,5;27,1;19,2;12,8;64,8;34;10,9;3,4;
2007-10-07;0;911;12;29;21,4;14,9;58,3;31;9;2,8;
2007-10-08;0;913;13,7;24,3;19,7;15,5;70,4;44;9,5;3,4;
2007-10-09;0;914,3;12,7;24,4;18,8;15;70,3;43;11,9;4,1;
2007-10-10;0;912,7;11,5;26,4;19,7;14,8;63,8;32;12,7;3,9;
2007-10-11;0;909,6;10,8;27,8;21,1;15;54,8;30;11,2;3,3;
2007-10-12;0;908,2;10,7;28,7;21,8;15,3;52,6;28;10,2;3,7;
2007-10-13;0;907,7;12,7;29,7;23,4;17,7;52,4;36;12,6;3,7;
2007-10-14;0;909,7;14,3;30,9;23,9;20,5;57;31;19,9;3,2;
2007-10-15;0;912,4;15,4;27,6;21,3;17,2;72,9;41;7,1;2,4;
2007-10-16;0;911,3;14,5;29,3;22,6;16,7;63,5;35;11;3,5;
2007-10-17;0;907,8;12,9;33;24,2;19,8;52,4;28;12,2;4;
2007-10-18;7,6;909,8;16,9;24;18,6;16,3;90,4;65;13,8;2,9;
2007-10-19;11,2;909,9;16,4;21,2;17,6;15,8;93;81;10;3;
2007-10-20;7,4;909,4;17,3;26,9;20,3;16,7;84,5;56;8,7;2,2;
2007-10-21;0;908,9;17;32;23,9;18,6;69,3;31;9,1;2,6;
2007-10-22;13,4;911,3;16,7;26,5;19,2;16,7;85,8;54;12,1;3;
2007-10-23;27,8;914,1;16,6;22,1;18,4;16,2;89,6;70;8;2,6;
2007-10-24;2;914,3;17;18,4;17,4;16,8;97,5;94;5,9;2,5;
2007-10-25;11,6;912,1;16,9;18,5;17,1;16,3;98,7;98;6,8;2,1;
2007-10-26;21,6;909,8;17,9;23,6;18,9;16,7;93,8;77;8,9;2,9;
2007-10-27;0;908,2;17,7;27,5;21,2;17,1;82;54;21,5;3;
2007-10-28;4,6;908,4;16,8;28,7;22;17,5;74,2;39;16,1;2,4;
2007-10-29;,4;908,6;17,9;31;23,7;17,8;71,8;45;7,8;2,3;
2007-10-30;0;907,3;18,4;31,6;25,4;20;67,5;39;9,1;2,2;
2007-10-31;0;906,4;18,4;29,3;23,5;19;74,5;52;11,6;2,6;
2007-11-01;0;904,5;17;31,7;23,5;20,8;68,2;41;16,8;2,7;
2007-11-02;,8;905,9;17,9;29,5;23,5;19,6;71,8;50;13,3;3,2;
2007-11-03;0;906;18,4;30,7;24,6;20,6;69,9;45;16,5;2,9;
2007-11-04;5,4;907,1;18,2;26,4;21;19,7;85,1;55;23,5;2,8;
2007-11-05;7,2;910,3;16,5;21,1;17,9;16;91,8;77;7,3;3,1;
2007-11-06;,8;911,9;17,4;21,9;18,4;16,8;94,1;77;7,8;2,2;
2007-11-07;,8;911;17,2;23,3;19,3;17,5;88,9;67;10,3;3,2;
2007-11-08;21,8;909,3;17,6;23,7;19,5;17,8;89,5;71;9,2;2,6;
2007-11-09;3,6;906,8;17;24,2;19,1;15,9;87,6;72;11;3,6;
2007-11-10;1,4;905,1;17,4;25;20,8;18,9;81;63;10;3,7;
2007-11-11;1,2;906;17,2;29,1;22,7;18,7;71,8;46;12;3,8;
