Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98583333
Longitude: -48.15166666
Altitude: 572.54
Situacao: Operante
Data Inicial: 2006-07-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-17;null;null;null;null;null;null;null;null;null;null;
2006-07-18;null;null;null;null;null;null;null;30;4,9;null;
2006-07-19;null;952,3;10,3;27,7;19;11,3;62,4;23;6,5;2;
2006-07-20;0;952,4;8;28,3;18,2;9,4;56,4;24;9,7;1,9;
2006-07-21;0;952,5;8,3;31;20,2;10,3;51,8;20;7,6;1,9;
2006-07-22;0;951,4;6;31,4;21,5;12,8;41,5;15;10,5;2,8;
2006-07-23;0;950,9;6,3;32,3;21,1;12,9;43,5;15;6,9;2,4;
2006-07-24;0;951;5,2;31,7;21,8;13,7;39;13;8,4;2,6;
2006-07-25;0;949,8;4,3;31,8;21,8;12,1;35,8;12;9;2,4;
2006-07-26;0;948,9;6,8;31,6;21,7;12,2;42,5;15;6;2,2;
2006-07-27;0;948,9;8,6;33,1;23,1;12,3;44,4;19;8,6;2,6;
2006-07-28;0;948,8;10,7;33,7;24,1;15;45,8;23;10,1;2,8;
2006-07-29;0;947,9;14,4;30,5;22,9;16,4;60,7;36;8,9;2,8;
2006-07-30;,4;951;17,1;24,3;20;17,4;84,3;62;5,5;1,5;
2006-07-31;0;954,1;14,7;26,9;19,2;14,6;77,6;47;7,4;2,1;
2006-08-01;0;955,4;14,8;28,5;19,8;13,4;76,1;42;7;1,7;
2006-08-02;0;954,3;12,4;31;21,6;13,1;63,4;20;9,7;1,8;
2006-08-03;0;953,4;12,1;31,1;21,5;12,7;60,8;25;8,4;1,9;
2006-08-04;0;952,6;11,2;31,6;22,3;12,5;55,7;20;6,2;1,6;
2006-08-05;0;952,5;9,6;31,6;22,6;13,5;48;20;6;1,7;
2006-08-06;0;952,3;8,8;32,1;22,2;12,6;47,1;20;8,5;1,8;
2006-08-07;0;951,4;9,5;32,3;23,3;15,2;45,5;20;9,2;2,1;
2006-08-08;0;951,2;8,7;31,4;23,1;14,7;44,2;18;8,9;2,3;
2006-08-09;0;950,4;6,9;32,1;22,3;12;39,9;20;12,1;2,8;
