Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-21;null;null;null;null;null;null;null;null;null;null;
2006-08-22;null;null;null;null;null;null;null;14;8,5;null;
2006-08-23;null;908,9;8,5;27,9;19,1;9,5;54,3;26;9,7;1,7;
2006-08-24;0;909,3;9,3;29,1;20,2;11,2;55,7;19;8,4;1;
2006-08-25;0;908,7;8,4;27,6;19,9;13,5;50,2;25;9;2;
2006-08-26;0;906,7;9,9;28,1;20,9;15,6;51,4;27;11,7;2,9;
2006-08-27;4;905,3;13,8;27,8;19,9;15,3;71;38;19,6;2,2;
2006-08-28;12,2;906,2;15,5;26,2;19,3;14,9;80,3;51;6,2;,9;
2006-08-29;,4;907,1;15,1;27,6;21,2;16,8;71,5;38;8,8;1,7;
2006-08-30;0;907,7;12,7;25,9;18,9;12,9;69,1;48;10;3,4;
2006-08-31;0;908,3;12,8;26,6;19,4;13,5;67,4;45;9,7;3,4;
2006-09-01;0;905,9;14,1;29,4;21,3;14;66,8;37;9,4;2;
2006-09-02;24;904,5;16;21,9;17;14,2;94;67;18,8;1,9;
2006-09-03;9,4;904,1;14,1;26;18,3;13;78,8;48;9,4;1,7;
2006-09-04;0;906,3;13,5;24,5;18,4;12,9;75,3;50;9;2,1;
2006-09-05;0;909,4;5,2;23,5;15,9;7,7;52;25;9;2,4;
2006-09-06;0;909,6;9,7;25,7;15,8;8,2;68,5;41;8,5;2,8;
2006-09-07;0;909,8;12,4;27;18,6;12,8;69,9;36;7,9;2,9;
2006-09-08;0;910;11,1;27;19,3;12,6;62,5;29;10,1;2,5;
2006-09-09;0;909,2;9,8;25,8;19;12;57,6;31;11;2;
2006-09-10;0;909,6;8,6;26,8;19,3;12;53,3;28;9,2;1,5;
2006-09-11;0;910;8,2;28,8;20,1;11,1;51,2;20;9,2;2;
2006-09-12;0;909,1;9,1;28,7;21,1;13,2;49;25;9,5;2;
2006-09-13;0;907,9;5,9;29,2;20,4;11,6;42,9;19;9,8;1,5;
2006-09-14;0;907;5,8;30,7;21,8;11,2;39;15;10,8;1,6;
2006-09-15;0;907,1;7,1;31,4;23;15,2;38,4;20;12,8;1,8;
2006-09-16;0;905,8;8,1;31,4;23,6;14;39,5;17;8,2;1,7;
2006-09-17;0;905,8;7,9;31,1;24,6;15,2;35,5;21;12,1;2,7;
2006-09-18;0;905,5;11;32,2;24,1;16,1;48,1;21;17,7;2,7;
2006-09-19;0;905;13,9;30,7;22,4;16;63,4;30;8,3;2,3;
2006-09-20;0;903,6;15,5;31,5;23;17,1;66,7;33;18,8;3,5;
2006-09-21;30,2;905;17,8;26,3;19,8;17,2;89,1;58;10,8;2,4;
2006-09-22;7,8;907,1;17,1;27,4;20,2;16,5;84,6;49;11,8;1,2;
2006-09-23;31,4;906,1;16,6;29,9;22,1;16,4;74,6;39;6,2;1,3;
2006-09-24;10;906,3;16,9;26,1;20,5;17,2;81,8;49;14,6;1,8;
2006-09-25;0;907,6;16,1;29;22,2;16,5;71,5;36;6,8;1,5;
2006-09-26;0;908,8;16,7;26,3;20,8;16,3;78,3;53;10,1;2;
2006-09-27;0;910,3;14,5;24,6;19,7;16,5;73,5;50;10,6;2,9;
2006-09-28;0;908,7;12,9;26,8;19,8;12,5;66,6;39;8,7;1,8;
2006-09-29;0;906,6;13,2;28,8;21,5;14;62,1;34;9,6;1,5;
2006-09-30;0;907,5;15,1;25,5;21,8;18,9;66,6;46;9,8;2;
2006-10-01;1,4;908;17;24,6;20;17,5;84,1;60;5,9;2;
2006-10-02;,8;906,3;16,8;22,2;19,1;16,9;87,3;71;7,7;1,7;
2006-10-03;4,6;904,8;16,9;26,9;19,9;16,3;84,1;51;6,8;1;
2006-10-04;0;904;16,4;28,9;21,6;15,6;74,8;43;12,4;2;
2006-10-05;56,6;906,2;18,3;27,7;21,6;18,2;83;57;10,9;2,6;
2006-10-06;29,2;906,2;18,1;27,8;21,6;18,1;82,1;52;10,2;2,8;
2006-10-07;42,8;906,9;18,4;22,4;19,7;18,6;92,2;76;9,4;1,5;
2006-10-08;,6;906,2;17,8;26,2;21;17,2;83,5;53;6,6;1,1;
2006-10-09;0;907,3;18,1;25,9;20,4;17,8;87,5;59;10,7;2;
2006-10-10;5,4;908,9;17,1;22;19,5;18,3;86,4;71;9;2,7;
2006-10-11;0;907;15,8;27,1;20,5;15,6;75,8;52;8,1;2,1;
2006-10-12;,8;904,4;17,8;27,5;21,7;17,9;80,2;50;8,3;2,3;
2006-10-13;0;903,9;17,9;24,3;20,1;17,6;88,1;66;9,7;1,9;
2006-10-14;,6;904,1;18,1;23,7;20,2;17,3;88,1;66;5,8;1,1;
2006-10-15;0;904,2;17,7;25,7;20,6;16,6;84,4;59;9,1;1,3;
2006-10-16;,2;903,9;18,2;28;21,9;18,4;81,1;53;7,7;1,3;
2006-10-17;1,2;904;19;24,6;20,7;18,5;90,4;71;7,8;1,5;
2006-10-18;2,6;903,1;19;25,7;20,9;17,4;89,6;65;9,8;1,7;
2006-10-19;9;902,6;19,4;23,8;20,7;19,3;92,7;77;8,4;2,2;
2006-10-20;1,6;903,5;19,1;28,1;21,9;19,1;85,4;58;7,4;1,9;
2006-10-21;,4;905,7;17,8;26,7;21,2;18,4;82;57;8,7;2,2;
2006-10-22;0;906,7;16,9;23,9;19,3;16,7;86,5;65;6,4;1,7;
2006-10-23;0;906,9;16,7;26,8;19,9;14,7;83,3;51;9,7;1,6;
2006-10-24;2;908,1;16,1;21,2;18,8;17,5;84,3;73;9,6;3;
2006-10-25;0;908,6;15,8;22,1;18,9;16,3;82,5;73;7,5;2,8;
2006-10-26;,4;907;16,4;27,1;20,3;16,6;80,1;50;8;1,8;
2006-10-27;0;903,5;16,6;29,6;22,2;14,7;73,6;44;7,9;1,8;
2006-10-28;0;902,9;17,9;29,8;22,1;17,5;78,3;50;10,9;1,9;
2006-10-29;4,8;901,5;14,1;30,4;22,3;15,1;66,9;24;9,1;1,1;
2006-10-30;0;900,3;13,5;30,2;22,7;14,1;59,1;31;10;1,7;
2006-10-31;0;901,2;17,3;28,9;21,9;15,2;75,5;50;11,1;2,1;
2006-11-01;0;903;18,6;27,5;21,5;19,2;84;61;11,5;2,8;
2006-11-02;7,6;904,2;18,6;24,9;21,3;19,1;84,9;70;10,8;2,5;
2006-11-03;1,2;904,3;18,7;25,6;21,2;18,5;86,3;65;10,3;2,3;
2006-11-04;19;902,8;19,5;28;21,4;19,1;89,9;60;11,3;1;
2006-11-05;1,4;902,3;19,6;27,7;22,6;19,1;84,1;61;8,6;1,9;
2006-11-06;,4;902;19,3;27,7;22,6;20,6;82,5;57;11;2,6;
2006-11-07;10,2;901,7;19,6;26,5;22;19,4;86,6;65;10,3;2,3;
2006-11-08;2,8;901,4;19;28,7;22,3;17,8;82,6;55;8,2;1,5;
2006-11-09;,6;901,7;19,3;25,5;20,9;18,8;91,3;66;7;1,6;
2006-11-10;7,8;901,1;18;22,9;19,1;18,9;93,9;77;11,4;2,3;
2006-11-11;8,6;903,3;13,7;19,5;16,1;13,5;85,9;73;10,3;4;
2006-11-12;null;906,5;13,4;22,8;17;14;80,4;57;10,7;3,5;
2006-11-13;0;908,2;13,7;21,1;16,8;13,4;82,7;64;11;3,1;
2006-11-14;0;906,6;14,2;24,6;18,2;13,8;79,2;50;8,8;2,7;
2006-11-15;,2;906,1;15,8;27,8;20,6;14,7;76,4;40;8,3;1,9;
2006-11-16;0;906,7;16,2;29,3;23;17,2;68;40;12,1;3,3;
2006-11-17;0;906,7;13,7;29,9;23;16,4;59;31;8,8;1,9;
2006-11-18;0;905,5;15,9;30,3;23,3;15,2;65,3;39;7;1,2;
2006-11-19;0;905;17,6;30,7;22,7;17,9;74,5;40;8,2;2;
2006-11-20;0;904,8;17,6;28,8;22;17,9;78,2;47;17,3;2,2;
2006-11-21;,4;905,1;17;29,3;22;17,8;75,6;41;8,5;1,4;
2006-11-22;0;904;15,8;31,8;23,2;15,7;67,7;27;7,7;1,1;
2006-11-23;0;903,5;16,9;29,2;22,1;17,2;74,4;41;12,7;2,2;
2006-11-24;1,8;904,8;18,1;28,7;22,7;17,4;77,3;48;9,4;2,2;
2006-11-25;0;905;18,6;28,1;23,1;19,7;77;52;20;3,2;
2006-11-26;14,4;904,2;19,4;24,9;21,1;17,9;90,4;71;10,2;1,5;
2006-11-27;21,8;902,6;19,2;28,2;21,7;18,5;87;55;11,4;1,9;
2006-11-28;2,4;901,8;19,3;26,5;21,6;19,3;87,1;62;11,3;3,5;
2006-11-29;,2;901,9;19,5;25;21,4;19,9;89,4;71;9,4;2;
