Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2006-08-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-18;null;null;null;35,3;null;null;null;9;5,8;null;
2006-08-19;null;911,6;8,4;31,2;23,8;17,2;39,5;23;10,1;3;
2006-08-20;1;913,1;12,7;26,8;20,4;16;62,8;33;9,2;1,7;
2006-08-21;0;914,6;4,7;25,6;18,4;9,9;47;15;9,7;1,6;
2006-08-22;0;915;-,6;27,8;17;6;35,5;13;9,8;2,1;
2006-08-23;0;915,2;4,3;29,4;19,8;10,1;40,5;14;10,9;2,3;
2006-08-24;0;915,6;7,4;30,3;22,1;15,7;43,6;16;15,7;2,4;
2006-08-25;0;914,9;5,8;29,3;22,2;16,9;36,4;18;11,9;3;
2006-08-26;0;912,5;9,1;29,8;22,4;16,9;44,8;23;13,4;3,9;
2006-08-27;23;911,7;13,8;27,7;21,2;15,2;66,7;35;12,9;3,6;
2006-08-28;3,2;912,5;15,6;26,1;20,3;17;75,6;50;13,1;2,2;
2006-08-29;2,2;914,1;14,8;26,7;20,6;17,3;73,1;35;9,6;2,1;
2006-08-30;0;914,3;11,8;27,4;19,5;13,2;63,1;40;10,5;2,4;
2006-08-31;0;913,9;12,8;28,7;20,9;14,7;61,8;40;13,6;4;
2006-09-01;0;912,2;14,7;28,2;22;18;64,3;43;11,3;3,5;
2006-09-02;3,2;910,5;14,4;23,4;19;14,3;76,2;44;12,2;3,1;
2006-09-03;,2;910,8;14;23,7;18,1;14,2;77,6;57;9,1;1,9;
2006-09-04;0;913,3;10;22,4;16,9;12,5;66;42;10,2;2,4;
2006-09-05;0;916,7;3,3;21,4;14,8;9;48,5;25;9,8;2,8;
2006-09-06;0;916,2;7,4;26,5;16,3;8,5;57,2;33;9,6;2,4;
2006-09-07;0;915,7;11,8;27,4;19;13,4;65,8;36;14,8;3,8;
