Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2006-11-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-27;null;null;null;null;null;null;null;null;null;null;
2006-11-28;null;null;null;null;null;null;81,3;3;9,4;null;
2006-11-29;3,2;890,8;18,4;26,7;20;17,2;91,5;58;7,6;,7;
2006-11-30;49,8;891,6;18,3;27,9;21,7;17,8;83;55;10,3;1,6;
2006-12-01;,6;893,7;15,2;27,7;21,7;16,4;67,9;47;9,4;2,5;
2006-12-02;0;895,3;16;24,9;19,6;14,3;80,4;60;8,5;1,9;
2006-12-03;0;894,8;17,2;27,7;21,7;17,3;77;48;6,4;1,5;
2006-12-04;1,8;894,8;18,2;22,6;19,3;17,3;93,7;80;6,8;,6;
2006-12-05;28;895,4;18,3;23,9;19,8;17,9;91,2;71;9;1,2;
2006-12-06;4;893,9;18,2;24,5;20,3;18,1;88,3;68;5,8;,8;
2006-12-07;10,2;890,8;16,9;24,9;20,1;16,7;83,4;60;8,2;1,3;
2006-12-08;,2;891,5;15,3;27;19,8;12,6;78,3;47;5,3;,9;
2006-12-09;0;891,9;18,1;23,3;19,7;17,8;90,2;69;5,8;1;
2006-12-10;4,4;892;18,1;26,7;21,2;18,1;83,4;59;5,6;1,3;
2006-12-11;55;893,4;17,8;25,5;20,7;17;84,6;61;8;1,8;
2006-12-12;2,6;894,7;17,6;23,2;20,2;17,5;85,7;69;9,2;1,7;
2006-12-13;3,6;894,6;17,6;25,3;20,5;17;84,2;64;8,3;1,8;
2006-12-14;5,2;894,4;18,7;23,9;20,1;18,7;91,9;72;8,7;1,4;
2006-12-15;51,4;894,6;18,9;23,3;19,8;18,5;95,1;80;11,1;1,1;
2006-12-16;37,2;894,1;18,5;26,9;21,1;17,2;86,3;58;6,3;1,1;
2006-12-17;,8;894,6;18,3;28,3;22,5;19,5;78,8;46;6,4;1,3;
2006-12-18;11,6;894,2;18,9;28,4;21,8;18,7;84,7;52;10,9;1,3;
2006-12-19;40,6;894,1;18,6;26,5;21,6;17,1;83,8;58;9,1;1,6;
2006-12-20;0;894,6;18,8;25,5;21;18;87,9;68;8,8;,9;
2006-12-21;4,6;896;18,8;26,1;20,7;17,5;89,5;63;9,5;1,2;
2006-12-22;7,6;896,3;18,9;27,5;21,4;19,1;87,3;53;8,2;1;
2006-12-23;9,2;null;null;25,3;null;18,2;89,5;66;5;null;
2006-12-24;null;894,2;18,8;28,6;21,9;18,2;84,3;51;7,6;1,1;
2006-12-25;null;null;null;null;null;null;null;94;4,4;null;
2006-12-26;null;null;null;null;null;null;70,5;49;10,9;null;
2006-12-27;0;895,8;17,5;26,1;19,7;16,4;88;61;14,7;,6;
2006-12-28;29,2;896,9;17,6;26,6;21,1;15,9;81,9;55;8,1;1,2;
2006-12-29;,2;896,8;17;27,4;21,9;17,4;75,3;48;7,4;1,7;
2006-12-30;,6;896,6;18,2;24,9;20;18,1;89,4;67;8,7;1,5;
2006-12-31;25;896,3;18,2;19,8;18,9;18,3;95,6;90;6;1;
2007-01-01;168,6;895,6;17,6;19,9;18,4;17,1;95,6;88;7,6;1,3;
