Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;56;6,4;null;
2006-12-02;null;875;13,8;25,8;18,3;10,4;77;51;7,7;1;
2006-12-03;0;874,7;15,9;27,1;20,1;15,3;78,5;47;5,8;1,2;
2006-12-04;0;874,5;17,1;25,5;20,3;15,7;82,6;57;9;1,5;
2006-12-05;null;875,1;16,7;21,9;null;16,1;93;70;7,1;,8;
2006-12-06;9,8;873,5;17,3;23,6;19,3;17,1;88,8;65;5,4;,8;
2006-12-07;0;870,3;16;24,1;19,6;16,5;81,1;56;7,1;1,1;
2006-12-08;0;871,4;13,1;24,9;17,3;9,8;79,4;45;6;,8;
2006-12-09;0;871,9;16,7;21,7;18,4;14,4;89,4;76;6;1;
2006-12-10;1,8;871,9;16,9;25,2;19,9;16,2;84,1;58;6,4;1;
2006-12-11;1;873,3;15,7;24,2;19,3;14;80,2;58;7,7;1;
2006-12-12;2,2;874,6;15,6;24,2;19,6;13,8;78,7;59;7,3;1,4;
2006-12-13;0;874,4;16,2;25,1;19,6;13,1;81,9;57;6,5;1,3;
2006-12-14;8,2;874,6;17,4;23,2;19,3;17,4;89,3;71;8,3;1,5;
2006-12-15;20,4;874,5;17,9;22,3;18,9;17,7;94,2;82;6,4;1,1;
2006-12-16;12,4;874,2;16,9;25,5;19,5;16,3;85,9;60;6,6;1,3;
2006-12-17;0;874,5;17,6;26,9;20,2;16,8;85,8;55;6,1;,9;
2006-12-18;8;874,1;16,6;27,6;21,6;17,1;75,4;47;6,8;1,2;
2006-12-19;0;874;16,8;26,6;21;17;78,2;52;6,6;1,1;
2006-12-20;0;874,4;17,5;25,4;19,4;16;89;62;8,5;,9;
2006-12-21;10,6;875,7;17,5;24,7;19;15,9;91,6;66;8;1;
2006-12-22;34,6;876;17,9;26,4;20,1;16,6;88,4;58;7,9;,7;
2006-12-23;0;null;null;25,2;null;16;90,5;65;7,2;null;
