Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2007-06-04
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-04;null;null;null;null;null;null;null;null;null;null;
2007-06-05;null;869,8;null;null;null;null;79,4;61;8,3;2,4;
2007-06-06;,2;869,7;12,6;22,8;16,2;12,9;82,3;40;10,2;2,7;
2007-06-07;0;869,4;11,6;23;16,8;13,2;74,8;31;9,1;2,1;
2007-06-08;0;869,7;11,1;22,1;16,1;12,1;74,4;45;9,1;2,4;
2007-06-09;0;869,9;10,5;21,8;16,1;12;72,2;41;14,7;4,3;
2007-06-10;0;870,2;9,6;22,1;16,3;11,5;68,5;32;8,7;2,9;
2007-06-11;null;870;9,9;22,5;null;11,2;66,4;39;8,6;2,3;
2007-06-12;0;870,2;9,4;23,3;16,6;11,4;66;29;7,1;2,1;
2007-06-13;0;869,4;12,1;23,2;17,3;13;74,3;39;9,8;2,9;
2007-06-14;0;869;11,9;24,1;17,9;13,1;71,1;33;7,3;1,6;
2007-06-15;0;869,3;11,1;23;17;12,6;71,5;33;5,4;1,9;
2007-06-16;0;870,6;7,7;24,1;18,2;13,9;52,6;29;9,3;2,4;
2007-06-17;0;870,9;10;21,1;16,8;13,2;64,9;47;9;3,3;
2007-06-18;0;871,7;10,5;22,1;15,8;11,5;73,1;39;8,2;3,1;
2007-06-19;0;871,8;9,6;21,4;15,4;11,6;69,3;47;10,2;4,5;
2007-06-20;0;872,5;9,8;20,3;14,7;9,4;73,7;48;13,5;5,4;
2007-06-21;0;873,2;11,6;20,8;15,7;13,1;78,5;50;10,7;4,7;
2007-06-22;0;871,7;9,2;21,2;15;10,1;71,2;34;8,9;3,3;
2007-06-23;0;869,5;10,8;21,1;16,1;13;71,8;46;9;2,8;
2007-06-24;0;870,6;10,2;21,2;16,4;13,2;67,9;46;6;1,8;
2007-06-25;0;872,4;10,4;20,6;15,4;11,5;73,4;49;13;4,1;
2007-06-26;0;872,8;10,7;20,2;15,2;12,2;76;50;10,8;5,1;
2007-06-27;0;871,9;9,9;19,9;14,7;10,9;75,9;44;11,5;3;
2007-06-28;0;870,8;10,5;21,5;15,2;11,5;75,6;41;6,9;2,1;
2007-06-29;0;871,4;9,5;22,5;16,7;12,9;64,6;36;9,9;2;
2007-06-30;0;872,2;10,1;21,8;16,3;12,1;68,3;43;6,8;1,9;
2007-07-01;0;872,9;9,5;22,9;17,2;13,1;63,2;32;7,6;1,9;
2007-07-02;0;873,2;9,6;21,1;15,6;11,3;69,6;41;17,4;2,2;
2007-07-03;0;872,4;9,8;20,4;15,2;11,4;70,9;42;7,7;1,9;
2007-07-04;0;872,6;11,9;19,1;14,8;12,1;83,4;63;7,1;2,4;
2007-07-05;0;873,2;12,4;20;15,1;12,7;85;60;10;3,3;
2007-07-06;0;872;10,5;20,4;14,9;11,5;77,3;47;8,8;2,9;
2007-07-07;0;870,5;8,6;21,1;15;10,8;68,5;33;10,1;3,3;
2007-07-08;0;870,4;11,3;20,6;14,8;11,4;80,2;58;7,6;2,7;
2007-07-09;0;870,9;12,2;20,5;15,9;13;80,1;52;7,9;2,6;
2007-07-10;0;869,8;10,2;20,4;14,9;11,1;75,2;41;6,4;2,3;
2007-07-11;0;869,4;9,2;23,4;16,7;11,8;63,9;30;8;2,4;
2007-07-12;0;870,7;8;20,7;15,8;11,9;60,8;40;12,1;4,4;
2007-07-13;0;871,2;8,3;19,9;15;11,5;65,5;41;9,2;2,7;
2007-07-14;0;869,9;9;21,1;15,8;11,7;66,2;39;8,1;2,1;
2007-07-15;0;868,4;8,1;23,2;17,4;12,8;56,3;35;7,4;1,8;
2007-07-16;0;868;9,6;22,8;17,8;12,7;60;38;8,5;2,3;
2007-07-17;0;868,6;11,7;19;16;13,5;75,9;64;8,8;2,7;
2007-07-18;0;867;11;25,5;18;12,4;67,5;31;17;4;
2007-07-19;0;866,8;10,1;23,4;18,7;13,7;59;40;9,2;3,2;
2007-07-20;0;869,1;11,9;22;17;12,7;73,6;52;9;3,1;
2007-07-21;0;869,9;11,1;23;16,9;13,4;72,8;31;7,7;3;
2007-07-22;0;868,4;11,4;22,1;16,7;13,4;72,5;44;8,4;2,9;
2007-07-23;0;867,1;10,7;24,8;18;12,7;64,3;38;9,1;2,7;
2007-07-24;0;867,7;9,9;25,9;20,1;16,2;53,5;24;7,8;2,5;
2007-07-25;0;867,9;9,4;24,9;18,6;13,3;59,1;29;10,5;4;
2007-07-26;0;869,4;10,9;24,9;20;15,6;56,7;38;9,7;3,3;
2007-07-27;0;870,8;13,6;20,8;17;14,4;81,3;60;9,5;3,8;
2007-07-28;0;871,5;13,1;16,8;14,8;14,2;89,8;76;13,4;3,5;
2007-07-29;,8;871,5;11,6;14,6;12,4;11,1;95;80;10,8;5,1;
2007-07-30;0;872;7,6;14,6;10,1;8;85,7;60;9,5;4,5;
2007-07-31;0;871,1;4,9;17,5;11;5,9;68,1;41;10,5;3,5;
2007-08-01;0;871;6,8;19,5;12,2;7,1;72,2;42;8,7;3,3;
2007-08-02;0;871,5;7,6;19,3;12,9;8,1;71,9;45;10,6;3,5;
2007-08-03;0;871,6;8,1;21;14,4;9,5;67,7;41;11,3;3,9;
2007-08-04;0;871,9;8,4;21,2;15,3;11,4;65,2;38;8,5;2,9;
2007-08-05;0;871;8,7;23,7;16,6;11,3;63;31;8,1;2,8;
2007-08-06;0;870,7;9,7;21,4;15,8;12,7;68,6;45;12,6;5,5;
2007-08-07;0;871,2;8,9;22,4;15,7;10,3;67,8;33;7,6;2,8;
2007-08-08;0;870,8;9,2;22,4;16;11;65,9;38;11,4;4,8;
2007-08-09;0;872,1;9,6;20,7;15,8;11,3;67,9;45;14;6,1;
2007-08-10;0;872,2;9,5;19,5;14,8;10,9;71,7;48;13,1;5,3;
2007-08-11;0;872,3;11,4;20,8;15,2;11,4;79,2;57;11,4;4,1;
2007-08-12;0;872,5;8,8;21,8;15,5;11,2;68,9;26;13,5;5,7;
2007-08-13;0;872,8;8,9;20,1;14,5;9,5;70,7;43;13;5,4;
2007-08-14;0;872,4;8,3;20;14,5;10,3;68,6;41;15,1;6,6;
2007-08-15;0;872,5;8,3;19,7;14,8;10,2;67;40;16,6;6,9;
2007-08-16;0;872;8,6;19,6;14;9,1;71,6;48;12,8;6;
2007-08-17;0;871;8,2;21,6;14,9;10;67,8;35;10,8;4,8;
2007-08-18;0;869,9;9;21,6;14,9;10,4;70,3;41;12,2;5,1;
2007-08-19;,2;870,5;7,9;19,8;14;9,8;70,2;36;9,5;3,2;
2007-08-20;0;870,2;7,3;23,9;15,8;9,7;58,9;29;10,8;2,3;
2007-08-21;0;870,2;6,6;23,9;18,2;13,9;48,5;28;10;2,6;
2007-08-22;0;870,9;7,8;21;15,5;10,5;61,9;39;11,1;3,9;
2007-08-23;0;869,7;7,8;22,2;15,7;10;61,9;34;10,4;4,2;
2007-08-24;0;868,6;6,7;22,8;15,9;9,7;57,6;30;8,8;3,1;
2007-08-25;0;867,4;5,8;24,7;18;11,9;48,8;18;6,6;2;
2007-08-26;0;867,5;4,9;27,1;20,3;13,6;40,5;17;12,8;3;
2007-08-27;0;867,6;5,1;28,5;21,9;15;39,3;14;8,9;2,8;
2007-08-28;0;868,5;7,4;28,1;21,9;17,9;41,2;20;11;3,7;
2007-08-29;0;871,2;11,7;22,9;17,7;14;69,7;44;14,5;5,8;
2007-08-30;0;872,2;10;21,1;16,5;12,8;66,8;46;17;8,5;
2007-08-31;0;872,7;10,1;20,8;15,9;12,7;69,5;49;16,2;8,1;
2007-09-01;,2;872,3;11,4;22,6;16,3;11,8;75,9;43;11;4,4;
2007-09-02;0;872,2;11,2;24,1;17,4;12,2;70,3;37;11;3,8;
2007-09-03;0;872,6;10,9;24;17,6;13;66,5;39;13,8;5,6;
2007-09-04;2,2;873,5;11,8;22;16,2;13,5;76,3;45;15,9;7,5;
2007-09-05;0;874,1;10,7;21,9;16;12,4;72,7;46;14,2;6,6;
2007-09-06;,2;873,8;10,7;21,6;16,1;12,6;72,8;43;10,8;4,9;
2007-09-07;0;872,3;10,7;21,3;15,8;11,8;74;44;8,6;3,8;
2007-09-08;0;871,1;8,8;20,6;15,3;11,3;68;39;11;4,3;
2007-09-09;0;870,5;7,6;21,5;15,4;10,7;62,2;35;10,5;4,2;
2007-09-10;0;870,7;9,1;20,6;15,1;11,5;69;43;10,7;4,2;
2007-09-11;0;870,9;10,3;19,8;15;12,1;74,6;52;10,5;4,7;
2007-09-12;0;871;8,4;22,8;15,5;10,2;66,9;31;13,1;5,2;
2007-09-13;0;870,5;10,4;21;15,5;11,2;72,8;45;11,1;4,9;
2007-09-14;0;869,7;8,4;22,7;15,7;10,3;66;33;11,9;3,5;
2007-09-15;0;868,5;7,3;24,6;17,5;11,5;54,3;27;8,4;2,3;
2007-09-16;0;867,2;6;27,4;20;14,1;43,9;19;10,2;2,4;
2007-09-17;0;867,7;7,5;27,7;21,6;16,4;41,7;26;9,3;2,8;
2007-09-18;0;869,8;12;23,3;17,5;14,4;71,6;46;11,5;4,3;
2007-09-19;0;869,8;11,6;25,1;16,4;12,1;76,3;36;10,5;2,7;
2007-09-20;0;868,6;8,5;27,1;18,5;12,3;57,8;22;10,3;3,4;
