Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.74777777
Longitude: -44.45388888
Altitude: 669.48
Situacao: Pane
Data Inicial: 2006-12-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-17;null;null;null;null;null;null;null;null;null;null;
2006-12-18;null;null;null;null;null;null;null;55;4;null;
2006-12-19;null;938,1;19,3;28,9;24;18,9;77;48;9,4;1,2;
2006-12-20;0;938,9;19,1;30,6;24,4;20,6;74;43;8;2,2;
2006-12-21;,2;939,6;19,8;32,5;24,4;19,8;77,4;40;14,8;1,7;
2006-12-22;0;939;19,7;33,6;26,4;19,9;70,1;38;4,9;1,2;
2006-12-23;0;937,6;17,9;33,7;27,8;22,6;57,7;33;15,7;1,5;
2006-12-24;0;937,2;16,2;34,4;27,6;21,1;53,5;21;7,9;1,4;
2006-12-25;0;937,3;18,1;33,4;25,3;18,5;67,8;30;14;1,7;
2006-12-26;6,8;937,5;19,9;32,2;24,5;20,8;78,4;45;21,2;2,5;
2006-12-27;33;939;19,2;29,1;23,1;19,3;81;51;7;1,6;
2006-12-28;0;939,3;19,5;31,6;24,5;20,3;76,1;43;7,3;1,4;
2006-12-29;8,8;939,5;20,4;28,6;22,8;19,8;86,9;63;7,8;1,8;
2006-12-30;1,4;939,5;20,3;30;23,8;20,9;82,5;49;8,8;2,1;
2006-12-31;8,6;940,2;19,7;28,2;23;19,8;82,7;61;10;2,5;
2007-01-01;,6;939,7;19,2;26,6;23;20,8;79,9;64;6,2;1,6;
2007-01-02;0;940,1;19,1;28,9;22,4;19,8;82,8;52;13;2,2;
2007-01-03;15,4;939,6;19,3;25,1;21,2;18,6;89;69;7,5;1,6;
2007-01-04;4,2;937,7;20;28,1;22,2;19,9;88,1;57;12;1,2;
2007-01-05;10,8;937,4;20,4;24,3;21,9;20,1;91,7;80;5,3;1,5;
2007-01-06;5,4;937,5;19,7;27,5;21,5;19,4;90,1;66;15,3;2;
2007-01-07;null;939,1;19,8;30,3;null;18,5;83,5;49;8,9;1,7;
2007-01-08;null;938,1;19,7;31,8;24,7;19,3;76,4;44;11,2;1,6;
2007-01-09;null;937,2;20,3;31,1;null;20,3;77,7;50;7,5;1,5;
2007-01-10;,4;936,2;20,3;33,1;24,9;20,1;78,3;41;12;2,1;
2007-01-11;,8;936;20,4;30;24,3;20,5;80,2;55;9,7;1,8;
2007-01-12;7;933,8;20,9;32,8;25,6;20,8;77,2;48;12,1;2,4;
2007-01-13;null;932,2;21,3;28,6;null;20,5;85,3;59;11;1,8;
2007-01-14;null;934,3;20,9;26,8;null;20,5;88,2;71;10,1;2,3;
2007-01-15;6,6;936,4;20,6;28,9;24,4;21,4;80,8;57;8,5;2,2;
2007-01-16;5;938,1;20,2;30,5;null;20,9;83;51;6,1;1,6;
2007-01-17;null;937,7;19,6;31,2;25,6;21,3;72,1;35;7,9;1,7;
2007-01-18;0;937,5;18;32,6;null;21,2;62,5;38;9,3;2;
2007-01-19;null;937,4;20,7;32,1;null;20,4;76,6;47;12,1;1,8;
2007-01-20;null;938,1;20;32,5;null;22,5;72,2;33;6,9;1,8;
2007-01-21;null;938,4;20,2;31,9;null;21,6;74,5;43;10,5;1,5;
2007-01-22;null;937,4;20,1;32,5;null;21;73;42;7,6;1,9;
2007-01-23;null;937;19,8;30,3;23,3;20,3;81,6;55;10;1,6;
2007-01-24;null;938,4;19,9;27,5;null;19,8;93;66;7,4;1,5;
