Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.08583333
Longitude: -44.01611111
Altitude: 454
Situacao: Operante
Data Inicial: 2007-11-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-10;null;955,6;11,8;37,6;28,9;null;39,7;null;6,4;1;
2007-11-11;0;956,1;12,9;38,4;30,1;21;38,3;null;6,1;1,1;
2007-11-12;0;957,1;14,9;39,4;null;23,4;44,5;null;7,1;1,2;
2007-11-13;null;null;null;null;null;null;null;null;null;null;
2007-11-14;null;null;null;null;null;null;null;null;null;null;
2007-11-15;null;null;null;null;null;null;null;null;null;null;
2007-11-16;null;960,1;11,1;37,2;29,3;null;35,4;null;10,6;2,1;
2007-11-17;0;962,1;11,4;35,2;28,7;23;36,5;null;10,2;2,6;
2007-11-18;0;960,9;11,1;35,2;28,1;21,7;37,4;null;10,5;2,1;
2007-11-19;0;959,1;12,7;36,6;27,9;19,2;43;null;6,2;1;
2007-11-20;,2;957,2;13;38,1;29;19,5;42,3;null;7;,9;
2007-11-21;0;959,5;15,2;35,5;29,9;25,3;42,1;null;7,3;1,5;
2007-11-22;0;960,6;18,2;32,2;26,8;23,7;60,3;null;10;1,7;
2007-11-23;2,2;960,9;19,6;30;23,7;19,8;78,9;null;9;1,7;
2007-11-24;2,8;959,2;19,6;33,1;26,1;20,6;70,6;null;7;1,3;
2007-11-25;0;958,2;19,5;34,3;27,6;23,6;63,9;null;7,9;1,7;
2007-11-26;127,2;958,6;20,9;28,9;24;20,9;83,8;null;9,4;2;
2007-11-27;0;956,3;21,8;30,2;24,8;22,4;84;null;12;1,3;
2007-11-28;34;956,6;21,7;27,5;23,5;22;89,6;null;6,9;1,4;
2007-11-29;17,2;958;21;29,2;23,9;21,7;84,4;null;6,4;1,1;
2007-11-30;5,4;959,5;21,4;26,4;23,3;21,3;89,4;null;5;,8;
2007-12-01;8,4;960,1;21,3;27,2;24,3;21,9;84,4;null;6,9;1,1;
2007-12-02;,2;961,1;20,1;31,8;25,5;21,8;73,9;null;6,6;1,7;
2007-12-03;0;959,9;19,6;35,3;27,2;21,1;67;null;6,3;,9;
2007-12-04;0;958,3;19,6;35,1;27,6;21,8;65,6;null;9,2;,9;
2007-12-05;2,6;959,9;19,8;33,2;26,6;22,2;68,4;null;9;1,7;
2007-12-06;0;960;19,7;35,3;27,6;22,3;65,6;null;5,8;1,1;
2007-12-07;0;957,6;19,8;36;28,2;22,4;64;null;8,2;1,3;
2007-12-08;9,4;959,1;21;28,2;22,8;21,7;89,9;null;9,8;1,6;
2007-12-09;53,8;960,2;21,2;29,7;23,2;20,8;88,8;null;10,3;,9;
2007-12-10;5;961,4;20,5;26,4;23;21,4;86,6;null;6,1;1;
2007-12-11;,4;961,9;19,5;29,9;24,3;20,4;76;null;4,7;1,5;
2007-12-12;0;959,7;20;33,4;26;20,2;72,8;null;4,8;1;
2007-12-13;0;958,2;18,8;34;27;21,4;63,8;null;6,3;1,2;
2007-12-14;0;958,6;16,4;34,2;25,8;19,4;58,8;null;5,9;,9;
2007-12-15;0;957,2;19,6;31,5;26,1;21,6;69,5;null;8,3;1,8;
2007-12-16;2,6;956,5;20,6;31,3;24,2;20,8;81,4;null;12,8;1,7;
2007-12-17;1;957,2;20,7;31,4;24,8;21,1;79,7;null;5,2;1,2;
2007-12-18;7,6;959;21,3;27,7;24,3;21,2;84,1;null;9,8;1,6;
2007-12-19;4;959,4;21,3;30,3;24,5;22;83,1;null;6,8;1,2;
2007-12-20;4,6;958,5;21,3;31,3;24,8;20,8;82,2;null;5,7;1;
2007-12-21;0;958,8;21,2;33,3;25,9;22,1;77,6;null;8,8;1,3;
2007-12-22;0;960,4;20,4;32,5;24,6;21,1;79,3;null;9,4;1,7;
2007-12-23;,6;960,4;18,5;33,3;25,6;19,9;69,8;null;7;1,4;
2007-12-24;0;960,9;16,6;32,9;25,7;19,3;62,8;null;7,2;1,4;
2007-12-25;0;960,9;16,9;32,2;25;18,9;64,2;null;6,3;1,2;
2007-12-26;0;961,5;16;32,2;24,8;19;62,1;null;6,9;1,2;
2007-12-27;0;960,5;15,2;33,2;24,8;17,3;60,2;null;6,4;1;
2007-12-28;0;960,7;16,6;32,7;26,6;21,3;57,7;null;10,1;1,8;
2007-12-29;0;960,7;16,5;33,5;25,2;17,7;60,9;null;8,1;1,1;
2007-12-30;0;960,5;18;32,8;26,2;21,2;64,9;null;9,2;1,3;
2007-12-31;0;959,8;18,2;32,8;25;19,5;68,5;null;4,8;,9;
2008-01-01;0;959,5;16,5;34,1;25,7;18,3;62,3;null;6,2;1,1;
2008-01-02;0;960,3;15,2;34,1;25,6;17,4;56,6;null;7,7;1,1;
2008-01-03;0;962,4;15,8;32,8;25,1;18,3;60;null;7,5;1,2;
2008-01-04;0;963,5;15,4;32,9;24,9;18,3;58,6;null;6,6;1,1;
2008-01-05;0;961,8;14,5;34,9;25,7;17,2;56,3;null;4,9;,8;
2008-01-06;0;959,1;15,7;35,8;26,1;16,7;57,8;null;5,7;,9;
2008-01-07;0;958,7;19;34,8;26,3;21,5;66,9;null;9;2;
2008-01-08;1;959,7;20,8;26,8;23,8;21,1;83,6;null;5,4;1;
2008-01-09;,4;958,5;20,4;31,2;25,1;21,5;77,2;null;5,9;,8;
2008-01-10;2,4;958,9;20,3;29,9;23,4;21,5;83,5;null;9,8;1,4;
2008-01-11;3,4;959,7;19,5;33,6;25,6;20,2;73;null;4,8;,9;
2008-01-12;0;959,6;18,2;33,6;26,3;20;63,9;null;6;,9;
2008-01-13;0;959,6;17,6;32,6;25,9;19,7;63,1;null;7,6;1,2;
2008-01-14;0;960,1;15,5;31,6;25;16,7;58,1;null;9,3;1,5;
2008-01-15;0;959,2;15,4;33,2;26;18,8;55,5;null;7,9;1,5;
2008-01-16;0;959,1;16,5;33,2;25,5;18,7;60,3;null;8,2;1,2;
2008-01-17;0;960,1;18,9;32,5;26;21,8;66,9;null;10,4;1,3;
2008-01-18;0;960,8;17,7;33,9;26,8;21,2;61,3;null;9,2;1,5;
2008-01-19;0;959,4;18,5;35,4;27,6;20,8;61,2;null;5,5;1;
2008-01-20;0;958,8;18,8;35,8;28;22,1;61,2;null;7,6;1,6;
2008-01-21;0;959,3;19,1;32;26,9;22,2;63,6;null;6,5;1,6;
2008-01-22;0;959,9;18,3;33,6;26,4;21,2;65,2;null;9,5;1,7;
2008-01-23;0;960,5;19,5;33,2;25,6;20,9;70,3;null;10,3;1,3;
2008-01-24;,2;960,7;19,9;33,1;26,3;21,9;70;null;9,1;1,4;
2008-01-25;,2;960,2;19,7;33,3;26;20,4;71,2;null;7,6;1,1;
2008-01-26;0;959,4;19,3;32,2;26,6;21,4;66,5;null;6,8;1,4;
2008-01-27;0;959,7;19;30,3;26,3;22,8;65,5;null;5,8;1,3;
2008-01-28;0;959,7;18,3;33,2;26,5;21,1;63,5;null;5,6;1,3;
2008-01-29;,2;958,6;19,6;31,6;25,9;22;69,9;null;4,2;1;
2008-01-30;,4;956,7;21,1;29,8;24,5;23,3;82,4;null;12,5;,9;
2008-01-31;32,6;955;21,1;30,2;24,2;21,2;84,2;null;10,9;1,5;
2008-02-01;5,4;955,8;21,9;29,6;25,1;22,5;83,3;null;6,4;1,1;
