Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2007-07-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;null;null;null;null;
2007-08-01;null;null;null;null;null;null;52,2;null;6,2;null;
2007-08-02;,2;991,8;14;25,7;19,5;13,7;72,4;null;5,4;,8;
2007-08-03;0;991,7;13,9;27,9;20,8;15,1;67,6;null;6,4;,8;
2007-08-04;0;991,6;14,8;27,7;21,6;16,9;67,3;null;5,7;,6;
2007-08-05;0;990,1;15,4;29,5;22,2;16,4;68,4;null;5,6;,6;
2007-08-06;0;990,7;17,1;26,7;21,7;19,3;76,2;null;6,3;,7;
2007-08-07;null;990,5;14,2;29;21,8;16,8;65,3;null;6,7;,5;
2007-08-08;0;990,7;15;29,5;21,9;16,1;67,7;null;6,8;,8;
2007-08-09;0;992,4;16,1;29;22,2;17,7;70,6;null;9,8;1;
2007-08-10;0;992,1;15,3;27,4;21;16;72,2;null;6,4;,7;
2007-08-11;5,4;991,8;17;28,8;22;18,7;76;null;6,1;1;
2007-08-12;,2;992,7;15,1;29;21,3;15,1;71,1;null;7,6;1;
2007-08-13;1,8;993;15,6;27,7;20,9;16;74,3;null;9,2;,8;
2007-08-14;1,8;993,3;16,8;26,9;20,3;17;81,6;null;7,6;,7;
2007-08-15;7,8;993,5;15,8;26,6;20,3;16,5;77,7;null;7,8;,7;
2007-08-16;0;992,2;14,1;27,8;20,2;14,3;71,2;null;8,2;,9;
2007-08-17;0;991,1;15,2;25;19;14,2;79,5;null;6,5;,5;
2007-08-18;1,8;990,2;16,4;24,2;18,6;15,8;87,8;null;8,8;,5;
2007-08-19;5,8;990,6;13,5;26,5;19,2;13,5;73,4;null;5,8;,7;
2007-08-20;0;989,4;13,6;28,8;21;15,8;66,8;null;5,8;,5;
2007-08-21;0;989;14;31,3;21,3;15;67,4;null;6,7;,9;
2007-08-22;0;990,4;14,5;29,4;21,5;15,1;67,6;null;6,5;,8;
2007-08-23;0;989,5;13,4;28,2;21,8;17,1;62,9;null;6,1;1;
2007-08-24;0;987,9;12,6;29,3;21;14,2;63,3;null;7;,8;
2007-08-25;0;985,7;13,1;30,5;21,5;13,7;63,8;null;5,7;,5;
2007-08-26;0;985;15,5;32,1;23,5;17;65,2;null;7,6;,6;
2007-08-27;0;983,8;17,3;35,6;25,8;19,5;65,2;null;5,7;,5;
2007-08-28;0;986,4;18,7;30,9;24,3;21,4;72,5;null;7,8;1,2;
2007-08-29;0;990,3;16,7;30;23,6;19,8;66,8;null;8,3;1,2;
2007-08-30;0;992,6;14,8;27,1;21,2;15,3;68,3;null;8,2;1,1;
2007-08-31;2;992,9;17,3;22,8;19,9;18,2;85,2;null;5,5;,3;
2007-09-01;6;991,6;18,4;26,1;21,7;18,5;82,7;null;4,8;,5;
2007-09-02;0;991,2;17;30,2;23,4;18,8;70,8;null;4,8;,8;
2007-09-03;0;992,4;18;28,6;23;20,2;74,5;null;10,7;1,1;
2007-09-04;1,4;994,2;17,6;26,2;21,3;18,4;80,2;null;9,7;1,3;
2007-09-05;14,6;994,8;18,6;24,4;19,9;18,4;92,1;null;11,1;,9;
2007-09-06;12,8;994;17,7;28,1;21,1;17,9;82,4;null;7,5;,9;
2007-09-07;1,4;992,2;16,1;27,7;21,6;18,1;72,8;null;6,6;1;
2007-09-08;0;991;14,6;28,3;21,4;15,8;68,6;null;7;,8;
2007-09-09;0;990,5;14,8;27,5;21,6;16,6;68,6;null;7;1;
2007-09-10;0;990,8;16;28,6;21,5;16,9;73,1;null;7,1;1,3;
2007-09-11;,2;991,7;15,1;26;20,6;16,2;72,3;null;6,8;,9;
2007-09-12;0;991,8;14,4;27;19,4;13;75,3;null;6,2;,8;
2007-09-13;6,4;990,7;16,3;26,5;21,5;18;74,3;null;8,2;1,2;
2007-09-14;0;989,5;14,9;28,7;21,2;15,6;70,3;null;6,4;1,1;
2007-09-15;0;987,5;14,8;29,6;22,4;17,3;66,4;null;6,1;,8;
2007-09-16;0;985;15,9;31,2;23,6;18,6;64,2;null;5,8;,9;
2007-09-17;0;985,7;16,4;31,6;23,6;16,7;67,8;null;7,2;1;
2007-09-18;,2;989,8;15,6;26,2;21,7;19,3;69;null;7,7;1,1;
2007-09-19;0;989,8;12,3;27,7;21,6;18,2;57,2;null;8,7;1;
2007-09-20;0;988;13,5;28,7;21,1;14,4;65,7;null;7,1;,8;
2007-09-21;0;987,9;14;29,4;22,4;18;62;null;7,7;1;
2007-09-22;0;988,1;14,2;29,9;23,2;18,8;59,8;null;8,5;,9;
2007-09-23;0;986,1;14,3;31,3;23;15;62,7;null;7,5;1;
2007-09-24;0;983,3;17,7;34,1;25,4;18,6;66,2;null;6,1;,6;
2007-09-25;0;988,1;16,1;30,3;24,2;22,8;61,6;null;8,4;1,8;
2007-09-26;0;993,2;13,3;23,5;20,2;18,8;64,6;null;6;,9;
2007-09-27;0;992,7;15;27,5;21,8;18,3;66,5;null;6,8;1;
2007-09-28;0;990,1;16;31;23,5;19,2;64,8;null;6,6;,6;
2007-09-29;0;989,1;17,5;31,8;24,4;19;67,8;null;8,8;1,2;
2007-09-30;0;990,7;16,3;27,9;23,1;20,3;67,4;null;6,8;1;
2007-10-01;0;992,9;13,3;22,8;20,3;18,5;64,5;null;5,7;1,1;
2007-10-02;8,6;992,4;15,8;21,4;17,9;16,1;87,8;null;6,8;,4;
2007-10-03;2,4;989,9;15,8;27,8;20,6;16,1;76,2;null;7,7;1,1;
2007-10-04;0;989;14,2;26,6;21,2;18;65,6;null;7;1;
2007-10-05;0;988,3;13,2;29,6;21,7;15,1;63;null;9,1;1,1;
2007-10-06;0;987,8;15,7;27,3;22,1;18,8;68,4;null;7,5;,9;
2007-10-07;0;986,4;16;31,7;23,5;17,8;66,1;null;7,8;,9;
2007-10-08;0;987,7;15,3;30,7;24,2;19,2;61,8;null;9,1;1,4;
2007-10-09;0;989,3;14,7;31,1;23;16,9;63,6;null;8,5;1,3;
2007-10-10;,2;988,4;15,2;29,3;22,7;17,1;65,8;null;8,7;1,3;
2007-10-11;0;985,4;15,5;30,3;23,2;17,6;65,6;null;9;1;
2007-10-12;0;984,1;17,5;29,9;23,8;19,1;69,7;null;11,1;1,1;
2007-10-13;0;983,5;17,8;32,1;25,4;21,1;65,9;null;7,7;1,4;
2007-10-14;0;984,5;17,2;33,6;25,8;21,9;62;null;11,6;1,8;
2007-10-15;0;987,1;16,3;32,7;25,3;21,4;60,6;null;9,3;1,8;
2007-10-16;0;987,2;15,7;32,5;24,9;19,3;61,1;null;9,8;1,4;
2007-10-17;0;983,1;15,6;34;26,2;20,3;55,1;null;7,4;1,1;
2007-10-18;0;982,7;17,2;33,5;26,3;20,9;60,3;null;9,3;1,4;
2007-10-19;0;983,9;16,3;33,2;25,9;20,6;58,9;null;8,6;1,2;
2007-10-20;0;983,6;18;31,6;25,9;21,7;64,4;null;6,7;1,2;
2007-10-21;0;983,4;18,1;34;26,2;21;63,3;null;6,2;1;
2007-10-22;0;983,7;18,9;35,2;26,7;22,4;65,3;null;7,6;1,2;
2007-10-23;0;987,3;17,9;33,5;26,3;22,3;62,3;null;8,4;1,6;
2007-10-24;0;987,8;17,5;31,5;25,2;21,2;64,5;null;7,9;1,3;
2007-10-25;,8;985,9;18,1;33,1;25,7;21,4;66;null;9,3;1,7;
2007-10-26;0;985,2;17,9;27;24;21,6;69,8;null;7,2;,8;
2007-10-27;0;981,4;16,8;36,3;26,9;19,9;59,2;null;5,8;,6;
2007-10-28;0;980,8;19,1;37,2;28,4;23,4;61;null;12,7;,8;
2007-10-29;1,8;982,1;17,8;36,1;27,9;22,9;59,2;null;10,2;1,6;
2007-10-30;0;980,9;17,8;35,5;27,7;22,8;57,9;null;9,1;1,5;
2007-10-31;0;980;17,4;34,7;26,9;22;59,8;null;7,5;1,4;
2007-11-01;0;978,3;17,5;37,6;28,8;22,7;55,7;null;8,7;1,2;
2007-11-02;0;978,7;19,6;36,7;28,2;22,5;63,2;null;8,1;1;
2007-11-03;0;978,9;20,6;35,8;29,3;24;61,4;null;7,7;,8;
2007-11-04;0;979;17,1;38,1;29,6;22,8;51;null;8,1;1,2;
2007-11-05;0;982,5;16,9;34,7;27,6;23,3;55,1;null;9,6;1,6;
2007-11-06;,4;985,5;16,8;34,4;26,6;21,4;59,6;null;8,6;1,6;
2007-11-07;0;985,4;16,9;34,5;26,6;21,5;58,7;null;8,3;1,7;
2007-11-08;0;983,3;16,5;34,3;26,6;21,9;57,8;null;9,6;1,5;
2007-11-09;0;981,7;16,9;33,4;26,2;22,1;59,4;null;9,7;1,7;
2007-11-10;0;979,9;15,9;35,6;27;21,5;55,2;null;9,4;1,5;
2007-11-11;0;979,7;16,8;36,3;27,7;21,8;56,7;null;9,3;1;
2007-11-12;0;981,8;18;36;27,4;22,6;60,5;null;10,3;1,5;
2007-11-13;0;985,3;16,5;34,5;26,4;21,1;57,4;null;10,6;1,6;
2007-11-14;0;985,1;16,3;34,3;26,1;20,1;59;null;11,1;1,3;
2007-11-15;0;983,6;16,7;36,8;28,5;22,9;53,4;null;10,3;1,3;
2007-11-16;null;null;null;null;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;null;null;9,2;null;
2007-11-20;null;982;17,3;33,5;26,5;21,6;59,2;null;7,8;1,4;
2007-11-21;4,8;985,5;17,6;29,5;23,5;19,3;71,1;null;9,9;1;
2007-11-22;0;985,6;15,5;29,2;23,6;18,9;62,2;null;7,6;1;
2007-11-23;0;984,3;13,4;31,6;23,8;18,3;55,7;null;7,8;1;
2007-11-24;0;982,2;16,8;34;26,3;21,5;59,3;null;8,9;1,2;
2007-11-25;0;981,1;19,5;33;26,5;22;68,2;null;8,1;1,1;
2007-11-26;50;980;21,5;31,9;25;22,1;82,4;null;9,6;,8;
2007-11-27;60,4;978;21,5;26,7;22,8;21,5;92,5;null;7,3;,4;
2007-11-28;22,8;978,9;19,8;31,3;25,2;21,4;74,8;null;8,4;1;
2007-11-29;0;981,8;16,4;28,6;23,2;18,6;67;null;6,9;1;
2007-11-30;0;983,1;16,8;31,3;24,7;20,4;63,5;null;8,7;1,1;
2007-12-01;0;983,8;18,2;29,6;24,5;20,8;69,1;null;8,3;1;
2007-12-02;0;983,9;18,5;33,4;26;20,7;66,2;null;7,1;,8;
2007-12-03;0;982,5;19,5;34,9;27,3;23;65,5;null;6,9;,9;
2007-12-04;0;981,3;18,7;34,5;27,3;21,3;63,3;null;7,5;1,1;
2007-12-05;0;982,1;19,2;34;27,4;22,6;63,7;null;6,1;1;
2007-12-06;,4;980,2;20,1;37,3;28,1;22,7;65;null;6,6;,8;
2007-12-07;0;978,1;20,6;37,9;29,4;24,7;63,6;null;10,4;,8;
2007-12-08;63,6;980,4;21,8;31,9;25,8;22,5;80;null;6,3;,6;
2007-12-09;4;982,4;20,6;32,2;26,4;22,7;72,8;null;10,2;1,1;
2007-12-10;0;984,4;18,1;33,1;26,7;22,2;62,7;null;8,3;1,6;
2007-12-11;0;984,5;17,9;32,9;26,6;21,1;61,9;null;8,2;1;
2007-12-12;0;982,1;19;33,9;27;21,5;63,9;null;7,9;1;
2007-12-13;0;981,6;17,8;33;26,4;21,3;60,8;null;7,9;1,1;
2007-12-14;0;981,4;20,1;27,2;24,7;23,2;76,1;null;8,1;,6;
2007-12-15;6,8;978,6;21,2;26,8;23,9;21,8;85,3;null;3,6;,3;
2007-12-16;1,2;978,2;20;31,2;25,3;21,3;73,9;null;6,8;,7;
2007-12-17;0;980,2;18,7;32,2;25,4;19,5;68,3;null;7,6;,9;
2007-12-18;0;981,8;18,6;31,8;25,4;20,3;67,9;null;5,4;,7;
2007-12-19;3;980,8;21,3;31,6;24,8;21,1;81,5;null;7,8;,5;
2007-12-20;,2;979,7;21,7;33,5;25,3;22,8;81,8;null;14,7;,4;
2007-12-21;11;980,9;20,5;33,8;26,7;22,3;72,5;null;8,6;,9;
2007-12-22;0;982,6;20,1;32,2;25,9;22,2;72;null;5,1;,7;
2007-12-23;0;983,7;17,9;32,9;26;20,4;64,4;null;7,3;1,2;
2007-12-24;0;985,5;17,8;31,9;26;21,7;63,3;null;7,3;1,3;
2007-12-25;0;985,6;19;30,5;25,1;21,2;70;null;9,6;1,2;
2007-12-26;,4;985,6;18,6;32,7;25,7;20,6;67,8;null;8,5;,9;
2007-12-27;1,4;984,4;19,1;32,3;25,9;21,6;68,6;null;8,8;1,2;
2007-12-28;0;984,7;18,8;32;26,1;20,9;66,3;null;8,5;1,3;
2007-12-29;3,2;984,9;20,2;30,1;24,6;21,1;77,5;null;7,4;,9;
2007-12-30;2,8;983,9;18,4;32,8;25,9;20,2;66,7;null;8,5;1,1;
2007-12-31;0;983,2;17,2;33,4;26,1;19,9;61,5;null;8,2;1;
2008-01-01;0;983,4;16,4;33,3;25,8;19,6;59,8;null;8,8;1;
2008-01-02;0;984,7;16,7;33,1;25,8;20,2;61;null;7,7;1,1;
2008-01-03;2,6;986,8;17,8;33,2;26;20,1;63,8;null;9,2;1;
2008-01-04;0;986,8;16,3;33;26,5;21,7;58;null;7,9;1;
2008-01-05;0;984;17;35,3;26,8;19,6;59;null;7,9;,6;
2008-01-06;0;980,7;20,4;34,5;27,3;21,6;68;null;6,7;,6;
2008-01-07;3,6;981,4;20,9;29,4;24,5;22,1;80,9;null;6,6;,5;
2008-01-08;2,2;981,1;20,3;30,4;25,2;21,3;76,2;null;5,9;,5;
2008-01-09;,4;980,6;20,8;29,1;23,1;21,9;87,5;null;6,6;,4;
2008-01-10;26,4;981,3;19,4;30,5;24,3;19,8;76,4;null;5;,6;
2008-01-11;0;982,7;19,1;31,1;25,6;20,5;68,9;null;6,6;1;
2008-01-12;0;983,4;18,7;31,9;26,2;22,2;65,5;null;6,5;1,3;
2008-01-13;0;984,5;17,9;30,3;25,2;20,9;65,9;null;8,4;1;
2008-01-14;4,8;985;18,7;29,8;24,2;20,2;73,3;null;8,4;1;
2008-01-15;2,2;984;19,8;28,6;23;20,2;82,4;null;8,5;,3;
2008-01-16;7,2;983,4;19,5;29,6;24;20,4;77,2;null;5,2;,6;
2008-01-17;0;982,7;19,7;33;26,2;20,7;69,7;null;7,1;,8;
2008-01-18;0;982,5;18,6;33,9;27,4;21,5;60,6;null;7,3;,9;
2008-01-19;0;981,1;21,2;34;27,7;23,2;69,3;null;6,8;,9;
2008-01-20;0;979,3;20,4;37,1;29,1;23,1;63,1;null;7;,8;
2008-01-21;0;980,6;22;29,8;24,8;24,4;84,9;null;12,7;,4;
2008-01-22;13,6;983,4;20,5;30,1;25,2;20,2;76,5;null;7;,9;
2008-01-23;5,6;984,2;20,2;30;25;21,4;76,2;null;6,4;,4;
2008-01-24;,2;984,6;20,7;29,2;24,4;22,4;80,4;null;5,8;,4;
2008-01-25;,8;983,7;19,4;30,9;25,2;21,9;71,2;null;7,7;,7;
2008-01-26;0;983,2;17,9;29,3;24,3;20,1;69,3;null;5,5;,6;
2008-01-27;0;983,8;18,9;28,1;24,3;21,1;72,7;null;4,4;,4;
2008-01-28;0;983,8;19;30;24,5;21,4;72,6;null;6,4;,5;
2008-01-29;0;981,6;19,6;31,6;25,1;21,9;73;null;6,7;,5;
2008-01-30;4,2;978,2;21,1;24,7;23;22,1;89,2;null;4,5;,2;
2008-01-31;14,8;975,8;21,9;26,5;23,2;21,8;92,2;null;4;,1;
2008-02-01;14;976,7;22,6;32,1;26;22,4;82,6;null;8;,7;
2008-02-02;0;979,1;21,9;33,4;27,4;23,8;73,7;null;6,4;,9;
2008-02-03;0;980,7;22,5;34,5;26,8;23,5;79,3;null;13,2;,6;
2008-02-04;4;981,9;22;32,6;26,3;23,1;79,1;null;12;,3;
